ligand	receptor
TGFB1	TGFBR2_TGFBR1
TGFB2	TGFBR2_TGFBR1
TGFB3	TGFBR2_TGFBR1
TGFB1	TGFBR2_ACVR1B
TGFB1	TGFBR2_ACVR1C
TGFB2	TGFBR2_ACVR1B
TGFB2	TGFBR2_ACVR1C
TGFB3	TGFBR2_ACVR1B
TGFB3	TGFBR2_ACVR1C
TGFB1	TGFBR2_ACVR1_TGFBR1
TGFB2	TGFBR2_ACVR1_TGFBR1
TGFB3	TGFBR2_ACVR1_TGFBR1
BMP2	ACVR2A_BMPR1A
BMP2	ACVR2B_BMPR1A
BMP2	BMPR2_BMPR1A
BMP2	BMPR1B_ACVR2A
BMP2	BMPR1B_ACVR2B
BMP2	BMPR1B_BMPR2
BMP4	ACVR2A_BMPR1A
BMP4	ACVR2B_BMPR1A
BMP4	BMPR2_BMPR1A
BMP4	BMPR1B_ACVR2A
BMP4	BMPR1B_ACVR2B
BMP4	BMPR1B_BMPR2
GDF5	ACVR2A_BMPR1A
GDF5	ACVR2B_BMPR1A
GDF5	BMPR2_BMPR1A
GDF5	BMPR1B_ACVR2A
GDF5	BMPR1B_ACVR2B
GDF5	BMPR1B_BMPR2
GDF6	ACVR2A_BMPR1A
GDF6	ACVR2B_BMPR1A
GDF6	BMPR2_BMPR1A
GDF6	BMPR1B_ACVR2A
GDF6	BMPR1B_ACVR2B
GDF6	BMPR1B_BMPR2
GDF7	ACVR2A_BMPR1A
GDF7	ACVR2B_BMPR1A
GDF7	BMPR2_BMPR1A
GDF7	BMPR1B_ACVR2A
GDF7	BMPR1B_ACVR2B
GDF7	BMPR1B_BMPR2
BMP15	BMPR1B_BMPR2
BMP5	ACVR1_ACVR2A
BMP5	ACVR1_ACVR2B
BMP5	BMPR2_ACVR1
BMP5	ACVR2A_BMPR1A
BMP5	ACVR2B_BMPR1A
BMP5	BMPR2_BMPR1A
BMP5	BMPR1B_ACVR2A
BMP5	BMPR1B_ACVR2B
BMP5	BMPR1B_BMPR2
BMP6	ACVR1_ACVR2A
BMP6	ACVR1_ACVR2B
BMP6	BMPR2_ACVR1
BMP6	ACVR2A_BMPR1A
BMP6	ACVR2B_BMPR1A
BMP6	BMPR2_BMPR1A
BMP6	BMPR1B_ACVR2A
BMP6	BMPR1B_ACVR2B
