Target_genes	FOXO1|Average	SRX1012536|B_cells	SRX1012537|B_cells	SRX7587157|Chondrocytes	SRX7587158|Chondrocytes	SRX7587159|Chondrocytes	SRX1048948|Endometrial_stromal_cells	SRX10475880|Hep_G2	SRX10475881|Hep_G2	SRX3230384|Hep_G2	SRX5548891|HUVEC	SRX5548892|HUVEC	SRX359830|LoVo	SRX9674621|Myoblasts	SRX9674623|Myoblasts	SRX9674625|Myoblasts	SRX5771936|OCI-LY1	SRX1735651|Pre-leukemia_stem_cells	SRX9674615|RH-30	SRX9674611|Rh-4	SRX9674613|Rh-4	SRX9674619|SMS-CTR	SRX7570799|SU-DHL-4	SRX7570800|SU-DHL-4	SRX7570801|SU-DHL-4	SRX9674617|Unclassified	STRING
FRG2C	693.040000	709	440	518	438	527	0	1105	634	246	608	702	0	956	891	1039	0	662	449	1243	1273	962	957	1114	1044	809	0
DUX4	553.400000	865	952	421	453	599	0	754	581	342	552	190	0	563	554	631	433	237	257	990	1016	848	514	541	605	937	0
MTRNR2L2	529.280000	0	0	0	0	0	971	1391	1100	999	1194	315	0	635	841	820	242	1681	735	646	321	388	0	188	0	765	0
MSH3	529.280000	0	0	0	0	0	971	1391	1100	999	1194	315	0	635	841	820	242	1681	735	646	321	388	0	188	0	765	0
DHFR	529.280000	0	0	0	0	0	971	1391	1100	999	1194	315	0	635	841	820	242	1681	735	646	321	388	0	188	0	765	0
THEMIS2	489.120000	215	374	0	0	0	290	0	0	0	0	0	0	0	1408	604	150	1096	593	1934	1416	0	1315	1675	1158	0	0
MTRNR2L1	487.960000	0	0	0	170	203	509	964	1074	998	879	0	0	762	1013	905	192	515	636	688	619	626	234	265	280	667	0
FRG2	481.840000	330	236	244	265	294	100	685	510	197	434	506	0	553	617	786	104	919	355	980	727	666	709	685	585	559	0
R3HDM4	474.200000	536	392	0	0	0	0	441	922	325	0	0	0	0	294	350	0	731	0	1397	784	0	1932	2082	1669	0	0
P2RX6	467.160000	0	0	0	0	0	147	0	0	0	0	78	0	1095	2169	1765	0	757	1662	2278	1728	0	0	0	0	0	0
MACC1	460.360000	215	0	0	0	0	374	480	440	134	0	0	0	175	1870	1440	0	2087	660	1436	1147	0	382	368	301	0	0
TXNIP	460.200000	371	193	198	0	0	1039	1226	1381	989	135	176	0	0	327	0	0	0	0	528	213	0	1776	1552	1401	0	0
BROX	455.840000	523	255	120	170	124	541	786	975	339	0	147	0	0	265	0	205	659	0	180	0	0	2146	2189	1772	0	0
AIDA	455.840000	523	255	120	170	124	541	786	975	339	0	147	0	0	265	0	205	659	0	180	0	0	2146	2189	1772	0	0
LRRC10B	442.280000	0	0	0	0	0	0	88	0	0	0	95	0	0	2410	2016	0	721	1893	2151	1683	0	0	0	0	0	0
HIBADH	439.600000	349	180	239	133	134	847	569	794	208	0	376	0	0	0	0	0	220	0	0	0	0	2412	2452	2077	0	0
ARRB1	438.040000	0	0	0	0	0	151	171	230	0	0	90	0	0	2330	1879	0	543	1815	2180	1562	0	0	0	0	0	0
ARRDC3	436.560000	331	315	0	136	145	362	1277	1086	186	0	0	0	0	110	0	228	107	0	125	115	0	2004	2336	2051	0	0
CBLL1	431.400000	495	225	101	0	169	473	883	857	237	0	495	0	0	107	0	0	234	0	170	0	0	2227	2257	1855	0	0
ETS1	429.640000	0	0	0	0	0	251	77	0	0	0	142	0	1810	2213	1644	0	450	1004	1678	1472	0	0	0	0	0	0
ARID5B	427.520000	398	0	0	0	0	386	326	391	134	0	291	0	616	2138	1498	0	1237	423	1355	795	0	277	226	197	0	0
PPP1R11	412.880000	0	0	0	0	0	186	248	256	237	0	173	0	631	2129	1517	0	332	1095	1786	1462	0	102	168	0	0	0
HSPG2	410.280000	0	0	0	0	0	0	0	0	0	0	0	0	675	2157	1702	0	0	1892	2171	1660	0	0	0	0	0	0
GADD45A	396.880000	0	0	0	0	0	0	435	153	0	0	153	0	285	1717	1155	0	263	1720	2226	1815	0	0	0	0	0	0
HBP1	395.240000	474	365	0	0	149	606	513	614	159	0	277	0	0	108	0	126	0	0	0	0	0	2179	2297	2014	0	0
DUSP11	388.280000	194	227	184	0	94	637	1044	1115	519	0	493	0	0	327	203	0	79	0	208	0	0	1579	1566	1238	0	0
C2orf78	388.280000	194	227	184	0	94	637	1044	1115	519	0	493	0	0	327	203	0	79	0	208	0	0	1579	1566	1238	0	0
CNNM3	386.720000	138	122	148	119	94	137	613	1067	543	0	284	0	0	0	0	0	1717	0	0	0	0	1655	1743	1288	0	0
SSC5D	371.560000	0	0	0	0	0	0	0	0	0	0	0	0	0	2488	1929	0	0	702	2227	1943	0	0	0	0	0	0
NAT14	371.560000	0	0	0	0	0	0	0	0	0	0	0	0	0	2488	1929	0	0	702	2227	1943	0	0	0	0	0	0
MTRNR2L8	369.680000	0	0	0	0	0	789	1263	867	850	890	314	134	438	541	423	175	1055	259	383	205	224	0	119	0	313	0
ESYT1	369.320000	364	199	0	0	0	462	515	916	294	102	162	0	0	0	0	121	971	0	0	0	0	1795	1784	1548	0	0
DBX1	368.080000	0	0	0	0	0	0	0	0	0	0	0	0	591	2507	1926	0	0	574	1990	1614	0	0	0	0	0	0
TNIP1	361.080000	229	81	126	0	78	509	501	321	0	0	305	0	0	742	297	0	577	0	0	0	0	1806	1916	1539	0	0
PITPNM3	360.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	2165	1566	0	374	1103	2050	1742	0	0	0	0	0	0
MARCHF8	359.040000	319	162	81	0	0	632	1182	1253	139	0	489	0	0	184	0	0	167	0	0	0	0	1727	1466	1175	0	0
UBL7	356.720000	368	189	86	83	0	753	801	802	241	0	506	0	0	222	85	0	264	0	0	0	0	1731	1481	1306	0	0
NOP14	345.880000	175	130	0	0	0	412	629	832	0	0	382	0	0	516	261	0	1195	0	0	0	0	1563	1583	969	0	0
GRK4	345.880000	175	130	0	0	0	412	629	832	0	0	382	0	0	516	261	0	1195	0	0	0	0	1563	1583	969	0	0
PIM1	345.360000	175	95	0	0	0	245	327	641	241	0	155	0	0	182	0	185	1811	0	0	0	0	1530	1643	1404	0	0
LTB	340.600000	265	0	0	0	0	0	132	0	0	0	107	0	0	538	196	0	2191	0	0	0	0	1735	2096	1255	0	0
JMJD1C	339.800000	0	0	0	0	0	0	185	155	113	0	262	0	363	1916	946	0	1613	629	982	600	0	243	330	158	0	0
WEE1	339.160000	302	104	0	0	0	0	490	577	216	0	96	0	297	1916	1182	0	400	578	1303	1018	0	0	0	0	0	0
WDR74	335.080000	134	0	0	0	0	250	377	313	452	0	201	0	189	1995	1250	0	212	599	1031	657	0	284	301	132	0	0
TMX4	334.680000	161	0	0	0	0	175	431	477	97	0	185	0	0	714	413	0	888	0	198	207	0	1449	1566	1406	0	0
KLHDC2	333.800000	0	0	0	150	177	580	648	929	160	0	205	0	0	138	0	0	555	0	158	0	0	1682	1529	1434	0	0
TRIB3	333.360000	0	0	0	0	0	0	148	124	0	0	0	0	242	2251	1187	0	165	549	2080	1588	0	0	0	0	0	0
LRRC61	331.840000	0	0	0	0	0	141	166	228	0	0	0	0	0	2113	1520	0	136	1184	1609	1086	0	113	0	0	0	0
LIMD2	330.320000	675	348	0	0	0	0	0	0	0	0	92	0	0	0	0	68	696	0	0	0	0	2201	2221	1957	0	0
RRM2B	323.720000	412	246	0	0	0	0	220	214	0	0	230	0	0	1149	635	227	1637	0	99	0	0	1034	1122	868	0	0
NRG1	322.000000	0	0	0	0	0	163	166	452	0	0	121	0	164	1946	1389	0	0	205	1961	1483	0	0	0	0	0	0
ABLIM1	321.120000	0	0	0	0	0	192	160	231	179	0	154	0	0	1620	1075	0	276	874	1270	905	0	331	410	351	0	0
ARHGEF1	319.960000	139	0	0	0	0	1112	269	507	2534	0	163	0	0	0	0	0	279	0	0	0	0	992	1164	840	0	0
YTHDC1	319.400000	180	114	0	0	0	700	671	874	220	0	455	0	0	859	502	0	140	0	289	0	0	1132	1070	779	0	0
TBC1D17	319.320000	305	172	148	79	0	356	248	481	224	0	149	0	0	0	0	0	0	0	0	0	0	2222	1898	1701	0	0
AKT1S1	319.320000	305	172	148	79	0	356	248	481	224	0	149	0	0	0	0	0	0	0	0	0	0	2222	1898	1701	0	0
TRDMT1	316.720000	0	0	0	0	0	121	469	244	0	0	356	0	98	1826	1054	0	133	1114	1529	974	0	0	0	0	0	0
ELF2	315.200000	161	0	0	0	0	211	321	461	0	0	260	0	0	990	519	0	2325	191	202	167	0	807	772	493	0	0
KCTD18	314.960000	0	0	0	0	0	129	211	267	0	0	225	0	299	2037	1292	0	289	278	1670	1177	0	0	0	0	0	0
ZNF57	313.640000	0	0	0	0	0	0	144	0	0	0	87	0	0	1646	1455	0	0	1407	1927	1175	0	0	0	0	0	0
TMEM44	310.440000	0	0	0	0	0	0	139	124	0	0	266	0	320	1880	1334	0	1032	810	1155	701	0	0	0	0	0	0
SYNE3	308.400000	0	0	0	0	0	134	0	0	0	0	0	0	0	2122	1310	0	91	753	1382	1036	0	364	255	263	0	0
YPEL3	305.200000	0	0	0	99	0	213	464	579	0	0	0	0	0	143	0	0	875	0	0	0	0	1864	2007	1386	0	0
TBX6	305.200000	0	0	0	99	0	213	464	579	0	0	0	0	0	143	0	0	875	0	0	0	0	1864	2007	1386	0	0
MDM2	304.280000	628	308	0	0	0	160	153	297	0	0	186	0	0	127	0	0	1521	0	416	128	0	1463	1261	959	0	0
TMEM140	303.040000	411	200	0	0	0	684	899	1096	552	0	98	0	0	0	0	114	0	0	0	0	0	996	1274	1252	0	0
ELK3	302.000000	124	0	0	0	0	211	261	550	218	0	137	0	0	631	309	0	2211	0	0	0	0	951	1121	826	0	0
LST1	301.680000	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2191	0	0	0	0	1735	2096	1255	0	0
VOPP1	299.440000	256	253	0	0	0	0	90	0	0	0	165	0	0	160	0	134	1200	0	0	0	0	1867	1756	1605	0	0
NUP153	299.440000	0	0	0	0	0	155	302	389	128	0	168	0	0	1627	1318	0	1036	786	863	566	0	0	148	0	0	0
MED25	298.400000	294	214	70	0	162	415	93	0	0	0	201	0	0	140	0	0	1401	0	0	0	0	1535	1641	1294	0	0
FUZ	298.400000	294	214	70	0	162	415	93	0	0	0	201	0	0	140	0	0	1401	0	0	0	0	1535	1641	1294	0	0
RGS20	297.760000	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2320	2757	2105	0	0
HPCAL1	296.800000	0	0	0	0	0	633	432	905	361	0	0	0	0	1897	1302	0	472	285	687	446	0	0	0	0	0	0
SEC14L1	294.800000	353	79	0	0	0	152	194	274	1425	0	150	0	0	153	124	0	1691	0	0	0	0	941	1075	759	0	0
PER1	293.800000	456	218	0	0	0	314	144	154	0	0	98	0	0	0	0	0	794	0	0	0	0	1654	1977	1536	0	0
UBE2C	293.480000	0	0	0	0	0	361	87	0	0	0	0	0	229	1642	1025	0	0	801	1683	1509	0	0	0	0	0	0
SLC25A45	293.120000	0	0	0	0	177	621	189	298	108	173	139	0	0	193	91	0	955	0	0	0	0	1347	1723	1314	0	0
FRMD8	293.120000	0	0	0	0	177	621	189	298	108	173	139	0	0	193	91	0	955	0	0	0	0	1347	1723	1314	0	0
SQSTM1	290.560000	116	0	0	0	0	505	609	739	338	0	196	0	0	145	0	0	713	0	0	0	0	1445	1392	1066	0	0
OTUD1	287.120000	0	0	0	0	110	248	383	473	0	0	113	0	0	248	93	0	810	0	0	0	0	1637	1709	1354	0	0
LOC102723996	286.920000	570	404	0	0	0	0	0	492	87	0	0	0	0	450	268	179	287	0	0	0	0	1632	1515	1289	0	0
ICOSLG	286.920000	570	404	0	0	0	0	0	492	87	0	0	0	0	450	268	179	287	0	0	0	0	1632	1515	1289	0	0
SBNO2	286.360000	0	0	0	0	0	0	0	0	0	0	0	0	0	1842	1247	0	663	443	1531	1041	0	113	146	133	0	0
MAML3	282.040000	482	211	0	0	0	458	544	281	0	0	259	0	0	143	183	0	530	0	0	0	0	1395	1737	828	0	0
STARD10	281.920000	160	101	0	94	69	380	347	278	138	0	159	0	0	108	0	0	1165	0	0	0	0	1524	1450	1075	0	0
SF3B5	281.840000	0	0	0	0	0	128	293	199	89	0	175	0	238	1622	1311	0	0	893	1307	791	0	0	0	0	0	0
BAIAP3	281.560000	469	329	0	0	0	162	412	1150	386	0	0	0	0	0	0	147	144	0	0	0	0	1389	1323	1128	0	0
BRD4	278.960000	656	284	0	0	0	629	0	0	0	0	131	0	0	111	0	0	461	0	0	0	0	1857	1637	1208	0	0
F12	277.320000	0	0	0	0	0	0	0	225	0	0	0	0	0	1658	1309	0	1300	1293	708	440	0	0	0	0	0	0
TSHR	276.800000	541	381	0	0	0	0	0	0	0	0	103	0	0	103	0	120	136	0	0	0	0	1991	2062	1483	0	0
TMEM167B	276.560000	315	240	0	0	0	446	914	760	141	82	333	0	0	0	0	0	163	229	723	186	0	813	934	635	0	0
PRDM12	276.320000	0	0	0	0	0	0	0	0	0	0	0	0	0	994	955	0	0	1474	1927	1558	0	0	0	0	0	0
WBP1L	274.800000	0	0	0	0	0	400	0	0	0	0	0	0	0	1957	1346	0	0	443	1612	1112	0	0	0	0	0	0
GPR19	272.000000	181	118	0	0	0	196	296	370	164	0	195	0	0	0	0	0	0	0	0	0	0	1842	1930	1508	0	0
CENPM	270.880000	755	523	0	0	0	134	105	154	0	0	111	0	0	105	0	0	265	0	0	0	0	1493	1694	1433	0	0
FOXJ3	270.520000	0	0	0	0	0	243	459	352	103	0	251	0	0	1577	1267	0	482	484	871	674	0	0	0	0	0	0
NRL	269.040000	92	0	0	0	0	167	622	828	286	0	374	0	0	188	113	0	1676	0	160	0	0	754	669	797	0	0
UGT1A3	267.960000	0	0	0	0	0	0	0	0	0	0	0	0	932	698	1147	0	0	714	1096	854	746	0	0	0	512	0
KANK1	267.520000	0	0	0	0	0	264	1176	1509	1165	0	190	0	0	1070	632	0	253	155	130	144	0	0	0	0	0	0
TSPAN14	267.160000	402	199	0	0	0	545	0	0	0	0	93	0	0	599	322	0	881	191	0	0	0	1191	1404	852	0	0
KLHL24	266.160000	116	0	0	0	0	141	167	205	0	0	239	0	0	506	345	0	1478	0	258	133	0	1194	1123	749	0	0
LURAP1L	264.800000	0	0	0	0	0	144	859	984	155	0	140	0	0	932	749	0	0	99	1641	917	0	0	0	0	0	0
PDE4DIP	262.200000	0	0	0	0	0	0	119	80	87	0	247	0	0	1757	804	0	138	428	1835	1060	0	0	0	0	0	0
TIGD5	262.120000	0	0	0	0	0	0	67	83	0	0	137	0	533	2239	1693	0	1224	0	347	230	0	0	0	0	0	0
EEF1D	262.120000	0	0	0	0	0	0	67	83	0	0	137	0	533	2239	1693	0	1224	0	347	230	0	0	0	0	0	0
RALGDS	262.040000	171	186	0	140	191	557	429	966	302	223	156	0	0	105	0	0	1280	0	0	0	0	550	730	565	0	0
GIT2	261.680000	0	0	0	0	0	0	127	0	0	0	0	0	0	1966	1274	0	116	445	1299	979	0	172	164	0	0	0
ANKRD13A	261.680000	0	0	0	0	0	0	127	0	0	0	0	0	0	1966	1274	0	116	445	1299	979	0	172	164	0	0	0
NDRG1	261.000000	0	0	0	0	0	367	592	581	0	0	188	0	0	1353	1041	0	737	0	133	0	0	714	550	269	0	0
GRIN1	259.720000	0	0	0	0	0	0	201	0	0	0	0	0	0	1724	1175	0	75	507	1689	1122	0	0	0	0	0	0
BAHCC1	258.920000	0	0	116	0	0	384	252	301	156	0	230	0	112	1112	695	0	468	281	594	398	0	466	538	370	0	0
CCM2	258.880000	343	129	0	0	0	0	0	99	0	0	196	0	0	0	0	0	684	0	0	0	0	1628	2001	1392	0	0
SNAP23	257.720000	0	0	0	0	0	525	76	141	0	0	185	0	168	2056	1004	0	131	363	721	406	0	121	390	156	0	0
FST	257.320000	0	0	0	0	0	128	1609	1896	1729	0	299	0	0	0	0	0	772	0	0	0	0	0	0	0	0	0
PIK3IP1	256.240000	216	113	181	0	0	357	361	570	156	76	185	0	0	152	0	0	0	0	0	0	0	1261	1448	1330	0	0
FBXO31	255.680000	92	0	0	0	0	287	464	560	766	0	103	0	0	910	573	0	1009	0	399	216	0	324	417	272	0	0
RALBP1	253.720000	0	0	0	115	80	401	480	529	0	0	197	0	0	135	0	0	524	0	0	0	0	1466	1503	913	0	0
AAR2	253.440000	0	0	0	0	0	0	604	319	137	0	123	0	0	1534	1646	0	0	0	1315	658	0	0	0	0	0	0
TUBA4B	253.080000	146	107	0	0	0	0	256	508	140	0	0	0	0	379	99	0	515	0	0	0	0	1578	1390	1209	0	0
TUBA4A	253.080000	146	107	0	0	0	0	256	508	140	0	0	0	0	379	99	0	515	0	0	0	0	1578	1390	1209	0	0
GMEB2	252.200000	0	0	0	0	0	0	202	222	0	0	121	0	0	1730	1017	0	681	176	1364	792	0	0	0	0	0	0
ATF3	251.080000	0	0	0	133	0	412	271	386	0	0	194	0	0	935	899	0	307	835	658	534	0	211	401	101	0	0
CSNK1E	250.800000	0	0	0	0	0	0	179	440	108	0	211	0	172	1703	1000	0	0	708	744	424	0	208	242	131	0	0
LHX6	248.920000	0	0	0	0	0	0	0	0	0	0	0	0	0	1482	955	0	1917	576	725	568	0	0	0	0	0	0
NEURL2	247.400000	0	0	0	0	0	0	357	514	211	0	301	0	0	1286	1153	0	615	163	810	477	0	166	132	0	0	0
CTSA	247.400000	0	0	0	0	0	0	357	514	211	0	301	0	0	1286	1153	0	615	163	810	477	0	166	132	0	0	0
EZH1	246.800000	146	0	140	89	116	136	328	347	0	0	168	0	0	0	0	0	167	0	0	0	0	1540	1604	1389	0	0
GFI1B	245.600000	118	0	0	142	0	138	418	259	0	0	245	0	0	162	0	0	564	0	0	0	0	1542	1323	1229	0	0
MXI1	245.520000	0	0	0	0	0	0	208	308	0	0	109	0	159	1124	1004	0	483	325	666	413	0	495	505	339	0	0
NEK6	244.400000	0	0	0	0	0	104	0	0	120	0	0	0	0	1488	1211	0	1613	119	834	621	0	0	0	0	0	0
ZCCHC3	244.160000	0	0	0	0	0	142	152	223	0	0	136	0	172	1643	1023	0	1380	0	836	397	0	0	0	0	0	0
STK16	242.840000	146	107	0	0	0	0	256	508	140	0	171	0	0	158	0	0	408	0	0	0	0	1578	1390	1209	0	0
GLB1L	242.840000	146	107	0	0	0	0	256	508	140	0	171	0	0	158	0	0	408	0	0	0	0	1578	1390	1209	0	0
DMRTA2	241.360000	0	0	0	0	0	0	0	0	0	0	0	0	0	1026	554	0	0	789	1966	1699	0	0	0	0	0	0
MAP2K3	240.520000	239	88	0	0	0	411	121	69	0	0	120	0	0	97	0	0	403	0	0	0	0	1609	1687	1169	0	0
