Target_genes	Ar|Average	SRX286404|Epididymis	SRX286405|Epididymis	SRX286406|Epididymis	SRX358239|Epididymis	SRX358240|Epididymis	SRX358241|Epididymis	SRX358242|Epididymis	SRX4867863|Epididymis	SRX4867864|Epididymis	SRX4867865|Epididymis	SRX4867866|Epididymis	SRX286394|Kidney	SRX286395|Kidney	SRX286396|Kidney	SRX283734|Prostate	SRX283739|Prostate	SRX283744|Prostate	SRX283749|Prostate	SRX286380|Prostate	SRX286381|Prostate	SRX286382|Prostate	SRX286383|Prostate	SRX286384|Prostate	SRX286385|Prostate	SRX385391|Prostate	SRX385392|Prostate	SRX6745004|Prostate	SRX6745006|Prostate	SRX6745008|Prostate	SRX9681476|Prostate	SRX9681477|Prostate	SRX9681478|Prostate	SRX9681479|Prostate	SRX5576958|Prostate_organoids	SRX5576959|Prostate_organoids	SRX5576963|Prostate_organoids	SRX5576964|Prostate_organoids	SRX5576968|Prostate_organoids	SRX5576969|Prostate_organoids	SRX5576973|Prostate_organoids	SRX5576974|Prostate_organoids	SRX7713835|Prostate_organoids	SRX7713836|Prostate_organoids	SRX7713837|Prostate_organoids	SRX7713838|Prostate_organoids	SRX9067281|Prostate_organoids	SRX9067282|Prostate_organoids	SRX9067283|Prostate_organoids	SRX9067284|Prostate_organoids	SRX9067285|Prostate_organoids	SRX9067286|Prostate_organoids	SRX9067287|Prostate_organoids	SRX9067288|Prostate_organoids	SRX9067289|Prostate_organoids	SRX9101606|Prostate_stem_cell_line	SRX6745010|Prostate_tumor	SRX6745012|Prostate_tumor	SRX6745014|Prostate_tumor	SRX739215|Prostate_tumor	SRX739216|Prostate_tumor	SRX9863165|Prostatic_intraepithelial_neoplasia	SRX739214|Prostatic_Neoplasms	SRX739217|Prostatic_Neoplasms	SRX9820280|Skeletal_muscle	SRX4373906|Sperm	SRX4373907|Sperm	SRX20593358|Thymocytes	SRX20593359|Thymocytes	STRING
Cldn34d	1026.191176	143	971	1498	373	640	348	304	2000	1987	1689	1740	327	745	1045	636	1253	574	445	226	131	288	239	107	0	383	106	2313	1585	753	1490	1837	1688	1997	911	1032	1319	1419	746	1272	1184	1986	1613	886	1935	1645	1910	1552	846	1738	1067	1401	1438	1280	1536	149	1945	2069	2191	955	347	867	377	384	751	370	546	253	0	0
Tcstv3	1014.602941	1242	1397	1719	1395	1283	1050	1345	1476	1417	1118	1205	855	1991	2002	1806	2348	896	854	502	255	1024	919	1081	1156	1450	1341	0	0	411	159	183	187	548	859	944	1512	1212	469	1065	1258	1676	1075	435	1469	1220	1333	1321	1124	1247	1145	1175	1272	1129	1388	0	0	0	0	979	624	1228	1138	525	1157	1701	1404	1294	0	0
Brox	772.397059	412	1136	1675	592	818	781	658	1149	887	739	1159	461	1347	1418	373	879	443	285	142	173	517	407	526	504	988	1299	1639	1797	1574	899	1093	812	1450	395	385	731	897	350	769	431	769	1512	660	1992	1855	314	362	0	533	206	293	489	500	572	155	1442	2228	1439	832	382	560	669	540	417	273	242	297	0	0
Aida	772.397059	412	1136	1675	592	818	781	658	1149	887	739	1159	461	1347	1418	373	879	443	285	142	173	517	407	526	504	988	1299	1639	1797	1574	899	1093	812	1450	395	385	731	897	350	769	431	769	1512	660	1992	1855	314	362	0	533	206	293	489	500	572	155	1442	2228	1439	832	382	560	669	540	417	273	242	297	0	0
Rcn1	683.382353	440	1874	1726	943	846	1295	606	573	420	786	1730	0	0	0	2281	2088	625	749	0	0	1689	1688	1682	1778	2595	2579	1652	1768	1190	2121	2095	2216	2278	0	0	0	0	0	0	0	0	0	0	319	317	0	0	0	0	0	0	0	394	210	0	406	0	795	0	349	0	1187	180	0	0	0	0	0	0
Per1	641.132353	170	1257	1056	1270	1289	1166	527	591	461	701	1484	0	1347	1250	1076	572	0	148	0	0	1050	1002	931	1004	1776	1801	293	387	422	652	791	887	1182	541	1017	162	180	0	228	126	144	1705	1128	1505	1636	715	571	375	1000	361	1251	1199	1534	1329	0	0	0	0	0	96	0	135	0	0	0	116	0	0	0
Cdkn1a	610.264706	0	1866	1627	1057	1052	1259	833	1390	1035	1099	2256	0	2148	2090	1909	998	127	130	0	0	1268	1302	1136	1118	1153	1443	842	690	361	1416	1047	1027	1570	0	0	0	0	0	0	0	0	752	273	1190	932	0	0	0	163	119	383	210	1054	538	0	238	0	188	0	0	0	209	0	0	0	0	0	0	0
Ccnd3	580.794118	0	1183	832	875	899	669	420	775	819	1317	1982	0	1008	981	1184	728	112	112	0	0	1110	1009	450	613	1123	785	389	285	304	467	440	616	605	781	1102	253	282	298	271	155	163	1389	833	1328	1521	487	665	265	932	780	1485	956	1677	1779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hif3a	568.514706	0	1472	1140	1074	1236	1447	813	1218	937	1174	1949	0	1139	1333	1904	1235	234	247	0	0	1439	1563	1124	1024	1543	2002	856	713	692	1151	720	1114	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	646	972	1355	1228	0	252	0	0	0	0	0	254	0	0	0	0	0	0	0
Wbp1l	539.720588	175	1708	2120	831	1117	777	240	1826	1221	1594	2448	0	1772	1873	1007	192	0	0	0	0	179	238	116	121	0	0	0	0	0	0	130	342	456	0	0	0	0	0	0	0	0	2115	1331	2325	2278	283	225	0	337	373	1394	1136	2631	1790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrdl2	536.882353	372	1802	1695	1349	1362	987	578	1225	1219	1699	2659	0	1612	1568	1438	839	0	100	0	0	738	714	707	743	1434	1009	269	262	276	1241	1068	1621	1994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	797	740	1483	456	86	0	0	0	0	0	0	201	0	0	0	0	0	0	0
Slc10a6	507.852941	0	1347	1545	1227	1427	914	524	696	579	966	1994	0	633	898	1312	559	109	137	0	0	1030	784	581	540	1351	1341	0	227	157	618	448	820	1243	0	0	0	0	0	0	0	0	1420	709	986	822	294	197	0	537	408	1293	1001	1624	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubqln1	507.735294	262	1746	1894	1114	1576	1197	673	1278	1171	1401	2377	0	789	797	1270	690	0	95	0	0	595	727	465	512	1085	1478	344	444	0	885	772	1125	1360	0	0	0	0	0	0	0	0	627	448	703	847	0	0	0	504	0	453	796	950	1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrbf2	474.602941	0	266	133	0	0	0	0	0	0	0	153	0	165	178	1911	1485	276	460	0	0	1236	1075	509	521	1995	1600	502	559	353	1315	1287	2113	1979	298	435	253	399	0	0	297	527	1505	842	1420	1740	0	0	0	114	338	714	771	805	1109	0	0	0	0	0	128	0	507	0	0	0	0	0	0	0
Zfp518a	466.808824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1742	1554	0	0	0	0	687	737	0	168	704	965	488	747	0	1320	1346	2099	2020	0	357	0	168	0	0	0	0	2334	1314	2701	2797	0	0	0	401	566	1555	1391	1658	1572	0	0	0	0	0	66	0	286	0	0	0	0	0	0	0
Plk3	452.779412	290	1058	891	686	707	455	173	469	436	654	1614	0	968	1122	845	555	0	0	0	0	712	809	351	430	805	1142	171	278	156	365	342	730	766	408	599	0	0	0	0	0	0	870	856	994	885	537	569	337	1127	566	1371	926	1137	1627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serinc3	451.926471	159	1061	1133	766	919	666	424	1487	1321	1566	2252	0	1044	1185	1054	424	0	72	0	0	845	872	591	673	1079	710	870	807	662	572	595	692	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	280	610	645	1273	909	0	407	0	499	0	168	0	183	0	0	0	0	0	0	0
Fam220a	443.397059	0	1328	1143	589	810	651	329	1133	796	916	1983	0	809	926	1138	827	98	0	0	0	470	410	295	362	487	532	382	396	0	511	341	271	469	0	0	0	0	0	0	0	0	1401	593	1137	985	327	331	0	655	370	762	1723	1627	1617	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnk1	422.088235	0	1716	1822	904	1161	170	0	1547	1252	1318	2061	0	1876	1824	1157	359	0	0	0	0	609	633	492	554	223	0	437	220	0	281	205	296	459	0	0	0	0	0	0	0	0	1429	624	704	1039	154	204	0	478	0	507	448	833	625	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
