Target_genes	Arid5a|Average	SRX11149862|4T1	SRX11149863|4T1	SRX11149866|4T1	SRX11149867|4T1	STRING
Tcstv3	1715.500000	1986	1701	1242	1933	0
Brox	1530.750000	2548	328	874	2373	0
Aida	1530.750000	2548	328	874	2373	0
Cldn34d	1479.000000	2483	571	791	2071	0
Tox2	559.000000	390	0	735	1111	0
Tmem125	492.000000	657	464	186	661	0
Pate1	468.250000	99	133	567	1074	0
Odf3l1	457.000000	112	149	394	1173	0
Nkap	436.500000	599	573	0	574	0
Arid3b	419.750000	220	0	561	898	0
Gm13285	333.500000	242	286	114	692	0
Gm3448	331.250000	229	171	298	627	0
Gm3417	331.250000	229	171	298	627	0
Gm13290	326.250000	223	286	104	692	0
Gm13289	326.250000	223	286	104	692	0
Zfat	325.750000	257	0	413	633	0
Tcte3	324.500000	226	147	298	627	0
Gm3435	324.500000	226	147	298	627	0
9030025P20Rik	307.750000	229	171	231	600	0
Fgr	275.250000	0	0	395	706	0
H3c15	258.000000	244	0	284	504	0
H3c14	258.000000	244	0	284	504	0
H2ac19	258.000000	244	0	284	504	0
H2ac18	258.000000	244	0	284	504	0
Gm13275	254.500000	242	201	114	461	0
Gm13287	252.000000	242	201	104	461	0
Gm13288	247.250000	223	201	104	461	0
Mllt10	239.250000	103	0	150	704	0
Taf12	237.250000	161	0	199	589	0
Bpifb3	232.750000	179	0	271	481	0
Tinagl1	231.000000	209	0	210	505	0
Gm13279	229.750000	242	160	114	403	0
Gm13278	229.750000	242	160	114	403	0
Bcl2l11	225.750000	0	0	311	592	0
Hes1	225.000000	143	0	175	582	0
Crybb1	224.750000	119	0	288	492	0
Cryba4	224.750000	119	0	288	492	0
Setd1b	223.750000	0	0	218	677	0
4930578I06Rik	221.250000	170	0	158	557	0
Tex14	215.500000	229	0	238	395	0
H4f16	209.000000	266	0	180	390	0
H2aj	209.000000	266	0	180	390	0
Fcgr3	205.750000	172	0	242	409	0
Asmt	201.500000	315	170	0	321	0
Nfkbia	197.500000	89	0	267	434	0
Klf10	186.750000	108	0	232	407	0
Gucy2g	186.750000	0	0	270	477	0
Eapp	185.250000	198	0	172	371	0
Ifi203	181.750000	0	0	259	468	0
Myc	179.000000	0	0	187	529	0
Rdm1	177.750000	113	0	129	469	0
Fam180a	176.000000	0	0	297	407	0
BC107364	175.250000	113	0	188	400	0
H3c13	173.000000	203	0	0	489	0
H2bc18	173.000000	203	0	0	489	0
Gm13272	171.750000	186	159	0	342	0
Nemf	168.750000	171	0	186	318	0
Tnfrsf12a	168.000000	121	0	134	417	0
Thoc6	168.000000	121	0	134	417	0
Hcfc1r1	168.000000	121	0	134	417	0
Cldn6	168.000000	121	0	134	417	0
Ndrg1	167.750000	145	0	151	375	0
Ifnz	166.500000	165	159	0	342	0
Nlrp4c	165.250000	0	0	269	392	0
Zfp36	164.500000	0	0	235	423	0
Tnc	163.500000	0	0	171	483	0
Atad2	163.500000	279	0	129	246	0
Ubc	161.500000	171	115	0	360	0
Ubxn2a	159.000000	0	0	209	427	0
Gm13277	158.500000	165	0	114	355	0
Hook2	158.250000	0	0	200	433	0
Sema3f	156.750000	0	0	208	419	0
Fam83a	156.500000	0	0	157	469	0
Bcl3	156.500000	0	0	196	430	0
Galnt9	156.000000	83	0	102	439	0
Rps29	155.250000	70	0	209	342	0
Esyt3	155.250000	0	0	182	439	0
Junb	154.500000	0	0	208	410	0
Spred2	153.500000	0	0	179	435	0
Mndal	153.250000	0	0	159	454	0
Ctnnb1	152.000000	174	0	127	307	0
Cd47	150.750000	0	0	181	422	0
Osmr	150.250000	0	0	286	315	0
Rbpj	147.750000	86	0	192	313	0
Sspn	147.500000	0	0	590	0	0
Slc39a13	147.250000	0	0	158	431	0
Ctcf	147.250000	122	0	155	312	0
Trib1	146.000000	0	0	249	335	0
Zfp623	145.750000	146	0	138	299	0
Acer3	145.250000	0	0	218	363	0
B4galt5	144.000000	0	0	146	430	0
Chrac1	142.500000	150	0	163	257	0
Cc2d1a	142.250000	0	0	148	421	0
4930432K21Rik	142.250000	0	0	148	421	0
Plscr2	141.750000	0	0	244	323	0
Nedd4	140.250000	124	0	172	265	0
Klf3	138.750000	84	0	170	301	0
Cyrib	138.750000	185	0	153	217	0
Cdkn2aipnl	137.000000	176	0	114	258	0
S100a10	136.750000	0	0	145	402	0
Il6ra	136.750000	0	0	198	349	0
Ccn4	135.500000	0	0	102	440	0
Rapgef3	134.750000	112	0	139	288	0
Gga1	134.750000	115	0	149	275	0
Hjurp	133.250000	145	0	131	257	0
A730008H23Rik	133.250000	145	0	131	257	0
Cp	133.000000	0	0	140	392	0
Tspan4	132.250000	0	0	131	398	0
Polr2l	132.250000	0	0	131	398	0
Trmt2a	129.500000	110	0	130	278	0
Ranbp1	129.500000	110	0	130	278	0
Zfp341	128.500000	112	0	136	266	0
Frg2f1	128.250000	122	0	115	276	0
Foxj3	128.250000	122	0	115	276	0
Cyp1b1	128.250000	0	0	171	342	0
Gse1	128.000000	0	0	150	362	0
Wnt10b	127.750000	111	0	130	270	0
Masp1	127.250000	0	0	167	342	0
Gm13276	126.750000	165	0	0	342	0
Adgrg3	126.000000	0	0	150	354	0
Raph1	123.750000	0	0	95	400	0
Ermard	123.250000	130	0	0	363	0
Bmper	123.000000	0	0	184	308	0
Sstr4	122.250000	0	0	187	302	0
1700013G24Rik	121.500000	0	0	66	420	0
Slco2a1	120.250000	0	0	151	330	0
Septin11	120.000000	0	0	143	337	0
Dph5	120.000000	0	0	140	340	0
Fyb	119.750000	0	0	97	382	0
Bhlhe40	118.750000	0	0	169	306	0
Scn5a	118.500000	0	0	140	334	0
Mmaa	118.000000	0	0	177	295	0
Col12a1	116.000000	0	0	168	296	0
Rhox2f	115.750000	0	0	153	310	0
Cav2	114.250000	0	0	154	303	0
Vmn1r60	113.000000	0	0	121	331	0
Nobox	111.750000	0	0	107	340	0
Sde2	111.250000	0	0	169	276	0
Cebpb	111.250000	101	0	92	252	0
Gtdc1	110.750000	0	0	142	301	0
H4c14	109.500000	107	0	97	234	0
Atp13a4	109.000000	82	0	113	241	0
Stag1	108.750000	78	0	130	227	0
Tbl1xr1	108.500000	0	0	100	334	0
Tlcd5	106.750000	0	0	174	253	0
Lcn2	106.750000	0	0	122	305	0
Rhox3a	106.250000	0	0	0	425	0
Rhox2a	106.250000	0	0	0	425	0
Prss22	105.500000	0	0	166	256	0
Sytl3	103.500000	0	0	0	414	0
Rhox2c	103.500000	0	0	117	297	0
Kmt2e	103.250000	0	0	104	309	0
4930564D02Rik	103.250000	0	0	0	413	0
Ncor2	103.000000	0	0	152	260	0
Prlhr	102.750000	0	0	0	411	0
Sptan1	101.750000	87	0	152	168	0
Mmp28	101.000000	0	0	141	263	0
Hspe1	100.750000	98	0	97	208	0
Hspd1	100.750000	98	0	97	208	0
Ago2	100.750000	142	0	90	171	0
Hyls1	100.500000	75	0	110	217	0
Pet117	100.000000	116	0	0	284	0
Kat14	100.000000	116	0	0	284	0
Wdsub1	99.750000	108	0	133	158	0
Tomm22	99.250000	140	0	0	257	0
Card10	99.250000	0	0	157	240	0
Ifi204	99.000000	0	0	123	273	0
Eps15	99.000000	119	0	112	165	0
Sgo2a	98.250000	0	0	146	247	0
Cdkn1a	98.250000	0	0	103	290	0
Gm4981	97.750000	193	0	0	198	0
Dnah6	97.750000	0	0	136	255	0
Asap1	97.750000	131	0	0	260	0
Hivep2	97.500000	0	0	144	246	0
Fam227b	97.500000	98	0	122	170	0
Dtwd1	97.500000	98	0	122	170	0
Socs3	96.750000	0	0	135	252	0
Tmem179	96.500000	0	0	123	263	0
Zfp292	96.250000	0	0	152	233	0
Igf2bp2	96.000000	87	0	69	228	0
Rbl1	95.500000	195	0	0	187	0
Cmpk2	95.500000	0	0	157	225	0
Phf10	95.000000	0	0	0	380	0
Tagln2	94.750000	0	0	0	379	0
Rcbtb1	94.750000	127	0	103	149	0
Prkab2	94.750000	110	0	105	164	0
Ltbr	94.250000	0	0	94	283	0
Ankrd40	94.250000	88	0	103	186	0
Cltc	94.000000	119	0	0	257	0
Cd53	93.500000	0	0	0	374	0
Nsfl1c	93.000000	0	0	140	232	0
Tyk2	92.500000	0	0	0	370	0
Nop53	92.250000	0	0	143	226	0
Cuedc1	92.250000	0	0	116	253	0
Bcl6	91.000000	0	0	90	274	0
Tmem107	90.750000	82	0	0	281	0
Gm4861	90.250000	0	0	102	259	0
Ube2q1	89.500000	0	0	147	211	0
Socs2	89.500000	0	0	0	358	0
Dab2	89.500000	0	0	123	235	0
Fibcd1	89.250000	0	0	156	201	0
Uspl1	89.000000	86	0	0	270	0
Tnfaip3	88.750000	0	0	121	234	0
Npas4	88.750000	0	0	154	201	0
Add2	88.750000	0	0	0	355	0
Pla2g6	88.500000	0	0	105	249	0
Phf20l1	87.750000	146	0	0	205	0
Scrn2	87.250000	0	0	0	349	0
Mideas	87.250000	0	0	124	225	0
Sdc4	87.000000	0	0	164	184	0
Dut	87.000000	0	0	131	217	0
Eno1	86.500000	0	0	0	346	0
Wnt7b	86.250000	0	0	130	215	0
Kmt2a	86.250000	106	0	0	239	0
H1f2	86.250000	0	0	119	226	0
Tirap	85.250000	168	0	0	173	0
H1f0	85.250000	133	0	0	208	0
Gcat	85.250000	133	0	0	208	0
Slc35g3	85.000000	103	0	86	151	0
Polr2a	85.000000	103	0	86	151	0
Nfib	85.000000	0	0	105	235	0
Ube2j2	84.750000	113	0	0	226	0
Tsen2	84.500000	0	0	96	242	0
Rara	84.500000	0	0	101	237	0
Notch2	84.500000	79	0	0	259	0
Micall1	84.000000	106	0	0	230	0
Rnf139	83.250000	0	0	107	226	0
Phlda1	83.250000	0	0	84	249	0
Cd63	82.750000	0	0	0	331	0
H2bc6	82.500000	112	0	91	127	0
H1f4	82.500000	112	0	91	127	0
Trerf1	82.000000	0	0	97	231	0
Lrrc8a	81.250000	0	0	121	204	0
Aven	80.750000	0	0	142	181	0
Arhgap26	80.750000	0	0	0	323	0
Ptpn6	80.000000	100	0	0	220	0
Olfr433	80.000000	0	0	0	320	0
Grcc10	80.000000	100	0	0	220	0
Gtf3c6	79.750000	0	0	0	319	0
Hnrnpa1	79.500000	0	0	318	0	0
Cbx5	79.500000	0	0	318	0	0
Itgb3	79.250000	0	0	0	317	0
Msantd2	79.000000	88	0	117	111	0
Atxn2l	79.000000	0	0	155	161	0
Nek6	78.750000	0	0	0	315	0
Kpna1	78.500000	0	0	201	113	0
Epc2	78.500000	0	0	123	191	0
Skil	78.000000	0	0	0	312	0
Nfkbiz	77.750000	0	0	134	177	0
Ptprr	77.500000	0	0	156	154	0
Socs5	77.250000	0	0	134	175	0
Eif4a1	77.250000	0	0	122	187	0
Zcwpw2	76.750000	115	0	72	120	0
Azi2	76.750000	115	0	72	120	0
Gm51573	76.500000	139	0	0	167	0
Dclre1b	76.500000	135	0	0	171	0
Ap4b1	76.500000	135	0	0	171	0
1810058I24Rik	76.500000	0	0	0	306	0
Irf2bpl	76.250000	0	0	0	305	0
Bmp2	76.250000	0	0	126	179	0
Il31ra	75.750000	0	0	303	0	0
H3c10	75.750000	0	0	142	161	0
H2bc14	75.750000	0	0	142	161	0
Ptgs2	75.250000	0	0	101	200	0
Ccdc124	75.250000	0	0	0	301	0
Ppia	75.000000	0	0	0	300	0
Dffb	75.000000	0	0	141	159	0
Cep104	75.000000	0	0	141	159	0
Trp53rkb	74.750000	95	0	0	204	0
Mtmr2	74.750000	0	0	107	192	0
Dapk1	74.750000	0	0	0	299	0
Zfp119a	74.500000	109	0	0	189	0
Fas	74.500000	0	0	98	200	0
Tmem95	74.250000	0	0	165	132	0
Spred1	74.250000	0	0	112	185	0
Sbno2	74.250000	0	0	0	297	0
Pparg	74.250000	0	0	0	297	0
Kctd11	74.250000	0	0	165	132	0
Tpk1	74.000000	0	0	122	174	0
Syncrip	73.750000	0	0	117	178	0
Dr1	73.500000	0	0	0	294	0
Sema3b	73.250000	114	0	0	179	0
Rbm20	73.250000	0	0	0	293	0
Dlx4	73.250000	0	0	109	184	0
Jak2	73.000000	0	0	87	205	0
Ulk2	72.750000	0	0	145	146	0
Trpm3	72.750000	0	0	89	202	0
Ncbp2	72.750000	105	0	0	186	0
Adrm1	72.750000	96	0	0	195	0
0610012G03Rik	72.750000	105	0	0	186	0
Golga7b	72.500000	0	0	0	290	0
Apcdd1	72.500000	0	0	0	290	0
Stx16	72.250000	125	0	0	164	0
Glis3	72.250000	0	0	96	193	0
Fam71f1	72.250000	0	0	0	289	0
Abhd10	72.000000	0	0	0	288	0
Tsku	71.750000	0	0	109	178	0
Mtg1	71.750000	126	0	0	161	0
Sec24b	71.500000	0	0	132	154	0
Plcb4	71.500000	0	0	0	286	0
Syne3	71.250000	0	0	0	285	0
Sirt4	71.250000	100	0	0	185	0
Pole3	71.250000	109	0	0	176	0
H4c8	71.250000	0	0	120	165	0
H3c8	71.250000	0	0	120	165	0
H2ac10	71.250000	0	0	120	165	0
Alad	71.250000	109	0	0	176	0
Ahnak2	71.250000	0	0	0	285	0
Vmn1r61	71.000000	0	0	110	174	0
Usp3	71.000000	92	0	89	103	0
Ski	71.000000	0	0	0	284	0
Eepd1	71.000000	0	0	0	284	0
Bhlhe41	71.000000	0	0	129	155	0
Vmn2r85	70.750000	0	0	0	283	0
Ap1g1	70.750000	124	0	0	159	0
Eya1	70.250000	0	0	0	281	0
Bcl9l	70.250000	0	0	127	154	0
Crebzf	70.000000	109	0	0	171	0
Sav1	69.500000	0	0	0	278	0
H2bc4	69.500000	0	0	149	129	0
H2ac6	69.500000	0	0	149	129	0
Smim14	69.250000	0	0	134	143	0
H4c18	68.750000	94	0	0	181	0
H4bc24	68.750000	94	0	0	181	0
H2bc23	68.750000	94	0	0	181	0
H2ac24	68.750000	94	0	0	181	0
H2ac23	68.750000	94	0	0	181	0
Errfi1	68.250000	102	0	0	171	0
Zc3h6	68.000000	0	0	180	92	0
Cspg4	67.750000	0	0	105	166	0
Gm33887	67.500000	0	0	0	270	0
Poldip3	67.250000	0	0	0	269	0
Tfdp2	65.250000	0	0	124	137	0
Srpr	65.250000	93	0	0	168	0
Foxred1	65.250000	93	0	0	168	0
Rps20	64.750000	127	0	0	132	0
Plod2	64.750000	117	0	0	142	0
Zfp148	64.500000	86	0	0	172	0
Osbpl9	64.500000	0	0	77	181	0
Cxcl5	64.500000	0	0	0	258	0
St3gal4	64.250000	0	0	90	167	0
Rai14	64.000000	0	0	0	256	0
Hdgf	64.000000	92	0	0	164	0
Dpp9	64.000000	115	0	0	141	0
Cblb	64.000000	106	0	0	150	0
Zc3h12a	63.500000	0	0	0	254	0
Itpripl1	63.500000	0	0	0	254	0
Calm1	63.500000	128	0	0	126	0
Rgl2	63.250000	0	0	105	148	0
Lrrc58	63.250000	92	0	0	161	0
Ccl20	63.250000	0	0	0	253	0
Vti1b	62.750000	97	0	0	154	0
Psmd3	62.750000	76	0	0	175	0
Ssrp1	62.500000	141	0	0	109	0
Ptms	62.500000	0	0	106	144	0
P2rx3	62.500000	141	0	0	109	0
Itgb2	62.500000	0	0	0	250	0
Ets1	62.250000	0	0	110	139	0
Stk38l	62.000000	105	0	0	143	0
Rnf220	62.000000	99	0	0	149	0
Mob4	62.000000	0	0	123	125	0
Src	61.750000	0	0	0	247	0
Pofut1	61.750000	93	0	0	154	0
Plagl2	61.750000	93	0	0	154	0
Rpia	61.250000	95	0	0	150	0
Gorasp2	61.250000	82	0	0	163	0
Rbm15b	61.000000	0	0	86	158	0
Manf	61.000000	0	0	86	158	0
Cnot10	61.000000	118	0	0	126	0
Tigit	60.750000	0	0	0	243	0
Mrpl30	60.750000	137	0	0	106	0
Mitd1	60.750000	137	0	0	106	0
Gpa33	60.750000	0	0	0	243	0
Furin	60.750000	0	0	0	243	0
Dusp27	60.750000	0	0	0	243	0
Dnaic2	60.750000	0	0	0	243	0
Nol12	60.500000	110	0	0	132	0
Spen	60.250000	0	0	0	241	0
Cdc42bpb	60.250000	0	0	110	131	0
Rbck1	60.000000	0	0	95	145	0
Fblim1	60.000000	0	0	0	240	0
Spsb4	59.750000	0	0	79	160	0
Gmeb2	59.750000	125	0	0	114	0
Klhl9	59.500000	0	0	0	238	0
Bmpr1a	59.500000	88	0	0	150	0
Arntl	59.500000	0	0	92	146	0
Acvr2b	59.500000	0	0	94	144	0
Usp4	59.250000	0	0	0	237	0
Pik3r1	59.250000	0	0	0	237	0
Myo5a	59.250000	70	0	0	167	0
Lgals1	59.250000	0	0	0	237	0
Gas7	59.250000	0	0	0	237	0
Dhx30	59.250000	0	0	78	159	0
Ppl	59.000000	0	0	0	236	0
Ctnna1	59.000000	0	0	113	123	0
Tead4	58.750000	0	0	0	235	0
Mtmr14	58.500000	0	0	114	120	0
H4c9	58.250000	104	0	0	129	0
H2bc11	58.250000	104	0	0	129	0
H2ac11	58.250000	104	0	0	129	0
Tob1	58.000000	120	0	0	112	0
Tfrc	58.000000	81	0	0	151	0
Sfi1	58.000000	93	0	0	139	0
Vmn1r21	57.750000	0	0	0	231	0
Usp17le	57.750000	0	0	0	231	0
Slbp	57.750000	0	0	91	140	0
Pip4p2	57.750000	0	0	0	231	0
Msl1	57.250000	0	0	85	144	0
Sqstm1	57.000000	0	0	0	228	0
Angptl4	57.000000	0	0	0	228	0
Rbm12b1	56.750000	0	0	0	227	0
Nfe2l2	56.750000	0	0	0	227	0
Cdc42ep1	56.750000	0	0	80	147	0
Nras	56.500000	0	0	104	122	0
Epn1	56.500000	0	0	113	113	0
8030462N17Rik	56.500000	0	0	0	226	0
Fscn1	56.250000	0	0	0	225	0
Arid5b	56.250000	0	0	0	225	0
Mylk3	56.000000	0	0	0	224	0
Klf4	56.000000	87	0	0	137	0
Gsg1	56.000000	0	0	0	224	0
Cep63	56.000000	0	0	0	224	0
Anapc13	56.000000	0	0	0	224	0
Mtbp	55.750000	0	0	0	223	0
Mrpl13	55.750000	0	0	0	223	0
Esyt2	55.750000	0	0	75	148	0
Hsp90aa1	55.500000	74	0	0	148	0
Gjb4	55.500000	0	0	94	128	0
Efcab5	55.500000	0	0	0	222	0
Dus2	55.500000	0	0	0	222	0
Ddx28	55.500000	0	0	0	222	0
Samd1	55.250000	94	0	0	127	0
Niban2	55.250000	0	0	0	221	0
Ext1	55.250000	0	0	0	221	0
Eif2s1	55.250000	91	0	0	130	0
Atp6v1d	55.250000	91	0	0	130	0
1700067K01Rik	55.250000	94	0	0	127	0
Dhrs13	55.000000	0	0	0	220	0
Zfp36l1	54.250000	0	0	0	217	0
Sh3kbp1	54.250000	0	0	0	217	0
Pi16	54.250000	0	0	0	217	0
Gm20346	54.250000	0	0	96	121	0
Endod1	54.250000	0	0	117	100	0
Cobll1	54.250000	0	0	97	120	0
Anp32a	54.250000	0	0	96	121	0
Adgre5	54.250000	0	0	0	217	0
Actr3	54.250000	0	0	0	217	0
Zfp287	54.000000	0	0	0	216	0
Pdss1	54.000000	0	0	75	141	0
Pcif1	54.000000	0	0	77	139	0
H4c11	54.000000	0	0	0	216	0
Slc30a4	53.750000	0	0	0	215	0
Scap	53.750000	63	0	0	152	0
Nr1d1	53.750000	0	0	0	215	0
Atf3	53.750000	0	0	0	215	0
Zcchc14	53.500000	0	0	123	91	0
Rhbdf2	53.500000	0	0	0	214	0
Nrf1	53.500000	0	0	129	85	0
Echdc3	53.500000	0	0	0	214	0
Uchl5	53.250000	0	0	0	213	0
Ro60	53.250000	0	0	0	213	0
Irf1	53.250000	0	0	88	125	0
Ep400	53.250000	0	0	0	213	0
C77080	53.250000	0	0	0	213	0
Aaas	53.250000	0	0	0	213	0
Shld2	53.000000	0	0	0	212	0
Glud1	53.000000	0	0	0	212	0
Cd93	53.000000	0	0	0	212	0
Arf6	53.000000	0	0	0	212	0
Sgk2	52.750000	0	0	0	211	0
Pnrc1	52.750000	0	0	0	211	0
Phospho1	52.750000	0	0	0	211	0
Klf11	52.750000	94	0	0	117	0
Galnt15	52.750000	0	0	0	211	0
Zfp282	52.000000	0	0	67	141	0
Nfat5	52.000000	0	0	0	208	0
Marchf7	52.000000	0	0	0	208	0
Jdp2	52.000000	0	0	112	96	0
Has2	52.000000	0	0	0	208	0
Ccdc88a	52.000000	98	0	0	110	0
Ahnak	51.750000	0	0	0	207	0
Trim65	51.500000	0	0	0	206	0
Rgs2	51.500000	0	0	0	206	0
Oaf	51.500000	0	0	0	206	0
Ier3	51.500000	0	0	0	206	0
Flot1	51.500000	0	0	0	206	0
Dock1	51.500000	0	0	0	206	0
Aplp2	51.500000	98	0	0	108	0
Map4	51.250000	0	0	120	85	0
Ibsp	51.250000	0	0	0	205	0
Foxd4	51.250000	0	0	205	0	0
Arl4c	51.250000	0	0	95	110	0
Ocstamp	51.000000	0	0	0	204	0
Zfand3	50.750000	0	0	0	203	0
Secisbp2	50.500000	0	0	0	202	0
Ctsl	50.500000	0	0	0	202	0
Clcf1	50.500000	0	0	0	202	0
Taf4	50.250000	0	0	112	89	0
Rab33b	50.250000	0	0	0	201	0
Odc1	50.250000	95	0	0	106	0
Nol4l	50.250000	0	0	201	0	0
Eps8	50.250000	0	0	86	115	0
Dcaf10	50.250000	0	0	0	201	0
Btbd8	50.250000	0	0	0	201	0
Lamp1	50.000000	0	0	0	200	0
Tac4	49.750000	0	0	0	199	0
Klhdc8b	49.750000	86	0	0	113	0
Faf1	49.750000	0	0	0	199	0
Ccdc71	49.750000	86	0	0	113	0
