Target_genes	Arnt|Average	SRX6386420|4T1	SRX6386421|4T1	SRX6386422|4T1	SRX6386423|4T1	SRX8844237|EpiSC	SRX8844238|EpiSC	SRX8844239|EpiSC	SRX8844240|EpiSC	SRX6386412|ES_cells	SRX6386413|ES_cells	SRX6386414|ES_cells	SRX6386415|ES_cells	SRX6386416|ES_cells	SRX6386417|ES_cells	SRX6386418|ES_cells	SRX6386419|ES_cells	STRING
Pgam1	1825.187500	2731	2619	2905	3167	0	0	0	0	1342	1926	3023	2652	1720	2150	2643	2325	0
Eno1	1739.125000	2482	2283	2805	2936	0	0	0	0	1622	1807	2990	2515	1971	2016	2184	2215	0
P4ha1	1679.562500	2771	2828	2637	2552	0	240	0	0	1134	1695	3072	2461	1566	1782	2052	2083	0
Fam162a	1670.750000	2629	2497	2757	2714	0	0	0	0	1479	1479	2746	2373	1793	1821	2336	2108	0
Ccdc58	1670.750000	2629	2497	2757	2714	0	0	0	0	1479	1479	2746	2373	1793	1821	2336	2108	0
Gpi1	1664.250000	2489	2335	2431	2503	0	85	0	0	1446	2030	2676	2386	1923	1833	2366	2125	0
Seh1l	1591.062500	2473	2596	2449	2099	0	0	0	0	1248	1670	2611	2414	1728	1799	2204	2166	0
Bnip3	1577.312500	2580	2463	2713	2689	0	0	0	0	1264	1559	2589	2228	1678	1652	1813	2009	0
Pgk1	1566.625000	2435	2420	2285	2314	0	0	0	0	535	973	1705	1437	2554	2604	2900	2904	0
Aldoa	1515.312500	1953	2322	1981	1708	0	0	0	0	1319	1637	2376	2228	1873	1896	2366	2586	0
Pdk1	1510.625000	2616	2636	2938	3052	0	0	0	0	795	1215	2445	1852	1647	1486	1542	1946	0
Kdm3a	1505.812500	2541	2555	2339	2247	0	0	0	0	1248	1577	2473	2015	1549	1628	1922	1999	0
Tcstv3	1459.187500	1372	1455	823	495	1761	1640	1540	1521	1279	1339	1134	1437	1851	1938	1823	1939	0
Pfkl	1436.937500	2318	2680	2204	2093	0	0	0	0	864	1477	2434	1866	1245	1759	2006	2045	0
Alkbh5	1356.000000	2270	2158	2369	2286	0	141	0	0	892	1305	2206	1870	1464	1368	1555	1812	0
Ldha	1319.875000	2502	2451	2275	2138	0	0	0	0	819	1320	2251	1507	1184	1276	1720	1675	0
1600014C23Rik	1308.000000	1264	2008	1142	1108	0	0	0	0	1691	1951	2437	2567	1420	1618	1842	1880	0
Ankrd37	1295.187500	2405	2504	2472	2434	0	96	0	0	671	959	1402	1308	1416	1520	1665	1871	0
Gm45521	1272.562500	2126	2524	1935	1970	0	0	0	0	890	1342	1897	1575	1454	1513	1440	1695	0
Plod2	1270.125000	2615	2613	2541	2468	0	0	0	0	637	929	2002	1449	1054	957	1571	1486	0
Higd1a	1264.187500	2389	2545	2581	2635	0	0	0	0	638	1029	2270	1396	1035	1124	1158	1427	0
Pfkfb3	1229.437500	1320	1742	1226	1120	0	0	0	0	895	1550	2468	2176	1765	1705	1846	1858	0
Pgm1	1201.562500	2394	2517	2258	2147	0	0	0	0	574	902	1861	1618	1006	1113	1272	1563	0
Kdm5b	1178.562500	1966	2497	1941	1606	0	0	0	0	721	1015	2091	1731	1281	1160	1257	1591	0
Unc13a	1140.125000	2381	2384	2499	2611	0	0	0	0	464	585	1225	761	1212	1305	1512	1303	0
Adm	1133.812500	2344	2477	2444	2406	0	0	0	0	399	510	1006	1168	1302	1342	1336	1407	0
Rnf19a	1131.687500	2429	2594	2214	2276	0	0	0	0	458	846	1262	1115	1263	1113	1250	1287	0
Brox	1112.500000	2786	2624	2401	1472	1170	1075	848	982	270	730	1311	761	268	431	312	359	0
Aida	1112.500000	2786	2624	2401	1472	1170	1075	848	982	270	730	1311	761	268	431	312	359	0
Ier3	1096.250000	2306	2194	2233	2347	0	0	0	0	554	580	1008	836	1020	1040	1831	1591	0
Flot1	1096.250000	2306	2194	2233	2347	0	0	0	0	554	580	1008	836	1020	1040	1831	1591	0
Egln1	1090.625000	2359	2497	2283	2182	0	0	0	0	321	765	1672	1322	757	854	1085	1353	0
Ero1a	1073.562500	2352	2238	2278	2363	0	0	0	0	592	647	1381	801	889	948	1440	1248	0
Kmt2e	1057.875000	2080	2350	2154	1840	0	0	0	0	523	820	1404	1314	995	1047	1178	1221	0
Bsg	1046.750000	2267	2394	2407	2130	0	0	0	0	351	633	1137	967	921	907	1225	1409	0
P4ha2	1030.937500	2205	2642	1998	1770	0	0	0	0	560	770	1249	1080	684	856	1295	1386	0
Gbe1	1022.250000	2105	2141	2018	2094	0	0	0	0	447	675	1048	976	1035	1128	1336	1353	0
Bnip3l	1000.875000	2160	2401	2352	2059	0	0	0	0	439	640	1649	974	729	817	792	1002	0
Clcn3	999.187500	2121	2585	1988	1814	0	0	0	0	636	471	1252	1095	918	747	1320	1040	0
Rsbn1	986.375000	2573	2726	2411	2178	0	0	0	0	402	523	1036	682	598	887	890	876	0
Pkm	982.625000	1717	1952	1600	1441	0	0	0	0	579	858	1742	1154	1027	1119	1177	1356	0
Slc16a3	974.937500	0	0	0	0	0	0	0	0	1203	1618	2958	2410	1711	1678	1869	2152	0
Tpgs1	972.062500	0	0	0	0	0	0	0	0	1291	1428	2513	2109	1694	1832	2189	2497	0
Lactbl1	944.000000	0	0	0	0	0	0	0	0	1163	1480	2217	2063	1889	1772	2228	2292	0
Ruvbl2	929.250000	2201	2587	2206	2050	0	0	0	0	274	485	1037	794	724	605	1059	846	0
Gys1	929.250000	2201	2587	2206	2050	0	0	0	0	274	485	1037	794	724	605	1059	846	0
