Target_genes	Atf2|Average	SRX515669|3T3-L1	SRX520192|3T3-L1	STRING
Tas2r143	1485.500000	1927	1044	0
Creb5	1469.000000	2180	758	0
Mrpl16	1373.500000	1948	799	0
Cic	1294.500000	1889	700	0
Rpl26	1233.500000	1587	880	0
Kctd5	1202.000000	1585	819	0
Ppp1r11	1189.000000	1592	786	0
Dusp16	1178.000000	1804	552	0
Tcstv3	1160.000000	2023	297	0
Shcbp1	1155.000000	1416	894	0
Jun	1153.500000	1614	693	401
Rab30	1129.000000	1683	575	0
Znrf4	1063.500000	1489	638	0
Actr1b	1039.000000	1658	420	0
4933424G06Rik	1039.000000	1658	420	0
Rad23a	1024.500000	1563	486	0
Ppp2r5b	1022.000000	1633	411	0
Trip6	992.500000	1401	584	0
Dhrs7b	937.000000	1402	472	0
Gng7	924.000000	1324	524	0
Crebzf	881.500000	1269	494	0
Iqcn	865.500000	487	1244	0
Mideas	852.500000	1218	487	0
Rhbdf2	822.000000	1300	344	0
Txnl4b	813.500000	970	657	0
Dhx38	813.500000	970	657	0
Clcn3	812.000000	788	836	0
Stk38l	808.500000	742	875	0
Ube2h	800.500000	784	817	0
Ubn2	799.000000	1086	512	0
Senp2	787.500000	1059	516	0
Dusp10	784.500000	1197	372	0
1700056E22Rik	784.500000	1197	372	0
Rpp38	775.500000	942	609	0
Acbd7	775.500000	942	609	0
Zfp869	770.500000	982	559	0
D8Ertd738e	760.500000	1204	317	0
Znrd1as	751.000000	768	734	0
Znrd1	751.000000	768	734	0
Postn	734.000000	996	472	0
Braf	729.000000	387	1071	0
Jund	722.500000	201	1244	0
Pdcl3	713.000000	841	585	0
Rbm28	700.000000	976	424	0
Kmt2e	699.000000	747	651	0
Zc3h4	697.500000	897	498	0
Slc25a25	696.000000	1036	356	0
Limk1	690.500000	835	546	0
Tecpr2	686.500000	1010	363	0
Cinp	686.500000	1010	363	0
Amn1	683.000000	991	375	0
Slc35a4	678.000000	727	629	0
Apbb3	678.000000	727	629	0
Timm22	673.500000	499	848	0
Xkr6	667.500000	938	397	0
Ing4	665.500000	811	520	0
Zfp335	664.000000	451	877	0
Capn2	660.500000	1043	278	0
Zfp457	659.500000	942	377	0
Mxd1	657.500000	556	759	0
Bsdc1	655.000000	897	413	0
Daam1	653.500000	1021	286	0
Galk2	644.000000	928	360	0
Cops2	644.000000	928	360	0
Adamts1	643.000000	1028	258	0
Zfp874a	641.500000	872	411	0
Ubb	635.000000	857	413	0
Zfp458	634.000000	1069	199	0
Ctnnd1	628.500000	998	259	0
Clcn4	628.500000	876	381	0
Fam53c	623.500000	848	399	0
Ammecr1l	623.500000	980	267	0
Ing3	621.500000	550	693	0
Rpl9	620.000000	744	496	0
Lias	620.000000	744	496	0
Napa	619.000000	1007	231	0
Krt80	619.000000	806	432	0
Coq7	619.000000	718	520	0
Tubb5	615.000000	905	325	0
Mdc1	615.000000	905	325	0
Foxo3	610.500000	794	427	0
Rnf44	608.500000	645	572	0
Zfp493	607.500000	944	271	0
Kif5a	607.500000	1039	176	0
Dctn2	607.500000	1039	176	0
Zp3	602.500000	1205	0	0
Ensa	598.500000	1058	139	0
Tcaf1	595.500000	935	256	0
Flrt3	591.500000	803	380	0
Ppan	585.500000	722	449	0
