Target_genes	Atf4|Average	SRX6061887|Bone_Marrow_Cells	SRX122493|Dendritic_Cells	SRX122494|Dendritic_Cells	SRX247303|Dermal_fibroblasts	SRX7584820|G1E-ER4+E2	SRX7584821|G1E-ER4+E2	SRX7584823|G1E-ER4+E2	SRX7584824|G1E-ER4+E2	SRX10073412|MEF	SRX10073413|MEF	SRX10073414|MEF	SRX10073415|MEF	SRX119352|MEF	SRX119353|MEF	SRX1437953|MEF	SRX18171659|Neurons	SRX18171663|Neurons	SRX18171667|Neurons	SRX18171669|Neurons	SRX18171671|Neurons	SRX18171673|Neurons	SRX7106909|Unclassified	SRX7106910|Unclassified	SRX7106911|Unclassified	SRX7106913|Unclassified	SRX7106914|Unclassified	SRX7106915|Unclassified	STRING
Brox	971.481481	2419	406	0	407	1573	1289	1003	1342	1307	1410	1374	1031	1243	593	123	1002	853	543	3183	790	744	426	645	771	473	674	606	0
Aida	971.481481	2419	406	0	407	1573	1289	1003	1342	1307	1410	1374	1031	1243	593	123	1002	853	543	3183	790	744	426	645	771	473	674	606	0
Cldn34d	889.259259	1547	293	205	530	1638	1314	1071	1467	0	0	0	0	1174	598	601	1158	1052	803	3254	1077	919	617	1002	1040	612	1038	1000	0
Ddx19b	420.851852	0	0	337	0	1973	1264	1135	1300	293	571	0	0	1657	0	0	843	678	342	0	374	0	0	0	0	100	267	229	0
Aars	420.851852	0	0	337	0	1973	1264	1135	1300	293	571	0	0	1657	0	0	843	678	342	0	374	0	0	0	0	100	267	229	0
Kpna1	419.925926	0	182	0	485	1064	1390	911	1552	0	0	0	0	778	779	163	320	202	237	0	361	182	314	534	409	306	633	536	0
Atf5	346.703704	0	0	0	0	1320	971	763	774	512	1019	230	231	1516	0	0	623	440	317	0	306	0	0	0	0	0	151	188	331
Nup62	346.703704	0	0	0	0	1320	971	763	774	512	1019	230	231	1516	0	0	623	440	317	0	306	0	0	0	0	0	151	188	0
Il4i1b	346.703704	0	0	0	0	1320	971	763	774	512	1019	230	231	1516	0	0	623	440	317	0	306	0	0	0	0	0	151	188	0
Asns	341.814815	0	0	0	541	1429	933	695	760	488	1095	120	0	1507	0	0	526	492	153	0	208	0	0	0	0	0	150	132	459
Iars	330.925926	0	0	645	0	1402	1139	584	855	164	491	0	0	1490	0	0	751	788	251	0	375	0	0	0	0	0	0	0	0
Shmt2	326.111111	0	0	0	0	1676	1134	756	856	349	777	0	0	1614	0	0	598	516	193	0	336	0	0	0	0	0	0	0	0
Yars	319.074074	0	0	413	222	1097	789	526	595	302	784	128	0	1741	0	0	551	431	182	0	211	0	0	119	0	90	251	183	0
S100pbp	319.074074	0	0	413	222	1097	789	526	595	302	784	128	0	1741	0	0	551	431	182	0	211	0	0	119	0	90	251	183	0
Ppp1r15b	314.222222	0	0	246	136	1352	864	712	690	0	295	0	0	1481	0	0	859	699	272	0	423	0	0	0	0	95	200	160	0
Chac1	303.518519	0	0	518	534	0	0	0	0	717	1411	239	110	1404	0	168	845	681	402	0	460	0	0	0	0	132	294	280	0
Oasl1	292.000000	0	0	137	651	502	589	387	609	0	0	0	0	711	600	446	0	0	0	0	0	173	457	520	463	503	597	539	0
