Target_genes	Atf7|Average	SRX520193|3T3-L1	SRX5088371|Testicular_germ_cells	SRX5088372|Testicular_germ_cells	SRX5088373|Testicular_germ_cells	SRX5088374|Testicular_germ_cells	SRX5088375|Testicular_germ_cells	SRX5088376|Testicular_germ_cells	SRX5088377|Testicular_germ_cells	SRX5088378|Testicular_germ_cells	DRX230417|Testis	DRX230418|Testis	DRX230419|Testis	DRX230420|Testis	DRX230421|Testis	DRX230422|Testis	DRX230423|Testis	DRX230424|Testis	DRX230425|Testis	STRING
Jund	1264.777778	755	888	561	0	0	390	1007	0	0	0	0	0	2835	3287	3120	3130	3406	3387	0
Iqcn	1264.777778	755	888	561	0	0	390	1007	0	0	0	0	0	2835	3287	3120	3130	3406	3387	0
Dusp8	1022.111111	0	324	578	0	0	140	707	0	0	0	0	0	2496	2942	2695	2750	2782	2984	0
Dynll2	919.722222	0	0	0	0	0	0	421	0	0	130	0	104	2430	2927	2432	2637	2587	2887	0
Dynll1	913.222222	0	0	0	0	0	0	709	0	0	0	0	0	2434	2947	2740	2701	2351	2556	0
Zbtb21	910.777778	468	229	162	0	0	0	250	0	0	88	168	155	2282	2721	2544	2715	2346	2266	0
Kmt2e	856.888889	383	147	0	0	0	0	0	0	0	0	118	132	2499	2797	2429	2418	2222	2279	0
Jun	817.055556	270	378	200	0	0	0	293	0	0	0	0	0	2462	2518	2339	2480	1721	2046	0
Ywhah	798.277778	178	140	0	0	0	0	383	0	0	0	0	74	2257	2593	2154	2458	2014	2118	0
Heca	793.888889	164	163	152	0	0	0	225	0	0	0	0	110	2375	2519	2364	2420	1817	1981	0
Tmem125	776.555556	190	934	508	102	0	417	653	0	209	1292	1611	1582	940	982	1145	1084	958	1371	0
Pdap1	774.166667	218	190	0	0	0	0	180	0	0	129	0	104	2408	2469	2402	2618	1430	1787	0
Bud31	774.166667	218	190	0	0	0	0	180	0	0	129	0	104	2408	2469	2402	2618	1430	1787	0
Ube2h	754.833333	467	0	0	0	0	0	0	0	0	125	0	100	2217	2480	2066	2478	1756	1898	0
Nf1	729.444444	212	228	0	0	0	0	265	0	0	125	98	147	1797	2416	1743	2124	1968	2007	0
Sik1	716.111111	0	286	214	0	0	0	369	0	0	0	0	75	1810	2308	1954	2226	1877	1771	0
Znrf4	714.555556	376	0	0	0	0	0	234	0	0	0	0	0	2424	2535	2192	2160	1349	1592	0
Rpp38	705.666667	222	155	0	0	0	0	0	0	0	132	0	198	1871	2419	2128	2220	1548	1809	0
Acbd7	705.666667	222	155	0	0	0	0	0	0	0	132	0	198	1871	2419	2128	2220	1548	1809	0
Tead1	692.277778	0	174	174	0	0	0	468	0	0	0	0	93	1928	2370	2010	1882	1604	1758	0
Map4	688.000000	0	155	0	0	0	0	182	0	0	90	0	131	1990	2105	2005	2114	1788	1824	0
Wdr82	686.944444	0	0	0	0	0	0	313	0	0	0	0	0	1962	2142	1779	2228	1855	2086	0
Zfp687	685.722222	102	92	0	0	0	0	133	0	0	0	0	0	2082	2383	1941	2357	1663	1590	0
Btg2	684.500000	317	0	0	0	0	0	156	0	0	0	0	0	1713	2126	1959	2091	1996	1963	0
Usp22	635.388889	162	196	0	0	0	0	88	0	0	74	0	140	1604	1993	1797	1949	1729	1705	0
Cic	634.166667	589	0	0	0	0	0	0	0	0	0	0	0	2039	2206	1915	2068	1250	1348	0
Ppp2r2d	623.833333	188	214	188	0	0	0	378	0	0	0	77	128	1611	1644	1776	1875	1606	1544	0
Mapk1ip1	623.833333	188	214	188	0	0	0	378	0	0	0	77	128	1611	1644	1776	1875	1606	1544	0
Dennd5a	622.666667	0	192	0	0	0	0	255	0	0	0	98	0	1709	2084	1785	1833	1595	1657	0
Zfp438	621.111111	247	176	0	0	0	0	292	0	0	97	98	105	1766	2068	1654	1894	1435	1348	0
Rassf1	619.000000	0	0	0	0	0	0	254	0	0	0	0	0	1818	2034	1642	1848	1744	1802	0
Pik3ip1	618.444444	0	0	0	0	0	0	134	0	0	85	0	123	1783	1977	1751	1848	1695	1736	0
Atxn7	613.222222	162	0	256	0	0	0	225	0	0	102	95	159	1780	1852	1492	1705	1532	1678	0
Casc3	612.000000	223	0	0	0	0	0	0	0	0	164	123	98	1576	2098	1764	1930	1535	1505	0
Ptprs	609.555556	0	198	161	0	0	0	377	0	0	0	0	0	1680	2006	1606	1807	1674	1463	0
Rab30	602.555556	400	0	0	0	0	0	0	0	0	0	104	0	1938	2211	1933	2139	952	1169	0
Ensa	600.944444	122	0	0	0	0	0	0	0	0	0	0	0	2357	2115	1868	2163	893	1299	0
AW549877	600.888889	141	0	0	0	0	0	0	0	0	136	163	122	1586	2002	1689	2074	1310	1593	0
Nr1d2	600.111111	0	0	0	0	0	0	239	0	0	85	0	121	1549	1966	1677	1906	1611	1648	0
Tiprl	595.388889	264	125	0	0	0	0	0	0	0	155	127	112	1780	1812	1674	2003	1222	1443	0
Sfi1	588.500000	148	356	153	0	0	0	502	0	0	1546	1315	2133	319	727	556	509	1110	1219	0
Zfp706	582.055556	0	203	0	0	0	0	157	0	0	113	135	118	1693	1995	1763	1929	1210	1161	0
Arhgap26	580.777778	142	0	0	0	0	0	0	0	0	0	85	101	1572	1912	1602	1867	1605	1568	0
Klhl12	578.444444	144	152	0	0	0	0	146	0	0	103	80	0	1666	1786	1582	1982	1297	1474	0
Ppm1a	577.055556	0	166	0	0	0	0	293	0	0	109	0	0	1571	1711	1592	1936	1625	1384	0
Tmem198	571.111111	538	0	0	0	0	0	0	0	0	0	0	0	1728	2231	1467	1700	1282	1334	0
Chpf	571.111111	538	0	0	0	0	0	0	0	0	0	0	0	1728	2231	1467	1700	1282	1334	0
Btaf1	570.277778	240	0	0	0	0	0	123	0	0	212	143	256	1440	1825	1611	1787	1371	1257	0
Herpud1	569.833333	177	146	0	0	0	0	157	0	0	0	0	110	1658	2040	1366	1733	1420	1450	0
Trappc1	566.833333	126	0	0	0	0	0	0	0	0	0	0	0	1564	1784	1893	1924	1495	1417	0
Kcnab3	566.833333	126	0	0	0	0	0	0	0	0	0	0	0	1564	1784	1893	1924	1495	1417	0
Cntrob	566.833333	126	0	0	0	0	0	0	0	0	0	0	0	1564	1784	1893	1924	1495	1417	0
Bcas2	563.500000	194	0	0	0	0	0	0	0	0	128	246	0	1706	1806	1641	1916	1082	1424	0
Mxd1	562.888889	310	0	0	0	0	0	149	0	0	103	99	127	1476	1679	1527	1667	1317	1678	0
