Target_genes	Bach2|Average	SRX264235|CD4+_T_cells	SRX761324|CD4+_T_cells	SRX761325|CD4+_T_cells	SRX5396196|Lymph_Nodes	SRX5396197|Lymph_Nodes	SRX1629385|M1	SRX2200545|Pro-B_cells	SRX2200546|Pro-B_cells	STRING
Gclc	2161.250000	2311	3196	1737	1587	1831	1392	2694	2542	0
Gclm	1943.000000	2759	2485	403	1188	1222	1958	2714	2815	0
Blmh	1824.750000	2708	3031	1828	280	383	903	2768	2697	0
Gpi1	1626.625000	2095	2769	1183	711	863	831	2383	2178	0
Pla2g6	1562.750000	2218	2321	735	675	869	1208	2431	2045	0
Lrp8	1486.250000	2043	2044	514	628	689	838	2502	2632	0
Ccl1	1335.625000	1695	1036	253	0	165	1809	2863	2864	0
Cldn34d	1305.625000	582	675	842	2200	2348	1389	1155	1254	0
Srxn1	1301.625000	1495	2345	442	170	260	533	2743	2425	0
Adrm1	1296.000000	2743	2791	1326	335	416	323	1330	1104	0
Rheb	1279.875000	1771	1730	416	924	1334	370	1965	1729	0
Prdx1	1247.750000	1601	2062	546	365	541	1040	1937	1890	0
Slc48a1	1223.500000	1491	775	149	0	183	2036	2583	2571	0
Midn	1206.375000	2153	2671	1201	0	0	561	1737	1328	0
Cltc	1197.125000	1896	2297	555	273	362	822	1844	1528	0
Txnrd1	1145.500000	1914	920	127	490	529	1117	2239	1828	0
Brox	1131.500000	624	570	601	2835	2128	684	702	908	0
Aida	1131.500000	624	570	601	2835	2128	684	702	908	0
Tcstv3	1106.250000	1679	1171	1472	0	0	327	2123	2078	0
Cd276	1063.375000	1486	0	0	0	0	1951	2602	2468	0
Fth1	1039.000000	384	183	354	0	0	2313	2438	2640	0
H2-DMa	1031.875000	1818	2089	1393	181	515	247	1135	877	0
Brd2	1031.875000	1818	2089	1393	181	515	247	1135	877	0
Ankrd55	1029.250000	1153	594	174	0	220	1155	2793	2145	0
Kbtbd7	1025.375000	2160	1613	144	183	139	0	2038	1926	0
Ptges3	1014.375000	1907	1915	711	735	740	156	862	1089	0
Snrpc	1003.375000	1760	610	0	220	375	618	2639	1805	0
Tcp11	980.125000	2054	411	154	365	385	0	2361	2111	0
Txlnb	960.000000	2097	334	0	0	0	482	2523	2244	0
Ube2v1	958.750000	732	1005	277	282	453	816	2219	1886	0
Npas4	956.750000	1615	0	0	0	0	430	3010	2599	0
Mafg	938.500000	813	2018	629	209	227	609	1593	1410	0
Zfp652	928.500000	1657	833	0	0	0	0	2640	2298	0
Sod2	913.875000	598	443	138	0	0	1237	2555	2340	0
Slc39a4	905.125000	1951	541	0	301	406	409	1867	1766	0
Glipr1	903.625000	777	0	0	0	0	1593	2459	2400	0
Pak6	896.125000	1340	447	164	514	811	448	1797	1648	0
Mpp4	877.625000	1118	211	0	0	167	0	2854	2671	0
Hacd4	870.250000	185	0	0	0	0	1085	2975	2717	0
C77080	858.250000	927	361	0	216	203	836	2228	2095	0
Psmd1	851.375000	1630	1972	650	0	0	185	1436	938	0
4930503B20Rik	849.375000	1560	777	131	0	175	1350	1743	1059	0
Uck2	845.125000	375	108	114	0	0	1409	2465	2290	0
Hmox1	843.000000	661	289	0	0	0	1004	2487	2303	0
Crem	841.875000	1526	575	138	194	239	97	2169	1797	0
Ly96	836.125000	966	529	0	0	117	803	2445	1829	0
Psma3	834.375000	1409	1933	581	181	299	170	1214	888	0
Armc7	831.625000	1764	356	0	0	0	741	2088	1704	0
Rspo1	823.000000	0	0	0	0	0	921	2831	2832	0
Psap	816.000000	1335	1644	459	303	380	279	1163	965	0
Slc39a13	811.000000	1293	1011	234	90	177	455	1804	1424	0
Epb41l1	810.125000	1665	1083	526	193	204	490	1193	1127	0
Gtf2a1	806.625000	1662	1743	447	136	215	302	1176	772	0
Arid3b	798.625000	541	201	0	0	215	1306	2218	1908	0
Mafk	793.875000	1732	140	230	0	0	0	2204	2045	0
Il12rb1	792.125000	1051	733	0	0	0	208	2233	2112	0
Tomm20	786.500000	1455	801	172	0	218	210	1949	1487	0
Impact	777.375000	1131	1192	358	272	301	301	1342	1322	0
Fosl1	769.875000	1426	833	0	0	0	0	2100	1800	0
Leng8	768.250000	1874	1034	142	0	127	239	1538	1192	0
Ulk1	767.250000	1218	1374	568	297	329	0	1327	1025	0
Pnpla8	763.875000	1357	418	191	0	0	427	2154	1564	0
Rilpl2	763.125000	926	168	0	0	0	429	2445	2137	0
Arsg	762.625000	1136	1874	352	0	0	99	1402	1238	0
Gsr	756.250000	1863	1882	500	213	156	217	715	504	0
Aldoa	748.125000	841	1326	337	0	0	249	1914	1318	0
Ufl1	743.250000	955	475	278	0	143	386	2100	1609	0
Col16a1	738.250000	1650	1630	0	148	195	453	962	868	0
Sod1	737.125000	703	1423	526	428	507	291	1034	985	0
Cd300c	734.500000	0	0	0	0	0	996	2446	2434	0
Map3k5	732.000000	1432	413	132	0	0	279	2071	1529	0
Bach1	730.250000	1182	157	145	0	0	563	2230	1565	0
Slc16a6	715.250000	1136	1874	352	0	0	99	1132	1129	0
Sstr3	714.000000	804	441	0	0	0	485	2162	1820	0
Stk40	711.375000	1170	200	0	0	162	371	2038	1750	0
Mettl7a1	707.500000	462	135	0	0	0	1267	2109	1687	0
Pkd1	706.125000	1102	565	143	0	0	346	2042	1451	0
Notch3	705.250000	1120	0	0	0	0	0	2452	2070	0
Herpud2	701.000000	1270	686	140	169	191	426	1585	1141	0
Sh2b1	700.625000	1434	733	0	0	0	257	1734	1447	0
Dnmt1	699.125000	1370	408	197	0	0	411	1891	1316	0
Cela1	698.875000	753	0	0	0	0	161	2481	2196	0
Lexm	689.875000	795	147	0	0	0	296	2387	1894	0
Ubc	686.625000	1069	1182	317	0	0	313	1332	1280	0
Il15ra	686.250000	1347	1229	283	0	150	235	1260	986	0
Slc3a2	685.375000	914	205	291	0	196	388	1985	1504	0
Cox18	680.500000	1875	368	372	236	306	195	1100	992	0
Hsp90ab1	679.000000	1103	1903	753	226	244	0	677	526	0
Rpl22l1	665.125000	768	461	179	160	0	0	2052	1701	0
Abcf3	664.000000	990	284	0	257	323	542	1792	1124	0
Ftl1	661.625000	269	0	0	0	0	1169	1833	2022	0
Fgl2	655.875000	1351	281	0	0	0	0	2079	1536	0
Cd1d1	655.625000	948	142	0	0	0	529	2099	1527	0
Rhbdd3	650.125000	1963	1377	344	0	140	186	576	615	0
Ewsr1	650.125000	1963	1377	344	0	140	186	576	615	0
Fam166b	644.250000	827	405	0	0	0	0	2109	1813	0
Bicdl1	644.125000	1189	498	74	0	0	0	1844	1548	0
Etv5	643.875000	627	992	334	174	179	216	1517	1112	0
Ap1g1	643.125000	2228	1130	495	0	0	128	518	646	0
Srp19	641.625000	2716	833	313	0	0	170	708	393	0
Txnl1	640.625000	1722	1363	483	0	150	0	712	695	0
Coro2a	639.875000	684	233	0	0	0	539	1989	1674	0
Mideas	638.750000	1648	800	78	0	0	176	1453	955	0
Gstt2	638.250000	1030	709	80	0	0	349	1772	1166	0
Fam219a	634.625000	1901	967	181	0	147	0	1054	827	0
Dnaic1	634.625000	1901	967	181	0	147	0	1054	827	0
Zmynd10	633.375000	678	256	131	0	0	0	2327	1675	0
Rassf1	633.375000	678	256	131	0	0	0	2327	1675	0
Nt5c2	633.375000	0	0	0	0	0	486	2556	2025	0
Keap1	632.375000	1510	1277	330	177	199	206	785	575	0
Bin2	632.000000	135	0	0	0	0	615	2306	2000	0
Mmp9	631.250000	324	0	0	0	0	342	2365	2019	0
1810058I24Rik	630.125000	140	212	117	0	0	742	2138	1692	0
Npcd	624.625000	277	86	179	0	0	226	2407	1822	0
Cbx6	624.625000	277	86	179	0	0	226	2407	1822	0
E2f6	621.750000	1350	1215	454	193	212	0	910	640	0
Lif	621.500000	787	368	0	0	0	0	2060	1757	0
Smim3	619.125000	730	191	0	285	290	408	1688	1361	0
Tigd4	616.500000	299	0	0	216	190	0	2576	1651	0
Ube4a	614.375000	817	271	0	0	0	366	1750	1711	0
Cep120	613.250000	1016	461	158	223	279	473	1558	738	0
Myl6b	611.750000	1624	586	0	0	157	379	1215	933	0
Myl6	611.750000	1624	586	0	0	157	379	1215	933	0
Ier3	611.625000	811	181	0	0	0	385	1792	1724	0
Flot1	611.625000	811	181	0	0	0	385	1792	1724	0
Atp6v0e2	610.000000	0	0	0	0	0	479	2404	1997	0
Hmces	609.375000	200	135	216	0	0	347	2409	1568	0
Clec2i	608.625000	1656	701	0	256	396	200	1074	586	0
BC035044	608.625000	1656	701	0	256	396	200	1074	586	0
Ncor2	606.000000	560	0	83	0	0	516	2056	1633	0
Psmd7	605.500000	1055	1642	781	0	128	0	747	491	0
Apobec3	605.250000	1687	0	0	0	0	0	1703	1452	0
Numa1	605.125000	548	129	117	0	0	225	1945	1877	0
Abcb6	601.500000	578	0	0	0	0	1147	1748	1339	0
Mybph	600.875000	1081	0	0	0	0	294	1933	1499	0
Mrpl38	600.000000	203	90	145	0	0	342	2350	1670	0
Katnal1	596.250000	981	830	386	121	190	409	976	877	0
Cox20	596.000000	1547	464	186	148	199	220	1081	923	0
