Target_genes	Bbx|Average	SRX3730214|Trophoblast_stem_cells	SRX3730215|Trophoblast_stem_cells	SRX3730271|Trophoblast_stem_cells	STRING
Kpna1	511.000000	1219	0	314	0
Tcstv3	485.000000	100	159	1196	0
Il31ra	444.000000	1043	0	289	0
Cldn34d	424.333333	776	210	287	0
Polq	319.666667	405	141	413	0
Socs2	298.666667	695	201	0	0
Cipc	292.000000	510	0	366	0
Sspn	256.666667	430	131	209	0
Mrpl12	243.000000	448	0	281	0
Zcchc4	226.000000	483	0	195	0
Ncbp3	223.000000	386	0	283	0
Arhgef1	208.000000	382	0	242	0
Nkiras2	202.000000	368	0	238	0
Dnajc7	202.000000	368	0	238	0
Cdkn2aipnl	199.000000	357	0	240	0
Brox	190.000000	302	151	117	0
Aida	190.000000	302	151	117	0
Sphk2	178.333333	408	0	127	0
Rpl18	178.333333	408	0	127	0
Fam83e	178.333333	408	0	127	0
Pgk1	167.333333	502	0	0	0
Lrrc59	157.666667	275	0	198	0
Cox7a2	152.666667	254	0	204	0
Rnf115	148.666667	279	0	167	0
Polr3c	148.666667	279	0	167	0
Ube2z	147.000000	288	0	153	0
Psmd12	146.666667	316	0	124	0
Mettl18	145.666667	437	0	0	0
BC055324	145.666667	437	0	0	0
Tex14	143.000000	429	0	0	0
Tab1	139.333333	195	0	223	0
Nek4	138.666667	290	0	126	0
Dnajc11	137.333333	285	0	127	0
Sfi1	136.000000	208	0	200	0
Wdr70	135.666667	274	0	133	0
Mtmr6	135.333333	226	0	180	0
Dhx8	134.333333	238	0	165	0
Ddx46	127.333333	216	0	166	0
Timm10	120.666667	264	0	98	0
Smtnl1	120.666667	264	0	98	0
Kdm1a	120.666667	200	0	162	0
Rps27l	119.333333	209	0	149	0
Vars	119.000000	357	0	0	0
D17H6S56E-5	119.000000	357	0	0	0
Pradc1	117.666667	212	0	141	0
Cct7	117.666667	212	0	141	0
Polr2c	113.666667	148	0	193	0
Tekt2	112.333333	204	0	133	0
Adprhl2	112.333333	204	0	133	0
Mrps2	111.666667	208	0	127	0
1700007K13Rik	111.666667	208	0	127	0
Mapkapk5	110.666667	332	0	0	0
Clcn4	109.000000	152	0	175	0
Ankle2	107.333333	322	0	0	0
Ankrd46	105.000000	155	0	160	0
Polr2j	102.333333	174	0	133	0
Rabl2	101.333333	304	0	0	0
Rdm1	98.000000	294	0	0	0
Rrp8	96.333333	289	0	0	0
Ilk	96.333333	289	0	0	0
Tmem125	95.666667	0	184	103	0
Tomm22	92.666667	128	0	150	0
Med4	91.666667	146	0	129	0
Tbpl1	89.666667	269	0	0	0
Rps3a1	89.333333	268	0	0	0
S1pr4	89.000000	267	0	0	0
Ncln	89.000000	267	0	0	0
Nsmce4a	88.333333	150	0	115	0
Cdiptos	86.666667	260	0	0	0
Cdipt	86.666667	260	0	0	0
Dusp12	85.333333	256	0	0	0
Arl14ep	85.000000	255	0	0	0
Erdr1	83.000000	249	0	0	0
Atg101	81.666667	245	0	0	0
Zfp41	81.333333	109	0	135	0
Ssrp1	80.000000	240	0	0	0
P2rx3	80.000000	240	0	0	0
Wwox	79.333333	0	0	238	0
Ddx18	79.000000	237	0	0	0
Cacng2	77.000000	113	0	118	0
Ttc5	75.333333	226	0	0	0
Rpl7l1	73.666667	123	0	98	0
Rad1	73.666667	143	0	78	0
Brix1	73.666667	143	0	78	0
Zfp335	72.666667	218	0	0	0
Npas4	72.666667	218	0	0	0
Ndufb7	71.333333	214	0	0	0
Abcd4	71.000000	213	0	0	0
Rps17	69.333333	208	0	0	0
Tubb5	69.000000	207	0	0	0
Mdc1	69.000000	207	0	0	0
Bola3	68.666667	206	0	0	0
BC107364	68.666667	206	0	0	0
H3c15	68.333333	205	0	0	0
H3c14	68.333333	205	0	0	0
H2ac19	68.333333	205	0	0	0
H2ac18	68.333333	205	0	0	0
Nip7	67.333333	109	0	93	0
Cog8	67.333333	109	0	93	0
Prickle4	67.000000	201	0	0	0
Mrnip	67.000000	201	0	0	0
Frs3	67.000000	201	0	0	0
Abhd6	67.000000	0	0	201	0
Zscan25	66.666667	200	0	0	0
Srp68	66.666667	200	0	0	0
Eapp	66.666667	200	0	0	0
Cnot8	66.666667	200	0	0	0
Oasl1	66.000000	198	0	0	0
Kdm3b	65.333333	196	0	0	0
Unc45b	65.000000	195	0	0	0
Nle1	65.000000	195	0	0	0
Tchp	64.666667	194	0	0	0
Smarcd1	64.666667	194	0	0	0
Sirt4	64.333333	193	0	0	0
H2bc6	63.666667	191	0	0	0
H1f4	63.666667	191	0	0	0
Cops8	63.666667	191	0	0	0
Uchl5	62.666667	188	0	0	0
Ro60	62.666667	188	0	0	0
Nup85	62.666667	188	0	0	0
Arl8b	62.000000	186	0	0	0
Smim12	61.333333	184	0	0	0
Vmn1r2	61.000000	183	0	0	0
Asb6	60.333333	181	0	0	0
Dus1l	59.000000	177	0	0	0
