Target_genes	Bcl11a|Average	SRX8030787|Acute_myeloid_leukemia	ERX2242378|Breast_cells	ERX200399|Mammary_epithelial_cells	ERX200403|Mammary_epithelial_cells	ERX200408|Mammary_epithelial_cells	ERX200412|Mammary_epithelial_cells	ERX200417|Mammary_epithelial_cells	ERX200421|Mammary_epithelial_cells	ERX200426|Mammary_epithelial_cells	ERX200430|Mammary_epithelial_cells	ERX200435|Mammary_epithelial_cells	ERX200439|Mammary_epithelial_cells	STRING
Tcstv3	1262.666667	1115	1770	729	1202	954	1574	1093	1611	1118	1508	1045	1433	0
Cldn34d	716.250000	2032	2316	186	358	270	772	350	531	281	621	264	614	0
Brox	612.500000	873	3122	0	216	230	609	206	498	264	538	327	467	0
Aida	612.500000	873	3122	0	216	230	609	206	498	264	538	327	467	0
Bcl11a	263.416667	0	0	0	232	0	668	0	697	0	818	0	746	0
Tmem125	202.333333	1023	438	0	0	0	190	0	206	143	180	0	248	0
Sspn	145.083333	1741	0	0	0	0	0	0	0	0	0	0	0	0
Il31ra	138.416667	1661	0	0	0	0	0	0	0	0	0	0	0	0
P2ry10	110.666667	0	0	0	0	0	281	0	373	0	333	0	341	0
Kpna1	108.333333	1300	0	0	0	0	0	0	0	0	0	0	0	0
Asmt	104.583333	325	418	0	0	0	169	0	191	0	0	0	152	0
Hjurp	103.250000	1239	0	0	0	0	0	0	0	0	0	0	0	0
A730008H23Rik	103.250000	1239	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v0a1	70.500000	846	0	0	0	0	0	0	0	0	0	0	0	0
Atp13a2	70.500000	846	0	0	0	0	0	0	0	0	0	0	0	0
Ppan	68.500000	822	0	0	0	0	0	0	0	0	0	0	0	0
Irgc1	67.583333	811	0	0	0	0	0	0	0	0	0	0	0	0
Ankzf1	66.916667	803	0	0	0	0	0	0	0	0	0	0	0	0
Dmwd	65.666667	788	0	0	0	0	0	0	0	0	0	0	0	0
Stk16	63.916667	767	0	0	0	0	0	0	0	0	0	0	0	0
Glb1l	63.916667	767	0	0	0	0	0	0	0	0	0	0	0	0
Oosp2	61.833333	742	0	0	0	0	0	0	0	0	0	0	0	0
Prtn3	61.166667	734	0	0	0	0	0	0	0	0	0	0	0	0
Plppr3	61.166667	734	0	0	0	0	0	0	0	0	0	0	0	0
Psma6	61.000000	732	0	0	0	0	0	0	0	0	0	0	0	0
AI467606	61.000000	732	0	0	0	0	0	0	0	0	0	0	0	0
Prkab1	60.750000	729	0	0	0	0	0	0	0	0	0	0	0	0
Exoc3	60.416667	725	0	0	0	0	0	0	0	0	0	0	0	0
Fos	60.333333	724	0	0	0	0	0	0	0	0	0	0	0	0
Olfr460	59.666667	716	0	0	0	0	0	0	0	0	0	0	0	0
Tmem33	57.833333	694	0	0	0	0	0	0	0	0	0	0	0	0
Cbfa2t3	57.083333	685	0	0	0	0	0	0	0	0	0	0	0	0
Ippk	54.916667	659	0	0	0	0	0	0	0	0	0	0	0	0
Isy1	54.666667	656	0	0	0	0	0	0	0	0	0	0	0	0
Tmem229b	54.500000	654	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl52	54.166667	650	0	0	0	0	0	0	0	0	0	0	0	0
Mmp14	54.166667	650	0	0	0	0	0	0	0	0	0	0	0	0
Rabgef1	54.000000	648	0	0	0	0	0	0	0	0	0	0	0	0
Snrnp200	53.166667	638	0	0	0	0	0	0	0	0	0	0	0	0
Itgax	53.166667	638	0	0	0	0	0	0	0	0	0	0	0	0
1810024B03Rik	53.166667	638	0	0	0	0	0	0	0	0	0	0	0	0
Nin	52.500000	630	0	0	0	0	0	0	0	0	0	0	0	0
Ndc1	52.500000	630	0	0	0	0	0	0	0	0	0	0	0	0
Lonp2	52.500000	630	0	0	0	0	0	0	0	0	0	0	0	0
Slc2a6	51.916667	623	0	0	0	0	0	0	0	0	0	0	0	0
Ncor2	51.916667	623	0	0	0	0	0	0	0	0	0	0	0	0
Ssrp1	51.416667	617	0	0	0	0	0	0	0	0	0	0	0	0
P2rx3	51.416667	617	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1044	51.000000	612	0	0	0	0	0	0	0	0	0	0	0	0
Moxd2	51.000000	612	0	0	0	0	0	0	0	0	0	0	0	0
Ppp4c	50.666667	608	0	0	0	0	0	0	0	0	0	0	0	0
Gpaa1	50.583333	607	0	0	0	0	0	0	0	0	0	0	0	0
Exosc4	50.583333	607	0	0	0	0	0	0	0	0	0	0	0	0
Mterf1a	50.083333	601	0	0	0	0	0	0	0	0	0	0	0	0
Slc22a8	49.916667	599	0	0	0	0	0	0	0	0	0	0	0	0
Tuba8	49.500000	594	0	0	0	0	0	0	0	0	0	0	0	0
Scamp3	49.500000	594	0	0	0	0	0	0	0	0	0	0	0	0
Jade1	49.250000	591	0	0	0	0	0	0	0	0	0	0	0	0
Zfp384	48.916667	587	0	0	0	0	0	0	0	0	0	0	0	0
Pgk1	48.833333	0	586	0	0	0	0	0	0	0	0	0	0	0
