Target_genes	Bcl6|Average	SRX094460|Liver	SRX094461|Liver	SRX094462|Liver	SRX094463|Liver	SRX094464|Liver	SRX094465|Liver	SRX094466|Liver	SRX016344|Macrophages	SRX028980|Macrophages	SRX028981|Macrophages	SRX112905|Macrophages	SRX6095747|mESC_derived_neural_cells	SRX6095749|mESC_derived_neural_cells	SRX6095751|mESC_derived_neural_cells	ERX383750|Pancreas	ERX383751|Pancreas	SRX1158860|Tfh	SRX353402|Th9	SRX353403|Th9	SRX1158861|Unclassified	STRING
Tcstv3	1214.100000	1172	1128	664	743	1860	1225	1376	623	573	712	1247	1787	1802	1505	1665	1590	1541	547	308	2214	0
Socs2	880.400000	2635	1931	0	2439	866	820	393	185	148	0	434	2644	2391	2578	0	0	0	144	0	0	454
Psmc6	401.200000	1626	2093	838	778	1170	1073	130	0	0	0	202	114	0	0	0	0	0	0	0	0	0
Wrnip1	372.850000	1239	1687	596	340	571	379	0	229	157	51	1003	482	244	375	0	0	0	0	104	0	0
Rps28	356.800000	1762	1743	1046	800	1018	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa7	356.800000	1762	1743	1046	800	1018	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd6	343.400000	143	227	210	256	658	416	456	600	429	488	474	333	342	335	0	0	517	181	0	803	0
Olfr806	323.850000	297	197	0	256	659	376	522	517	344	333	476	418	362	248	0	0	616	0	0	856	0
Wwox	318.850000	311	349	205	312	561	398	477	570	289	541	558	199	235	240	0	0	466	0	0	666	0
Cldn34d	318.400000	360	433	370	318	0	173	130	365	564	448	374	208	245	0	0	1601	312	0	157	310	0
Cish	314.700000	1295	648	412	730	481	923	332	0	0	0	90	434	317	442	0	0	0	0	190	0	0
Snx14	298.700000	1478	1926	877	442	647	435	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0
Brox	285.850000	143	166	221	245	0	158	469	380	343	387	240	0	162	0	342	676	244	269	1065	207	0
Aida	285.850000	143	166	221	245	0	158	469	380	343	387	240	0	162	0	342	676	244	269	1065	207	0
Por	264.350000	1279	1625	892	817	0	0	0	0	0	0	0	232	0	0	0	0	259	0	0	183	0
Arid3b	259.800000	976	1340	389	536	487	488	0	0	0	0	438	251	90	201	0	0	0	0	0	0	0
Dctn6	259.000000	1384	1326	771	535	680	365	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0
Fam71e1	257.900000	1297	1257	437	646	591	772	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emc10	257.900000	1297	1257	437	646	591	772	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem125	255.500000	0	84	0	0	133	187	250	156	248	190	180	0	0	0	809	743	577	403	556	594	0
Asmt	237.650000	145	151	199	192	0	118	0	121	402	265	304	255	271	0	0	309	421	346	499	755	0
Scfd2	237.050000	1160	1312	657	291	378	0	0	0	0	0	218	199	224	302	0	0	0	0	0	0	0
Fip1l1	237.050000	1160	1312	657	291	378	0	0	0	0	0	218	199	224	302	0	0	0	0	0	0	0
Tchp	234.000000	1260	1319	358	291	730	399	0	0	0	0	138	0	0	185	0	0	0	0	0	0	0
Wbp1l	221.500000	1131	1300	460	235	451	361	0	0	0	0	0	0	0	0	0	0	227	0	155	110	0
Dennd1a	207.200000	1467	1561	708	0	207	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faap20	196.300000	1122	1250	245	288	354	347	0	0	0	0	0	0	0	0	0	0	157	0	0	163	0
Slc25a30	195.800000	770	1400	921	144	0	0	0	0	0	0	0	0	0	0	0	0	481	0	0	200	0
Aadacl2fm1	177.600000	213	224	0	0	526	339	384	0	0	0	470	0	0	147	0	0	442	0	0	807	0
Snai3	176.150000	569	801	118	359	467	619	191	0	0	0	127	0	0	0	0	0	111	0	0	161	0
Rnasel	171.000000	208	328	0	0	0	0	0	0	135	0	474	673	478	696	0	0	111	150	167	0	0
Dpp9	170.450000	1272	719	169	512	0	333	0	0	123	0	281	0	0	0	0	0	0	0	0	0	0
Kpna1	167.050000	119	0	0	129	0	0	0	267	302	257	487	0	0	0	0	0	157	290	1333	0	0
Igfals	165.300000	1586	621	0	591	147	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esr1	162.350000	0	0	0	0	397	257	350	395	265	316	481	0	0	0	0	0	337	0	0	449	0
Htatip2	154.350000	1235	1143	375	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndrg2	150.950000	1064	1249	538	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oasl1	150.500000	195	152	143	0	229	0	286	352	389	286	131	117	0	0	0	0	387	0	0	343	0
Lifr	146.200000	1129	670	257	232	137	0	0	0	0	0	0	0	0	0	0	0	297	0	0	202	0
Syne3	144.700000	793	960	455	347	120	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamb3	143.400000	793	1255	820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shmt1	142.150000	803	729	155	275	198	343	0	0	0	0	0	0	0	203	0	0	137	0	0	0	0
Igf2	140.850000	904	1377	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mvd	138.650000	889	825	298	285	217	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp292	137.400000	245	489	0	235	174	0	0	0	105	0	170	295	407	628	0	0	0	0	0	0	0
Eloc	135.100000	947	926	354	278	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0
Nkx2-1	131.450000	663	872	393	240	298	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhof	130.800000	224	263	131	0	0	0	0	0	0	0	0	664	561	549	0	0	114	0	0	110	0
Zfp113	130.200000	750	597	348	154	441	174	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7a	124.700000	0	0	0	0	0	0	0	0	0	0	0	285	245	223	0	0	800	219	169	553	0
Taar6	124.700000	0	0	0	0	0	0	0	0	0	0	0	285	245	223	0	0	800	219	169	553	0
Spry1	124.400000	832	956	207	0	251	131	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Vmn2r4	123.600000	0	0	0	0	0	0	0	238	161	187	0	0	0	0	0	0	979	0	0	907	0
Notch1	123.250000	470	737	286	190	418	234	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0
Nnt	123.150000	617	681	201	108	211	198	0	0	0	0	0	0	0	0	0	0	251	0	0	196	0
Per1	123.050000	474	568	159	0	631	400	129	0	0	0	0	0	0	0	0	0	0	0	100	0	0
Cp	122.950000	1010	963	370	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prickle1	121.650000	633	666	0	756	137	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a10	121.550000	846	1021	353	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgfbi	120.900000	746	1001	358	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	98	0
Trf	119.700000	712	433	228	257	0	311	216	0	0	0	0	0	0	0	0	0	102	0	0	135	0
Ttc41	117.550000	645	384	265	0	213	150	0	0	0	0	0	0	0	0	0	0	442	0	0	252	0
Nup62	117.000000	753	1135	0	269	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
