Target_genes	Bhlhe41|Average	SRX2500346|B_cells	SRX2500347|B_cells	STRING
Pip4p1	2971.500000	2594	3349	0
Hmgn2	2919.500000	2289	3550	0
Dpy19l3	2832.000000	2380	3284	0
Foxo3	2780.000000	2399	3161	0
Rpl10a	2771.000000	2197	3345	0
Bnip3	2769.000000	2238	3300	0
Spns2	2753.000000	2177	3329	0
Pik3ip1	2716.000000	2210	3222	0
Ddhd2	2712.000000	2143	3281	0
Camk2d	2691.500000	2156	3227	0
Cstf1	2631.500000	2081	3182	0
Aurka	2631.500000	2081	3182	0
Ip6k1	2614.000000	1901	3327	0
Acvr1b	2552.500000	2015	3090	0
Cited2	2542.500000	1901	3184	0
Atp6v1h	2539.000000	1901	3177	0
Dyrk1b	2538.000000	1941	3135	0
Tet3	2505.000000	1801	3209	0
Ankrd12	2496.500000	1814	3179	0
Rps24	2494.000000	1766	3222	0
Polr3a	2494.000000	1766	3222	0
Pes1	2474.000000	1840	3108	0
Zfp36	2430.500000	1882	2979	0
Ehmt1	2339.500000	1720	2959	0
Tef	2331.500000	1766	2897	0
Senp8	2323.500000	1654	2993	0
Myo9a	2323.500000	1654	2993	0
Fam168b	2315.000000	1687	2943	0
Pgap2	2271.000000	1659	2883	0
Nup98	2271.000000	1659	2883	0
Lamp1	2265.000000	1593	2937	0
3110082I17Rik	2211.500000	1511	2912	0
Mllt1	2210.000000	1539	2881	0
Phf7	2204.000000	1565	2843	0
Bap1	2204.000000	1565	2843	0
Dcaf4	2202.000000	1654	2750	0
Cnpy3	2201.500000	1590	2813	0
Cacybp	2187.000000	1510	2864	0
Kdm4b	2176.000000	1589	2763	0
Btaf1	2172.500000	1701	2644	0
Mrpl54	2121.500000	1435	2808	0
Apba3	2121.500000	1435	2808	0
Tjp3	2107.500000	1441	2774	0
Pip5k1c	2107.500000	1441	2774	0
Stmn1	2067.000000	1481	2653	0
Ciart	2061.000000	1462	2660	0
Pdpr	2033.500000	1461	2606	0
Mycbp	2027.500000	1421	2634	0
Rbm38	2025.000000	1497	2553	0
Casc3	2021.000000	1372	2670	0
Dgat2	1996.500000	1340	2653	0
Eid1	1995.500000	1435	2556	0
Get4	1990.000000	1357	2623	0
Gadd45g	1985.000000	1450	2520	0
Tsn	1983.000000	1309	2657	0
Zfp292	1969.500000	1174	2765	0
Yy1	1967.500000	1406	2529	0
Pard6b	1942.000000	1281	2603	0
Cks2	1941.000000	1315	2567	0
Arl4a	1923.500000	1322	2525	0
Mapk6	1914.500000	1283	2546	0
Matr3	1902.500000	1364	2441	0
Rsad1	1886.500000	1217	2556	0
Bhlhe41	1868.500000	1431	2306	0
Jmy	1854.000000	1369	2339	0
Retreg2	1839.000000	1184	2494	0
Cnppd1	1839.000000	1184	2494	0
Top3a	1744.000000	1240	2248	0
Smcr8	1744.000000	1240	2248	0
Erlin1	1734.000000	1101	2367	0
Uqcc2	1722.500000	1164	2281	0
Slf2	1703.500000	1091	2316	0
Tmem123	1702.000000	1105	2299	0
Rps28	1701.500000	1220	2183	0
Ndufa7	1701.500000	1220	2183	0
Dnajc13	1685.000000	1222	2148	0
Mex3d	1681.500000	1104	2259	0
Golga1	1679.500000	1028	2331	0
Zdhhc23	1672.500000	1082	2263	0
Rev1	1662.000000	1200	2124	0
Morc2a	1659.500000	1041	2278	0
Srd5a3	1641.500000	1050	2233	0
Nptn	1619.500000	961	2278	0
Rps11	1596.500000	1070	2123	0
Rpl13a	1596.500000	1070	2123	0
Zbtb40	1591.500000	970	2213	0
Fkbp4	1585.000000	872	2298	0
Zranb2	1580.000000	1031	2129	0
Dynll1	1580.000000	872	2288	0
Gmfb	1573.000000	826	2320	0
Epn1	1572.000000	1095	2049	0
Gdpgp1	1570.500000	1110	2031	0
Cib1	1570.500000	1110	2031	0
Hat1	1570.000000	902	2238	0
Sik3	1563.000000	957	2169	0
Pafah1b2	1563.000000	957	2169	0
Cry2	1556.500000	1012	2101	0
Lsm14b	1539.500000	1081	1998	0
Zfp263	1534.500000	1005	2064	0
Tbl2	1531.500000	1124	1939	0
Scaf11	1516.500000	910	2123	0
Tbcel	1513.500000	1022	2005	0
Ccnj	1508.500000	771	2246	0
Rasip1	1502.500000	1021	1984	0
Lonp1	1499.500000	924	2075	0
Catsperd	1499.500000	924	2075	0
Ncl	1478.500000	885	2072	0
Gnb1	1475.000000	847	2103	0
Vps26a	1474.500000	939	2010	0
Zbtb8os	1458.000000	804	2112	0
Rbbp4	1458.000000	804	2112	0
Rmi1	1454.500000	902	2007	0
Hnrnpk	1454.500000	902	2007	0
Lmnb1	1452.500000	897	2008	0
Bpi	1449.500000	925	1974	0
Dbp	1447.000000	966	1928	0
Trim17	1443.500000	925	1962	0
H3f4	1443.500000	925	1962	0
Ube2q1	1434.000000	892	1976	0
Cltc	1433.000000	984	1882	0
Ccdc126	1432.000000	796	2068	0
Hdgf	1424.000000	831	2017	0
Pgm2l1	1422.000000	842	2002	0
Rer1	1421.000000	855	1987	0
Morn1	1421.000000	855	1987	0
Oser1	1414.500000	723	2106	0
Hcfc2	1412.500000	972	1853	0
Elavl3	1411.500000	846	1977	0
Cc2d1b	1407.500000	864	1951	0
Smchd1	1369.000000	930	1808	0
Mrto4	1366.500000	683	2050	0
Emc1	1366.500000	683	2050	0
Cdkl1	1359.500000	844	1875	0
Srsf6	1351.000000	947	1755	0
Mphosph9	1350.500000	881	1820	0
2810006K23Rik	1350.500000	881	1820	0
Rab7	1346.000000	753	1939	0
Map3k9	1345.000000	721	1969	0
Cry1	1343.000000	779	1907	0
Eif4a1	1341.500000	816	1867	0
Znhit6	1335.500000	793	1878	0
Mical3	1333.500000	708	1959	0
Ubb	1324.500000	771	1878	0
Nabp1	1321.000000	777	1865	0
Canx	1321.000000	784	1858	0
Zcwpw1	1319.500000	839	1800	0
Mepce	1319.500000	839	1800	0
Rhobtb2	1318.500000	907	1730	0
Ddx10	1317.500000	823	1812	0
Armc2	1315.000000	676	1954	0
Gpi1	1312.500000	819	1806	0
Zdhhc14	1311.000000	761	1861	0
Psme3	1307.500000	882	1733	0
Ahcyl2	1303.000000	880	1726	0
Usp53	1301.000000	834	1768	0
Grpel2	1301.000000	874	1728	0
Vgf	1297.500000	839	1756	0
Snapin	1295.500000	844	1747	0
Bptf	1281.000000	713	1849	0
Bcl2l12	1276.500000	710	1843	0
Atp6v1c1	1267.500000	787	1748	0
Usp6nl	1262.500000	847	1678	0
Hsf2	1262.000000	742	1782	0
Il16	1256.000000	802	1710	0
Gpn3	1251.500000	728	1775	0
Fam216a	1251.500000	728	1775	0
Nrf1	1251.000000	758	1744	0
Tnrc6c	1249.500000	1028	1471	0
Fam102b	1247.500000	683	1812	0
Calr3	1236.000000	809	1663	0
1700030K09Rik	1236.000000	809	1663	0
Piezo1	1221.500000	673	1770	0
Ube2i	1220.000000	781	1659	0
Mfsd1	1216.500000	705	1728	0
Agtpbp1	1213.500000	837	1590	0
Treml2	1209.500000	879	1540	0
Tomt	1208.000000	975	1441	0
Lamtor1	1208.000000	975	1441	0
Washc1	1206.000000	655	1757	0
Klf11	1196.000000	732	1660	0
1700037H04Rik	1195.500000	809	1582	0
Sertad1	1194.500000	804	1585	0
Rsbn1	1192.000000	837	1547	0
Nsun6	1187.500000	680	1695	0
Arl5b	1187.500000	680	1695	0
Mphosph8	1178.500000	740	1617	0
Epb41l4b	1178.000000	584	1772	0
Atp11b	1169.500000	644	1695	0
Nsd3	1167.500000	719	1616	0
Letm2	1167.500000	719	1616	0
Nr6a1	1164.000000	771	1557	0
B3gnt9	1162.000000	560	1764	0
Smg1	1158.000000	771	1545	0
Serf2	1151.500000	669	1634	0
Atf7ip	1148.500000	570	1727	0
Dusp2	1147.000000	636	1658	0
Astl	1147.000000	636	1658	0
Mfsd3	1146.000000	673	1619	0
Gpt	1146.000000	673	1619	0
Taf9	1138.500000	696	1581	0
Rad17	1138.500000	696	1581	0
