Target_genes	Cbfb|Average	SRX184870|CD4+_T_cells	SRX5780109|CD4+_T_cells	SRX2527476|CD8+_T_cells	SRX2527477|CD8+_T_cells	SRX2527478|CD8+_T_cells	SRX5780111|CD8+_T_cells	SRX2389669|Embryonic_liver	SRX2389670|Embryonic_liver	SRX2389671|Embryonic_liver	SRX4676998|Innate_lymphoid_cells	SRX4676999|Innate_lymphoid_cells	SRX4677003|Innate_lymphoid_cells	SRX4677004|Innate_lymphoid_cells	SRX105447|L8057	SRX105451|L8057	SRX105457|Thymocytes	SRX105461|Thymocytes	SRX2389672|Thymocytes	SRX2389673|Thymocytes	SRX2389674|Thymocytes	SRX184869|Treg	STRING
Tcstv3	1735.190476	798	2123	2075	1029	2075	2113	2411	2202	2162	2268	2176	2397	2304	1534	903	750	491	1945	1920	1831	932	0
Cldn34d	1247.857143	284	653	3413	954	1991	569	1845	1496	1891	1071	1059	675	989	1482	768	271	338	1952	1887	1924	693	0
Dmwd	1041.142857	0	2390	234	0	215	2821	1250	1352	1899	874	717	290	340	1724	1122	426	0	2114	2279	1817	0	0
Tox2	1012.476190	0	1504	85	0	351	1460	996	1355	2262	916	1150	602	518	2326	2119	0	0	1963	1773	1882	0	0
Cd3d	974.476190	0	2329	207	0	483	2479	645	1197	1942	812	944	356	577	1898	1531	258	0	1557	1910	1339	0	0
Msh6	945.523810	0	2909	231	0	417	3029	838	1181	1685	182	166	195	0	1063	690	862	0	2122	2394	1892	0	0
Kpna1	945.285714	254	1293	286	350	1117	1102	1177	1332	1144	1144	1366	1027	1084	423	0	1393	1753	954	1117	824	711	0
Kdm5a	924.523810	0	1907	377	0	369	2021	423	578	1928	793	722	622	526	762	580	707	0	2439	2371	2290	0	0
Fam53a	896.047619	0	2199	395	0	407	2161	1009	1395	2139	575	655	437	354	840	718	272	0	2001	1619	1641	0	0
Gtf2a2	882.666667	0	1905	491	0	306	2486	358	529	1510	707	726	262	302	1165	979	229	0	2171	2332	2078	0	0
Il31ra	874.809524	214	1190	561	260	926	967	1227	1210	1200	1171	1119	1036	972	393	0	1112	1266	1127	1076	971	373	0
Scrib	873.047619	0	2891	186	0	341	3083	583	812	1200	282	188	220	95	1044	872	357	0	2302	1956	1922	0	0
Sspn	867.476190	0	922	2549	0	566	720	1041	1150	1535	520	544	374	394	123	0	1305	2196	1405	1359	1382	132	0
Apol9b	852.714286	0	2921	0	0	501	3327	0	0	152	672	758	385	262	1006	714	176	0	2526	2259	2248	0	0
Rapgef6	851.952381	0	1890	144	0	434	2719	570	620	1386	350	561	135	252	1128	839	408	0	2236	2275	1944	0	0
Frg1	848.619048	0	2478	0	0	146	2480	421	138	1359	383	427	306	201	1590	1029	226	0	2384	2123	2130	0	0
AI467606	842.761905	0	2240	125	0	322	2191	555	884	1440	350	437	223	214	1785	1359	457	0	1706	1993	1417	0	0
Zscan10	839.190476	0	2091	147	0	138	2317	349	807	1221	342	174	135	104	1340	932	554	0	2339	2546	2087	0	0
Zfp13	839.190476	0	2091	147	0	138	2317	349	807	1221	342	174	135	104	1340	932	554	0	2339	2546	2087	0	0
Brox	828.952381	187	513	1717	622	1905	686	1368	1200	1465	734	994	912	772	277	171	123	137	926	991	1225	483	0
Aida	828.952381	187	513	1717	622	1905	686	1368	1200	1465	734	994	912	772	277	171	123	137	926	991	1225	483	0
Emp3	824.904762	0	2028	168	0	382	2411	816	854	1814	423	509	128	228	1474	1205	259	0	1638	1594	1392	0	0
Ccdc114	824.904762	0	2028	168	0	382	2411	816	854	1814	423	509	128	228	1474	1205	259	0	1638	1594	1392	0	0
Adnp	813.285714	0	1975	162	0	335	2029	469	177	1329	700	584	539	408	1801	1176	302	0	1604	1782	1707	0	0
Tm9sf4	801.714286	0	1391	629	0	224	2252	347	292	1191	546	505	263	437	1087	836	0	0	2334	2142	2360	0	0
Oas3	794.380952	0	2033	0	0	203	2298	319	637	1278	495	951	378	380	1074	532	303	0	1826	2143	1832	0	0
Gspt1	793.476190	0	1649	166	0	256	2029	486	496	1671	723	614	300	265	982	854	307	0	1720	2226	1919	0	0
Brpf1	790.238095	0	1845	244	0	782	2010	845	1311	1832	396	423	260	242	839	679	466	0	1416	1605	1400	0	0
Slc35a1	786.761905	0	1504	188	0	259	1695	697	789	1896	371	501	139	236	810	482	442	0	2381	2057	2075	0	0
Copg1	761.285714	0	1288	94	0	403	1697	454	335	1202	478	500	389	323	1459	1143	184	0	2082	1960	1996	0	0
Ptpn22	760.714286	0	2026	134	0	232	2184	0	207	687	567	717	251	447	1340	1243	233	0	1863	2027	1817	0	0
Isca1	750.333333	0	1601	159	0	338	2195	316	480	977	437	343	201	422	1255	991	167	0	1821	2214	1840	0	0
Ubc	749.238095	0	1364	224	0	400	1991	351	173	843	851	943	422	437	1665	1111	186	0	1626	1697	1450	0	0
Sirt6	743.523810	0	1834	0	0	284	1860	254	323	1303	451	325	120	161	1142	1093	333	0	2013	2068	2050	0	0
Ankrd24	743.523810	0	1834	0	0	284	1860	254	323	1303	451	325	120	161	1142	1093	333	0	2013	2068	2050	0	0
Tsc22d2	741.904762	0	2160	326	0	426	2119	724	1166	1427	371	399	252	0	970	605	174	0	1463	1564	1434	0	0
Ube2f	735.190476	0	1663	113	0	349	1663	384	372	1545	393	301	423	260	1737	1524	158	0	1662	1408	1484	0	0
Polg	734.285714	0	1978	274	0	356	2009	460	749	1413	271	345	92	162	956	424	290	0	1783	1939	1919	0	0
Rasa1	726.380952	0	1716	290	0	215	1935	803	1460	1859	329	184	69	0	556	340	242	0	1749	1775	1732	0	0
Gabpb1	721.285714	0	1042	413	0	325	1234	374	590	1473	614	715	297	318	1284	1036	463	0	1588	1791	1590	0	0
Retreg2	715.666667	0	1602	296	0	288	1820	530	434	1606	448	479	215	245	1298	977	166	0	1425	1494	1706	0	0
Cnppd1	715.666667	0	1602	296	0	288	1820	530	434	1606	448	479	215	245	1298	977	166	0	1425	1494	1706	0	0
Mtres1	709.428571	226	1635	177	0	324	1924	415	579	1674	418	493	258	197	1085	541	164	0	1620	1271	1616	281	0
Plaur	699.285714	0	2246	160	0	236	2583	174	201	566	367	231	0	273	380	171	321	0	2270	2506	2000	0	0
Calm2	692.285714	0	937	362	0	461	1250	319	366	1324	803	799	357	306	1121	728	268	0	1660	1598	1705	174	0
Prpf18	690.761905	0	1294	0	0	184	1558	581	269	1309	454	438	179	227	1622	1396	194	0	1606	1449	1746	0	0
Cltc	686.571429	0	1354	125	0	428	1119	297	337	1043	674	535	217	366	1679	1072	224	0	1725	1445	1778	0	0
