Target_genes	Cebpd|Average	SRX047644|3T3-L1	SRX047645|3T3-L1	SRX10965268|4T1	SRX10965269|4T1	SRX10965270|4T1	SRX10965271|4T1	SRX10965272|4T1	SRX10965273|4T1	SRX2901280|Macrophages	SRX2901281|Macrophages	SRX2901282|Macrophages	SRX2901283|Macrophages	SRX2901284|Macrophages	STRING
Rbm39	2088.230769	308	589	3251	3226	2836	2696	1449	1560	1172	2431	2109	2544	2976	0
Hnrnph1	2063.076923	197	434	3174	3293	2923	3132	2131	2081	1211	1884	1825	2150	2385	0
Knl1	1854.384615	195	710	3768	3644	2881	2947	1229	1226	790	1442	1252	1865	2158	0
Cotl1	1750.615385	0	203	2820	2925	2646	2553	1529	1717	721	1511	1166	2431	2536	0
Btbd19	1740.692308	0	0	2902	2722	2463	2450	1549	1274	1105	1738	2036	2127	2263	0
Abhd11	1737.230769	210	593	2824	2713	2196	2251	1320	1563	1227	1832	1707	1955	2193	0
Psmb3	1730.153846	0	551	3053	3191	2395	2552	1377	1262	965	1583	1629	1578	2356	0
Pcgf2	1730.153846	0	551	3053	3191	2395	2552	1377	1262	965	1583	1629	1578	2356	0
Rpia	1729.538462	251	343	3207	3285	2420	2533	1317	1504	776	1263	1542	1997	2046	0
Pex16	1729.230769	0	313	3344	3400	2567	2646	1383	1611	687	1576	1103	2036	1814	0
Large2	1729.230769	0	313	3344	3400	2567	2646	1383	1611	687	1576	1103	2036	1814	0
Hjurp	1720.076923	160	794	3078	3050	2535	2557	1331	1083	818	1664	1464	1821	2006	0
A730008H23Rik	1720.076923	160	794	3078	3050	2535	2557	1331	1083	818	1664	1464	1821	2006	0
Stk25	1670.538462	0	296	3404	3489	2577	2487	1401	1392	665	1310	1302	1472	1922	0
Sf3b2	1654.846154	204	590	3367	3558	2614	2588	1382	1292	641	1161	1301	1429	1386	0
Gal3st3	1654.846154	204	590	3367	3558	2614	2588	1382	1292	641	1161	1301	1429	1386	0
Cdkl4	1653.230769	469	544	2929	2660	2556	2351	1524	1209	878	1391	1616	1564	1801	0
Sgca	1548.384615	0	318	3002	2927	2372	2377	1339	1123	848	1294	1315	1426	1788	0
Il6ra	1545.615385	0	241	2830	2810	2257	2523	1405	1417	607	1427	815	1522	2239	0
H4f16	1509.769231	343	1171	2267	2191	1799	2060	672	877	907	1503	1750	1922	2165	0
H2aj	1509.769231	343	1171	2267	2191	1799	2060	672	877	907	1503	1750	1922	2165	0
Ssu72	1482.384615	0	316	3378	3063	2663	2749	1387	1334	325	804	781	1201	1270	0
Nudt13	1476.692308	349	959	2521	2551	2068	2085	786	1013	836	1454	1489	1432	1654	0
Spty2d1	1445.923077	146	514	2813	2862	2093	1876	594	753	710	1330	1529	1594	1983	0
Myc	1434.461538	0	770	2341	2179	2132	2118	1365	1330	658	1437	1392	1214	1712	0
Tbrg1	1381.615385	0	0	3275	3123	2683	2637	1429	1486	424	629	545	742	988	0
Slc45a4	1369.615385	171	1001	2254	1989	1792	1881	737	1050	758	1364	1674	1615	1519	0
Klhl33	1368.076923	476	932	2236	2279	1947	1911	1370	1060	857	1220	1037	844	1616	0
Lztfl1	1362.692308	180	349	2804	2823	2240	2067	1104	1274	539	858	1079	1153	1245	0
Nnt	1351.615385	108	212	2667	2930	2002	2011	952	919	762	1150	883	1268	1707	0
Tcta	1340.461538	0	308	3146	3059	2392	2338	1164	1463	505	689	639	731	992	0
Rhoa	1340.461538	0	308	3146	3059	2392	2338	1164	1463	505	689	639	731	992	0
Smad6	1336.615385	0	317	2554	2403	1792	2006	1014	1105	776	1060	1275	1414	1660	0
Pnp	1330.538462	151	463	2514	2361	1796	1943	973	1079	778	1154	1330	1276	1479	0
Mideas	1330.153846	179	590	2510	2600	2013	1695	971	775	453	1129	726	1577	2074	0
Mpc2	1325.538462	0	544	2344	2403	1812	1993	857	1088	545	1182	970	1473	2021	0
Dcaf6	1325.538462	0	544	2344	2403	1812	1993	857	1088	545	1182	970	1473	2021	0
Rarg	1302.076923	0	278	1950	1964	1579	1393	632	720	1200	1508	1887	1766	2050	0
Mcm3	1294.923077	263	481	2591	2734	1738	1972	877	878	527	901	1020	1363	1489	0
Pdap1	1291.615385	269	342	3246	3132	2450	2332	1208	1081	215	627	510	565	814	0
Bud31	1291.615385	269	342	3246	3132	2450	2332	1208	1081	215	627	510	565	814	0
Atp6v1fnb	1268.000000	0	471	2536	2530	1845	1893	1021	1081	502	1114	1053	1003	1435	0
Atp6v1f	1268.000000	0	471	2536	2530	1845	1893	1021	1081	502	1114	1053	1003	1435	0
Ndrg1	1255.000000	0	0	2784	2849	2707	2709	1454	1831	0	135	0	772	1074	0
Man1b1	1235.307692	0	183	2673	2949	1999	1674	883	914	457	844	899	1164	1420	0
Ptgs2	1233.076923	0	217	2469	2370	1602	1973	711	742	506	944	1380	1521	1595	0
Rhbdf1	1226.461538	352	335	2170	2012	1550	1645	642	648	808	1322	1286	1550	1624	0
Mpg	1226.461538	352	335	2170	2012	1550	1645	642	648	808	1322	1286	1550	1624	0
Nup35	1211.846154	249	601	2642	2718	1895	1952	907	1005	377	688	762	989	969	0
Rad23b	1207.769231	0	260	2802	3007	2229	2027	1148	1460	0	294	0	1195	1279	0
Prmt3	1185.769231	0	152	2692	2507	1935	1742	745	1013	381	665	418	1630	1535	0
Ccdc77	1184.461538	202	733	2080	1985	1100	1347	615	560	801	1172	1447	1576	1780	0
Mbd6	1182.076923	141	0	2527	2724	1784	1859	654	986	259	783	703	1258	1689	0
Ddit3	1182.076923	141	0	2527	2724	1784	1859	654	986	259	783	703	1258	1689	0
Abcc5	1180.846154	0	286	2792	2612	1743	1882	653	785	496	917	915	1038	1232	0
Tnfaip6	1163.076923	240	966	1897	1977	1355	1439	607	727	451	908	1124	1348	2081	0
Echdc3	1157.307692	0	153	2988	2928	2176	2055	1151	1030	322	528	434	655	625	0
Hmbs	1134.153846	0	295	2224	2365	1472	1512	824	838	530	1051	1000	1203	1430	0
Trib1	1115.538462	0	235	2202	2288	1821	1622	702	901	558	996	898	1092	1187	0
Eif4a1	1107.000000	0	299	1961	2114	1582	1712	662	635	309	639	494	1792	2192	0
Brox	1104.307692	201	85	674	561	871	799	1318	1348	1938	1534	1847	1643	1537	0
Aida	1104.307692	201	85	674	561	871	799	1318	1348	1938	1534	1847	1643	1537	0
Meig1	1100.230769	0	0	1939	1978	1172	1269	351	392	859	1604	1625	1547	1567	0
Gtf2f1	1100.230769	80	147	2682	2415	1562	1657	710	678	416	964	849	966	1177	0
Dclre1c	1100.230769	0	0	1939	1978	1172	1269	351	392	859	1604	1625	1547	1567	0
Ikzf5	1096.384615	0	166	1892	1925	1488	1313	616	614	616	1060	980	1725	1858	0
Acadsb	1096.384615	0	166	1892	1925	1488	1313	616	614	616	1060	980	1725	1858	0
Setd5	1093.846154	0	271	2174	2192	1542	1764	720	818	640	868	929	1108	1194	0
Junb	1093.692308	191	154	2254	2271	1776	1623	664	775	427	892	896	1043	1252	0
Ndufs7	1090.076923	153	96	2732	2658	2077	2210	807	1087	259	420	507	459	706	0
Atp1a3	1081.384615	0	710	265	133	159	272	0	0	1794	2695	2685	2507	2838	0
Herpud1	1080.307692	0	343	2505	2584	1957	1903	1033	1062	0	367	173	753	1364	0
Srsf2	1077.615385	0	254	2981	2972	2128	2339	1118	1150	0	191	0	283	593	0
Mfsd11	1077.615385	0	254	2981	2972	2128	2339	1118	1150	0	191	0	283	593	0
Myd88	1076.615385	0	229	1733	1753	1545	1338	687	540	378	1275	1551	1379	1588	0
Acaa1a	1076.615385	0	229	1733	1753	1545	1338	687	540	378	1275	1551	1379	1588	0
H2-T24	1067.538462	0	0	2047	2023	1466	1479	802	757	509	951	1159	1327	1358	0
Hspa5	1063.923077	0	476	2774	2766	2197	2394	641	824	0	240	322	501	696	0
Nfkbia	1057.538462	0	187	2385	2501	1724	1719	685	850	525	633	312	1108	1119	0
Smarca2	1050.076923	279	557	1635	1703	1073	1338	727	564	654	1268	1038	1323	1492	0
Cldn34d	1048.230769	399	398	650	555	472	697	403	617	1926	2030	1826	1777	1877	0
Hmox1	1046.846154	159	233	2393	2325	1706	2088	715	877	185	486	410	843	1189	0
Morf4l2	1045.538462	0	263	2391	2418	1420	1661	658	852	326	654	726	1127	1096	0
Atp6v0a1	1038.615385	0	181	2157	2202	1798	1954	933	879	287	666	844	729	872	0
Hspa9	1038.000000	0	355	2543	2524	1948	1918	1047	925	265	474	371	575	549	0
Sod2	1023.153846	0	1142	1119	931	677	668	273	343	150	1660	2109	1860	2369	0
Dars2	1022.615385	0	259	2505	2594	1722	1519	792	846	226	719	666	574	872	0
Adm	1021.923077	0	238	2036	2123	1543	1712	911	828	400	668	846	892	1088	0
Cldn3	1014.384615	0	136	2979	2889	2367	2365	1275	1176	0	0	0	0	0	0
Smad7	1009.538462	0	353	2026	2304	1415	1683	751	542	384	546	954	863	1303	0
Map1lc3b	1006.076923	0	175	2177	2066	1755	1707	939	895	169	651	578	935	1032	0
Neil1	1004.153846	0	393	1759	1635	1148	1232	755	524	555	1005	1098	1226	1724	0
Fosl2	999.615385	0	617	1947	1884	1382	1548	801	654	371	607	987	950	1247	0
Marchf9	998.769231	0	207	2092	2066	1474	1614	541	581	324	661	854	1113	1457	0
Cdk4	998.769231	0	207	2092	2066	1474	1614	541	581	324	661	854	1113	1457	0
Fcrlb	989.384615	100	241	1897	1975	1338	1311	380	460	241	704	1105	1464	1646	0
Aacs	989.000000	174	574	1948	1621	1374	1322	506	595	747	747	858	1222	1169	0
Ccdc97	987.846154	0	221	1976	2343	1528	1536	470	728	492	606	847	847	1248	0
Pdss1	987.230769	102	444	1818	1820	1236	1331	599	397	617	997	1005	1124	1344	0
Atp7b	985.230769	0	0	2089	2206	1376	1580	748	897	205	454	627	1071	1555	0
Alg11	985.230769	0	0	2089	2206	1376	1580	748	897	205	454	627	1071	1555	0
Dhx33	980.923077	441	919	2179	1980	1585	1599	709	855	281	477	533	518	676	0
Sp2	979.461538	0	728	1237	1618	949	917	396	557	756	1246	1446	1217	1666	0
Nfe2l2	976.000000	0	535	1958	2163	1392	1632	585	792	288	633	695	638	1377	0
Ptpn12	974.461538	0	344	1923	1663	1529	1213	709	706	556	1040	961	1085	939	0
Pcf11	970.307692	0	162	1967	1820	1432	1277	584	604	427	945	531	1159	1706	0
Mnt	968.846154	0	0	1992	2196	1710	1769	588	832	382	657	745	814	910	0
Irf2	966.769231	0	402	1377	1445	1168	1018	395	570	721	1043	912	1543	1974	0
Chd1	965.923077	0	311	2657	2665	1840	1739	619	1014	0	237	241	397	837	0
Rnasek	965.538462	0	200	2591	2234	1654	1505	780	916	164	550	398	782	778	0
0610010K14Rik	965.538462	0	200	2591	2234	1654	1505	780	916	164	550	398	782	778	0
Sec23ip	964.923077	0	398	1663	1757	1047	1315	411	580	286	1015	1094	1378	1600	0
Mcmbp	964.923077	0	398	1663	1757	1047	1315	411	580	286	1015	1094	1378	1600	0
Chac1	952.461538	0	249	2127	2323	1548	1935	679	852	145	651	418	566	889	0
Foxo3	951.076923	0	284	2541	2597	2038	1834	747	1131	0	127	137	510	418	0
Atrnl1	950.769231	0	313	1193	1194	887	813	404	335	983	1279	1392	1629	1938	0
H4c14	944.692308	244	407	2295	2101	1533	1599	698	810	263	620	459	406	846	0
Dhrs9	944.000000	0	182	2566	2119	1508	1531	472	505	236	621	831	890	811	0
Psen1	939.153846	0	0	2576	2372	1599	1908	867	1022	0	224	0	774	867	0
Ap5b1	935.615385	0	256	2150	2190	1712	1714	751	784	237	394	457	596	922	0
Baz1b	933.384615	0	153	2134	2089	1770	1585	682	812	168	561	536	688	956	0
Smc4	931.769231	0	162	1978	2044	1445	1462	615	725	439	725	813	796	909	0
Ift80	931.769231	0	162	1978	2044	1445	1462	615	725	439	725	813	796	909	0
Tas2r143	926.153846	165	551	2085	1846	1545	1539	789	688	247	520	610	701	754	0
Spry4	920.153846	0	504	1654	1708	1226	1216	520	509	562	801	843	1218	1201	0
Osbpl9	910.846154	0	181	2554	2358	1830	1721	1048	798	201	279	258	298	315	0
Fcgr3	906.153846	0	0	2465	2363	1752	1747	773	729	153	233	267	428	870	0
Cutc	904.846154	0	407	1830	1431	1249	1373	503	757	437	914	772	1022	1068	0
Cox15	904.846154	0	407	1830	1431	1249	1373	503	757	437	914	772	1022	1068	0
Oxsm	900.923077	0	269	1802	1777	1179	1362	588	410	277	981	928	952	1187	0
Atg10	895.923077	0	647	1873	1695	1328	1622	860	660	0	389	581	644	1348	0
Npr1	891.692308	244	418	1751	1812	1041	1449	570	544	423	702	706	802	1130	0
Gatb	891.230769	292	598	1506	1429	744	1152	671	595	659	797	818	949	1376	0
Ltbr	889.384615	0	0	2016	2021	1513	1379	587	821	0	355	212	1137	1521	0
Cnpy3	887.846154	0	144	2281	2288	1729	1904	845	953	0	156	0	521	721	0
Cep295	887.000000	0	191	2461	2400	1761	1648	769	750	0	164	183	471	733	0
Sbf2	873.461538	0	121	1494	1455	907	871	448	541	401	1065	1261	1396	1395	0
1110002E22Rik	871.000000	0	136	2701	2595	1833	2109	1028	921	0	0	0	0	0	0
Psmc6	870.307692	109	479	1626	1499	1180	1162	547	705	393	570	504	1080	1460	0
Shtn1	866.384615	0	619	1522	1384	1084	1190	623	584	478	670	603	919	1587	0
Stk40	853.384615	0	317	1985	1908	1277	1250	568	505	330	704	652	667	931	0
Csnk1g2	851.692308	0	332	2252	2129	1520	1634	625	528	91	488	312	448	713	0
Abcf2	850.307692	0	0	2408	2297	1584	1401	560	654	0	291	84	699	1076	0
Etf1	847.923077	0	0	2205	2288	1516	1484	774	669	0	229	0	719	1139	0
Fosb	832.769231	0	105	1997	2405	1670	1570	764	759	0	441	153	386	576	0
Unkl	832.307692	0	0	2445	2310	1299	1384	1495	1887	0	0	0	0	0	0
Percc1	832.307692	0	0	2445	2310	1299	1384	1495	1887	0	0	0	0	0	0
BC003965	832.307692	0	0	2445	2310	1299	1384	1495	1887	0	0	0	0	0	0
Irf2bp2	827.769231	0	254	1190	1301	955	906	387	363	516	1133	1114	1108	1534	0
Gsg1	827.076923	0	235	1726	1684	863	1178	415	471	463	821	887	883	1126	0
Gpat3	825.846154	0	0	2157	2179	1631	1441	606	574	0	321	242	742	843	0
C3	820.769231	0	179	1473	1273	966	1119	387	688	299	820	975	1255	1236	0
Rnf149	820.076923	137	378	1404	1236	1047	1362	722	657	327	626	603	948	1214	0
