Target_genes	Chd2|Average	DRX001066|C2C12	SRX140389|CH12	DRX000343|ES_cells	SRX6784012|ES_cells	SRX6784013|ES_cells	SRX140392|MEL	STRING
Tcstv3	1509.000000	999	2057	355	2187	2216	1240	0
Wdr27	1505.166667	0	2251	0	2093	2290	2397	0
1600012H06Rik	1505.166667	0	2251	0	2093	2290	2397	0
Sec23ip	1486.500000	0	2135	0	2250	2462	2072	0
Mcmbp	1486.500000	0	2135	0	2250	2462	2072	0
Zbtb40	1464.166667	0	2278	0	2210	2320	1977	0
Scamp5	1461.833333	0	2373	0	1827	2091	2480	0
Lamp1	1458.000000	0	2359	0	2198	2088	2103	0
Qrich1	1435.833333	0	2011	0	2183	2398	2023	0
Psmb2	1431.000000	0	2226	0	2052	2102	2206	0
Tspyl1	1429.000000	0	2247	0	1827	2150	2350	0
Denr	1424.166667	0	1909	0	2166	2329	2141	0
Rps7	1417.333333	0	2107	0	1863	2282	2252	0
Nudt1	1402.000000	0	2188	0	1838	2242	2144	0
Crebzf	1378.500000	0	2195	0	1760	2043	2273	0
Dbr1	1357.000000	0	2291	0	1517	2115	2219	0
Pex14	1352.666667	0	2143	0	1906	1868	2199	0
Dffa	1352.666667	0	2143	0	1906	1868	2199	0
Styxl1	1350.833333	0	1975	0	1909	2202	2019	0
Mdh2	1350.833333	0	1975	0	1909	2202	2019	0
Mfsd8	1340.333333	0	2340	0	1598	1771	2333	0
Cct8	1328.000000	0	1938	0	1861	1973	2196	0
Fam76a	1319.166667	0	2153	0	1623	1947	2192	0
Atf2	1318.333333	0	2171	0	1730	1871	2138	0
Abhd18	1316.000000	0	2413	0	1577	1670	2236	0
Ttc14	1310.333333	0	2386	0	1544	1596	2336	0
Psmd5	1306.833333	0	2033	0	1683	2086	2039	0
Cutal	1306.833333	0	2033	0	1683	2086	2039	0
Fadd	1302.000000	0	2210	0	1575	1806	2221	0
Vmac	1300.000000	0	2015	0	1904	1680	2201	0
Ndufa11	1300.000000	0	2015	0	1904	1680	2201	0
Ireb2	1293.833333	0	2140	0	1472	1865	2286	0
Xpc	1293.666667	0	2316	0	1446	1769	2231	0
Lsm3	1293.666667	0	2316	0	1446	1769	2231	0
Eif4a3	1293.333333	0	2048	0	1782	1990	1940	0
Ddx20	1291.000000	0	2200	0	1593	1650	2303	0
Nsun3	1278.666667	0	1893	0	1494	2081	2204	0
Naa35	1278.666667	0	2345	0	1245	1753	2329	0
Micu2	1277.166667	0	2119	0	1611	1704	2229	0
Slc35b4	1275.333333	0	2273	0	1486	1513	2380	0
Ssbp1	1273.166667	0	2259	0	1500	1558	2322	0
Wdr77	1268.333333	0	1784	0	1918	2146	1762	0
Atp5pb	1268.333333	0	1784	0	1918	2146	1762	0
Abi1	1267.333333	0	2162	0	1663	1619	2160	0
Flad1	1266.333333	0	2152	0	1868	1557	2021	0
Stxbp4	1261.500000	0	2029	0	1490	1999	2051	0
Cox11	1261.500000	0	2029	0	1490	1999	2051	0
Uhrf2	1259.333333	0	2320	0	1542	1904	1790	0
Micos10	1256.500000	0	2101	0	1505	1881	2052	0
Creld2	1250.666667	0	2146	0	1355	1744	2259	0
Alg12	1250.666667	0	2146	0	1355	1744	2259	0
Tmem209	1246.000000	0	2161	0	1457	1726	2132	0
Ssmem1	1246.000000	0	2161	0	1457	1726	2132	0
Gdi2	1244.000000	0	2101	0	1671	1547	2145	0
4833439L19Rik	1240.833333	0	2247	0	1522	1518	2158	0
Wdr6	1240.333333	0	2015	0	1556	1773	2098	0
Atp5b	1236.833333	0	1909	0	1999	1722	1791	0
Hspa4	1235.333333	0	1690	0	1745	2139	1838	0
Rnpc3	1227.166667	0	2199	0	1127	1795	2242	0
Eif5	1226.666667	0	1938	0	1638	1678	2106	0
Tas1r1	1225.666667	0	1947	0	1496	1587	2324	0
Nol9	1225.666667	0	1947	0	1496	1587	2324	0
Mob1a	1223.166667	0	1824	0	1597	1874	2044	0
Exo5	1222.500000	0	2265	0	1314	1551	2205	0
Rps3a1	1221.166667	0	1941	0	1555	1797	2034	0
Rps19	1214.000000	0	1765	0	1668	2033	1818	0
Ncoa4	1210.500000	0	2136	0	1351	1682	2094	0
Rraga	1210.000000	0	1870	0	1553	1914	1923	0
B230219D22Rik	1208.833333	0	2250	0	1475	1457	2071	0
Smim10l1	1205.333333	0	1779	0	1572	1601	2280	0
Golm2	1204.500000	0	2184	0	1271	1651	2121	0
Arf3	1204.500000	0	2083	0	1308	1809	2027	0
Gpbp1	1202.833333	0	2146	0	1313	1573	2185	0
Supt5	1202.333333	0	1917	0	1440	1843	2014	0
Polr2b	1201.500000	0	2092	0	1585	1651	1881	0
Noa1	1201.500000	0	2092	0	1585	1651	1881	0
Slc26a8	1196.333333	0	2068	0	1370	1860	1880	0
Mapk14	1196.333333	0	2068	0	1370	1860	1880	0
Coq9	1191.833333	0	2244	0	1018	1750	2139	0
Ciapin1	1191.833333	0	2244	0	1018	1750	2139	0
Josd2	1191.333333	0	2232	0	1199	1449	2268	0
Aspdh	1191.333333	0	2232	0	1199	1449	2268	0
Katnb1	1189.666667	0	2039	0	1472	1557	2070	0
Cdk12	1189.666667	0	1489	0	1939	2143	1567	0
Rbm26	1188.166667	0	2008	0	1244	1646	2231	0
Thap11	1180.166667	0	1810	0	1480	1945	1846	0
Cenpt	1180.166667	0	1810	0	1480	1945	1846	0
Akap11	1180.166667	0	2242	0	1320	1425	2094	0
Nop14	1179.833333	0	2139	0	1307	1718	1915	0
Grk4	1179.833333	0	2139	0	1307	1718	1915	0
Copb2	1179.666667	0	2357	0	1107	1483	2131	0
Haspin	1172.000000	0	1998	0	1417	1427	2190	0
Edrf1	1172.000000	0	2029	0	1208	1723	2072	0
Slc25a4	1168.833333	0	2188	0	1310	1493	2022	0
Zfp566	1168.666667	0	1771	0	1809	1808	1624	0
Zfp260	1168.666667	0	1771	0	1809	1808	1624	0
Hsbp1	1165.333333	0	2273	0	1400	1151	2168	0
Stk38l	1164.666667	0	2273	0	1278	1425	2012	0
Sugp1	1163.000000	0	2078	0	1211	1579	2110	0
Mau2	1163.000000	0	2078	0	1211	1579	2110	0
Dnm2	1162.833333	0	2024	0	1947	1497	1509	0
Sp2	1159.666667	0	1757	0	1834	1567	1800	0
Ubr3	1159.166667	0	2332	0	1116	1329	2178	0
Tom1	1159.166667	0	2223	0	1537	1214	1981	0
Rbm39	1155.833333	0	1617	0	1727	1937	1654	0
Ptgr2	1154.333333	0	2205	0	1280	1377	2064	0
Tcf25	1154.166667	0	2130	0	1347	1426	2022	0
Zfp317	1152.833333	0	2126	0	1560	1596	1635	0
Cdc5l	1148.666667	0	2006	0	1443	1540	1903	0
Btbd10	1147.000000	0	2147	0	1214	1646	1875	0
Chuk	1145.166667	0	2216	0	1391	1286	1978	0
Nkrf	1144.666667	0	2346	0	1069	1301	2152	0
Phf12	1141.166667	0	1516	0	1874	1769	1688	0
Tmco1	1139.666667	0	2030	0	1405	1424	1979	0
Zswim4	1137.333333	0	2113	0	1357	1388	1966	0
Rpl7a	1137.166667	0	1769	0	1588	1694	1772	0
Med22	1137.166667	0	1769	0	1588	1694	1772	0
Lrif1	1137.000000	0	2439	0	1248	1936	1199	0
