Target_genes	Cic|Average	SRX24930821|ES_cells	SRX24930822|ES_cells	SRX24930824|ES_cells	SRX24930825|ES_cells	SRX24930827|ES_cells	SRX24930828|ES_cells	SRX24930830|ES_cells	SRX24930831|ES_cells	STRING
Tcstv3	2521.875000	2482	2521	2571	2523	2544	2515	2525	2494	0
Cldn34d	2054.750000	2073	2062	2133	2011	2057	2074	2005	2023	0
Brox	1311.125000	1218	1221	1474	1414	1246	1174	1362	1380	0
Aida	1311.125000	1218	1221	1474	1414	1246	1174	1362	1380	0
Tmem125	1016.750000	954	1033	1037	1109	1008	986	945	1062	0
Asmt	729.750000	745	703	768	768	694	758	666	736	0
Il31ra	679.500000	594	690	715	820	667	602	719	629	0
Kpna1	661.375000	642	590	738	726	580	636	655	724	0
Spry4	595.875000	940	881	482	438	816	769	193	248	0
Etv5	513.625000	685	828	507	389	626	718	198	158	0
Oasl1	434.625000	336	480	439	393	384	373	584	488	0
Sspn	429.875000	522	579	495	579	242	391	342	289	0
Vmn1r2	325.625000	351	292	351	285	304	346	265	411	0
Gm4981	292.500000	253	302	309	359	251	257	248	361	0
Alyref2	283.375000	350	325	226	193	352	355	238	228	0
9230019H11Rik	277.125000	269	290	259	322	239	217	298	323	0
Slc25a4	260.500000	275	264	311	245	268	259	170	292	0
Maff	237.500000	366	443	172	156	358	405	0	0	0
Etv4	184.000000	311	310	154	200	241	256	0	0	0
Dux	180.125000	153	233	126	242	136	215	183	153	0
Bod1	148.000000	197	0	253	0	0	254	234	246	0
Prickle1	146.875000	93	176	110	202	131	226	92	145	0
Etv1	145.625000	226	306	107	123	175	228	0	0	0
Elobl	132.875000	125	113	114	135	153	168	148	107	0
Nkap	124.875000	0	0	253	0	0	276	245	225	0
Gpr3	124.000000	354	184	66	0	173	215	0	0	0
Coil	111.250000	108	0	114	135	110	168	148	107	0
Trim50	109.375000	0	0	341	0	0	0	289	245	0
Ttc32	98.125000	159	128	0	0	251	149	98	0	0
Dusp6	94.125000	149	169	0	0	261	174	0	0	0
Hcrtr1	83.375000	192	177	0	0	130	168	0	0	0
Id1	79.125000	161	152	0	0	112	208	0	0	0
Pip4k2b	75.375000	215	189	0	0	100	99	0	0	0
Cdc14b	74.250000	146	172	0	0	153	123	0	0	0
Gm51573	73.125000	0	120	109	205	151	0	0	0	0
Dusp4	70.625000	153	286	0	0	0	126	0	0	0
Zfp991	65.375000	0	108	0	125	170	0	0	120	0
Gtf3c6	55.375000	104	110	0	0	113	116	0	0	0
Hivep1	51.125000	109	70	0	0	99	131	0	0	0
Hes3	49.375000	0	122	0	0	147	0	126	0	0
Zswim4	41.250000	94	147	0	0	89	0	0	0	0
Gm4861	37.500000	0	70	0	0	95	0	135	0	0
Lrp8	35.500000	96	110	0	0	78	0	0	0	0
Unc13a	32.125000	116	0	0	0	0	141	0	0	0
Plk3	32.000000	148	108	0	0	0	0	0	0	0
Ncald	28.125000	0	0	0	0	0	0	0	225	0
Fcgr3	23.750000	0	0	0	0	0	190	0	0	0
Gm10354	22.125000	0	80	97	0	0	0	0	0	0
Tex14	19.000000	83	0	0	0	69	0	0	0	0
Taf12	19.000000	65	0	0	0	87	0	0	0	0
Sfi1	18.875000	0	90	0	61	0	0	0	0	0
Eif4enif1	18.875000	0	90	0	61	0	0	0	0	0
Rdm1	16.625000	0	0	0	0	0	133	0	0	0
Rax	16.500000	132	0	0	0	0	0	0	0	0
Zfp982	15.750000	0	0	0	0	0	126	0	0	0
Klhdc4	13.125000	0	0	0	0	0	105	0	0	0
Speer4e	12.500000	0	0	0	0	0	0	0	100	0
BC107364	12.500000	0	0	0	0	100	0	0	0	0
Tmem107	11.750000	0	0	0	0	94	0	0	0	0
Lrrn2	11.750000	0	0	0	0	94	0	0	0	0
Fosl1	11.250000	90	0	0	0	0	0	0	0	0
Spred3	11.000000	0	88	0	0	0	0	0	0	0
Ggn	11.000000	0	88	0	0	0	0	0	0	0
Sirt4	10.375000	0	0	0	0	83	0	0	0	0
Ndufs7	10.375000	0	0	0	0	0	83	0	0	0
Zfp978	9.375000	0	0	0	0	75	0	0	0	0
Has3	9.250000	0	74	0	0	0	0	0	0	0
Pfas	8.250000	0	0	0	0	0	0	66	0	0
Eapp	8.250000	0	66	0	0	0	0	0	0	0
AY761185	8.000000	0	64	0	0	0	0	0	0	0
