Target_genes	Clock|Average	SRX1098141|Beta-TC-6	SRX7525068|Gastrocnemius_muscle	SRX7525069|Gastrocnemius_muscle	DRX011942|Liver	DRX011943|Liver	DRX011944|Liver	DRX011945|Liver	DRX011946|Liver	DRX011947|Liver	DRX011948|Liver	DRX011949|Liver	DRX011950|Liver	DRX011951|Liver	DRX011952|Liver	DRX011953|Liver	DRX011954|Liver	DRX011955|Liver	DRX011956|Liver	DRX011957|Liver	DRX011958|Liver	DRX011959|Liver	DRX011960|Liver	DRX011961|Liver	SRX131982|Liver	SRX285121|Liver	SRX285122|Liver	SRX285123|Liver	SRX285124|Liver	SRX285125|Liver	SRX285126|Liver	SRX285127|Liver	SRX285128|Liver	SRX285129|Liver	SRX285130|Liver	SRX285131|Liver	SRX285132|Liver	SRX414999|Liver	SRX415000|Liver	SRX4416878|Liver	SRX4416879|Liver	SRX4416880|Liver	SRX4416881|Liver	SRX4416892|Liver	SRX4416894|Liver	SRX4416896|Liver	SRX4416898|Liver	SRX710452|Liver	SRX710446|NIH/3T3	SRX710447|NIH/3T3	SRX710448|NIH/3T3	SRX710449|NIH/3T3	SRX710450|NIH/3T3	SRX710451|NIH/3T3	STRING
Cldn34d	890.754717	924	2300	1871	680	496	549	636	655	473	266	459	428	544	1210	1132	980	1009	1203	432	692	828	555	435	666	678	662	605	710	683	672	252	436	642	990	326	0	2102	2286	1798	1600	2305	1696	1989	1802	2363	1570	681	0	487	197	0	255	0	0
Nr1d2	793.735849	1013	2451	2322	0	0	0	0	0	0	0	0	0	0	1270	1556	1950	1242	1998	232	265	742	948	277	0	0	0	0	0	0	0	0	0	0	0	0	0	2537	2199	2885	2672	1922	2666	2494	3219	2814	2156	0	0	0	238	0	0	0	0
Brox	748.943396	425	1980	1818	425	511	499	537	452	443	319	446	329	297	1098	1257	1270	1220	1468	442	557	1030	411	202	580	389	358	390	414	468	359	115	306	406	708	204	115	1884	2386	1374	1212	1829	1344	1875	1403	2016	1541	582	0	0	0	0	0	0	0
Aida	748.943396	425	1980	1818	425	511	499	537	452	443	319	446	329	297	1098	1257	1270	1220	1468	442	557	1030	411	202	580	389	358	390	414	468	359	115	306	406	708	204	115	1884	2386	1374	1212	1829	1344	1875	1403	2016	1541	582	0	0	0	0	0	0	0
Tcstv3	735.358491	0	1860	1934	834	585	550	683	846	577	556	616	724	773	1264	1422	1032	1076	1388	740	592	1188	1063	810	836	726	722	760	810	721	762	984	1380	1518	1210	1173	440	1961	2012	274	161	0	197	0	196	0	215	803	0	0	0	0	0	0	0
Per2	619.924528	560	2618	2565	0	0	0	0	0	0	0	0	0	0	1027	911	1354	899	1640	151	301	819	876	247	0	0	0	0	0	0	0	0	0	163	0	0	0	1255	652	2217	1680	1358	1845	2126	2597	2007	1805	0	291	119	534	102	137	0	0
Tef	604.358491	653	1993	1930	0	0	0	0	0	0	0	0	0	0	790	1085	1368	618	1405	139	220	861	746	325	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	1276	2173	1961	1362	1924	1909	2311	2074	1787	0	279	131	457	119	215	0	0
Igsf8	591.471698	254	2549	2695	0	0	0	0	0	0	0	0	0	0	1154	1338	1438	739	1883	92	174	478	849	193	0	0	0	0	0	0	0	0	0	0	0	0	0	2289	1244	2108	1855	1150	2066	1331	2487	1831	1151	0	0	0	0	0	0	0	0
Ciart	543.849057	532	2337	2359	0	0	0	0	0	0	0	0	0	0	796	1040	1050	620	1347	74	123	237	764	85	144	0	0	0	0	0	0	0	0	0	0	0	0	1947	1160	1707	1689	1324	1798	1898	2222	1788	1621	0	0	0	162	0	0	0	0
Adh5	532.018868	308	3003	3133	0	0	0	0	0	0	0	0	0	0	911	974	1079	351	958	0	0	250	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1783	1416	2377	1794	1220	2121	1274	1704	1723	1389	0	0	0	0	0	0	0	0
Nup50	523.113208	131	2574	2818	0	0	0	0	0	0	0	0	0	0	556	1049	1484	456	873	0	0	156	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2216	926	2304	2207	1555	2358	1958	1478	933	1090	0	0	0	0	0	0	0	0
Ncl	519.792453	211	1844	2202	0	0	0	0	0	0	0	0	0	0	943	968	1158	473	1146	0	74	440	971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1663	571	2544	2299	1621	2413	1585	1721	1526	1176	0	0	0	0	0	0	0	0
Per3	504.943396	550	2827	2886	0	0	0	0	0	0	0	0	0	0	239	368	572	0	690	0	0	232	561	216	0	0	0	0	0	0	0	0	0	0	0	0	0	1605	790	2185	1820	1277	2152	1984	2355	2108	1345	0	0	0	0	0	0	0	0
Cry1	503.471698	540	2901	2947	0	0	0	0	0	0	0	0	0	0	640	711	591	357	741	0	119	599	463	228	0	0	0	0	0	0	0	0	0	0	0	0	0	990	326	2211	1499	1235	1821	1655	2532	2148	1263	0	0	0	167	0	0	0	0
Jade1	501.490566	0	912	1219	0	0	0	0	0	0	0	0	0	0	1149	1317	1487	914	1266	0	0	155	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1654	976	2090	1809	1567	2254	1867	2071	2037	980	0	0	0	0	0	0	0	0
Dbp	495.452830	298	1546	1355	0	0	0	0	0	0	0	0	0	0	1235	1509	1421	730	1361	132	127	372	773	179	80	0	0	0	0	0	0	0	0	0	0	0	0	845	592	1778	1767	1509	1495	1873	1661	1732	1702	0	0	0	187	0	0	0	0
Nptn	481.849057	253	2939	3193	0	0	0	0	0	0	0	0	0	0	377	658	443	309	989	0	0	0	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1887	827	1931	1685	1134	2057	1202	1923	1875	1014	0	0	0	0	0	0	0	0
Gpi1	475.735849	0	805	833	0	0	0	0	0	0	0	0	0	0	1079	1596	1708	566	1427	0	187	407	809	195	0	0	0	0	0	0	0	0	0	0	0	0	0	1985	1174	1607	1245	1390	2428	1489	1479	1742	1063	0	0	0	0	0	0	0	0
Coq10b	465.584906	0	2946	2903	0	0	0	0	0	0	0	0	0	0	173	359	707	520	929	0	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1310	714	1844	1654	1303	2234	1684	1965	1803	1024	0	0	0	0	0	0	0	0
Mthfd1l	462.000000	218	698	1426	0	0	0	0	0	0	0	0	0	0	722	929	799	447	1234	0	91	399	684	192	0	0	0	0	0	0	0	0	0	0	0	0	0	2408	939	2121	1782	1306	2070	1097	1713	2009	914	105	0	0	183	0	0	0	0
Fbxl22	459.962264	0	1811	1968	0	0	0	0	0	0	0	0	0	0	503	553	955	346	952	0	0	424	701	290	0	0	0	0	0	0	0	0	0	0	0	0	0	1666	401	1891	1596	1440	2009	1934	1795	2188	955	0	0	0	0	0	0	0	0
Fbxo30	457.188679	192	2615	2893	0	0	0	0	0	0	0	0	0	0	591	622	604	490	1297	0	0	145	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1981	1026	1703	1170	1100	1789	1152	2120	1572	912	0	0	0	0	0	0	0	0
1810013L24Rik	450.113208	153	1773	2150	0	0	0	0	0	0	0	0	0	0	450	750	792	341	882	0	0	173	797	147	0	0	0	0	0	0	0	0	0	0	0	0	0	1582	480	2013	1924	1222	1948	1489	1958	2131	701	0	0	0	0	0	0	0	0
Bhlhe40	439.377358	82	1309	1665	0	0	0	0	0	0	0	0	0	0	604	850	1350	952	1343	0	0	192	900	91	0	0	0	0	0	0	0	0	0	0	0	0	0	1021	783	1586	1510	1337	1712	1382	1830	1949	839	0	0	0	0	0	0	0	0
Fam76a	436.490566	0	3175	3474	0	0	0	0	0	0	0	0	0	0	237	477	776	327	1329	0	0	0	799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2490	1377	1244	825	677	1269	1013	1177	1530	938	0	0	0	0	0	0	0	0
Rorc	435.207547	397	1023	1658	0	0	0	0	0	0	0	0	0	0	1079	1405	1081	493	1162	0	76	560	900	201	0	0	0	0	0	0	0	0	0	0	0	0	0	1459	817	1744	1631	1143	1626	991	1210	1733	677	0	0	0	0	0	0	0	0
Per1	433.622642	562	1446	1245	0	0	0	0	0	0	0	0	0	0	617	645	781	404	905	0	93	267	539	159	128	0	0	0	0	0	0	0	0	0	0	0	0	1008	671	1452	1191	1102	1383	1684	1924	1702	1520	123	346	113	706	130	136	0	0
Gmfb	431.283019	136	1104	1425	0	0	0	0	0	0	0	0	0	0	467	905	1095	458	999	0	0	109	785	84	0	0	0	0	0	0	0	0	0	0	0	0	0	1765	726	2090	2403	1432	2186	704	1528	1882	575	0	0	0	0	0	0	0	0
Khdrbs1	430.584906	266	2104	2645	0	0	0	0	0	0	0	0	0	0	609	743	844	301	719	0	0	209	651	58	0	0	0	0	0	0	0	0	0	0	0	0	0	958	425	1992	1608	1127	1974	1250	1741	1577	938	0	0	0	82	0	0	0	0
Ccno	429.641509	0	184	370	0	0	0	0	0	0	0	0	0	0	752	962	1012	468	1554	0	139	404	732	336	0	0	0	0	0	0	0	0	0	0	0	0	0	2083	811	2193	1657	1366	2075	1226	1419	2111	917	0	0	0	0	0	0	0	0
Nr1d1	427.830189	369	1190	1041	0	0	0	0	0	0	0	0	0	0	760	828	977	405	1151	148	114	308	643	162	146	0	0	0	0	0	0	0	0	0	0	0	0	987	627	1603	1316	1376	1458	1628	1661	1819	1593	0	0	0	365	0	0	0	0
Tmem125	425.169811	344	1654	1649	300	337	312	333	359	351	370	327	371	307	777	831	928	599	1030	289	333	767	361	268	351	268	314	232	274	293	252	227	454	407	540	387	229	627	1265	318	253	244	231	301	250	314	279	395	0	424	0	208	0	0	0
Bnip3	423.396226	153	2297	2608	0	0	0	0	0	0	0	0	0	0	304	252	344	170	400	0	0	126	623	153	0	0	0	0	0	0	0	0	0	0	0	0	0	1222	796	1897	1737	1159	1821	1484	1791	1879	1224	0	0	0	0	0	0	0	0
Cry2	417.962264	173	2558	2666	0	0	0	0	0	0	0	0	0	0	951	1083	1023	431	1149	63	221	727	834	332	0	0	0	0	0	0	0	0	0	0	0	0	0	1084	456	1341	743	854	1276	733	1285	1180	704	0	0	0	285	0	0	0	0
Tbcel	407.169811	136	1440	1860	0	0	0	0	0	0	0	0	0	0	702	721	1874	275	350	0	0	145	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2006	467	2105	1493	1025	1755	1528	1318	1007	646	0	0	0	0	0	0	0	0
Ankrd12	405.566038	207	1725	2246	0	0	0	0	0	0	0	0	0	0	255	594	826	161	906	0	0	172	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1748	561	1910	1712	1179	1777	1149	1445	1423	802	0	0	0	0	0	0	0	0
