Target_genes	Dbp|Average	DRX178619|Liver	DRX178621|Liver	DRX178627|Liver	DRX178629|Liver	STRING
Them5	2608.250000	2826	2473	1895	3239	0
Slc47a1	2578.250000	2813	1997	2469	3034	0
Ccdc141	2404.000000	2524	1986	1949	3157	0
Nfe2	2246.750000	2233	1493	1366	3895	0
Slc38a4	2216.250000	2330	1881	1988	2666	0
Clu	2152.250000	2506	1671	1487	2945	0
Prps1l1	2084.750000	2242	1697	1641	2759	0
Rnf13	2066.250000	1752	1136	1679	3698	0
Sar1b	2031.750000	2070	1710	1671	2676	0
Psmd4	2031.750000	1758	1235	1539	3595	0
Sec24a	2024.500000	2332	1677	1621	2468	0
Sox6	2004.750000	2006	1671	1516	2826	0
Ireb2	2001.750000	2140	1593	1621	2653	0
Sipa1l2	1995.500000	2415	1486	1289	2792	0
Ankrd46	1976.750000	1946	1559	1460	2942	0
Ssbp3	1884.000000	2225	1461	1207	2643	0
Btbd19	1846.000000	2163	1147	1307	2767	0
Hjurp	1844.000000	1830	1678	1270	2598	0
A730008H23Rik	1844.000000	1830	1678	1270	2598	0
Stub1	1835.750000	1905	1029	1314	3095	0
Jmjd8	1835.750000	1905	1029	1314	3095	0
Tchhl1	1833.500000	2186	1657	1345	2146	0
Nepro	1816.000000	1857	1624	1532	2251	0
Aldh3b1	1814.250000	1623	943	1067	3624	0
Gcnt2	1795.000000	1979	1682	1254	2265	0
Rnf5	1777.250000	1733	1291	1330	2755	0
Agpat1	1777.250000	1733	1291	1330	2755	0
Paqr7	1776.750000	1436	714	1139	3818	0
Nudt5	1761.000000	3486	0	0	3558	0
Nectin1	1737.750000	1745	1739	1327	2140	0
Man1a	1737.750000	2138	1499	1336	1978	0
Gtdc1	1720.500000	1986	1730	1108	2058	0
Gpt2	1710.500000	1608	1417	1454	2363	0
Stk25	1686.500000	1331	829	848	3738	0
Prss8	1671.250000	2194	1318	1249	1924	0
Slc25a31	1665.000000	1627	1288	1416	2329	0
Slco1a4	1657.250000	1928	1451	1249	2001	0
Pabpn1	1654.500000	1124	1013	1308	3173	0
Hrg	1647.750000	1543	1205	1603	2240	0
Ttc39a	1631.000000	1765	1367	1278	2114	0
Per1	1630.000000	1599	1001	1111	2809	0
Akr1d1	1616.000000	1883	1521	1032	2028	0
Tfam	1582.250000	1889	1271	1166	2003	0
Tmprss4	1561.750000	1610	962	1514	2161	0
Bcar3	1558.500000	1639	1341	1196	2058	0
Ripk4	1551.750000	1615	1058	1424	2110	0
Vnn3	1546.000000	1971	964	1307	1942	0
Lrrc61	1546.000000	1508	887	906	2883	0
Mocs2	1525.250000	1357	1292	1302	2150	0
Pbld2	1524.250000	1630	673	766	3028	0
Hnrnph3	1524.250000	1630	673	766	3028	0
Lonrf1	1518.500000	965	604	1105	3400	0
Cfb	1505.250000	1584	894	830	2713	0
Tspan31	1504.000000	1682	1283	1174	1877	0
Slc25a15	1501.500000	1787	1025	1168	2026	0
Prepl	1481.000000	930	513	1219	3262	0
Camkmt	1481.000000	930	513	1219	3262	0
Prpsap1	1463.000000	1626	1178	1052	1996	0
Polr3gl	1462.750000	1673	1153	972	2053	0
Ankrd34a	1462.750000	1673	1153	972	2053	0
Bcar1	1462.000000	1479	855	1136	2378	0
Tor1a	1458.500000	1776	1084	1154	1820	0
Prlr	1451.750000	1478	933	1254	2142	0
C77080	1444.750000	1421	735	597	3026	0
Cyp2b10	1440.000000	1552	972	1089	2147	0
Brox	1438.500000	1470	1052	1669	1563	0
Aida	1438.500000	1470	1052	1669	1563	0
Zfand4	1436.500000	1703	1176	1064	1803	0
Ldah	1431.750000	1641	1131	1043	1912	0
Chpt1	1430.750000	1735	1003	1044	1941	0
Rap2a	1426.500000	1056	512	731	3407	0
Cpsf4l	1415.750000	1012	754	1082	2815	0
Nudt19	1399.750000	1797	1143	966	1693	0
Neu2	1398.250000	1391	903	851	2448	0
1700001J03Rik	1384.500000	1747	1278	881	1632	0
Clec7a	1382.250000	1358	1294	912	1965	0
Cyp2d26	1380.500000	1461	1005	1214	1842	0
Asrgl1	1378.000000	2060	1357	709	1386	0
Spred1	1373.000000	1650	791	769	2282	0
Sil1	1370.500000	1289	779	1174	2240	0
Mphosph10	1363.500000	863	526	610	3455	0
Mcee	1363.500000	863	526	610	3455	0
Prg4	1361.000000	1341	1299	1047	1757	0
Ptprs	1358.250000	1082	470	566	3315	0
Meis1	1351.750000	1300	578	748	2781	0
Plcb1	1350.500000	889	627	714	3172	0
Slc22a5	1346.750000	1633	1002	1093	1659	0
Dars2	1346.250000	1253	578	677	2877	0
Cldn34d	1344.750000	1257	1253	1354	1515	0
Trim41	1344.250000	1425	1158	989	1805	0
Nadk2	1343.000000	1616	1202	990	1564	0
Cyp26a1	1342.500000	1281	1035	931	2123	0
Top1	1338.750000	1089	498	651	3117	0
Gpld1	1333.000000	1635	863	1039	1795	0
Aldh5a1	1333.000000	1635	863	1039	1795	0
Ndfip1	1329.500000	1322	1454	858	1684	0
Dbp	1311.250000	1181	734	735	2595	0
Car11	1311.250000	1181	734	735	2595	0
Nsun4	1307.500000	1347	951	826	2106	0
Man1b1	1297.250000	1584	321	353	2931	0
Prcc	1288.250000	1332	859	1092	1870	0
Agmat	1286.500000	1427	944	796	1979	0
Tbc1d10b	1283.500000	1305	1022	848	1959	0
Mylpf	1283.500000	1305	1022	848	1959	0
Spc24	1282.500000	1318	1194	1015	1603	0
Leng9	1270.000000	1133	360	522	3065	0
C9	1268.500000	1727	1392	799	1156	0
Rp9	1266.000000	1358	758	750	2198	0
Eif4ebp3	1265.500000	1518	887	874	1783	0
Hnrnpf	1264.500000	1504	1104	770	1680	0
Cyp2c54	1258.250000	1419	1074	917	1623	0
Cyp4v3	1247.250000	1140	1030	1190	1629	0
Mef2a	1246.500000	1167	953	1116	1750	0
Ttpa	1246.000000	1257	1263	860	1604	0
Sardh	1241.250000	1215	780	757	2213	0
Clk4	1241.250000	824	376	642	3123	0
BC049762	1241.250000	824	376	642	3123	0
Olfr1036	1240.500000	1509	1039	827	1587	0
Fyco1	1239.250000	1182	610	520	2645	0
Plppr2	1234.750000	873	707	542	2817	0
Cgn	1234.750000	1155	834	950	2000	0
Sephs2	1234.000000	1442	1045	905	1544	0
Aqp9	1231.250000	1503	1241	914	1267	0
Pnkd	1227.000000	1336	1131	988	1453	0
Suclg2	1222.500000	1364	968	966	1592	0
Ubqln1	1217.500000	1432	909	851	1678	0
Acsm5	1215.000000	1444	1069	722	1625	0
Slc22a7	1214.500000	1680	1027	364	1787	0
Acsl5	1210.250000	1279	948	909	1705	0
Zfyve9	1208.250000	1345	911	886	1691	0
Qtrt2	1206.000000	1097	940	636	2151	0
Ccdc191	1206.000000	1097	940	636	2151	0
Rdh7	1198.500000	1294	817	769	1914	0
Ackr2	1198.000000	1054	820	1015	1903	0
Srd5a2	1196.500000	1089	826	1024	1847	0
Trim26	1192.500000	1251	1109	816	1594	0
Stat3	1192.000000	1348	948	858	1614	0
Cd47	1191.750000	1141	1217	722	1687	0
Trim24	1188.000000	1308	832	943	1669	0
Etfrf1	1187.250000	999	596	553	2601	0
Casc1	1187.250000	999	596	553	2601	0
Snai3	1186.000000	1164	639	775	2166	0
Mat1a	1181.500000	1288	896	947	1595	0
Sbk1	1176.250000	1062	915	835	1893	0
Jazf1	1173.750000	1482	657	878	1678	0
Hsd17b13	1171.750000	1482	759	765	1681	0
Akr1c14	1168.750000	1416	899	868	1492	0
Rnf170	1165.250000	1258	995	976	1432	0
Hook3	1165.250000	1258	995	976	1432	0
Car1	1165.250000	1224	1083	764	1590	0
Trim69	1160.500000	1296	855	776	1715	0
Cd82	1158.750000	1412	725	695	1803	0
Trp53inp1	1154.000000	1168	901	934	1613	0
Nfyb	1151.000000	1176	738	1058	1632	0
Pigr	1150.000000	1306	760	766	1768	0
Wdr91	1145.000000	1299	857	787	1637	0
Tmem189	1144.250000	854	420	579	2724	0
Nudt7	1143.000000	1345	892	911	1424	0
Fmo2	1142.000000	1340	906	918	1404	0
Stbd1	1139.500000	1248	970	787	1553	0
Eola1	1137.500000	1241	963	727	1619	0
Fam181a	1137.250000	1158	707	708	1976	0
Arhgap32	1128.750000	1337	694	779	1705	0
Ppp1r3g	1128.500000	1222	1009	903	1380	0
Fgl1	1126.750000	1260	1018	730	1499	0
Pten	1126.500000	798	480	810	2418	0
Aoc1	1120.000000	1360	657	667	1796	0
Fosl2	1117.000000	1327	1087	714	1340	0
Mal2	1112.000000	1243	842	610	1753	0
Selenbp1	1107.750000	1066	727	537	2101	0
Rbfox2	1106.000000	1281	920	776	1447	0
Zbtb21	1105.750000	1078	1105	833	1407	0
Galnt9	1101.750000	1170	512	727	1998	0
Gzf1	1101.250000	518	363	565	2959	0
Uqcrq	1098.250000	924	691	640	2138	0
Gdf9	1098.250000	924	691	640	2138	0
Lztfl1	1097.500000	812	272	397	2909	0
Pik3r1	1093.750000	1238	855	754	1528	0
Ttc39c	1091.750000	1124	639	1168	1436	0
Kpna3	1090.250000	1260	934	679	1488	0
Pcdh1	1087.500000	1070	654	688	1938	0
Fcgrt	1081.750000	1006	780	541	2000	0
Xrcc1	1081.500000	1332	827	779	1388	0
Homer2	1080.500000	1163	786	665	1708	0
Errfi1	1079.750000	1290	943	859	1227	0
Riok2	1079.250000	1194	834	788	1501	0
Atf7ip	1078.250000	811	607	331	2564	0
Abcg8	1075.250000	931	543	835	1992	0
Abcg5	1075.250000	931	543	835	1992	0
Cyp2c37	1065.750000	1157	987	872	1247	0
Mbp	1065.250000	870	804	575	2012	0
Ccdc15	1062.250000	971	935	777	1566	0
Tmem53	1059.750000	1504	947	696	1092	0
Armh1	1059.750000	1504	947	696	1092	0
Dido1	1059.250000	1326	723	712	1476	0
Trak1	1057.500000	1193	414	538	2085	0
Cyp2d22	1055.750000	1096	649	630	1848	0
Prtn3	1055.250000	1142	578	647	1854	0
Plppr3	1055.250000	1142	578	647	1854	0
Slc10a1	1051.250000	1311	574	566	1754	0
Prox2	1050.500000	1036	779	732	1655	0
Rnase4	1050.000000	1083	727	813	1577	0
Ang	1050.000000	1083	727	813	1577	0
Slc25a25	1046.500000	1398	817	694	1277	0
Birc2	1046.000000	816	412	482	2474	0
Dennd4a	1045.000000	949	764	934	1533	0
AI987944	1044.750000	1020	671	802	1686	0
Tmem222	1041.500000	1207	678	776	1505	0
Pck1	1037.250000	938	577	839	1795	0
Fhit	1037.000000	1164	1096	695	1193	0
Ifrd1	1035.500000	764	435	608	2335	0
Hcar2	1030.500000	1265	686	721	1450	0
Cetn4	1022.250000	1160	867	769	1293	0
Bbs12	1022.250000	1160	867	769	1293	0
Akt2	1020.250000	1178	673	786	1444	0
Rbm48	1019.250000	1018	1039	775	1245	0
Pex1	1019.250000	1018	1039	775	1245	0
Inf2	1018.000000	803	710	585	1974	0
Glyctk	1016.750000	1098	636	681	1652	0
Cic	1015.500000	878	761	817	1606	0
Dact2	1015.250000	980	669	761	1651	0
Rbp1	1014.000000	786	510	898	1862	0
Rabggta	1011.000000	1102	838	822	1282	0
Ndst1	1009.000000	1014	476	662	1884	0
Dio1	1009.000000	1401	797	728	1110	0
Hgsnat	1007.500000	1186	966	614	1264	0
Tmem135	1006.750000	946	572	554	1955	0
Fzd4	1006.750000	946	572	554	1955	0
Ces1b	1006.750000	1089	853	728	1357	0
Gm33989	1004.250000	1203	797	731	1286	0
Marveld1	1003.750000	1287	710	777	1241	0
Phf2	1001.750000	985	509	742	1771	0
Ipmk	1001.250000	1239	1008	596	1162	0
Cisd1	1001.250000	1239	1008	596	1162	0
Acnat2	1001.000000	922	970	835	1277	0
Acmsd	998.500000	1038	807	763	1386	0
Ric8a	995.750000	1040	418	576	1949	0
Bet1l	995.750000	1040	418	576	1949	0
Tgfbr2	994.250000	1332	734	574	1337	0
Parp16	993.250000	1215	515	568	1675	0
Fktn	991.750000	525	273	282	2887	0
Herpud1	991.500000	881	362	453	2270	0
Kansl1	985.750000	1400	897	520	1126	0
Igsf23	985.750000	890	612	1022	1419	0
Cyp3a11	984.500000	1111	771	683	1373	0
Nudt13	984.250000	1395	671	630	1241	0
Mrfap1	982.750000	1183	731	557	1460	0
Ttll5	982.500000	826	847	771	1486	0
Erg28	982.500000	826	847	771	1486	0
Slc39a13	979.750000	1005	787	648	1479	0
Bhlhe40	979.500000	470	222	485	2741	0
Mgst1	978.750000	1128	905	632	1250	0
Tmem125	978.500000	855	580	711	1768	0
Adcy10	975.000000	1057	796	718	1329	0
Id1	974.000000	679	385	645	2187	0
Zfp740	973.750000	1077	712	598	1508	0
Ptprd	969.500000	1263	599	680	1336	0
Rorc	968.750000	1049	810	787	1229	0
C2cd4d	968.750000	1049	810	787	1229	0
P2ry1	967.750000	937	223	406	2305	0
Slc66a2	967.500000	851	738	882	1399	0
Acat2	967.500000	764	529	555	2022	0
Cyp2b9	963.000000	855	785	792	1420	0
Yif1b	962.000000	446	515	526	2361	0
Rnf43	961.500000	1073	573	993	1207	0
L3mbtl3	961.000000	961	560	464	1859	0
Thnsl1	960.000000	966	557	343	1974	0
Enkur	960.000000	966	557	343	1974	0
Kcnk4	957.500000	1122	713	648	1347	0
Bckdhb	957.500000	883	849	697	1401	0
E2f8	957.000000	1362	729	600	1137	0
Ifi47	956.000000	1149	858	602	1215	0
Ddo	948.250000	933	582	570	1708	0
Timm21	948.000000	894	625	639	1634	0
Fbxo15	948.000000	894	625	639	1634	0
Tiparp	947.000000	1030	299	292	2167	0
5031439G07Rik	942.000000	843	591	453	1881	0
Ctdsp2	941.750000	873	588	688	1618	0
Sult2a8	939.000000	936	675	683	1462	0
Ptpn12	938.500000	923	884	718	1229	0
Rtp3	937.750000	889	690	749	1423	0
Psma4	936.000000	1235	727	564	1218	0
Apoe	936.000000	689	433	530	2092	0
AY074887	936.000000	1235	727	564	1218	0
Aktip	935.500000	471	388	440	2443	0
Polg2	934.250000	1070	833	740	1094	0
Atp6v1b1	933.000000	1238	678	465	1351	0
Sarnp	932.500000	729	469	394	2138	0
Ormdl2	932.500000	729	469	394	2138	0
Slc27a5	931.500000	1097	503	596	1530	0
Fam53b	931.250000	1106	696	658	1265	0
Cbll1	931.250000	1245	819	446	1215	0
Tmbim6	930.250000	982	722	792	1225	0
Swap70	930.250000	1009	757	590	1365	0
Lman2	929.250000	1152	857	632	1076	0
Stard3	928.500000	1051	437	512	1714	0
Cfap126	926.500000	921	730	700	1355	0
Erlin1	926.000000	1102	666	535	1401	0
Srebf2	925.000000	967	642	538	1553	0
Ctsl	924.750000	931	382	406	1980	0
Vcp	922.000000	1324	934	482	948	0
Fancg	922.000000	1324	934	482	948	0
Snapin	918.750000	1085	582	647	1361	0
Pla2g6	918.500000	560	417	496	2201	0
