Target_genes	Ddit3|Average	SRX119350|MEF	SRX119351|MEF	STRING
Agap1	554.000000	1108	0	0
Angptl6	545.500000	1091	0	0
Sars	507.000000	1014	0	0
Heatr4	497.000000	994	0	0
Acot2	497.000000	994	0	0
Nfe2l1	482.000000	964	0	0
Nup62	481.500000	963	0	0
Il4i1b	481.500000	963	0	0
Atf5	481.500000	963	0	0
Hspa9	472.500000	945	0	0
Eif3c	422.000000	844	0	0
Lonp1	411.500000	823	0	0
Catsperd	411.500000	823	0	0
Hdac4	403.000000	806	0	0
Cebpb	384.000000	768	0	0
Arl14ep	378.000000	756	0	0
Rcc2	359.000000	718	0	0
Ero1a	357.000000	714	0	0
Kdm6b	347.500000	695	0	0
Sqstm1	335.500000	671	0	0
Irf2bp2	325.500000	651	0	0
Ddx19b	322.000000	644	0	0
Aars	322.000000	644	0	0
Sesn2	312.000000	624	0	0
Rin1	307.000000	614	0	0
Lhfpl2	307.000000	614	0	0
Nfil3	299.000000	598	0	0
Trib3	295.000000	590	0	0
Glce	288.500000	577	0	0
Slc38a7	284.500000	569	0	0
Atf6	259.000000	518	0	0
Tcstv3	253.500000	252	255	0
Zbtb18	244.500000	489	0	0
Iars	244.000000	488	0	0
Gtpbp2	239.500000	479	0	0
Tas2r143	228.000000	456	0	0
Trim46	227.500000	455	0	0
Krtcap2	227.500000	455	0	0
B4galnt2	227.500000	455	0	0
Eprs	226.500000	453	0	0
Hspa5	223.000000	446	0	0
Tbpl1	222.500000	445	0	0
Ptx3	222.500000	445	0	0
Piezo1	222.000000	444	0	0
Rpl13a	218.500000	437	0	0
Clcn3	218.000000	436	0	0
Kpna1	208.500000	154	263	0
Brox	208.000000	177	239	0
Aida	208.000000	177	239	0
Arhgef2	205.000000	410	0	0
Cdsn	204.000000	408	0	0
Arhgap12	202.500000	405	0	0
Ghitm	199.500000	399	0	0
Wdr25	198.000000	396	0	0
Wars	198.000000	396	0	0
4931414P19Rik	195.000000	390	0	0
Cyb5r1	194.000000	388	0	0
Gadd45a	188.500000	377	0	0
Tab2	186.000000	372	0	0
Gramd1b	185.500000	371	0	0
Meak7	184.500000	369	0	0
Crebzf	178.000000	170	186	0
Cldn34d	177.500000	219	136	0
Fads3	177.000000	354	0	0
Lama1	175.500000	351	0	0
Slc25a39	175.000000	350	0	0
Rasip1	174.500000	0	349	0
Izumo1	174.500000	0	349	0
Vezt	173.000000	346	0	0
Fgd6	173.000000	346	0	0
Zbtb7b	171.500000	343	0	0
Mbnl2	169.000000	338	0	0
Gm12258	169.000000	338	0	0
Ccl20	167.500000	335	0	0
Stbd1	166.500000	333	0	0
Slc1a7	165.500000	331	0	0
Phyhd1	165.000000	330	0	0
Abcc4	164.000000	328	0	0
Pfdn1	163.000000	326	0	0
Tpx2	160.500000	321	0	0
Taf15	160.500000	321	0	0
Prss56	160.000000	320	0	0
Fam227b	160.000000	0	320	0
Dtwd1	160.000000	0	320	0
Soat2	159.500000	319	0	0
Zbtb7c	157.000000	314	0	0
Ttc23	155.500000	311	0	0
Slit2	150.500000	301	0	0
Sel1l	150.500000	301	0	0
Malt1	148.500000	0	297	0
Ehbp1l1	148.500000	297	0	0
Itgb5	145.500000	291	0	0
Prdm15	144.500000	289	0	0
Paqr3	143.000000	286	0	0
Zc3hav1	142.000000	284	0	0
4921524J17Rik	140.000000	280	0	0
Uri1	139.000000	278	0	0
Xpot	138.500000	277	0	0
Abraxas1	137.500000	275	0	0
Vldlr	135.500000	271	0	0
Myd88	134.500000	269	0	0
Acaa1a	134.500000	269	0	0
Flrt1	133.000000	266	0	0
Ppp1r15a	132.500000	265	0	0
Plekha4	132.500000	265	0	0
Artn	132.000000	264	0	0
Gm34653	131.500000	263	0	0
Lmbrd1	130.000000	260	0	0
Lurap1l	129.500000	259	0	0
Cxadr	129.500000	259	0	0
Slc19a2	127.500000	255	0	0
Ift172	126.000000	252	0	0
Arpc5l	126.000000	252	0	0
Ywhag	124.000000	248	0	0
Rps29	123.000000	0	246	0
Gm867	122.000000	244	0	0
Spata1	120.500000	241	0	0
Gng5	120.500000	241	0	0
Rabepk	119.500000	239	0	0
Cd74	118.000000	236	0	0
Lsm14a	117.500000	235	0	0
Mrtfa	117.000000	234	0	0
Etv5	115.000000	230	0	0
Nemf	114.500000	0	229	0
Angptl4	114.500000	229	0	0
Maz	113.500000	227	0	0
Itgb7	113.500000	227	0	0
Fibin	113.500000	227	0	0
Accs	112.000000	224	0	0
Vstm4	111.500000	0	223	0
Hfe	111.000000	222	0	0
Stk40	110.500000	221	0	0
Hhipl1	110.000000	220	0	0
Snai2	109.500000	219	0	0
Cyp2ab1	109.500000	219	0	0
Srpr	108.000000	216	0	0
Foxred1	108.000000	216	0	0
Apmap	107.500000	215	0	0
Tcea1	103.500000	207	0	0
Tenm4	102.500000	205	0	0
Rpl7	102.000000	204	0	0
Rdh10	102.000000	204	0	0
Niban1	101.500000	203	0	0
Dpf2	101.500000	203	0	0
Thsd4	101.000000	202	0	0
Rnf213	101.000000	202	0	0
Reep2	100.500000	201	0	0
Kcnmb3	99.500000	199	0	0
Abhd12b	99.000000	198	0	0
Sos1	98.500000	197	0	0
Mlx	98.500000	197	0	0
Gnpnat1	98.500000	197	0	0
Coasy	98.500000	197	0	0
Ascc2	98.000000	196	0	0
Itih2	97.500000	195	0	0
Rbbp5	96.500000	193	0	0
Rchy1	95.000000	190	0	0
Emp2	95.000000	190	0	0
Flnc	94.500000	189	0	0
Mphosph9	94.000000	188	0	0
2810006K23Rik	94.000000	188	0	0
Ugt1a6a	93.500000	187	0	0
Zfc3h1	93.000000	186	0	0
Thap2	93.000000	186	0	0
Steap1	93.000000	186	0	0
Snx33	93.000000	186	0	0
Slc41a3	92.000000	184	0	0
Pmm1	92.000000	184	0	0
Amacr	92.000000	184	0	0
Retreg2	90.500000	181	0	0
Cnppd1	90.500000	181	0	0
Zbtb38	89.500000	179	0	0
Leprotl1	89.500000	179	0	0
Trem3	88.500000	177	0	0
Slc7a2	88.500000	177	0	0
Serpinb10	88.500000	177	0	0
Adamts14	88.500000	177	0	0
Atp6v1g1	88.000000	176	0	0
Olfr117	87.000000	174	0	0
Msmb	87.000000	174	0	0
Zc3h18	86.000000	172	0	0
Macrod1	86.000000	172	0	0
Szrd1	84.000000	168	0	0
Ptbp1	84.000000	168	0	0
Pdgfc	84.000000	168	0	0
9930111J21Rik2	84.000000	168	0	0
9930111J21Rik1	84.000000	168	0	0
Vars	83.000000	166	0	0
D17H6S56E-5	83.000000	166	0	0
Wwox	82.500000	165	0	0
Pop5	82.000000	164	0	0
Uqcrq	81.500000	163	0	0
Gdf9	81.500000	163	0	0
Car6	81.500000	163	0	0
Bdnf	81.500000	163	0	0
Ptpn21	80.500000	161	0	0
H3c13	80.500000	161	0	0
H2bc18	80.500000	161	0	0
Dut	80.500000	161	0	0
Tacc2	79.500000	159	0	0
Gpx4	79.500000	159	0	0
Gpatch3	79.000000	158	0	0
Ss18l2	78.000000	156	0	0
Sertad2	78.000000	156	0	0
Samd4	78.000000	156	0	0
Poli	78.000000	156	0	0
Znhit3	77.000000	154	0	0
Gpaa1	77.000000	0	154	0
Exosc4	77.000000	0	154	0
Kdm7a	76.000000	152	0	0
Dusp6	76.000000	152	0	0
Dnaja3	75.000000	150	0	0
Coro7	75.000000	150	0	0
Zfp668	74.500000	0	149	0
Zfp646	74.500000	0	149	0
Mycbp2	74.500000	149	0	0
Me1	74.500000	149	0	0
Krtap3-1	74.500000	149	0	0
Spata2	74.000000	148	0	0
Rnf114	74.000000	148	0	0
Syne1	73.500000	147	0	0
Mrpl24	73.500000	147	0	0
Tmtc2	72.500000	145	0	0
Tgif1	72.500000	145	0	0
Sipa1l1	72.500000	145	0	0
Pan2	72.500000	145	0	0
Lrrk1	72.500000	145	0	0
Il23a	72.500000	145	0	0
Hdac8	72.500000	145	0	0
Chdh	72.500000	145	0	0
Ccp110	71.500000	143	0	0
Sh3tc2	70.500000	141	0	0
Edem3	70.500000	141	0	0
Aff1	70.500000	141	0	0
Oasl1	70.000000	140	0	0
Mars1	69.500000	139	0	0
Tmem203	69.000000	138	0	0
Ndor1	69.000000	138	0	0
Arl13a	69.000000	138	0	0
Zfp184	68.000000	136	0	0
Cmss1	68.000000	136	0	0
Snx1	65.500000	131	0	0
Mrpl44	65.500000	0	131	0
Degs2	65.500000	131	0	0
Ciao2a	65.500000	131	0	0
Ypel5	64.500000	129	0	0
Vmp1	64.500000	129	0	0
Cluh	64.500000	129	0	0
Clca4a	64.000000	128	0	0
Snrnp35	63.500000	127	0	0
Eif2s2	63.500000	127	0	0
Lcn2	63.000000	126	0	0
Hnf1b	63.000000	126	0	0
Has2	63.000000	126	0	0
Aldh1l2	63.000000	126	0	0
Wdr59	62.000000	124	0	0
Ttc27	62.000000	124	0	0
Rsbn1	61.500000	123	0	0
Dkk2	60.000000	120	0	0
Cnpy2	60.000000	120	0	0
Tagln2	58.000000	116	0	0
Mtm1	57.000000	114	0	0
Marchf6	57.000000	114	0	0
Ccdc152	56.500000	113	0	0
Ube2l3	55.500000	111	0	0
Nfu1	54.500000	109	0	0
Kansl1	53.500000	107	0	0
Uba6	50.000000	100	0	0
Arhgef11	50.000000	100	0	0
Rd3	49.500000	99	0	0
Mettl6	48.000000	96	0	0
Eaf1	48.000000	96	0	0
Dusp5	48.000000	96	0	0
Cfap221	47.500000	95	0	0
Neto2	41.500000	83	0	0
Nr4a2	39.000000	78	0	0
Vmn2r102	33.000000	66	0	0
Atf3	0.000000	0	0	501
Bace1	0.000000	0	0	476
Gdf15	0.000000	0	0	469
Retn	0.000000	0	0	414
Myod1	0.000000	0	0	401
Adipoq	0.000000	0	0	401
