Target_genes	Dlx3|Average	SRX15842786|Epidermis	SRX2350671|Keratinocytes	STRING
Brox	1717.500000	2329	1106	0
Aida	1717.500000	2329	1106	0
Tcstv3	1345.000000	1940	750	0
Cldn34d	846.000000	1383	309	0
Kpna1	780.500000	829	732	0
Il31ra	653.500000	668	639	0
Amelx	562.000000	0	1124	0
Sspn	461.500000	337	586	0
Tmem229b	422.000000	612	232	0
Piwil1	417.000000	542	292	0
Asmt	415.500000	693	138	0
Tmem125	355.500000	455	256	0
Vmn1r2	351.500000	309	394	0
Gm3448	341.500000	98	585	0
Gm3417	341.500000	98	585	0
Rps29	335.500000	0	671	0
Mppe1	325.000000	262	388	0
Pnrc1	318.500000	304	333	0
Dchs2	310.500000	307	314	0
9030025P20Rik	307.500000	98	517	0
Nemf	307.000000	0	614	0
Gpx1	303.000000	305	301	0
Sdr16c6	300.500000	469	132	0
Tcte3	292.500000	0	585	0
Sppl3	292.500000	483	102	0
Gm3435	292.500000	0	585	0
Ermard	292.000000	0	584	0
Tsc22d1	288.500000	296	281	0
Nras	287.000000	261	313	0
Klf3	272.000000	318	226	0
Dyrk1b	265.000000	385	145	0
Oasl1	264.000000	528	0	0
Clk4	263.500000	291	236	0
BC049762	263.500000	291	236	0
Wipi2	258.500000	0	517	0
Rfx5	254.000000	396	112	0
Hspb1	250.000000	500	0	0
Marchf9	244.000000	104	384	0
Cdk4	244.000000	104	384	0
Fry	243.500000	156	331	0
Fam162a	243.000000	486	0	0
Ccdc58	243.000000	486	0	0
Thap12	242.500000	0	485	0
Malt1	242.500000	0	485	0
Ubb	241.000000	384	98	0
Cyth1	240.000000	0	480	0
Nup50	238.500000	0	477	0
Etv3	237.000000	302	172	0
Gchfr	236.000000	295	177	0
Pnrc2	232.500000	300	165	0
Efcab6	232.500000	465	0	0
Rnf149	223.000000	0	446	0
Pnpla1	222.500000	445	0	0
Spen	221.500000	0	443	0
Birc5	220.500000	0	441	0
Agps	220.500000	0	441	0
Ddit4	220.000000	254	186	0
Derl1	219.000000	438	0	0
Tmem95	216.500000	118	315	0
Kctd11	216.500000	118	315	0
Gm2a	215.000000	324	106	0
Chd2	207.000000	134	280	0
Clpx	206.500000	0	413	0
Xpo5	206.000000	0	412	0
Polh	206.000000	0	412	0
Kifap3	202.500000	0	405	0
Rcl1	196.500000	120	273	0
Runx1	195.000000	390	0	0
Metrnl	194.500000	232	157	0
Rasgef1b	193.500000	177	210	0
Dpf2	192.500000	0	385	0
Vmn1r238	192.000000	167	217	0
Nfil3	192.000000	255	129	0
Grb2	192.000000	0	384	0
Rcc2	191.500000	254	129	0
