Target_genes	E2f1|Average	SRX122390|Dendritic_Cells	SRX122391|Dendritic_Cells	SRX122392|Dendritic_Cells	SRX122393|Dendritic_Cells	SRX2897262|ES_cells	SRX2897263|ES_cells	SRX1334844|Hepatocytes	SRX1120752|MEF	SRX1120755|MEF	STRING
Tcstv3	1072.444444	896	1125	1495	1339	433	348	2125	1019	872	0
Erdr1	789.888889	0	0	0	0	3535	2557	1017	0	0	0
Grb10	658.777778	0	0	0	0	3708	2221	0	0	0	0
Phc1	564.111111	0	0	0	0	3556	1358	163	0	0	0
Cldn34d	509.888889	340	502	509	465	0	0	2354	262	157	0
Phf10	497.111111	0	0	0	0	2734	1740	0	0	0	0
H2az1	432.000000	0	0	0	0	1893	1703	292	0	0	0
Dnajb14	432.000000	0	0	0	0	1893	1703	292	0	0	0
Srsf6	429.222222	0	0	0	0	2081	1634	148	0	0	0
Brox	428.888889	227	567	682	659	125	0	1077	283	240	0
Aida	428.888889	227	567	682	659	125	0	1077	283	240	0
Sox2	424.666667	0	0	0	0	2355	1467	0	0	0	0
Klf4	390.000000	0	0	0	0	1269	1182	1059	0	0	0
Odc1	375.222222	0	0	0	0	2080	1297	0	0	0	0
Ppia	366.000000	0	0	0	0	1693	1478	123	0	0	0
Mcl1	355.444444	0	0	0	0	2022	1177	0	0	0	0
H4c14	352.444444	0	169	126	199	197	193	1999	289	0	0
Trim28	352.000000	0	0	0	0	1691	1339	138	0	0	0
H4c2	348.555556	0	0	0	146	686	350	1431	524	0	0
Slc7a5	346.666667	0	0	0	0	1640	1480	0	0	0	0
Abhd6	345.222222	819	249	494	470	435	415	0	225	0	0
Mknk2	335.333333	0	0	0	0	1909	1109	0	0	0	0
Utp4	332.444444	0	0	0	0	1902	1090	0	0	0	0
Derpc	332.444444	0	0	0	0	1902	1090	0	0	0	0
Chtf8	332.444444	0	0	0	0	1902	1090	0	0	0	0
G3bp1	332.222222	0	0	0	0	1386	1061	543	0	0	0
Hnrnpab	325.666667	0	0	0	0	988	723	1013	207	0	0
Trim59	318.222222	0	0	0	0	1602	908	354	0	0	0
H4c1	313.111111	0	0	0	146	452	265	1431	524	0	0
H3c1	313.111111	0	0	0	146	452	265	1431	524	0	0
H1f1	313.111111	0	0	0	146	452	265	1431	524	0	0
Tuba1b	311.000000	0	0	0	0	705	537	1031	526	0	0
H2ax	306.111111	0	0	0	0	364	170	2221	0	0	0
Hspe1	295.444444	0	0	0	0	1461	1198	0	0	0	0
Hspd1	295.444444	0	0	0	0	1461	1198	0	0	0	0
Smarcad1	293.222222	0	0	0	0	1686	813	140	0	0	0
Wdr76	290.000000	0	0	0	0	0	0	2293	317	0	0
Mfap1a	290.000000	0	0	0	0	0	0	2293	317	0	0
Pcbp1	287.111111	0	0	0	0	1645	721	218	0	0	0
Eif5	283.777778	0	0	0	0	1581	973	0	0	0	0
Uba52	281.000000	0	0	0	0	1602	927	0	0	0	0
Rex1bd	281.000000	0	0	0	0	1602	927	0	0	0	0
Olfr806	277.444444	813	282	500	501	259	142	0	0	0	0
H2bc12	276.222222	0	0	0	0	664	392	1430	0	0	0
H2ac12	276.222222	0	0	0	0	664	392	1430	0	0	0
Rpl32	264.555556	0	0	0	0	1471	785	125	0	0	0
Nucks1	264.333333	0	0	0	0	1157	799	423	0	0	0
Cnot6	263.888889	0	0	0	0	657	397	1123	198	0	0
H2az2	263.777778	0	0	0	0	420	179	1633	142	0	0
Hmgb2	263.111111	0	0	0	0	1121	614	633	0	0	0
Ccne1	262.000000	0	0	0	0	1185	660	513	0	0	0
Actg1	262.000000	0	0	0	0	1244	994	120	0	0	0
Hes1	260.777778	0	0	0	0	1340	654	353	0	0	0
Nop58	260.444444	0	0	0	0	0	0	2212	132	0	0
Fam169a	259.888889	0	0	0	0	1394	945	0	0	0	0
Hnrnpa3	259.666667	0	0	0	0	916	714	535	172	0	0
Rev1	259.555556	0	0	0	0	1625	711	0	0	0	0
Tmpo	256.444444	0	0	0	0	718	319	1085	186	0	0
Hmgn2	255.666667	0	0	0	0	1211	930	160	0	0	0
Polr2m	255.555556	0	0	0	0	570	382	1348	0	0	0
Prrt2	254.333333	0	0	0	0	696	551	1042	0	0	0
Ptms	254.222222	0	0	0	0	1584	704	0	0	0	0
Ubr5	253.333333	0	0	0	0	1339	941	0	0	0	0
Banp	251.666667	0	0	0	0	1178	811	276	0	0	0
Klf2	251.333333	0	0	0	0	1132	1130	0	0	0	0
Rps19	251.222222	0	0	0	0	1155	738	368	0	0	0
Rif1	250.111111	0	0	0	0	1357	894	0	0	0	0
Rnf19b	249.888889	0	0	0	0	1175	1074	0	0	0	0
Top2a	249.222222	0	0	0	0	0	0	2077	166	0	0
Zfp532	246.888889	0	0	0	0	1451	771	0	0	0	0
Tmem125	246.666667	263	474	678	606	0	0	199	0	0	0
Enah	244.111111	0	0	0	0	1435	762	0	0	0	0
Tle4	243.333333	0	0	0	0	1007	734	449	0	0	0
H4c12	242.111111	0	0	0	0	624	270	1285	0	0	0
H2bc15	242.111111	0	0	0	0	624	270	1285	0	0	0
H2ac15	242.111111	0	0	0	0	624	270	1285	0	0	0
Mllt6	239.777778	0	0	0	0	1380	778	0	0	0	0
H3c13	239.111111	0	0	0	0	1043	900	209	0	0	0
H2bc18	239.111111	0	0	0	0	1043	900	209	0	0	0
Spg7	234.555556	0	0	0	0	1204	641	266	0	0	0
Snx5	234.555556	0	0	0	0	868	661	431	151	0	0
Pim3	234.555556	0	0	0	0	1104	843	164	0	0	0
Mgme1	234.555556	0	0	0	0	868	661	431	151	0	0
Dgcr8	234.111111	0	0	0	0	1007	726	374	0	0	0
Rps20	232.222222	0	0	0	0	1081	606	403	0	0	0
Exosc6	231.555556	0	0	0	0	970	657	457	0	0	0
Ywhah	228.555556	0	0	0	0	1221	836	0	0	0	0
Anapc11	225.777778	0	0	0	0	864	532	460	176	0	0
Alyref	225.777778	0	0	0	0	864	532	460	176	0	0
Klf9	225.222222	0	0	0	0	1045	856	126	0	0	0
Hnrnpa0	223.555556	0	0	0	0	1076	936	0	0	0	0
Raly	223.333333	0	0	0	0	1103	692	215	0	0	0
Rpsa	223.111111	0	0	0	0	1154	657	197	0	0	0
Gars	222.666667	0	0	0	0	1065	731	208	0	0	0
Noct	221.333333	0	0	0	0	1095	897	0	0	0	0
H4c8	221.222222	0	0	0	0	457	294	1057	183	0	0
H3c8	221.222222	0	0	0	0	457	294	1057	183	0	0
H2ac10	221.222222	0	0	0	0	457	294	1057	183	0	0
Pclaf	220.666667	0	0	127	151	0	0	1449	259	0	0
Ttc32	220.222222	0	0	0	0	0	0	1982	0	0	0
Marcksl1	217.888889	0	0	0	0	1019	942	0	0	0	0
Ezh2	217.666667	0	0	0	0	945	397	438	179	0	0
Nap1l1	217.444444	0	0	0	0	952	620	167	218	0	0
H4c6	216.111111	0	0	0	0	531	335	925	154	0	0
H1f3	216.111111	0	0	0	0	531	335	925	154	0	0
Psmc4	215.555556	0	0	0	0	0	0	1665	275	0	0
Uri1	212.000000	0	0	0	0	1252	656	0	0	0	0
Asxl1	211.888889	0	0	0	0	1001	657	249	0	0	0
N4bp1	211.666667	0	0	0	0	1250	655	0	0	0	0
Wtap	211.555556	0	0	0	0	1240	664	0	0	0	0
Tcf3	211.222222	0	0	0	0	221	184	1333	163	0	0
Trim71	210.888889	0	0	0	0	1292	606	0	0	0	0
Lmln	210.111111	0	0	0	0	432	844	615	0	0	0
Mcm3	209.111111	0	0	0	140	0	0	1742	0	0	0
Cdk1	209.000000	0	0	0	0	0	0	1398	483	0	0
Sfpq	208.666667	0	0	0	0	810	568	500	0	0	0
Kbtbd2	207.111111	0	0	0	0	1286	380	198	0	0	0
Enc1	205.555556	0	0	0	0	1077	773	0	0	0	0
Pom121	205.111111	0	0	0	0	733	478	635	0	0	0
Rmi2	205.000000	0	0	0	0	629	333	735	148	0	0
H4c9	204.888889	0	0	0	139	374	235	1096	0	0	0
H2bc11	204.888889	0	0	0	139	374	235	1096	0	0	0
H2ac11	204.888889	0	0	0	139	374	235	1096	0	0	0
Tcf19	203.333333	0	0	0	0	0	0	1234	596	0	0
Cchcr1	203.333333	0	0	0	0	0	0	1234	596	0	0
Wwox	202.888889	683	294	460	389	0	0	0	0	0	0
H1f10	202.222222	0	0	0	0	1133	687	0	0	0	0
Zc3h6	201.111111	0	0	0	0	916	499	257	138	0	0
H4c4	200.777778	0	0	0	105	384	229	1089	0	0	0
H2bc6	200.777778	0	0	0	105	384	229	1089	0	0	0
Spry2	200.333333	0	0	0	0	944	859	0	0	0	0
Epop	199.777778	0	0	0	0	1202	596	0	0	0	0
Nufip2	199.000000	0	0	0	0	881	910	0	0	0	0
Etv5	198.666667	0	0	0	0	935	594	259	0	0	0
Mat2a	197.777778	0	0	0	0	1047	579	154	0	0	0
Klf3	194.666667	0	0	0	0	1038	714	0	0	0	0
H3c11	193.444444	0	0	0	0	695	460	586	0	0	0
H2bc22	193.444444	0	0	0	0	695	460	586	0	0	0
H2ac22	193.444444	0	0	0	0	695	460	586	0	0	0
Tfdp1	192.444444	0	0	0	0	1070	402	260	0	0	0
Rybp	192.111111	0	0	0	0	1238	491	0	0	0	0
Ccnyl1	192.000000	0	0	0	0	855	873	0	0	0	0
Hmga1b	191.000000	0	0	0	0	843	684	192	0	0	0
Hmga1	191.000000	0	0	0	0	843	684	192	0	0	0
H3c2	190.666667	0	0	0	0	686	350	680	0	0	0
H2ac4	190.666667	0	0	0	0	686	350	680	0	0	0
Prdm10	190.444444	0	0	0	0	1020	524	170	0	0	0
Calm2	190.000000	0	0	0	0	930	780	0	0	0	0
Ddx59	188.888889	0	0	0	0	893	489	318	0	0	0
Jund	188.777778	0	0	0	0	936	763	0	0	0	0
Iqcn	188.777778	0	0	0	0	936	763	0	0	0	0
Kpna1	188.444444	180	185	0	142	430	267	492	0	0	0
Zfp710	188.333333	0	0	0	0	837	435	423	0	0	0
Vegfc	188.111111	0	0	0	0	1188	505	0	0	0	0
Ybx3	187.777778	0	0	0	0	1207	483	0	0	0	0
Ubxn6	187.333333	0	0	0	0	184	0	1502	0	0	0
Hdgfl2	187.333333	0	0	0	0	184	0	1502	0	0	0
Fam174c	186.888889	0	0	0	0	881	639	162	0	0	0
Cirbp	186.888889	0	0	0	0	881	639	162	0	0	0
