Target_genes	E2f3|Average	SRX871671|Intestinal_crypt	SRX871675|Intestinal_crypt	SRX871673|Intestinal_villus	SRX871677|Intestinal_villus	SRX106013|MEF	SRX106014|MEF	SRX1120753|MEF	SRX1120754|MEF	SRX1120756|MEF	STRING
Tcstv3	1013.333333	1104	1045	1053	1144	923	1027	1138	1146	540	0
Cldn34d	540.777778	840	810	901	866	190	253	471	342	194	0
Trmt2a	456.666667	567	648	444	326	1400	0	207	518	0	0
Ranbp1	456.666667	567	648	444	326	1400	0	207	518	0	0
Rps20	448.555556	581	589	553	419	1503	0	137	255	0	0
Brox	442.888889	728	666	587	776	311	275	212	288	143	0
Aida	442.888889	728	666	587	776	311	275	212	288	143	0
Kpna1	428.333333	901	775	679	690	188	255	131	236	0	0
Neil3	424.111111	823	797	760	244	782	0	0	411	0	0
Oasl1	421.444444	818	736	822	873	241	162	0	141	0	0
Zar1l	417.777778	462	208	332	192	1832	106	229	399	0	0
Brca2	417.777778	462	208	332	192	1832	106	229	399	0	0
Alms1	416.777778	555	503	552	372	1405	0	136	228	0	0
Srsf1	396.333333	639	624	641	493	695	0	0	475	0	0
Pim1	395.555556	683	594	478	275	1201	0	0	329	0	0
Wdhd1	391.111111	378	378	379	315	1907	0	0	163	0	0
Socs4	391.111111	378	378	379	315	1907	0	0	163	0	0
H4c14	377.777778	742	744	615	313	0	0	331	655	0	0
Il31ra	375.555556	840	748	662	544	235	180	0	171	0	0
Pold3	374.000000	571	460	394	313	1425	0	0	203	0	0
Asmt	373.444444	863	693	760	923	0	0	122	0	0	0
Atl3	367.777778	502	348	433	263	1524	0	0	240	0	0
Ppp1r16a	366.111111	595	491	336	137	1361	0	0	375	0	0
Foxh1	366.111111	595	491	336	137	1361	0	0	375	0	0
Abhd6	366.111111	556	505	532	558	373	339	211	221	0	0
Kif13b	366.000000	697	612	500	391	712	0	0	382	0	0
Olfr806	361.333333	528	533	532	487	422	339	195	216	0	0
