Target_genes	Ebf2|Average	SRX11005922|Adipocytes	SRX11005923|Adipocytes	SRX11005924|Adipocytes	SRX11005925|Adipocytes	SRX2676935|Brown_adipose_tissue	SRX2676936|Brown_adipose_tissue	SRX3070368|Brown_adipose_tissue	SRX3070369|Brown_adipose_tissue	SRX1357067|Brown_preadipocytes	SRX1357068|Brown_preadipocytes	SRX1357069|Brown_preadipocytes	SRX1357070|Brown_preadipocytes	SRX4054019|Embryoid_Bodies	SRX4054020|Embryoid_Bodies	SRX1706969|mESCs,_differentiated	SRX1706970|mESCs,_differentiated	SRX4054029|mESCs,_differentiated	SRX4054030|mESCs,_differentiated	STRING
Rtca	1630.111111	1327	957	1135	856	481	1117	0	500	1125	1779	1765	1456	3324	2558	2796	2800	2517	2849	0
Dbt	1630.111111	1327	957	1135	856	481	1117	0	500	1125	1779	1765	1456	3324	2558	2796	2800	2517	2849	0
Mphosph8	1602.777778	1617	1514	1413	1335	373	1058	0	650	761	1525	1708	916	2987	2576	2494	2570	2424	2929	0
Ptpn13	1560.611111	1164	783	734	738	409	1073	0	467	1039	1562	1653	744	3593	3188	2261	2403	2943	3337	0
Aktip	1544.277778	1583	1317	1561	1508	398	812	0	636	510	981	1646	691	2925	2575	2579	2635	2440	3000	0
Smpd3	1528.000000	2011	1569	1802	1828	95	348	0	837	850	1294	1378	507	2991	2640	1872	1967	2718	2797	0
Mterf2	1363.722222	1337	921	1259	1015	249	530	0	125	644	962	1498	680	3143	2118	2662	2712	1827	2865	0
Atg4d	1357.944444	1134	724	747	665	151	709	0	558	946	1539	1712	920	2360	1872	2876	2947	1815	2768	0
Eif2b2	1339.444444	1511	860	1278	981	188	632	0	384	478	783	1585	431	2504	2009	2866	2777	2074	2769	0
Upf3b	1297.944444	1070	982	1009	791	250	928	0	434	376	1041	1794	647	1820	1758	2986	2938	1930	2609	0
Kcnn1	1295.666667	1555	1332	1375	1427	269	493	0	304	832	1172	1577	537	2319	1990	2171	2115	1615	2239	0
Tcstv3	1293.166667	674	762	623	701	2238	2215	206	290	1963	1346	1478	1413	1566	1348	2272	2222	1298	662	0
Wdr93	1282.611111	1184	1102	906	876	536	1380	0	855	365	541	1578	1011	1901	1262	2771	2760	1761	2298	0
Pex11a	1282.611111	1184	1102	906	876	536	1380	0	855	365	541	1578	1011	1901	1262	2771	2760	1761	2298	0
Septin2	1248.666667	1446	1010	1269	838	180	599	0	398	484	788	1451	430	2854	2009	2361	2310	1775	2274	0
Hdlbp	1248.666667	1446	1010	1269	838	180	599	0	398	484	788	1451	430	2854	2009	2361	2310	1775	2274	0
Vps26a	1242.000000	1835	1401	1424	1459	122	412	0	512	517	1019	1520	543	1512	860	2606	2610	1511	2493	0
Dnase2a	1231.611111	1595	1041	1053	1161	173	441	0	338	503	1150	1823	739	1969	1671	2632	2508	1344	2028	0
Rhobtb2	1172.944444	1893	1291	1649	1447	231	828	0	343	512	1192	1603	805	1717	1053	2320	2016	831	1382	0
Rabif	1160.555556	1296	782	872	974	202	670	0	509	609	1111	1735	788	1697	1301	2534	2511	1229	2070	0
Pick1	1154.944444	988	1032	855	893	151	644	0	229	385	845	1668	424	1942	1486	2758	2673	1641	2175	0
Actg1	1139.055556	994	431	464	335	144	569	0	251	673	1181	1544	464	2739	1990	2302	2306	1775	2341	0
Wbp11	1122.055556	1662	1151	1295	1207	147	564	0	341	444	1080	1570	715	1684	1020	2386	2213	1022	1696	0
BC049715	1122.055556	1662	1151	1295	1207	147	564	0	341	444	1080	1570	715	1684	1020	2386	2213	1022	1696	0
Tlcd1	1103.666667	1255	1142	1153	918	367	956	0	450	227	683	1312	457	1999	1557	2081	2150	1175	1984	0
Rpl23a	1103.666667	1255	1142	1153	918	367	956	0	450	227	683	1312	457	1999	1557	2081	2150	1175	1984	0
Rab34	1103.666667	1255	1142	1153	918	367	956	0	450	227	683	1312	457	1999	1557	2081	2150	1175	1984	0
Mzf1	1102.777778	948	987	890	808	174	511	0	182	102	377	1355	517	2228	1654	2760	2443	1686	2228	0
Hnrnph1	1102.166667	1280	888	966	861	446	1373	0	369	585	1014	1652	822	1563	1228	2086	2010	962	1734	0
Mesd	1097.444444	1413	951	1134	1142	331	713	0	426	227	741	1043	474	1817	1262	2517	2329	1166	2068	0
Sfpq	1068.388889	888	800	727	782	157	644	0	566	269	530	1363	626	1676	1445	2397	2393	1809	2159	0
Zswim3	1067.777778	807	444	619	653	144	367	0	388	465	1058	1631	569	2071	1537	2449	2367	1659	1992	0
Acot8	1067.777778	807	444	619	653	144	367	0	388	465	1058	1631	569	2071	1537	2449	2367	1659	1992	0
Rab5a	1066.944444	1266	878	946	732	188	590	0	432	254	827	1031	366	2122	1400	2470	2302	1325	2076	0
Hnrnpa1	1063.888889	1478	1170	1224	1084	0	262	0	455	344	897	1249	438	1557	1233	2273	2214	1324	1948	0
Cbx5	1063.888889	1478	1170	1224	1084	0	262	0	455	344	897	1249	438	1557	1233	2273	2214	1324	1948	0
Mcts2	1058.555556	752	547	571	509	0	624	0	126	299	703	1424	433	2434	1577	2628	2589	1459	2379	0
Cldn34d	1056.500000	2001	1941	1911	1873	121	314	822	1203	942	528	478	369	680	1058	1399	1168	1597	612	0
Sec24a	1044.055556	762	466	374	399	244	692	0	364	336	786	1632	657	1838	1450	2466	2363	1734	2230	0
Il6st	1030.888889	1446	1172	1325	1059	208	348	0	430	368	405	1152	614	1774	1036	2268	2021	1368	1562	0
Ppp1r12c	1030.611111	1309	1254	1157	1311	0	481	0	209	248	558	1385	284	1821	1182	2309	2224	1116	1703	0
Pla2g2d	1015.444444	526	540	383	339	342	961	0	0	0	0	451	0	2903	2310	2659	2625	1770	2469	0
Krr1	1010.833333	505	280	379	426	344	937	0	0	496	795	1659	449	1415	1042	3005	2885	1259	2319	0
Mob3a	995.055556	1192	660	643	526	182	343	0	543	400	671	1316	368	1821	1109	2443	2111	1524	2059	0
Izumo4	995.055556	1192	660	643	526	182	343	0	543	400	671	1316	368	1821	1109	2443	2111	1524	2059	0
Nbeal1	991.444444	611	401	522	236	315	424	0	441	390	549	1153	277	2245	1691	2462	2387	1599	2143	0
Nek2	991.333333	941	552	812	618	0	286	0	291	163	531	971	230	2439	1142	2466	2571	1429	2402	0
Lin52	988.055556	887	759	787	803	202	404	0	359	299	706	1169	434	1893	1105	2316	2254	1375	2033	0
Aldh6a1	988.055556	887	759	787	803	202	404	0	359	299	706	1169	434	1893	1105	2316	2254	1375	2033	0
Pigv	987.166667	972	745	608	574	0	560	0	401	500	818	1455	554	1622	1316	2055	2042	1528	2019	0
Prmt5	983.055556	871	849	1200	641	278	556	0	344	198	511	1289	177	1376	950	2506	2270	1482	2197	0
Rsph14	971.500000	482	372	423	368	157	396	0	154	345	826	1085	622	2180	1536	2373	2303	1848	2017	0
Rab36	971.500000	482	372	423	368	157	396	0	154	345	826	1085	622	2180	1536	2373	2303	1848	2017	0
Ube2v1	970.055556	1147	875	1041	974	232	914	0	429	353	965	1179	383	1171	643	2276	2057	1193	1629	0
Psma1	969.722222	1216	685	785	799	221	526	0	161	258	645	1439	314	1656	1071	2523	2134	1230	1792	0
Kmt5c	963.555556	893	671	966	691	144	536	0	190	232	670	1191	356	2035	1441	2099	2001	1309	1919	0
Zfat	956.888889	1435	816	803	651	0	388	0	508	405	1030	1533	631	1173	920	2152	2099	1074	1606	0
Zfp93	931.166667	1218	1088	1061	1078	188	501	0	152	609	831	1640	643	1011	772	1980	1827	692	1470	0
Lima1	929.777778	1044	908	794	709	239	712	0	311	400	991	1704	545	1092	646	2324	2266	891	1160	0
Copg2	923.388889	536	305	0	0	335	599	0	412	460	1098	1598	722	1205	955	2595	2643	1266	1892	0
Tcf25	918.611111	653	437	429	316	0	448	0	283	453	912	1556	739	1652	1059	2540	2304	1122	1632	0
Gm10778	918.111111	318	143	239	208	0	488	0	97	331	429	1308	126	1567	1499	2722	2696	2007	2348	0
Fignl1	917.500000	1053	969	1135	1037	0	173	0	200	107	391	1049	150	1590	1130	2291	1995	1275	1970	0
Acp6	914.833333	1014	881	847	705	163	678	0	227	395	1156	1498	598	1432	1091	2004	1794	709	1275	0
Slc12a6	914.444444	786	695	631	703	0	257	0	174	401	642	1423	562	1467	1048	2711	2643	834	1483	0
Got1	914.000000	867	703	677	531	83	407	0	457	439	610	1289	297	1347	944	2258	2237	1445	1861	0
Brox	913.222222	1405	1254	1020	1251	188	320	514	1615	537	269	600	282	1100	751	1780	1487	736	1329	0
Aida	913.222222	1405	1254	1020	1251	188	320	514	1615	537	269	600	282	1100	751	1780	1487	736	1329	0
Ppp2r1a	907.000000	1187	808	899	759	222	485	0	428	226	450	1067	390	1237	711	2287	2228	1259	1683	0
0610009B22Rik	906.666667	971	850	824	927	0	238	0	554	104	286	1212	153	1234	762	2192	2200	1667	2146	0
Cdc5l	904.944444	1174	1102	1162	979	0	284	0	317	137	345	840	254	1933	1424	1917	1692	1002	1727	0
Gm5165	904.166667	720	466	509	556	0	202	0	175	115	487	1003	271	1635	1406	2528	2267	1548	2387	0
Smc4	900.166667	1012	580	1007	881	0	296	0	587	131	490	1109	292	1436	1108	2530	1160	1595	1989	0
Ift80	900.166667	1012	580	1007	881	0	296	0	587	131	490	1109	292	1436	1108	2530	1160	1595	1989	0
Glyctk	898.166667	1571	1221	1136	1077	158	361	0	200	185	558	1293	431	1241	745	2164	1733	761	1332	0
Psmc4	895.888889	629	461	497	453	0	408	0	126	316	708	1501	238	1631	1280	2425	2276	1301	1876	0
Zdhhc12	891.888889	782	716	730	694	160	381	0	558	430	1037	1538	686	895	812	2255	1984	810	1586	0
Synpo	889.222222	707	593	881	608	244	738	0	276	535	1007	1345	506	929	940	2177	2184	1073	1263	0
Mib2	886.833333	1259	950	1144	1093	107	361	0	339	172	490	1221	394	1067	706	2210	1999	936	1515	0
Snx3	884.777778	617	327	167	154	0	312	0	633	405	877	1653	807	1722	1587	2229	2093	955	1388	0
Atg4c	883.611111	0	0	0	0	0	0	0	0	0	0	85	0	3269	2656	2469	2496	2266	2664	0
Tmem245	881.166667	390	345	266	206	129	328	0	146	277	510	1178	334	1639	1290	2748	2581	1293	2201	0
H3c15	876.944444	383	479	303	362	265	612	0	601	183	176	1166	477	1574	1105	2307	2118	1452	2222	0
H3c14	876.944444	383	479	303	362	265	612	0	601	183	176	1166	477	1574	1105	2307	2118	1452	2222	0
H2ac19	876.944444	383	479	303	362	265	612	0	601	183	176	1166	477	1574	1105	2307	2118	1452	2222	0
H2ac18	876.944444	383	479	303	362	265	612	0	601	183	176	1166	477	1574	1105	2307	2118	1452	2222	0
Rab8a	876.333333	726	439	561	423	165	293	0	388	311	914	1437	453	1399	1061	2355	2251	1015	1583	0
Ppm1a	871.722222	721	426	459	425	96	398	0	409	342	484	1379	549	1491	1243	2279	2167	1147	1676	0
Trmt61a	865.333333	735	579	738	488	120	252	0	172	310	713	1582	580	1228	978	2365	2140	942	1654	0
Emilin1	862.444444	1032	755	914	662	253	737	0	201	179	460	970	267	1185	904	2361	2195	862	1587	0
Osmr	859.888889	1430	1288	1326	1012	654	1534	0	571	970	1260	1575	1322	203	223	728	708	240	434	0
Pold4	859.444444	1545	1497	1411	1332	310	488	0	378	289	584	814	404	848	435	1920	1426	681	1108	0
Hdgf	856.555556	1148	860	929	1132	188	441	0	307	0	348	490	132	1525	857	2329	2057	1048	1627	0
Ate1	853.500000	616	527	621	588	0	521	0	323	327	690	1463	277	1357	1093	2231	1955	1099	1675	0
Rnaseh2a	850.833333	840	812	837	556	0	230	0	541	278	651	1317	486	924	926	2133	2026	1161	1597	0
Prdx2	850.833333	840	812	837	556	0	230	0	541	278	651	1317	486	924	926	2133	2026	1161	1597	0
Abtb1	850.166667	1212	880	977	1029	186	323	0	565	179	532	1075	411	1112	746	1975	1786	925	1390	0
Mtmr14	849.833333	591	297	248	283	0	209	0	109	210	429	1448	338	1267	1114	2771	2508	1484	1991	0
Lman2	849.277778	589	525	591	388	0	238	0	393	442	659	1453	371	1024	959	2397	2246	1179	1833	0
Nsun3	847.222222	867	583	726	652	0	285	0	388	190	496	1094	439	1338	900	2305	2229	1085	1673	0
Snupn	847.166667	1075	774	864	840	0	374	0	380	215	461	1209	284	1418	750	2345	1824	1009	1427	0
Tmem17	845.555556	944	699	508	550	139	543	0	216	202	415	786	327	1521	933	2351	2099	1307	1680	0
Adat1	840.166667	892	660	670	580	140	639	0	0	164	451	913	172	1052	789	2500	2601	1172	1728	0
Vps33a	835.111111	472	468	465	380	186	699	0	283	271	599	1409	504	1079	785	2353	2381	1083	1615	0
Phactr4	834.333333	768	402	317	161	127	366	0	322	371	855	1634	648	1115	760	2203	2180	1042	1747	0
Ckap2l	831.888889	468	472	552	386	0	330	0	367	157	455	1305	241	1620	1119	2129	1967	1447	1959	0
Flywch1	831.222222	379	0	193	0	0	473	0	333	328	622	1406	393	1383	1079	2635	2556	1627	1555	0
