Target_genes	Egr1|Average	SRX12298591|B_cells	SRX10616114|Cerebellum	SRX10616115|Cerebellum	SRX122510|Dendritic_Cells	SRX122511|Dendritic_Cells	SRX122512|Dendritic_Cells	SRX122513|Dendritic_Cells	SRX9754949|Dendritic_Cells	SRX204724|Liver	SRX10616110|Prefrontal_Cortex	SRX10616111|Prefrontal_Cortex	STRING
Tcstv3	1004.363636	1669	323	191	890	881	874	1829	2187	1957	0	247	0
Cldn34d	759.181818	2339	472	626	350	380	303	487	1322	1170	503	399	0
Brox	617.636364	1652	542	816	276	156	201	564	397	963	591	636	0
Aida	617.636364	1652	542	816	276	156	201	564	397	963	591	636	0
Pop7	593.818182	2693	1024	1412	0	0	0	0	0	0	715	688	0
Ubr4	508.545455	2639	1085	786	0	0	0	0	0	0	531	553	0
Kpna1	487.545455	977	343	380	205	206	158	242	580	1091	423	758	0
Tmem125	477.909091	1433	158	165	218	208	197	520	1246	792	143	177	0
Sugp2	472.181818	2509	765	1004	0	0	0	0	0	137	367	412	0
Armc6	472.181818	2509	765	1004	0	0	0	0	0	137	367	412	0
Polr2b	468.818182	2699	688	780	0	0	0	0	0	215	399	376	0
Noa1	468.818182	2699	688	780	0	0	0	0	0	215	399	376	0
Eif4a3	461.181818	3141	562	525	0	0	0	0	0	0	454	391	0
Sdf4	459.363636	2827	806	443	0	0	0	0	0	0	468	509	0
B3galt6	459.363636	2827	806	443	0	0	0	0	0	0	468	509	0
Psma2	446.545455	2523	657	914	0	0	0	0	0	122	354	342	0
Mrpl32	446.545455	2523	657	914	0	0	0	0	0	122	354	342	0
Snrnp70	443.636364	1309	955	1232	0	0	0	0	0	0	638	746	0
Wwox	436.272727	783	232	199	813	640	778	451	231	569	103	0	0
Map3k7	432.727273	2608	566	736	0	0	0	0	0	0	405	445	0
Gpr19	424.000000	2534	532	474	0	0	0	172	0	565	167	220	0
Sprtn	418.090909	2410	861	360	0	0	0	0	0	0	442	526	0
Exoc8	418.090909	2410	861	360	0	0	0	0	0	0	442	526	0
Cct5	414.818182	2561	674	785	0	0	0	0	0	0	247	296	0
Atpsckmt	414.818182	2561	674	785	0	0	0	0	0	0	247	296	0
Akap11	413.636364	3327	0	0	0	0	0	135	0	1088	0	0	0
Tmem183a	407.818182	2296	693	686	0	0	0	0	0	0	423	388	0
Upf1	406.909091	3066	559	386	0	0	0	0	0	0	252	213	0
Cdc5l	406.090909	2938	431	567	0	0	0	0	0	0	273	258	0
Rab6a	404.818182	1807	180	162	0	0	0	283	0	1941	0	80	0
B230219D22Rik	401.727273	3154	457	332	0	0	0	0	0	0	225	251	0
Asmt	398.727273	817	289	428	283	242	297	253	594	885	161	137	0
Tmem107	396.909091	1575	741	850	0	0	0	0	0	551	293	356	0
Rapgef6	394.636364	1480	357	401	0	0	0	261	0	1359	283	200	0
Thap12	394.090909	994	555	984	0	0	0	0	0	953	349	500	0
Cdc34	392.454545	2989	538	120	0	0	0	0	0	0	292	378	0
Psmb2	389.909091	2650	463	656	0	0	0	0	0	0	236	284	0
Nanos2	389.454545	1244	1063	1147	0	0	0	0	0	0	328	502	0
Mypop	389.454545	1244	1063	1147	0	0	0	0	0	0	328	502	0
Get4	387.000000	2387	332	0	0	0	0	217	0	985	143	193	0
Hspa4	386.363636	2699	419	716	0	0	0	0	0	0	230	186	0
Dido1	384.545455	2245	375	497	0	0	0	0	0	670	231	212	0
Psmd5	378.545455	3147	156	270	0	0	0	0	0	191	236	164	0
Cutal	378.545455	3147	156	270	0	0	0	0	0	191	236	164	0
Abhd6	377.727273	0	148	181	799	723	802	562	424	516	0	0	0
Tmco1	377.363636	2875	384	473	0	0	0	0	0	0	199	220	0
Ireb2	377.090909	3260	153	120	0	0	0	0	0	515	100	0	0
Ccnt1	376.090909	1902	664	862	0	0	0	0	0	0	354	355	0
4930415O20Rik	376.090909	1902	664	862	0	0	0	0	0	0	354	355	0
Spsb3	375.818182	2814	198	251	0	0	0	271	0	600	0	0	0
Nubp2	375.818182	2814	198	251	0	0	0	271	0	600	0	0	0
Sec62	373.181818	2206	695	201	0	0	0	0	0	292	308	403	0
Xpnpep3	370.090909	168	1139	1404	0	0	0	0	0	0	698	662	0
St13	370.090909	168	1139	1404	0	0	0	0	0	0	698	662	0
Tubg1	363.909091	1436	378	558	0	0	0	206	0	970	221	234	0
Retreg3	363.909091	1436	378	558	0	0	0	206	0	970	221	234	0
Olfr806	363.727273	0	0	0	791	621	820	663	417	689	0	0	0
