Target_genes	Elf5|Average	SRX1425169|Mammary_glands	SRX1672019|Mammary_glands	SRX1672020|Mammary_glands	SRX1672031|Mammary_glands	SRX1672032|Mammary_glands	SRX1672061|Mammary_glands	SRX1672063|Mammary_glands	SRX1672064|Mammary_glands	SRX204144|Trophoblast_stem_cells	SRX204145|Trophoblast_stem_cells	SRX3730223|Trophoblast_stem_cells	SRX3730273|Trophoblast_stem_cells	STRING
Tcstv3	1427.916667	2231	1513	1886	2242	1307	2278	2352	1965	719	642	0	0	0
Cldn34d	880.583333	1348	316	1025	1333	661	1537	1693	1201	402	0	760	291	0
Nrde2	782.333333	1327	679	728	1326	125	1291	2085	605	0	0	1222	0	0
Radil	725.833333	1383	370	894	1383	0	1385	2000	953	0	0	342	0	0
BC016579	700.833333	1152	500	767	1152	113	1421	1618	812	0	0	875	0	0
Kpna1	693.916667	1068	535	871	1118	654	1174	1115	847	0	0	794	151	0
Olfr1510	692.166667	1325	575	711	1284	115	1582	1622	468	0	0	624	0	0
Olfr1511	687.916667	1482	519	729	1507	126	1510	1801	581	0	0	0	0	0
Brox	682.666667	1159	317	742	1145	376	1275	1570	1113	0	0	495	0	0
Aida	682.666667	1159	317	742	1145	376	1275	1570	1113	0	0	495	0	0
Vps39	658.500000	1102	459	638	1103	70	1433	2002	776	0	0	319	0	0
Il31ra	637.583333	1149	515	653	1060	664	1259	1099	562	0	0	690	0	0
Fam110a	628.083333	986	389	677	986	226	1226	1527	744	0	0	776	0	0
Spin1	619.500000	929	597	946	924	0	1410	1724	904	0	0	0	0	0
Eepd1	607.166667	1330	365	732	1331	111	1033	1770	614	0	0	0	0	0
Ifngr1	605.000000	1108	546	594	1120	79	1328	1685	800	0	0	0	0	0
Gm45618	602.333333	1480	220	577	1487	0	990	1853	621	0	0	0	0	0
Gk5	593.583333	1278	475	483	1279	0	1129	1877	388	0	0	214	0	0
Gcnt1	583.166667	1009	321	561	1007	0	1379	1815	660	0	0	246	0	0
Ppm1l	581.583333	1142	349	568	1140	0	875	1816	704	0	0	385	0	0
Tlr4	565.166667	1146	323	598	1151	83	1114	1572	667	0	0	128	0	0
Bspry	564.000000	1221	368	708	1220	168	952	1497	634	0	0	0	0	0
Eya2	553.583333	1172	479	590	1169	0	1153	1639	441	0	0	0	0	0
Phldb1	553.500000	896	336	564	894	0	1080	2106	766	0	0	0	0	0
Nlrx1	548.833333	792	215	416	794	0	774	1486	411	0	0	1698	0	0
Zfp366	546.833333	1132	314	627	1130	0	822	1804	733	0	0	0	0	0
Stx19	543.750000	1278	339	504	1277	0	963	1647	517	0	0	0	0	0
Dusp7	541.166667	924	258	617	926	0	970	1580	695	0	0	524	0	0
Zfp710	538.916667	1023	434	540	1023	121	905	1400	834	0	0	187	0	0
Car9	535.833333	1127	194	450	1127	0	723	1301	427	0	0	1081	0	0
Arhgef39	535.833333	1127	194	450	1127	0	723	1301	427	0	0	1081	0	0
Tmem175	532.083333	1101	407	391	1102	0	841	1503	535	0	0	505	0	0
Gak	532.083333	1101	407	391	1102	0	841	1503	535	0	0	505	0	0
Btn2a2	520.916667	848	508	496	848	0	1046	1703	646	0	0	156	0	0
Vps37c	511.083333	1023	222	432	1023	0	835	1414	581	0	0	603	0	0
Grb2	502.916667	708	318	383	713	0	996	1461	556	0	0	900	0	0
Hddc2	500.416667	1164	155	536	1163	0	1022	1534	431	0	0	0	0	0
Slc9a9	498.500000	936	181	466	936	104	726	1642	651	0	0	340	0	0
Usp38	496.916667	870	262	434	872	0	962	1474	550	0	0	539	0	0
Hmgcll1	496.666667	987	290	489	986	0	748	1856	499	0	0	105	0	0
Krtcap3	495.333333	907	335	494	904	0	1113	1575	616	0	0	0	0	0
Pald1	495.250000	1146	268	344	1146	97	806	1494	462	0	0	180	0	0
Slc31a2	493.250000	1041	341	453	1041	132	949	1542	420	0	0	0	0	0
Aanat	486.833333	1118	365	261	1118	0	959	1663	358	0	0	0	0	0
Nus1	486.500000	1140	155	490	1141	82	749	1616	465	0	0	0	0	0
Nfam1	485.916667	960	212	349	960	0	1159	1536	348	0	0	307	0	0
