Target_genes	Elk1|Average	SRX10221012|3T3-L1	SRX10221013|3T3-L1	SRX10221014|3T3-L1	SRX10221015|3T3-L1	SRX9144796|3T3-L1	SRX9144797|3T3-L1	SRX7115524|Corpus_Striatum	SRX7115525|Corpus_Striatum	SRX1462209|MEF	SRX1462210|MEF	SRX1462211|MEF	SRX1462212|MEF	SRX1462213|MEF	SRX1462214|MEF	SRX1462215|MEF	SRX1462216|MEF	SRX1618614|MEF	SRX1618615|MEF-derived_neural_cells	SRX1618616|MEF-derived_neural_cells	SRX1618617|MEF-derived_neural_cells	SRX1618618|MEF-derived_neural_cells	SRX262793|NIH/3T3	SRX262794|NIH/3T3	SRX262795|NIH/3T3	SRX262796|NIH/3T3	STRING
Tcstv3	977.080000	512	433	473	430	718	493	2255	2220	1310	1325	1262	1316	1336	1332	1334	1358	860	1088	1035	987	865	440	257	676	112	0
Cldn34d	972.440000	1832	1751	1936	1616	1495	1011	1526	1259	654	393	840	734	794	615	793	781	956	687	960	915	998	501	416	630	218	0
Brox	625.640000	1133	659	828	602	946	473	1725	1626	356	281	334	412	332	313	318	336	875	713	822	845	750	267	238	345	112	0
Aida	625.640000	1133	659	828	602	946	473	1725	1626	356	281	334	412	332	313	318	336	875	713	822	845	750	267	238	345	112	0
Tmem125	443.560000	477	939	631	527	486	455	1248	1308	301	253	311	347	305	256	255	294	450	448	365	449	251	226	169	185	153	0
Oasl1	402.920000	0	0	0	0	0	0	238	291	567	316	523	576	475	599	496	553	734	691	775	921	706	519	461	358	274	0
Asmt	354.160000	0	0	0	0	0	0	502	512	590	363	422	684	519	458	470	569	806	657	613	760	558	229	142	0	0	0
Egr1	341.520000	413	1268	831	781	1817	2653	408	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nr4a1	325.440000	276	1987	625	693	1644	2272	363	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd6	289.280000	0	0	0	0	0	0	310	385	620	471	497	509	509	597	624	649	242	436	350	305	215	194	155	0	164	0
Olfr806	263.520000	0	0	0	0	0	0	265	359	514	474	571	583	561	588	485	558	282	365	260	239	275	0	209	0	0	0
Mdm2	245.480000	318	891	726	1052	1487	1527	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kpna1	238.000000	0	0	0	0	0	0	727	757	298	141	180	168	222	246	173	168	396	142	366	471	427	237	304	233	294	0
Cwc22	236.240000	109	728	844	1318	1423	1359	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tada3	231.320000	93	456	461	696	1161	1505	843	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arpc4	231.320000	93	456	461	696	1161	1505	843	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdh12	227.360000	0	0	0	0	0	0	0	0	281	0	271	369	406	356	331	202	756	366	716	729	764	0	137	0	0	0
Pomp	223.000000	0	606	606	710	1103	1012	804	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Junb	219.880000	0	327	614	904	1519	961	540	442	0	0	0	0	0	0	0	0	0	0	0	69	121	0	0	0	0	0
Ier2	217.920000	0	489	552	345	1454	2039	384	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sft2d1	211.280000	0	298	308	449	951	959	1336	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mideas	207.680000	0	544	381	485	1351	1954	181	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr1	191.920000	0	420	420	525	943	1745	348	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k14	190.120000	0	322	0	176	1214	1878	588	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0
Zfp408	189.280000	0	542	380	374	787	1516	634	393	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap1	189.280000	0	542	380	374	787	1516	634	393	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrnp200	186.440000	0	583	530	681	840	722	629	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810024B03Rik	186.440000	0	583	530	681	840	722	629	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wwox	183.360000	0	0	0	0	0	0	210	115	334	393	343	348	387	394	382	361	189	282	202	0	187	0	286	0	171	0
Vmn2r102	172.640000	0	0	0	0	0	0	168	154	0	0	271	156	94	0	0	168	346	412	423	391	405	230	330	283	485	0
Crebzf	168.640000	0	0	91	138	90	151	162	167	315	264	219	206	259	354	331	185	202	0	0	0	0	193	225	273	391	0
Mpdu1	166.960000	0	448	393	652	809	1293	357	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcl2l12	156.880000	0	432	412	720	631	1105	409	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stam2	156.680000	0	549	461	723	819	507	482	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcte3	155.880000	0	310	303	382	757	796	762	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3448	155.880000	0	310	303	382	757	796	762	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3417	155.880000	0	310	303	382	757	796	762	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermard	151.920000	0	310	303	382	757	796	663	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbck	149.480000	0	391	373	508	352	374	985	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aimp1	149.480000	0	391	373	508	352	374	985	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wfdc3	149.200000	0	203	315	517	793	803	646	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnttip1	149.200000	0	203	315	517	793	803	646	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homer1	149.160000	0	536	341	481	674	1077	330	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fos	147.480000	0	372	425	507	793	1288	177	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nemf	146.160000	0	0	0	0	0	0	127	0	159	308	0	0	0	0	0	0	425	0	0	178	273	407	580	454	743	0
Zc3h15	144.720000	0	200	248	360	781	529	783	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rexo1	142.520000	0	512	556	816	608	283	483	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pak1ip1	141.080000	0	171	217	371	796	608	690	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abi2	141.080000	0	389	239	420	958	1134	224	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufs1	139.280000	0	349	530	762	615	455	378	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef1b2	139.280000	0	349	530	762	615	455	378	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Supt4a	138.040000	0	413	340	312	861	1077	282	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid3b	137.520000	0	232	199	268	879	1282	290	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Znhit1	135.160000	0	260	123	222	179	225	334	107	222	0	0	172	173	230	207	206	0	0	0	0	0	0	206	176	337	0
Plod3	135.160000	0	260	123	222	179	225	334	107	222	0	0	172	173	230	207	206	0	0	0	0	0	0	206	176	337	0
Hjurp	134.520000	0	321	206	332	478	528	857	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A730008H23Rik	134.520000	0	321	206	332	478	528	857	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egr2	133.600000	0	440	338	475	925	1025	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tut7	130.160000	0	287	242	413	554	464	759	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egr3	129.960000	0	276	444	488	788	1010	110	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl32	129.760000	0	408	418	450	503	525	609	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nup107	128.960000	348	444	413	535	481	562	263	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps29	124.920000	0	0	0	0	0	0	144	0	0	233	0	0	0	0	0	0	425	0	0	0	201	240	513	474	893	0
Fancd2	122.920000	0	336	312	453	434	464	538	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emc3	122.920000	0	336	312	453	434	464	538	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam227b	122.160000	0	0	0	0	0	98	256	87	0	0	0	0	0	0	0	0	189	0	0	0	187	430	522	424	861	0
Dtwd1	122.160000	0	0	0	0	0	98	256	87	0	0	0	0	0	0	0	0	189	0	0	0	187	430	522	424	861	0
Bahcc1	119.600000	289	1514	426	335	238	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fzd2	118.480000	302	1514	580	396	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctdsp2	118.040000	385	1259	356	269	172	185	242	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Letmd1	117.760000	0	311	400	425	376	640	448	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il31ra	117.680000	0	0	0	0	0	0	570	606	159	0	167	0	0	0	0	0	152	202	0	215	0	227	173	248	223	0
Cherp	117.560000	0	144	179	245	394	479	842	656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srek1	117.120000	0	238	209	416	631	961	274	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serf1	117.120000	0	285	148	382	663	582	562	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bdp1	117.120000	0	285	148	382	663	582	562	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csf2ra	117.040000	0	0	0	0	0	0	0	97	0	0	150	0	0	203	0	0	470	383	511	486	398	0	228	0	0	0
Rpl36	116.680000	0	199	239	256	818	805	379	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phkb	116.680000	0	391	308	382	551	593	317	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micos13	116.680000	0	199	239	256	818	805	379	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itfg1	116.680000	0	391	308	382	551	593	317	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sirt6	115.920000	0	328	228	303	355	432	745	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd24	115.920000	0	328	228	303	355	432	745	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3435	115.760000	0	287	187	230	398	583	762	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zcwpw2	113.800000	0	295	318	615	337	531	469	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azi2	113.800000	0	295	318	615	337	531	469	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cct8	113.600000	0	193	0	130	484	507	951	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erlin2	112.480000	0	220	0	264	606	581	656	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcl1	109.840000	0	416	241	316	593	763	251	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps26c	109.520000	0	190	185	236	474	582	572	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankar	109.240000	0	0	0	0	0	0	0	0	143	205	193	170	230	182	0	0	282	250	303	291	265	0	0	0	217	0
Nolc1	109.040000	0	161	0	148	555	826	592	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malt1	106.640000	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	324	0	0	0	229	248	492	495	768	0
Nr4a3	106.560000	0	333	252	448	625	780	91	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap4e1	106.200000	0	0	0	219	494	458	909	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppat	105.280000	0	243	275	351	576	677	359	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
