Target_genes	Elk3|Average	SRX262801|NIH/3T3	SRX262802|NIH/3T3	SRX262803|NIH/3T3	SRX262804|NIH/3T3	STRING
Sspn	559.000000	674	215	555	792	0
Kpna1	548.750000	497	380	634	684	0
Vmn2r102	533.500000	515	488	611	520	0
Cldn34d	472.500000	314	344	571	661	0
Il31ra	398.000000	396	302	385	509	0
Oasl1	386.500000	259	604	264	419	0
Brox	344.500000	425	191	361	401	0
Aida	344.500000	425	191	361	401	0
Tcstv3	328.250000	383	257	398	275	0
Dchs2	315.750000	259	257	404	343	0
Gm10710	251.500000	259	0	404	343	0
Znhit1	250.750000	194	398	193	218	0
Plod3	250.750000	194	398	193	218	0
Ankar	212.250000	223	179	212	235	0
Tmem125	194.250000	170	142	290	175	0
Crebzf	191.000000	215	347	0	202	0
Asmt	189.750000	134	275	186	164	0
Dcaf5	113.250000	134	0	154	165	0
Cbr3	112.000000	0	257	0	191	0
Hrh2	92.500000	0	0	179	191	0
Zfp263	92.000000	0	157	0	211	0
Csf2ra	64.250000	0	257	0	0	0
Ifna13	59.750000	0	239	0	0	0
Fnbp1	55.250000	0	221	0	0	0
Zfp598	53.500000	0	0	214	0	0
Cdrt4	46.500000	0	186	0	0	0
Stap2	42.250000	0	169	0	0	0
Mpnd	42.250000	0	169	0	0	0
Zfp143	40.000000	0	0	160	0	0
Abhd6	34.000000	0	136	0	0	0
Rps29	32.000000	128	0	0	0	0
Mcm10	31.750000	127	0	0	0	0
Cdca8	31.000000	0	0	124	0	0
9930104L06Rik	31.000000	0	0	124	0	0
Sp2	24.750000	0	0	99	0	0
Trim50	22.000000	0	88	0	0	0
