Target_genes	Elk4|Average	SRX1035408|mESC_derived_mesodermal_cells	SRX262797|NIH/3T3	SRX262798|NIH/3T3	SRX262799|NIH/3T3	SRX262800|NIH/3T3	STRING
Tcstv3	518.200000	1902	113	172	224	180	0
Fam227b	498.600000	0	462	756	675	600	0
Dtwd1	498.600000	0	462	756	675	600	0
Rps29	488.200000	0	365	735	688	653	0
Rasip1	480.800000	0	551	708	607	538	0
Izumo1	480.800000	0	551	708	607	538	0
Nemf	456.200000	0	395	694	626	566	0
Cldn34d	447.600000	1026	249	311	381	271	0
Malt1	434.000000	0	281	719	572	598	0
Znhit1	395.000000	0	728	441	276	530	0
Plod3	395.000000	0	728	441	276	530	0
Pgk1	355.000000	0	356	467	510	442	0
Oasl1	354.400000	506	182	382	334	368	0
Prkdc	333.600000	0	229	517	426	496	0
Cbr3	311.400000	0	684	300	181	392	0
Brox	295.800000	559	203	208	312	197	0
Aida	295.800000	559	203	208	312	197	0
Crebzf	291.400000	0	523	306	227	401	0
Tmem101	284.400000	1253	0	169	0	0	0
Socs3	276.400000	1382	0	0	0	0	0
Vmn2r102	267.000000	307	117	319	376	216	0
Kpna1	258.200000	579	0	245	286	181	0
Abhd6	233.800000	637	157	142	233	0	0
Olfr806	226.800000	574	146	188	0	226	0
Vstm4	224.800000	0	205	345	329	245	0
Wwox	216.400000	493	146	0	225	218	0
Egr1	211.800000	959	0	0	0	100	0
Map3k14	210.200000	1051	0	0	0	0	0
Npm2	188.600000	0	166	309	181	287	0
Csf2ra	185.600000	358	0	263	307	0	0
Slc5a6	178.000000	238	0	201	194	257	0
Atraid	178.000000	238	0	201	194	257	0
Tmem125	177.000000	80	170	144	268	223	0
Il31ra	175.000000	330	0	310	129	106	0
Cdrt4	160.200000	0	393	0	146	262	0
Zfp821	160.000000	0	0	348	273	179	0
Fadd	156.200000	781	0	0	0	0	0
Ier2	156.000000	780	0	0	0	0	0
Slx4ip	146.200000	731	0	0	0	0	0
Mkks	146.200000	731	0	0	0	0	0
Bax	141.800000	709	0	0	0	0	0
Naaa	131.800000	0	0	300	209	150	0
Cad	130.400000	0	0	201	194	257	0
Oxa1l	128.200000	641	0	0	0	0	0
Ube2v1	124.800000	624	0	0	0	0	0
Egr3	123.800000	619	0	0	0	0	0
Slx1b	122.000000	610	0	0	0	0	0
Bola2	122.000000	610	0	0	0	0	0
Cdk5rap2	121.400000	607	0	0	0	0	0
Asmt	119.400000	312	0	165	120	0	0
Npas4	119.000000	595	0	0	0	0	0
Psmd7	116.600000	583	0	0	0	0	0
Olfr1389	111.200000	0	0	208	198	150	0
Pin1	111.000000	555	0	0	0	0	0
Git2	110.800000	554	0	0	0	0	0
Ankrd13a	110.800000	554	0	0	0	0	0
Olfr543	109.400000	547	0	0	0	0	0
Bcl2l12	108.800000	544	0	0	0	0	0
Zmat3	108.600000	543	0	0	0	0	0
Hps5	102.400000	0	0	166	181	165	0
Gtf2h1	102.400000	0	0	166	181	165	0
Dedd	100.600000	503	0	0	0	0	0
Deptor	95.000000	475	0	0	0	0	0
Naa60	94.800000	474	0	0	0	0	0
Zrsr1	94.600000	0	294	0	179	0	0
Commd1	94.600000	0	294	0	179	0	0
Psmb5	94.400000	472	0	0	0	0	0
Celsr3	94.400000	472	0	0	0	0	0
Wdr46	93.200000	466	0	0	0	0	0
Pfdn6	93.200000	466	0	0	0	0	0
Aadacl2fm1	93.200000	466	0	0	0	0	0
Dyrk3	91.600000	458	0	0	0	0	0
Wdr3	87.800000	0	0	276	163	0	0
N4bp1	86.800000	434	0	0	0	0	0
Sp1	85.400000	427	0	0	0	0	0
Egr2	84.800000	424	0	0	0	0	0
Asrgl1	84.800000	0	0	259	0	165	0
Ogn	84.600000	423	0	0	0	0	0
Cdkn1a	84.600000	423	0	0	0	0	0
Tmem94	83.600000	418	0	0	0	0	0
Skiv2l	83.400000	417	0	0	0	0	0
Nelfe	83.400000	417	0	0	0	0	0
Zfp958	82.200000	411	0	0	0	0	0
Cnih2	81.800000	409	0	0	0	0	0
Ccng1	81.400000	407	0	0	0	0	0
Pbk	80.800000	0	258	0	146	0	0
Mpc2	80.800000	404	0	0	0	0	0
Dcaf6	80.800000	404	0	0	0	0	0
Scrt1	79.400000	397	0	0	0	0	0
Dnlz	79.000000	395	0	0	0	0	0
Rcc1l	78.400000	392	0	0	0	0	0
Katnb1	78.400000	392	0	0	0	0	0
Aqr	78.400000	392	0	0	0	0	0
Icmt	78.200000	391	0	0	0	0	0
Atf6	77.800000	389	0	0	0	0	0
Tmem131	77.400000	387	0	0	0	0	0
Tubd1	76.800000	384	0	0	0	0	0
Rps6kb1	76.800000	384	0	0	0	0	0
Atp6v0d1	76.200000	381	0	0	0	0	0
Agrp	76.200000	381	0	0	0	0	0
Creld2	75.000000	375	0	0	0	0	0
Alg12	75.000000	375	0	0	0	0	0
Mideas	74.200000	371	0	0	0	0	0
Phlda3	74.000000	370	0	0	0	0	0
Mpdu1	73.600000	368	0	0	0	0	0
Os9	73.400000	367	0	0	0	0	0
Bloc1s5	73.000000	365	0	0	0	0	0
Smim17	71.600000	358	0	0	0	0	0
Tbc1d17	71.400000	357	0	0	0	0	0
Akt1s1	71.400000	357	0	0	0	0	0
Slmap	70.600000	353	0	0	0	0	0
Dph6	70.400000	352	0	0	0	0	0
Szrd1	70.000000	350	0	0	0	0	0
Syngr2	70.000000	350	0	0	0	0	0
Ccdc124	70.000000	350	0	0	0	0	0
Tomm40l	69.800000	349	0	0	0	0	0
Rpl24	69.800000	349	0	0	0	0	0
Apoa2	69.800000	349	0	0	0	0	0
Cuedc2	68.600000	343	0	0	0	0	0
Aars2	68.000000	340	0	0	0	0	0
Tyw1	67.200000	0	198	0	0	138	0
Sbds	67.200000	0	198	0	0	138	0
Rap2b	67.200000	336	0	0	0	0	0
Tpgs1	66.600000	333	0	0	0	0	0
Madcam1	66.600000	333	0	0	0	0	0
Rprd1a	66.400000	332	0	0	0	0	0
Hacd2	66.000000	330	0	0	0	0	0
Tmem17	65.600000	328	0	0	0	0	0
Psrc1	63.600000	318	0	0	0	0	0
Caml	63.400000	317	0	0	0	0	0
Usp31	63.000000	315	0	0	0	0	0
Cep250	63.000000	315	0	0	0	0	0
Rfx1	62.800000	314	0	0	0	0	0
Proca1	62.600000	0	0	146	167	0	0
Esr1	62.600000	313	0	0	0	0	0
Zfp747	61.800000	309	0	0	0	0	0
Plekhg1	61.400000	0	307	0	0	0	0
Sema4b	60.800000	304	0	0	0	0	0
Rapgef1	60.800000	304	0	0	0	0	0
0610009B22Rik	60.400000	302	0	0	0	0	0
Txndc15	60.000000	300	0	0	0	0	0
Chmp2b	60.000000	300	0	0	0	0	0
Fos	59.200000	296	0	0	0	0	0
Ghitm	58.800000	294	0	0	0	0	0
Miga1	58.400000	292	0	0	0	0	0
Xkr7	57.800000	289	0	0	0	0	0
Kat7	57.800000	289	0	0	0	0	0
Coq9	57.800000	289	0	0	0	0	0
Ciapin1	57.800000	289	0	0	0	0	0
Lin28a	57.600000	288	0	0	0	0	0
Racgap1	57.400000	287	0	0	0	0	0
Chfr	55.400000	277	0	0	0	0	0
Imp4	55.200000	276	0	0	0	0	0
Cradd	55.200000	276	0	0	0	0	0
Ccdc115	55.200000	276	0	0	0	0	0
Pdcl	54.800000	274	0	0	0	0	0
Prpsap1	54.400000	272	0	0	0	0	0
Exo5	53.600000	0	268	0	0	0	0
Glra1	53.400000	267	0	0	0	0	0
Junb	53.200000	266	0	0	0	0	0
Bbc3	52.800000	264	0	0	0	0	0
Zfp809	52.600000	263	0	0	0	0	0
BC052040	52.400000	262	0	0	0	0	0
Mcl1	52.200000	261	0	0	0	0	0
Hdlbp	52.200000	0	261	0	0	0	0
Zbtb17	52.000000	260	0	0	0	0	0
Nars	51.600000	258	0	0	0	0	0
Dchs2	51.600000	0	0	95	163	0	0
Rrm1	51.400000	257	0	0	0	0	0
Ulbp1	51.000000	255	0	0	0	0	0
Nr4a1	51.000000	255	0	0	0	0	0
Mfn1	51.000000	255	0	0	0	0	0
Mapk3	51.000000	0	0	255	0	0	0
Gdpd3	51.000000	0	0	255	0	0	0
Acp2	51.000000	255	0	0	0	0	0
Ncdn	50.400000	252	0	0	0	0	0
Cln3	50.400000	252	0	0	0	0	0
Apobr	50.400000	252	0	0	0	0	0
AU040320	50.400000	252	0	0	0	0	0
Mtfp1	50.200000	251	0	0	0	0	0
Arid3b	50.200000	251	0	0	0	0	0
Zzef1	50.000000	250	0	0	0	0	0
Cyb5d2	50.000000	250	0	0	0	0	0
Cmc2	49.800000	249	0	0	0	0	0
Cenpn	49.800000	249	0	0	0	0	0
Zfp689	49.600000	248	0	0	0	0	0
Pex7	49.600000	248	0	0	0	0	0
Diaph1	49.600000	248	0	0	0	0	0
Actr8	49.600000	248	0	0	0	0	0
Erdr1	49.400000	247	0	0	0	0	0
Crygn	49.000000	245	0	0	0	0	0
Xab2	48.600000	243	0	0	0	0	0
Pet100	48.600000	243	0	0	0	0	0
Pcp2	48.600000	243	0	0	0	0	0
Ccdc142	48.400000	242	0	0	0	0	0
Rab18	48.000000	240	0	0	0	0	0
Gprin1	48.000000	240	0	0	0	0	0
Cdh12	48.000000	240	0	0	0	0	0
Ate1	48.000000	240	0	0	0	0	0
Rcan1	47.800000	239	0	0	0	0	0
Pnma1	47.800000	239	0	0	0	0	0
Mff	47.800000	239	0	0	0	0	0
Ehd3	47.600000	238	0	0	0	0	0
Bbs2	47.200000	0	236	0	0	0	0
Sphk2	47.000000	235	0	0	0	0	0
Rpl18	47.000000	235	0	0	0	0	0
Ndufb5	47.000000	235	0	0	0	0	0
Mrpl47	47.000000	235	0	0	0	0	0
Cnnm2	47.000000	235	0	0	0	0	0
Lrrc8a	46.800000	234	0	0	0	0	0
Ggnbp1	46.600000	233	0	0	0	0	0
Trp53inp1	46.000000	230	0	0	0	0	0
Ttll11	45.600000	228	0	0	0	0	0
Exosc2	45.600000	228	0	0	0	0	0
Vps35l	45.400000	227	0	0	0	0	0
Muc13	45.200000	226	0	0	0	0	0
Klrb1b	45.200000	0	226	0	0	0	0
Insm2	45.200000	226	0	0	0	0	0
Tmed10	45.000000	225	0	0	0	0	0
Slc17a5	44.800000	224	0	0	0	0	0
Usp21	44.600000	223	0	0	0	0	0
Osbpl11	44.600000	223	0	0	0	0	0
Klhdc4	44.600000	223	0	0	0	0	0
Pdlim5	44.200000	221	0	0	0	0	0
Chmp6	44.200000	221	0	0	0	0	0
9130019O22Rik	44.000000	220	0	0	0	0	0
Cpeb4	43.600000	218	0	0	0	0	0
Rae1	43.400000	217	0	0	0	0	0
Megf11	43.200000	216	0	0	0	0	0
Fitm2	43.200000	216	0	0	0	0	0
Chd9	43.200000	216	0	0	0	0	0
Tas2r131	43.000000	215	0	0	0	0	0
Rab11fip3	43.000000	0	0	0	215	0	0
Grip1	43.000000	0	215	0	0	0	0
Prrt2	42.600000	213	0	0	0	0	0
Pagr1a	42.600000	213	0	0	0	0	0
Mvp	42.600000	213	0	0	0	0	0
Zfp143	42.400000	0	0	0	212	0	0
Use1	42.400000	212	0	0	0	0	0
Ocel1	42.400000	212	0	0	0	0	0
Zmat2	42.200000	211	0	0	0	0	0
Psmd12	42.200000	211	0	0	0	0	0
Rmi2	42.000000	0	210	0	0	0	0
Rdm1	41.800000	209	0	0	0	0	0
Sec23ip	41.600000	208	0	0	0	0	0
Mcmbp	41.600000	208	0	0	0	0	0
Csrnp2	41.600000	208	0	0	0	0	0
Scyl3	41.200000	206	0	0	0	0	0
Rpl12	41.000000	205	0	0	0	0	0
Pik3ca	41.000000	205	0	0	0	0	0
Lrsam1	41.000000	205	0	0	0	0	0
Alg14	41.000000	205	0	0	0	0	0
Dars2	40.600000	203	0	0	0	0	0
Ube2o	40.400000	202	0	0	0	0	0
Thap1	40.400000	202	0	0	0	0	0
Nme6	40.000000	200	0	0	0	0	0
Chad	40.000000	0	0	200	0	0	0
Txnl4b	39.800000	199	0	0	0	0	0
Tas1r3	39.800000	199	0	0	0	0	0
Dhx38	39.800000	199	0	0	0	0	0
Zfp981	39.600000	198	0	0	0	0	0
Mfsd13a	39.600000	198	0	0	0	0	0
Ankar	39.600000	0	0	0	198	0	0
Ube3c	39.400000	197	0	0	0	0	0
Tmbim6	39.200000	0	196	0	0	0	0
Gtse1	39.200000	196	0	0	0	0	0
Tppp3	39.000000	195	0	0	0	0	0
Sik3	39.000000	195	0	0	0	0	0
Pafah1b2	39.000000	195	0	0	0	0	0
Gm1096	39.000000	195	0	0	0	0	0
Zfp764	38.800000	194	0	0	0	0	0
Zfp563	38.800000	194	0	0	0	0	0
Foxj1	38.600000	193	0	0	0	0	0
Dpagt1	38.200000	191	0	0	0	0	0
Tent5c	37.800000	189	0	0	0	0	0
Scnn1a	37.800000	0	0	189	0	0	0
Ltbr	37.800000	0	0	189	0	0	0
Vstm2l	37.600000	188	0	0	0	0	0
Adk	37.600000	188	0	0	0	0	0
Prepl	37.400000	187	0	0	0	0	0
Fam98a	37.400000	187	0	0	0	0	0
Camkmt	37.400000	187	0	0	0	0	0
Zfp740	37.200000	186	0	0	0	0	0
Csad	37.200000	186	0	0	0	0	0
Esco2	37.000000	185	0	0	0	0	0
Ccdc25	37.000000	185	0	0	0	0	0
Srek1	36.800000	184	0	0	0	0	0
Awat2	36.800000	0	184	0	0	0	0
Slc12a9	36.400000	182	0	0	0	0	0
Epha2	36.400000	182	0	0	0	0	0
Rps19	36.200000	181	0	0	0	0	0
Sdf4	36.000000	180	0	0	0	0	0
B3galt6	36.000000	180	0	0	0	0	0
Gtf3c6	35.600000	178	0	0	0	0	0
Ankle2	35.600000	178	0	0	0	0	0
Ech1	35.400000	177	0	0	0	0	0
Fig4	35.200000	176	0	0	0	0	0
Ak9	35.200000	176	0	0	0	0	0
Zfp729a	35.000000	175	0	0	0	0	0
Med25	35.000000	175	0	0	0	0	0
Fuz	35.000000	175	0	0	0	0	0
A430005L14Rik	35.000000	175	0	0	0	0	0
Svop	34.800000	174	0	0	0	0	0
Shoc2	34.800000	174	0	0	0	0	0
Gpr137	34.800000	174	0	0	0	0	0
Gins1	34.800000	174	0	0	0	0	0
Bbip1	34.800000	174	0	0	0	0	0
Bad	34.800000	174	0	0	0	0	0
Tcte3	34.600000	173	0	0	0	0	0
