Target_genes	Emx2|Average	SRX11976446|Cerebral_Cortex	SRX11976464|Cerebral_Cortex	SRX11976465|Cerebral_Cortex	STRING
Tcstv3	1583.000000	1237	1350	2162	0
Cldn34d	1340.000000	915	1183	1922	0
Brox	999.333333	663	646	1689	0
Aida	999.333333	663	646	1689	0
Zfhx4	902.333333	0	276	2431	0
Kpna1	876.000000	756	702	1170	0
Ddx42	869.000000	0	0	2607	0
Ccdc47	869.000000	0	0	2607	0
Notch1	810.333333	0	84	2347	0
Dpf3	789.333333	0	135	2233	0
Poc1a	787.333333	0	190	2172	0
Emx2	779.666667	0	309	2030	0
Asmt	729.666667	832	644	713	0
Il31ra	657.666667	460	635	878	0
Nfib	654.333333	0	223	1740	0
Oasl1	633.000000	723	521	655	0
Tmem229b	625.000000	0	252	1623	0
Ext2	598.000000	0	0	1794	0
Katnal2	571.000000	0	97	1616	0
Fezf1	541.333333	0	206	1418	0
Dctn3	526.666667	0	121	1459	0
Arid3c	526.666667	0	121	1459	0
Dach1	508.000000	0	98	1426	0
Kat6b	503.000000	0	129	1380	0
Cdh12	483.000000	508	579	362	0
Zfp521	480.000000	0	71	1369	0
Abhd6	478.666667	570	458	408	0
Polg	476.666667	0	0	1430	0
Gpbp1	439.000000	0	176	1141	0
Znrf4	437.000000	0	196	1115	0
Dusp6	434.666667	0	0	1304	0
Olfr806	429.666667	492	446	351	0
Map7	419.000000	0	0	1257	0
Tmem125	414.333333	505	228	510	0
Palmd	410.000000	0	0	1230	0
Pkdcc	408.666667	0	71	1155	0
Lhx2	406.000000	0	165	1053	0
Zfp408	388.333333	0	0	1165	0
Arhgap1	388.333333	0	0	1165	0
Gpr139	377.000000	0	0	1131	0
BC048507	368.000000	0	114	990	0
Khsrp	359.333333	0	0	1078	0
Gm5136	350.000000	0	93	957	0
Lmo3	349.000000	0	104	943	0
Phf5a	346.000000	0	0	1038	0
Aco2	346.000000	0	0	1038	0
Lgals12	342.333333	0	99	928	0
Dclk1	337.000000	0	0	1011	0
Akap13	335.666667	0	0	1007	0
Bdnf	332.666667	0	103	895	0
Slc8a2	331.333333	0	0	994	0
Gpr183	331.000000	0	0	993	0
Fev	315.666667	0	0	947	0
Sbk1	310.000000	0	0	930	0
Lipg	309.000000	0	0	927	0
Vangl2	308.000000	0	0	924	0
Tnfrsf19	307.666667	0	0	923	0
Hdhd2	307.000000	0	0	921	0
Gli2	305.000000	0	0	915	0
Zfp536	304.333333	0	0	913	0
Arhgdia	302.333333	0	0	907	0
Alkbh5	302.000000	0	0	906	0
Msx2	300.000000	0	0	900	0
Alg14	293.333333	0	0	880	0
Lmo1	293.000000	0	141	738	0
Barhl2	292.666667	0	68	810	0
Fzd8	290.333333	0	104	767	0
Ralbp1	288.000000	0	0	864	0
Zfp143	287.333333	385	240	237	0
Edar	283.000000	0	117	732	0
Ppt1	279.333333	0	0	838	0
Pbx2	277.333333	0	0	832	0
Gpsm3	277.333333	0	0	832	0
Lix1	272.333333	0	0	817	0
Usp34	270.000000	0	0	810	0
Fam219a	266.333333	0	0	799	0
Dnaic1	266.333333	0	0	799	0
Gnao1	264.000000	0	0	792	0
Npas1	263.666667	0	108	683	0
Tle4	260.333333	0	0	781	0
Rnf144b	258.333333	0	0	775	0
Abhd17b	247.333333	0	0	742	0
1110059E24Rik	247.333333	0	0	742	0
Fezf2	247.000000	0	131	610	0
Sspn	246.666667	211	95	434	0
Clip1	242.666667	0	0	728	0
Abca4	242.333333	0	0	727	0
Crebzf	242.000000	269	264	193	0
Usp49	241.333333	0	0	724	0
Klhdc8a	240.333333	0	0	721	0
Tpbg	238.666667	0	0	716	0
Cep295	236.000000	0	0	708	0
Ankrd11	235.666667	0	0	707	0
Dph5	235.333333	0	0	706	0
B3gat2	232.333333	0	0	697	0
Nudt8	232.000000	0	0	696	0
Doc2g	232.000000	0	0	696	0
Adcy8	232.000000	0	0	696	0
Zfp867	231.333333	0	0	694	0
Myt1	231.333333	0	0	694	0
Rasgef1b	231.000000	0	0	693	0
Tas2r119	228.000000	0	0	684	0
Prok1	228.000000	0	0	684	0
Pipox	228.000000	0	0	684	0
Ptprg	225.666667	0	0	677	0
Cckar	225.000000	0	0	675	0
Actl6a	222.333333	0	0	667	0
Lypd11	221.000000	255	225	183	0
Brpf1	221.000000	0	0	663	0
Uvrag	220.333333	0	0	661	0
Klhl5	219.666667	0	0	659	0
Bcas3	218.000000	0	0	654	0
Rragd	217.333333	0	0	652	0
Gm829	216.333333	0	0	649	0
Dusp23	216.000000	0	0	648	0
Pax6	215.000000	0	0	645	0
Ust	214.666667	0	0	644	0
Dll1	211.666667	0	0	635	0
Incenp	211.333333	0	0	634	0
Hjurp	209.333333	0	0	628	0
A730008H23Rik	209.333333	0	0	628	0
Csf2ra	207.333333	326	296	0	0
Enc1	205.000000	0	0	615	0
Chd3	205.000000	0	0	615	0
Gpcpd1	204.333333	0	0	613	0
Pcyox1l	203.333333	0	0	610	0
Bhlhe22	202.333333	0	0	607	0
Rpp25	202.000000	0	0	606	0
Tle3	201.333333	0	0	604	0
Abr	201.333333	0	0	604	0
Pank4	201.000000	0	0	603	0
Ing3	201.000000	0	0	603	0
Hes5	201.000000	0	0	603	0
Dmrta2	201.000000	0	0	603	0
Astn2	199.666667	0	0	599	0
Ncald	198.666667	0	0	596	0
Hip1	197.666667	0	0	593	0
Cadm1	195.333333	0	0	586	0
Zfp524	195.000000	0	0	585	0
Fiz1	195.000000	0	0	585	0
Sox6	194.666667	0	0	584	0
Zfp473	194.333333	0	0	583	0
Vrk3	194.333333	0	0	583	0
Vps36	193.666667	0	0	581	0
Mppe1	193.000000	0	0	579	0
Fam222a	190.000000	0	0	570	0
Vstm2a	188.666667	0	0	566	0
Map2	187.333333	0	0	562	0
Gli3	185.000000	0	0	555	0
Mpp3	184.666667	0	0	554	0
Cpeb2	184.666667	0	0	554	0
Prrt2	183.666667	0	0	551	0
Pagr1a	183.666667	0	0	551	0
Mvp	183.666667	0	0	551	0
Wwox	182.000000	255	291	0	0
Cldn10	181.000000	0	0	543	0
Dchs2	180.000000	297	0	243	0
1600014C23Rik	180.000000	0	0	540	0
Sulf2	177.666667	0	0	533	0
Nyap1	177.666667	0	0	533	0
Tcf7l1	177.000000	0	0	531	0
Frmd4b	176.000000	0	0	528	0
Arhgef17	175.666667	0	0	527	0
Crlf2	175.333333	0	0	526	0
Ttc39a	174.666667	0	0	524	0
Masp1	169.666667	0	0	509	0
Tex22	167.000000	0	0	501	0
