Target_genes	Etv5|Average	SRX3775849|Alveolar_type_II_cells	SRX23761407|Ependymoma	SRX4988100|ES_cells	SRX4988101|ES_cells	SRX4988102|ES_cells	SRX4988103|ES_cells	SRX4988104|ES_cells	SRX4988105|ES_cells	STRING
Tcstv3	1145.250000	826	734	1280	1297	1265	1292	1228	1240	0
Cldn34d	613.125000	164	1946	538	381	489	503	496	388	0
Olfr806	566.375000	266	0	643	668	707	770	724	753	0
Abhd6	565.500000	370	0	725	605	751	701	722	650	0
Kpna1	544.000000	708	505	599	441	604	640	508	347	0
Brox	504.125000	1175	540	380	331	425	420	390	372	0
Aida	504.125000	1175	540	380	331	425	420	390	372	0
Il31ra	460.000000	1012	304	440	219	422	439	407	437	0
Specc1	451.000000	339	0	375	282	646	504	806	656	0
Dohh	401.625000	2778	435	0	0	0	0	0	0	0
Ptcd2	395.125000	2925	236	0	0	0	0	0	0	0
Mrps27	395.125000	2925	236	0	0	0	0	0	0	0
Tjp3	391.625000	3133	0	0	0	0	0	0	0	0
Pip5k1c	391.625000	3133	0	0	0	0	0	0	0	0
Wwox	377.875000	456	0	420	404	361	464	470	448	0
Bcl6	376.625000	3013	0	0	0	0	0	0	0	0
Tut7	376.250000	2747	263	0	0	0	0	0	0	0
Psmd12	369.500000	2633	323	0	0	0	0	0	0	0
Wasl	364.000000	2724	188	0	0	0	0	0	0	0
Gm3448	362.250000	2457	362	0	0	0	79	0	0	0
Gm3417	362.250000	2457	362	0	0	0	79	0	0	0
Tcte3	358.625000	2437	362	0	0	0	70	0	0	0
Gm3435	358.625000	2437	362	0	0	0	70	0	0	0
Fus	355.625000	2845	0	0	0	0	0	0	0	0
Psip1	355.250000	2842	0	0	0	0	0	0	0	0
Bzw1	348.375000	2599	188	0	0	0	0	0	0	0
9030025P20Rik	347.375000	2457	243	0	0	0	79	0	0	0
Ly6g6f	341.625000	2733	0	0	0	0	0	0	0	0
Abhd16a	341.625000	2733	0	0	0	0	0	0	0	0
Mob2	339.125000	2713	0	0	0	0	0	0	0	0
Hdac2	337.250000	2698	0	0	0	0	0	0	0	0
Atrnl1	336.500000	2692	0	0	0	0	0	0	0	0
Noct	336.375000	2691	0	0	0	0	0	0	0	0
Wdr78	335.000000	2440	240	0	0	0	0	0	0	0
Mier1	335.000000	2440	240	0	0	0	0	0	0	0
Exoc5	331.375000	2315	336	0	0	0	0	0	0	0
Ap5m1	331.375000	2315	336	0	0	0	0	0	0	0
Ermard	328.875000	2325	306	0	0	0	0	0	0	0
Smc3	327.250000	2618	0	0	0	0	0	0	0	0
Oxr1	326.000000	2608	0	0	0	0	0	0	0	0
Ppm1l	324.125000	2593	0	0	0	0	0	0	0	0
Mia2	322.875000	2583	0	0	0	0	0	0	0	0
Tex10	322.125000	2115	462	0	0	0	0	0	0	0
Ube2b	319.250000	2403	151	0	0	0	0	0	0	0
Cdkl3	319.250000	2403	151	0	0	0	0	0	0	0
Prpf40a	318.625000	2251	298	0	0	0	0	0	0	0
Arl6ip6	318.625000	2251	298	0	0	0	0	0	0	0
Map7d1	317.875000	2543	0	0	0	0	0	0	0	0
Smg7	316.625000	2366	167	0	0	0	0	0	0	0
Abtb1	313.375000	2507	0	0	0	0	0	0	0	0
Ss18	312.875000	2503	0	0	0	0	0	0	0	0
Cadm2	311.250000	2490	0	0	0	0	0	0	0	0
Myl12a	308.625000	2263	206	0	0	0	0	0	0	0
Cmc2	305.250000	2442	0	0	0	0	0	0	0	0
Cenpn	305.250000	2442	0	0	0	0	0	0	0	0
Shprh	304.250000	2048	386	0	0	0	0	0	0	0
Cep41	304.000000	2162	270	0	0	0	0	0	0	0
Slbp	303.500000	2300	128	0	0	0	0	0	0	0
Per2	301.625000	2413	0	0	0	0	0	0	0	0
