Target_genes	Foxa3|Average	SRX2379276|Hepatocytes	SRX1564901|Liver	SRX1564902|Liver	SRX2379237|MEF	SRX2379247|MEF	SRX2379266|MEF	SRX2379270|MEF	SRX4405399|MEF	SRX4405401|MEF	SRX4405405|MEF	SRX4405406|MEF	SRX7540355|MEF	SRX7540363|MEF	SRX7569431|MEF	SRX8130872|Tail_fibroblast	SRX8130873|Tail_fibroblast	SRX8130874|Tail_fibroblast	SRX8130875|Tail_fibroblast	SRX8130876|Tail_fibroblast	STRING
Cldn34d	1009.157895	811	1648	2063	1062	707	662	654	1459	1476	1017	1054	631	1240	717	373	531	800	1028	1241	0
Tcstv3	993.157895	827	217	227	1166	1532	685	599	1188	1195	1061	965	840	1048	1110	572	819	1417	1616	1786	0
Cgrrf1	675.368421	0	0	0	0	0	0	0	1103	1869	2188	1438	0	0	0	0	970	3025	1548	691	0
Brox	657.263158	532	914	820	793	347	331	367	1144	974	846	1371	402	842	526	0	0	451	844	984	0
Aida	657.263158	532	914	820	793	347	331	367	1144	974	846	1371	402	842	526	0	0	451	844	984	0
Hlx	508.210526	0	0	0	0	0	0	0	466	1220	880	631	0	0	0	0	1038	1987	1790	1644	0
Asmt	383.947368	440	344	378	354	447	417	527	404	302	422	316	347	547	304	294	146	473	345	488	0
Eif1b	359.842105	0	0	0	86	0	0	0	376	889	919	675	0	0	0	0	1262	1210	817	603	0
Tfap4	358.526316	0	230	558	0	0	0	0	0	0	0	0	0	169	0	0	1369	990	1665	1831	0
Gipc2	351.105263	0	0	0	0	0	0	0	325	885	895	506	0	245	0	0	849	1460	986	520	0
Tmem125	348.473684	95	329	220	586	263	202	193	543	599	572	695	309	384	233	217	0	284	417	480	0
Ccni	340.842105	0	91	232	158	164	0	0	0	276	297	361	0	150	0	0	1346	701	1333	1367	0
2010109A12Rik	340.842105	0	91	232	158	164	0	0	0	276	297	361	0	150	0	0	1346	701	1333	1367	0
Kpna1	334.473684	386	665	569	308	0	299	267	407	225	392	246	367	203	0	138	0	576	695	612	0
Nt5dc3	314.368421	0	0	310	158	169	0	0	300	547	394	261	0	112	0	0	1280	1254	854	334	0
Taf12	314.000000	0	0	0	2316	213	0	0	193	675	965	585	0	319	116	0	348	0	135	101	0
Stard10	298.000000	0	0	178	0	0	0	0	125	386	211	355	0	118	0	0	644	1211	1123	1311	0
Apoh	296.210526	0	0	0	0	0	0	0	417	1154	1191	670	0	0	0	0	332	816	579	469	0
Tmtc3	295.631579	0	0	0	139	97	0	0	283	639	577	442	0	0	0	0	1438	1135	623	244	0
Cep290	295.631579	0	0	0	139	97	0	0	283	639	577	442	0	0	0	0	1438	1135	623	244	0
Oasl1	295.000000	387	411	380	226	0	353	376	479	417	304	399	382	232	274	229	101	188	213	254	0
Mcm7	287.052632	0	110	389	0	134	0	0	0	250	215	274	0	165	0	0	1187	626	1066	1038	0
Ap4m1	287.052632	0	110	389	0	134	0	0	0	250	215	274	0	165	0	0	1187	626	1066	1038	0
Tex14	286.421053	0	0	0	1932	0	0	0	154	538	568	488	0	426	209	0	449	336	186	156	0
Acsm3	281.789474	0	0	0	0	0	0	0	133	264	340	434	0	0	0	0	989	1590	869	735	0
Eapp	278.000000	0	0	0	2092	0	0	0	133	277	858	522	0	250	223	0	328	190	237	172	0
Gpr183	275.789474	0	0	0	0	0	0	0	0	172	371	278	0	0	0	0	1145	1655	802	817	0
Pacsin2	274.157895	0	0	305	0	166	0	0	324	411	332	262	0	220	0	0	1084	587	976	542	0
Clec2d	269.842105	0	0	257	513	0	0	0	236	626	826	411	0	0	0	0	730	904	370	254	0
Selenof	261.947368	0	0	0	189	169	0	0	0	271	413	309	0	0	0	0	1591	1092	563	380	0
Hs2st1	261.947368	0	0	0	189	169	0	0	0	271	413	309	0	0	0	0	1591	1092	563	380	0
Klf5	260.052632	0	0	0	0	0	0	0	595	981	707	469	0	144	0	0	737	665	453	190	0
Rdm1	256.157895	0	0	0	1915	0	0	0	152	541	828	506	92	323	179	0	117	0	108	106	0
Sectm1a	252.315789	0	0	0	0	0	0	0	239	569	468	442	0	0	0	0	718	787	864	707	0
Dicer1	248.052632	0	0	0	0	0	0	0	157	464	546	335	0	0	0	0	472	1416	839	484	0
Kmt5a	247.157895	0	0	0	0	187	0	0	355	259	368	333	0	121	0	0	1038	1331	366	338	0
Myo5c	245.684211	0	0	0	0	0	0	0	185	474	293	268	0	269	0	0	1041	671	970	497	0
Trib1	243.105263	0	82	617	93	0	0	0	0	217	142	226	0	154	0	0	961	590	849	688	0
Fam53c	241.842105	0	0	320	563	229	0	0	0	0	109	0	0	104	0	0	909	445	915	1001	0
Alyref2	240.263158	0	0	126	1366	0	0	0	124	388	506	364	0	201	0	0	448	458	317	267	0
Zdhhc17	239.473684	0	0	0	255	0	0	0	217	361	540	224	0	0	0	0	1151	892	651	259	0
Gtf2a2	239.421053	0	0	200	129	0	0	0	444	813	691	555	0	0	0	0	220	1040	367	90	0
Garnl3	237.894737	0	0	0	0	0	0	0	0	0	230	189	0	0	0	0	1190	2065	523	323	0
Deptor	237.315789	0	0	0	0	0	0	0	0	785	508	450	0	0	0	0	294	631	858	983	0
Prps1l3	235.526316	0	0	0	0	0	0	0	146	0	224	176	0	0	0	0	1461	1526	630	312	0
Mipol1	235.526316	0	0	0	0	0	0	0	146	0	224	176	0	0	0	0	1461	1526	630	312	0
Tspan4	232.000000	0	0	295	0	0	0	0	0	277	288	362	0	92	0	0	815	631	863	785	0
Polr2l	232.000000	0	0	295	0	0	0	0	0	277	288	362	0	92	0	0	815	631	863	785	0
Oxsm	228.000000	0	0	358	304	213	0	0	0	301	227	158	0	0	0	0	1027	399	680	665	0
Arhgap26	226.684211	0	0	0	0	0	0	0	363	301	780	374	0	0	0	0	228	2093	168	0	0
Qrfpr	221.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1152	1595	845	625	0
Il31ra	221.052632	158	521	480	197	0	176	0	225	235	162	208	208	0	0	0	0	446	619	565	0
Tfrc	219.315789	0	0	0	0	0	0	0	135	461	314	335	0	0	0	0	672	1034	688	528	0
Bahcc1	213.684211	0	128	725	0	0	0	0	0	233	203	173	0	215	0	0	436	1184	451	312	0
Gbp5	211.842105	0	0	0	0	0	0	0	0	751	365	327	0	0	0	0	150	777	698	957	0
Smim6	210.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1019	1344	1143	497	0
Art3	209.526316	0	0	0	0	0	0	0	0	0	170	178	0	0	0	0	934	1658	649	392	0
Dhcr24	209.052632	0	0	126	0	0	0	0	339	722	568	406	0	0	0	0	529	607	291	384	0
Rnf103	208.105263	0	0	0	319	206	0	0	319	341	182	185	0	0	0	0	738	1258	406	0	0
Taar7d	206.315789	0	0	0	0	0	0	0	233	412	594	237	0	0	0	0	1284	469	388	303	0
Trmt13	204.842105	0	0	0	0	0	0	0	259	541	202	321	0	150	0	0	455	953	660	351	0
Hspbp1	203.052632	0	310	610	0	0	0	0	157	217	316	264	0	161	0	0	1112	143	317	251	0
Tle1	202.105263	0	0	141	0	0	0	0	299	606	311	370	0	0	0	0	417	869	433	394	0
Slc35g3	201.526316	0	0	0	1757	569	0	0	0	278	245	0	0	301	273	0	263	0	143	0	0
Polr2a	201.526316	0	0	0	1757	569	0	0	0	278	245	0	0	301	273	0	263	0	143	0	0
Defb19	201.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1465	2124	236	0	0
Ssh2	198.526316	0	0	0	0	128	0	0	0	0	515	293	0	0	0	0	1147	1329	360	0	0
Ttc33	196.947368	0	104	424	0	0	0	0	0	130	201	212	0	153	0	0	592	306	783	837	0
Zfp40	196.526316	0	0	0	0	0	0	0	0	220	573	156	0	0	0	0	548	1535	468	234	0
Sgms1	194.000000	0	0	0	0	0	0	0	0	542	645	193	0	0	0	0	648	953	386	319	0
Ptprn2	192.000000	0	0	0	0	0	0	0	213	523	412	454	0	0	0	0	243	916	445	442	0
Popdc2	190.684211	0	0	0	0	0	0	0	163	148	233	169	0	0	0	0	681	1346	476	407	0
Pak1ip1	188.052632	0	0	0	0	0	0	0	303	580	555	180	0	0	0	0	1026	317	459	153	0
Slc25a36	187.315789	0	0	0	100	124	0	0	152	662	320	263	0	0	0	0	628	283	0	1027	0
Fam43a	187.052632	0	128	456	192	0	0	0	211	346	256	249	0	0	0	0	994	220	296	206	0
Slc25a51	186.631579	0	0	136	155	119	0	0	0	258	195	0	0	0	0	0	638	1025	447	573	0
Arf6	186.000000	0	0	0	213	0	0	0	183	629	619	370	0	0	0	0	420	565	256	279	0
Ncaph	185.894737	0	0	0	0	0	0	0	190	308	486	356	0	0	0	0	614	1320	258	0	0
4833420G17Rik	184.947368	0	0	0	150	0	0	0	147	226	169	132	0	0	0	0	667	1350	481	192	0
Kxd1	181.947368	0	0	326	0	0	0	0	0	279	219	163	0	0	0	0	929	353	651	537	0
Fkbp8	181.947368	0	0	326	0	0	0	0	0	279	219	163	0	0	0	0	929	353	651	537	0
Idua	180.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	622	1315	688	805	0
Dgkq	180.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	622	1315	688	805	0
Gmfb	176.736842	0	0	0	127	189	0	0	0	206	428	132	0	0	0	0	524	947	525	280	0
Selenop	175.105263	0	82	374	164	0	0	0	101	412	307	320	0	0	0	0	361	443	446	317	0
Zfyve16	173.789474	0	0	0	206	120	0	0	155	517	255	188	0	0	0	0	640	949	272	0	0
Acer3	173.736842	0	0	0	0	135	0	0	169	213	431	222	0	0	0	0	389	1076	415	251	0
Kif21a	173.473684	0	0	0	0	0	0	0	157	273	176	0	0	0	0	0	655	1252	441	342	0
Dmap1	173.315789	0	0	169	0	0	0	0	0	0	262	213	0	0	0	0	905	1391	353	0	0
Septin7	173.052632	0	178	864	147	0	0	0	0	0	0	0	0	0	0	0	522	161	667	749	0
Thrb	172.526316	0	0	0	0	0	0	0	123	578	688	614	0	0	0	0	301	702	272	0	0
Sco1	172.473684	0	0	0	0	0	0	0	0	0	168	130	0	0	0	0	642	2091	246	0	0
Adprm	172.473684	0	0	0	0	0	0	0	0	0	168	130	0	0	0	0	642	2091	246	0	0
Rgs8	171.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1192	1271	533	268	0
Gas1	171.736842	0	0	0	475	0	0	0	0	176	382	330	0	213	0	0	334	1041	231	81	0
Mtus1	169.368421	0	0	353	0	0	0	0	0	196	444	227	0	0	0	0	524	928	324	222	0
Atp6v0d2	169.210526	0	0	0	0	0	0	0	0	179	294	153	0	0	0	0	439	1189	464	497	0
Hexim2	168.842105	0	129	381	248	141	0	0	0	0	0	188	0	193	0	0	683	202	499	544	0
Gata4	167.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	909	908	527	595	0
Klf3	167.105263	0	0	0	137	0	0	0	0	198	203	195	0	0	0	0	658	1141	464	179	0
Gtf3c6	166.421053	0	0	0	1830	0	0	0	0	197	564	344	0	0	0	0	227	0	0	0	0
Rgs4	165.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	1342	798	387	0
Ccdc15	165.421053	0	0	0	163	0	0	0	137	329	495	261	0	0	0	0	529	1229	0	0	0
Poldip3	162.315789	0	0	0	1245	0	0	0	0	162	613	412	0	136	98	0	202	109	107	0	0
Tsen2	162.210526	0	0	0	0	0	0	0	0	154	171	0	0	0	0	0	589	1240	530	398	0
Foxp1	162.210526	0	0	0	0	0	0	0	295	362	425	372	0	0	0	0	168	1128	234	98	0
Zfp212	161.210526	0	104	644	159	222	0	0	0	0	114	141	0	0	117	0	377	134	563	488	0
Sirt4	160.105263	0	0	0	1585	0	0	0	0	262	567	338	0	146	0	0	144	0	0	0	0
H4c3	158.263158	0	87	0	1096	275	0	0	0	143	539	269	0	247	118	0	144	0	89	0	0
H1f6	158.263158	0	87	0	1096	275	0	0	0	143	539	269	0	247	118	0	144	0	89	0	0
S100a6	157.368421	0	0	0	215	177	0	0	0	317	167	141	0	0	77	0	572	221	562	541	0
Kat2b	156.473684	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	336	1522	581	384	0
Tmem107	155.368421	0	0	0	850	0	0	0	0	206	532	344	0	91	0	0	406	213	177	133	0
Lyn	155.368421	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	1055	786	624	295	0
Fsbp	155.315789	0	0	0	0	0	0	0	223	279	589	339	0	0	0	0	590	483	279	169	0
Ampd3	155.157895	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	261	1546	507	431	0
Itm2b	154.210526	0	0	0	166	177	0	0	102	313	188	200	0	0	0	0	863	405	249	267	0
Tgoln2	154.105263	0	0	0	142	0	0	0	202	669	251	251	0	0	0	0	129	665	290	329	0
Tgoln1	154.105263	0	0	0	142	0	0	0	202	669	251	251	0	0	0	0	129	665	290	329	0
H2bc6	154.105263	0	139	134	786	208	0	0	0	167	310	274	0	316	134	0	215	0	245	0	0
Aqp11	154.052632	0	0	0	0	0	0	0	0	178	0	164	0	0	0	0	524	1152	566	343	0
Max	153.789474	0	104	624	0	0	0	0	0	0	0	0	0	0	0	0	937	0	748	509	0
Ubb	153.368421	0	0	0	527	180	0	0	169	299	183	149	0	202	0	0	529	173	332	171	0
R3hdm2	153.368421	0	0	0	0	170	0	0	0	137	0	0	0	0	0	0	520	1285	582	220	0
Elobl	153.052632	0	0	0	100	92	0	0	165	106	297	0	0	0	0	0	586	1222	222	118	0
Gfi1	152.368421	0	0	0	0	0	0	0	0	203	421	0	0	0	0	0	728	754	614	175	0
Lipt2	151.736842	0	0	0	267	0	0	0	0	0	330	0	0	0	0	0	326	684	661	615	0
Sap30l	151.684211	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	1029	747	535	335	0
Baat	151.684211	0	0	0	0	0	0	0	136	249	314	192	0	0	0	0	363	625	638	365	0
Pcmt1	150.894737	0	0	0	189	139	0	0	0	0	0	0	0	0	0	0	456	1153	557	373	0
Dpy19l4	150.000000	0	0	0	133	0	0	0	165	191	474	273	0	0	0	0	237	956	279	142	0
Tor1aip2	149.157895	0	0	0	165	154	0	0	0	0	248	227	0	0	0	0	672	587	468	313	0
Papola	149.157895	0	0	0	0	0	0	0	0	200	349	171	0	0	0	0	524	1177	237	176	0
Fem1b	148.736842	0	0	0	223	0	0	0	133	362	236	192	0	0	0	0	433	427	519	301	0
Trerf1	148.684211	0	0	0	141	0	0	0	0	0	217	162	0	0	0	0	769	914	308	314	0
Fcho2	147.947368	0	134	938	0	0	0	0	0	0	0	0	0	136	169	0	352	102	471	509	0
Raet1e	147.315789	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	562	1453	311	300	0
Raet1c	147.315789	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	562	1453	311	300	0
Raet1b	147.315789	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	562	1453	311	300	0
H4c4	145.631579	0	139	114	786	201	0	0	0	167	310	274	0	316	0	0	215	0	245	0	0
Rps29	145.473684	0	928	1438	0	0	0	0	0	0	0	0	0	0	0	0	0	113	151	134	0
Rwdd2b	145.263158	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	643	846	649	522	0
Paxip1	145.263158	0	0	0	167	231	0	0	0	0	0	0	0	0	0	0	521	792	656	393	0
Spink1	145.105263	0	0	0	0	0	0	0	0	172	408	0	0	0	0	0	144	1105	567	361	0
Bcl2l15	145.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	1445	381	137	0
Hjurp	145.000000	0	0	0	156	0	0	0	0	0	120	129	0	0	0	0	430	804	606	510	0
A730008H23Rik	145.000000	0	0	0	156	0	0	0	0	0	120	129	0	0	0	0	430	804	606	510	0
Ndufaf1	144.684211	0	366	549	87	0	0	0	0	0	103	137	0	0	0	0	438	236	445	388	0
H3f3c	144.684211	0	366	549	87	0	0	0	0	0	103	137	0	0	0	0	438	236	445	388	0
Dhx30	143.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817	670	797	449	0
Tor1aip1	143.473684	0	0	0	165	154	0	0	0	0	248	227	0	0	0	0	672	587	390	283	0
Sgms2	142.578947	0	0	0	0	0	0	0	172	607	408	182	0	0	0	0	300	295	471	274	0
Kctd14	142.473684	0	0	0	0	0	0	0	0	194	282	321	0	0	0	0	166	793	509	442	0
Tmem79	141.947368	0	0	0	354	276	0	0	0	0	0	0	0	0	0	0	654	1215	198	0	0
Smg5	141.947368	0	0	0	354	276	0	0	0	0	0	0	0	0	0	0	654	1215	198	0	0
Lpp	141.947368	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	650	1505	237	136	0
H4f16	141.842105	0	0	0	723	336	0	0	92	171	237	93	0	214	186	0	245	111	137	150	0
H2aj	141.842105	0	0	0	723	336	0	0	92	171	237	93	0	214	186	0	245	111	137	150	0
Ttc37	141.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	1636	275	193	0
Arsk	141.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	1636	275	193	0
Mkx	141.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	548	870	889	0
Pum2	141.526316	0	0	0	181	0	0	0	0	0	135	0	0	0	0	0	1002	862	244	265	0
Iba57	141.263158	0	0	263	97	172	0	0	128	150	176	131	0	84	0	0	740	200	315	228	0
Coil	141.052632	0	0	0	100	0	0	0	165	88	297	0	0	0	0	0	586	1222	222	0	0
Dstn	140.894737	0	0	0	169	182	0	0	0	272	211	0	0	0	0	0	240	791	458	354	0
Pxk	140.105263	0	0	153	0	119	0	0	0	0	0	0	0	0	127	0	473	358	813	619	0
Klhl18	139.210526	0	128	423	135	0	0	0	0	0	168	111	0	0	0	0	947	127	293	313	0
Kif9	139.210526	0	128	423	135	0	0	0	0	0	168	111	0	0	0	0	947	127	293	313	0
