Target_genes	Foxc1|Average	SRX4309874|Kidney_Glomerulus	STRING
Zfp212	3582.000000	3582	0
Bcas3	3074.000000	3074	0
Cldn34d	2718.000000	2718	0
Bahcc1	2591.000000	2591	0
Atxn7l1	2516.000000	2516	0
Brox	2434.000000	2434	0
Aida	2434.000000	2434	0
Atp1b2	2417.000000	2417	0
Tmem125	2263.000000	2263	0
Trib2	2129.000000	2129	0
Tspan4	2101.000000	2101	0
Polr2l	2101.000000	2101	0
Septin7	1972.000000	1972	0
Irf2bp2	1717.000000	1717	0
Tbx3	1705.000000	1705	0
Smo	1624.000000	1624	0
H2-T24	1547.000000	1547	0
Tmem259	1498.000000	1498	0
Cnn2	1498.000000	1498	0
Fcho2	1470.000000	1470	0
Zfp282	1392.000000	1392	0
Wdr48	1388.000000	1388	0
Slco2a1	1381.000000	1381	0
Peli2	1355.000000	1355	0
Dusp1	1342.000000	1342	0
Id3	1296.000000	1296	0
Tcstv3	1292.000000	1292	0
Nes	1284.000000	1284	0
Tbc1d15	1238.000000	1238	0
Etv5	1237.000000	1237	0
Taf4	1230.000000	1230	0
Gsdmd	1210.000000	1210	0
Klf7	1116.000000	1116	0
Ninj1	1107.000000	1107	0
Nudt5	1091.000000	1091	0
Cdc123	1091.000000	1091	0
Max	1072.000000	1072	0
Zfand5	1064.000000	1064	0
Arnt2	1026.000000	1026	0
Nsd3	1012.000000	1012	0
Amn1	1010.000000	1010	0
A530016L24Rik	985.000000	985	0
Per1	946.000000	946	0
Ate1	932.000000	932	0
Ptma	899.000000	899	0
Lin52	890.000000	890	0
Aldh6a1	890.000000	890	0
Trerf1	863.000000	863	0
Hdac7	843.000000	843	0
St3gal3	840.000000	840	0
Slc9a5	839.000000	839	0
Fhod1	839.000000	839	0
Foxp1	836.000000	836	0
Otud1	825.000000	825	0
Nub1	809.000000	809	0
Tubg1	807.000000	807	0
Retreg3	807.000000	807	0
Dhx37	804.000000	804	0
Gata3	799.000000	799	0
C5ar2	787.000000	787	0
Trim14	781.000000	781	0
Mtmr2	779.000000	779	0
Uqcc2	761.000000	761	0
Cog3	757.000000	757	0
Furin	740.000000	740	0
9230019H11Rik	732.000000	732	0
Arrdc3	726.000000	726	0
Fhl2	717.000000	717	0
Pag1	712.000000	712	0
Clk1	709.000000	709	0
Pik3r1	705.000000	705	0
Slmap	691.000000	691	0
Fam166b	675.000000	675	0
Inppl1	664.000000	664	0
Herpud1	664.000000	664	0
Nme6	659.000000	659	0
Ndufs8	657.000000	657	0
Kiz	645.000000	645	0
Map7d1	642.000000	642	0
Tlcd5	640.000000	640	0
Snx29	639.000000	639	0
Cep120	637.000000	637	0
Tor1aip2	627.000000	627	0
Tor1aip1	627.000000	627	0
Tdrd9	625.000000	625	0
Atp5mpl	625.000000	625	0
Hibadh	622.000000	622	0
Nipal1	620.000000	620	0
Por	618.000000	618	0
Psmf1	614.000000	614	0
Isg15	614.000000	614	0
Agrn	614.000000	614	0
Hic1	599.000000	599	0
Ubald1	595.000000	595	0
Lama5	591.000000	591	0
Cerk	578.000000	578	0
Marchf2	575.000000	575	0
Riox1	569.000000	569	0
Yipf4	556.000000	556	0
Comp	546.000000	546	0
Podxl	542.000000	542	0
Xpnpep1	541.000000	541	0
Eif1b	540.000000	540	0
Per2	531.000000	531	0
Adipor2	530.000000	530	0
Sec23ip	527.000000	527	0
Mcmbp	527.000000	527	0
Gm4981	527.000000	527	0
Cbx4	527.000000	527	0
Rasl11a	524.000000	524	0
Grk5	524.000000	524	0
Ubxn6	522.000000	522	0
Hdgfl2	522.000000	522	0
Ndufs1	521.000000	521	0
Eef1b2	521.000000	521	0
Xpc	515.000000	515	0
Lsm3	515.000000	515	0
Cox20	512.000000	512	0
Ppp1r15a	506.000000	506	0
Plekha4	506.000000	506	0
Nr4a1	503.000000	503	0
Hspbp1	502.000000	502	0
Reck	501.000000	501	0
Rufy1	499.000000	499	0
Btbd8	499.000000	499	0
Slc41a3	495.000000	495	0
Add2	490.000000	490	0
Zfp945	488.000000	488	0
Cep112	487.000000	487	0
Amfr	486.000000	486	0
Uso1	484.000000	484	0
G3bp2	484.000000	484	0
Arrb1	476.000000	476	0
Rfx8	472.000000	472	0
Zfp189	468.000000	468	0
Mrpl50	468.000000	468	0
Snx18	464.000000	464	0
Atg12	461.000000	461	0
Ap3s1	461.000000	461	0
Chic2	459.000000	459	0
Pot1a	457.000000	457	0
Sbf2	456.000000	456	0
