Target_genes	Foxc2|Average	SRX4309875|Kidney_Glomerulus	SRX17535190|Podocytes	SRX17535191|Podocytes	SRX17535192|Podocytes	SRX17535193|Podocytes	SRX17535194|Podocytes	SRX17535195|Podocytes	STRING
Arnt2	1959.428571	302	2697	2523	2266	2002	1976	1950	0
Kifc5b	1861.857143	0	2905	2802	2399	1699	1704	1524	0
Thumpd3	1816.285714	0	2627	2569	1940	1758	2039	1781	0
Zfp597	1788.857143	0	2565	2630	1819	1869	1845	1794	0
Tcstv3	1742.571429	1235	1971	1716	1945	1842	1702	1787	0
Kifc1	1736.000000	0	2614	2734	2100	1582	1645	1477	0
Mmp23	1654.857143	0	2184	2102	1847	1798	2017	1636	0
Usp16	1637.142857	0	2221	2531	1818	1636	1782	1472	0
Amotl2	1607.428571	170	2420	2495	2164	1288	1446	1269	0
Brox	1593.142857	2185	1832	1406	1952	1474	1141	1162	0
Aida	1593.142857	2185	1832	1406	1952	1474	1141	1162	0
Pomp	1573.857143	0	2393	2502	1849	1282	1635	1356	0
Smim14	1514.428571	0	2222	2213	1625	1309	1778	1454	0
Mrgpre	1508.428571	0	2372	2355	1910	1237	1499	1186	0
Cdsn	1497.714286	0	2634	2462	2222	1067	1205	894	0
Myzap	1475.428571	0	1939	2099	1714	1530	1441	1605	0
Smad3	1458.000000	123	2353	2325	1859	1088	1366	1092	0
Mrc2	1447.857143	92	1979	2339	1833	1167	1266	1459	0
H2-DMa	1444.857143	0	1802	1879	1455	1763	1639	1576	0
Brd2	1444.857143	0	1802	1879	1455	1763	1639	1576	0
1810046K07Rik	1434.714286	0	2435	2355	1972	1008	1287	986	0
Pdcd6ip	1434.000000	0	1884	1819	1568	1488	1632	1647	0
Neurl1a	1432.857143	285	2530	2421	2163	886	895	850	0
Mapk1	1412.000000	0	1686	1616	1290	1733	1733	1826	0
6430548M08Rik	1391.428571	0	1945	1991	1563	1329	1595	1317	0
Rgl1	1381.714286	0	2098	2336	1703	907	1348	1280	0
Arpc5	1381.714286	0	2098	2336	1703	907	1348	1280	0
Faf1	1368.571429	0	2096	2313	1832	1016	1198	1125	0
Atp5g1	1364.428571	0	1738	1831	1280	1506	1482	1714	0
Agrn	1349.857143	0	2266	2238	1891	943	1063	1048	0
H2az1	1343.714286	0	2143	2147	1505	1112	1317	1182	0
Dnajb14	1343.714286	0	2143	2147	1505	1112	1317	1182	0
Hdhd3	1335.428571	0	2333	2474	1603	1270	1197	471	0
Plxnb1	1325.857143	0	2405	2305	2050	793	918	810	0
Pabpn1	1292.714286	0	2257	2126	1846	825	973	1022	0
Wasl	1290.285714	0	1910	2097	1657	1011	1215	1142	0
Ywhab	1284.428571	0	2247	2171	1481	1106	985	1001	0
Actn1	1284.000000	0	1925	1701	1504	1142	1226	1490	0
Bhlhe40	1282.142857	0	1408	1461	1293	1563	1621	1629	0
Olfml2a	1281.857143	132	2613	2464	1929	675	589	571	0
Oxct1	1280.857143	0	2092	2134	1832	916	1046	946	0
Kcnn1	1275.571429	0	1812	1854	1502	1085	1429	1247	0
Rxra	1274.857143	124	2318	2007	1658	1031	875	911	0
Csnk1a1	1274.000000	0	1720	1669	1443	1448	1327	1311	0
Mllt10	1266.857143	170	1716	1799	1215	1346	1376	1246	0
Ptgir	1242.285714	0	2198	2184	1776	738	847	953	0
Paip2	1236.714286	120	2041	1992	1588	812	1143	961	0
Faap20	1232.428571	111	1535	1660	1180	1287	1382	1472	0
Malt1	1226.428571	0	1833	1854	1367	1129	1019	1383	0
Hexa	1225.428571	0	1771	1691	1397	1158	1385	1176	0
Cyp1b1	1218.714286	0	1950	2067	1560	901	1046	1007	0
Alad	1218.142857	0	1951	2017	1827	1029	814	889	0
Psmb7	1212.571429	0	2126	2268	1686	708	817	883	0
Bcat2	1210.571429	250	1863	1735	1573	967	1103	983	0
Pde10a	1202.000000	120	1769	1824	1304	1072	1198	1127	0
Trappc9	1194.571429	0	2079	1914	1447	1049	939	934	0
Secisbp2l	1184.428571	0	1511	1712	1250	1210	1337	1271	0
Zfp605	1174.857143	0	1672	2013	1424	987	929	1199	0
Gtpbp6	1174.857143	0	1672	2013	1424	987	929	1199	0
Ptpn4	1171.428571	0	2146	1931	1411	851	894	967	0
Sbf2	1169.142857	0	1761	1837	1314	1072	1048	1152	0
Arid3b	1159.142857	0	1878	1980	1561	841	963	891	0
Cldn5	1149.571429	0	2520	2377	2141	0	1009	0	0
Ap5z1	1147.571429	0	1585	1671	1189	1190	1142	1256	0
Plat	1146.000000	101	1874	1850	1449	1064	835	849	0
Ppp4r3a	1136.857143	0	2015	2014	1643	617	948	721	0
Pard3b	1129.142857	179	1884	2128	1660	628	718	707	0
Tcf23	1124.571429	0	2078	1920	1518	674	807	875	0
S100a11	1121.714286	0	2002	2136	1463	730	913	608	0
Mettl18	1120.857143	0	2316	2280	1662	489	514	585	0
BC055324	1120.857143	0	2316	2280	1662	489	514	585	0
