Target_genes	Foxj2|Average	SRX3730230|Trophoblast_stem_cells	SRX3730231|Trophoblast_stem_cells	SRX3730275|Trophoblast_stem_cells	STRING
Ccdc57	1198.000000	1441	1838	315	0
Dus1l	1164.666667	1378	1865	251	0
Mrpl44	975.333333	1079	1616	231	0
Trp53rkb	955.333333	1154	1481	231	0
Tatdn3	907.333333	1151	1333	238	0
Nsl1	907.333333	1151	1333	238	0
Rad54l2	863.666667	1151	1289	151	0
Dffb	860.333333	1248	1101	232	0
Cep104	860.333333	1248	1101	232	0
Drg2	837.000000	998	1388	125	0
Smg8	831.666667	1190	1305	0	0
B4galt7	799.000000	1241	1156	0	0
Cpsf1	794.000000	1059	1081	242	0
Rab33b	789.666667	1060	1097	212	0
Mrpl21	782.333333	902	1267	178	0
Ighmbp2	782.333333	902	1267	178	0
Nme1	762.666667	1010	1278	0	0
Chordc1	751.666667	873	1223	159	0
Vps25	742.333333	921	1084	222	0
Mtg1	720.333333	977	1184	0	0
Ap1g1	717.666667	794	1172	187	0
Taco1	716.000000	873	1123	152	0
Stx16	709.333333	1115	1013	0	0
5730455P16Rik	708.333333	1023	1102	0	0
Dcaf10	699.666667	1078	877	144	0
Usp30	677.666667	887	1146	0	0
Ddost	677.666667	812	1221	0	0
Pde6d	676.666667	701	1101	228	0
Cops7b	676.666667	701	1101	228	0
Cldn34d	674.333333	771	713	539	0
Dpy19l4	647.000000	880	891	170	0
Ube2j2	643.333333	802	992	136	0
Trp53rka	639.000000	786	989	142	0
Bms1	633.666667	628	1124	149	0
Mrps31	630.000000	785	1105	0	0
Ndufs7	612.333333	678	1020	139	0
Pex3	602.666667	665	1143	0	0
Adat2	602.666667	665	1143	0	0
Mrpl39	591.666667	752	835	188	0
Mkrn3	585.000000	713	1042	0	0
Dmap1	577.333333	505	1227	0	0
Eif4e2	570.333333	596	1115	0	0
Rbm34	567.333333	837	865	0	0
Cep135	561.666667	633	836	216	0
Rgl2	549.333333	640	851	157	0
Mrpl1	544.333333	671	827	135	0
Med23	543.333333	600	1030	0	0
Acsf3	542.333333	733	894	0	0
Srp19	541.000000	529	971	123	0
Galk2	537.333333	484	958	170	0
Cops2	537.333333	484	958	170	0
Mphosph10	535.333333	571	911	124	0
Mcee	535.333333	571	911	124	0
Mrpl58	534.666667	723	881	0	0
Psmg3	527.000000	573	850	158	0
Fra10ac1	526.666667	739	841	0	0
Klhdc4	520.000000	586	853	121	0
Mrpl30	511.000000	599	934	0	0
Mitd1	511.000000	599	934	0	0
Sec13	495.333333	621	865	0	0
Ints12	490.000000	636	834	0	0
Gstcd	490.000000	636	834	0	0
Tbc1d7	488.000000	678	684	102	0
Rps19bp1	484.666667	432	895	127	0
Nup54	484.333333	631	736	86	0
Cdc16	483.666667	470	981	0	0
Klhl20	481.333333	479	965	0	0
Rpl29	478.000000	433	1001	0	0
Mrpl3	475.333333	560	866	0	0
Wdr36	468.000000	439	965	0	0
Rrp15	462.000000	696	690	0	0
Edc4	455.666667	573	794	0	0
Erdr1	452.333333	365	517	475	0
Ndufa12	451.000000	559	794	0	0
Kctd5	450.333333	464	887	0	0
Zfp276	448.000000	692	652	0	0
Vps9d1	448.000000	692	652	0	0
Zfp11	447.666667	484	859	0	0
Vps51	447.000000	492	849	0	0
Tmem262	447.000000	492	849	0	0
Ttc4	441.333333	660	664	0	0
Cnot10	434.333333	479	824	0	0
Ndufaf1	433.000000	656	643	0	0
H3f3c	433.000000	656	643	0	0
Fam8a1	431.666667	445	850	0	0
Cdk5rap1	430.333333	458	833	0	0
Lsg1	429.000000	573	714	0	0
Commd2	428.333333	463	822	0	0
Tmem101	426.000000	520	758	0	0
Ap3s2	424.666667	513	761	0	0
Dnttip2	421.000000	497	766	0	0
Sec22b	419.666667	573	686	0	0
Psmf1	419.000000	504	753	0	0
Snrnp27	414.666667	550	694	0	0
Mrps18c	414.333333	527	716	0	0
Helq	414.333333	527	716	0	0
Rnf185	413.666667	567	674	0	0
Tcstv3	409.000000	177	200	850	0
Rbm28	404.333333	500	713	0	0
Chchd2	404.000000	451	761	0	0
Uspl1	402.333333	444	763	0	0
Banp	401.333333	533	671	0	0
Txnl4b	400.000000	348	719	133	0
Dhx38	400.000000	348	719	133	0
Pgk1	398.333333	665	440	90	0
Sf3a3	397.000000	491	700	0	0
Champ1	397.000000	396	795	0	0
Il31ra	392.666667	818	360	0	0
Nuf2	391.666667	459	716	0	0
Stx18	391.333333	485	689	0	0
Snrpd3	391.333333	614	560	0	0
Gucd1	391.333333	614	560	0	0
Mterf4	383.666667	370	781	0	0
Acp2	383.666667	492	659	0	0
Slc39a13	381.333333	540	604	0	0
Kpna1	379.333333	645	363	130	0
Gpaa1	378.000000	277	857	0	0
Exosc4	378.000000	277	857	0	0
Pcid2	376.000000	471	657	0	0
Cul4a	376.000000	471	657	0	0
Gpatch8	375.000000	367	758	0	0
Hemk1	374.666667	372	752	0	0
6430571L13Rik	374.666667	372	752	0	0
Mtmr9	374.000000	498	624	0	0
Utp3	372.333333	394	723	0	0
Fam149b	371.666667	528	587	0	0
Ecd	371.666667	528	587	0	0
Tmem222	370.333333	394	717	0	0
Tmem242	368.666667	328	778	0	0
Slc39a3	367.333333	338	764	0	0
Opa1	366.666667	323	777	0	0
Cacybp	364.666667	379	715	0	0
Trub2	364.333333	427	666	0	0
Golga3	363.333333	314	776	0	0
Fbxw8	363.000000	415	674	0	0
Ddx56	363.000000	470	619	0	0
Tars2	361.333333	430	533	121	0
Smim17	358.666667	402	674	0	0
Trip4	355.666667	480	587	0	0
Stoml2	354.666667	385	679	0	0
Fibp	350.666667	493	559	0	0
Ccdc85b	350.666667	493	559	0	0
Sugct	347.333333	477	565	0	0
Mplkip	347.333333	477	565	0	0
Tspan10	345.666667	508	529	0	0
Nploc4	345.666667	508	529	0	0
Wdr11	342.666667	405	623	0	0
Tefm	340.000000	495	525	0	0
Prrg2	339.000000	247	770	0	0
Nosip	339.000000	247	770	0	0
Slc33a1	336.333333	408	601	0	0
Ccar2	334.666667	414	590	0	0
Ssbp1	331.000000	292	701	0	0
Zbtb45	327.333333	346	636	0	0
Mrpl20	326.000000	536	442	0	0
Ppip5k2	325.333333	309	667	0	0
Gin1	325.333333	309	667	0	0
Dhx33	324.666667	343	631	0	0
Ppil3	324.000000	355	617	0	0
Nif3l1	324.000000	355	617	0	0
Wdr24	322.000000	302	664	0	0
Nudt15	317.666667	331	622	0	0
Btbd8	317.666667	481	472	0	0
Vpreb1	313.666667	304	637	0	0
Top3b	313.666667	304	637	0	0
Mkrn2	313.333333	456	484	0	0
Isy1	313.000000	325	614	0	0
Pigq	309.666667	429	500	0	0
Nhlrc4	309.666667	429	500	0	0
Krr1	309.333333	443	485	0	0
Stpg3	301.333333	454	450	0	0
Nelfb	301.333333	454	450	0	0
4930453N24Rik	301.333333	404	500	0	0
Nsa2	300.000000	296	604	0	0
Gfm2	300.000000	296	604	0	0
Nfkbil1	299.666667	354	545	0	0
Man2c1	299.666667	449	450	0	0
Atp6v1g2	299.666667	354	545	0	0
Vps52	299.333333	385	513	0	0
Rps18	299.333333	385	513	0	0
B3galt4	299.333333	385	513	0	0
Ttc26	299.000000	283	614	0	0
Dcp1a	298.333333	399	496	0	0
Yipf2	296.666667	412	478	0	0
Timm29	296.666667	412	478	0	0
Yju2	295.000000	417	468	0	0
Mnat1	291.666667	244	631	0	0
2310057M21Rik	291.666667	320	555	0	0
Gtf3c3	291.000000	450	423	0	0
Mrpl16	290.333333	163	708	0	0
Npas4	288.000000	359	361	144	0
Rps7	287.666667	202	661	0	0
Slc39a6	287.000000	344	517	0	0
Pigc	287.000000	435	426	0	0
Elp2	287.000000	344	517	0	0
Appl2	287.000000	319	383	159	0
4930558K02Rik	287.000000	435	426	0	0
Fem1b	284.333333	348	505	0	0
Ndufc2	283.666667	359	492	0	0
Ndufs3	282.000000	339	507	0	0
Kbtbd4	282.000000	339	507	0	0
Rtel1	280.666667	353	489	0	0
Cfap298	280.333333	281	399	161	0
Acbd6	278.666667	357	479	0	0
Zpbp	277.666667	431	402	0	0
Spata48	277.666667	431	402	0	0
Aar2	277.000000	318	513	0	0
Tmem41b	276.333333	334	495	0	0
Tma16	276.333333	230	599	0	0
Ddx55	276.333333	329	500	0	0
Dnajc24	275.000000	290	535	0	0
Nvl	274.000000	412	410	0	0
Zmpste24	273.666667	256	565	0	0
Nlrp10	272.000000	249	567	0	0
Eif3f	272.000000	249	567	0	0
Naa35	271.666667	173	642	0	0
Zfp668	270.666667	335	477	0	0
Zfp646	270.666667	335	477	0	0
Plekhm3	264.333333	331	462	0	0
Tsen15	264.000000	200	592	0	0
Gtf2h2	263.666667	274	517	0	0
Otud7b	263.000000	414	375	0	0
Lrriq3	263.000000	236	553	0	0
Fpgt	263.000000	236	553	0	0
Dhodh	262.333333	281	506	0	0
Nme3	258.666667	243	533	0	0
Mrps34	258.666667	243	533	0	0
Eme2	258.666667	243	533	0	0
Rbbp8nl	258.000000	208	566	0	0
Ankrd40	256.000000	301	467	0	0
Sar1b	254.333333	237	526	0	0
Trdmt1	250.000000	292	458	0	0
Tsnax	247.666667	184	559	0	0
Ndufs1	243.666667	261	470	0	0
Eef1b2	243.666667	261	470	0	0
Ccz1	243.333333	203	527	0	0
Mettl9	241.000000	366	357	0	0
Metrn	241.000000	209	514	0	0
Antkmt	241.000000	209	514	0	0
Tut1	237.333333	205	507	0	0
Ccnc	237.333333	162	550	0	0
Rnf6	237.000000	258	453	0	0
Dguok	236.333333	295	414	0	0
Bbs1	235.666667	351	356	0	0
Tbp	235.000000	286	419	0	0
Psmb1	235.000000	286	419	0	0
Rpl37	233.666667	273	428	0	0
Ints5	231.666667	218	477	0	0
1810009A15Rik	231.666667	218	477	0	0
Ptpn21	230.000000	319	371	0	0
Sdhaf3	229.333333	245	443	0	0
Ogfod2	227.000000	257	424	0	0
Arl6ip4	227.000000	257	424	0	0
Mtbp	225.666667	259	418	0	0
Mrpl13	225.666667	259	418	0	0
Slc35a3	224.333333	240	433	0	0
Tor1aip2	223.000000	257	412	0	0
Tor1aip1	223.000000	257	412	0	0
Sspn	221.666667	338	179	148	0
Polr3b	220.666667	244	418	0	0
Agk	220.666667	260	402	0	0
Bag6	219.333333	184	474	0	0
Apom	219.333333	184	474	0	0
Capn5	218.333333	151	504	0	0
Zfp296	218.000000	272	382	0	0
Gemin7	218.000000	272	382	0	0
Stard3	213.000000	276	363	0	0
Rab23	211.666667	310	325	0	0
Psmg1	210.666667	305	327	0	0
Vwa8	210.333333	268	363	0	0
Ppp1r11	210.333333	279	352	0	0
Zfp959	209.333333	215	413	0	0
Ddx1	209.333333	177	451	0	0
Them4	207.000000	250	371	0	0
Aaas	206.333333	225	394	0	0
Ube2g2	206.000000	319	299	0	0
Anapc5	206.000000	236	382	0	0
Fam227b	205.333333	236	380	0	0
Dtwd1	205.333333	236	380	0	0
Wbp1	205.000000	154	461	0	0
Jrk	205.000000	378	237	0	0
Ino80b	205.000000	154	461	0	0
Vps45	203.000000	280	329	0	0
Pus10	201.000000	404	199	0	0
Zfp579	198.666667	246	350	0	0
Mpzl3	196.000000	110	478	0	0
Wdr25	193.666667	286	295	0	0
Wars	193.666667	286	295	0	0
Nol12	193.666667	217	364	0	0
Dad1	193.333333	233	347	0	0
Abhd4	193.333333	233	347	0	0
Mlec	191.333333	353	221	0	0
Med17	191.333333	153	421	0	0
Nmnat1	189.000000	173	394	0	0
Lzic	189.000000	173	394	0	0
Gtf2h4	186.333333	192	367	0	0
Cluap1	186.333333	229	330	0	0
1700037C18Rik	186.333333	229	330	0	0
Vamp1	186.000000	157	401	0	0
Ybey	184.333333	227	326	0	0
Ncbp2	184.333333	193	360	0	0
Mcm3ap	184.333333	227	326	0	0
0610012G03Rik	184.333333	193	360	0	0
Sharpin	184.000000	189	363	0	0
Maf1	184.000000	189	363	0	0
Gm35339	184.000000	189	363	0	0
Cacng2	181.333333	218	326	0	0
Tbc1d19	181.000000	148	395	0	0
Vmp1	179.333333	251	287	0	0
Ptrh2	179.333333	251	287	0	0
Gtf3c5	177.333333	191	341	0	0
Itgb1bp1	176.666667	192	338	0	0
Cpsf3	176.666667	192	338	0	0
Trim27	174.000000	148	374	0	0
Rexo4	174.000000	232	290	0	0
Ndufaf7	174.000000	326	196	0	0
Cebpz	174.000000	326	196	0	0
Nsfl1c	173.000000	186	333	0	0
Tmem69	172.000000	194	322	0	0
Gpbp1l1	172.000000	194	322	0	0
Srek1ip1	171.666667	303	212	0	0
Eefsec	171.666667	249	266	0	0
Cwc27	171.666667	303	212	0	0
Rbbp5	171.333333	253	261	0	0
Pemt	171.333333	276	238	0	0
Tufm	169.666667	170	339	0	0
Il17re	169.000000	129	378	0	0
Etfbkmt	168.333333	205	300	0	0
Zfp408	168.000000	237	267	0	0
Arhgap1	168.000000	237	267	0	0
Zfp119a	166.000000	228	270	0	0
Spaca6	162.666667	0	488	0	0
Ints14	162.666667	191	297	0	0
Klhdc2	162.333333	131	356	0	0
Fbxo22	162.333333	183	304	0	0
Aurkaip1	162.333333	287	200	0	0
Slc44a1	161.666667	213	272	0	0
Ublcp1	161.000000	225	258	0	0
Mtif2	160.333333	145	336	0	0
Bloc1s6	160.333333	153	328	0	0
Sppl2a	160.000000	164	316	0	0
Zfp580	159.000000	192	285	0	0
Ccdc106	159.000000	192	285	0	0
Tmem68	157.666667	228	245	0	0
Tgs1	157.666667	228	245	0	0
Zfp606	156.666667	150	320	0	0
Prom2	156.000000	0	468	0	0
Zfp770	154.333333	183	280	0	0
Cops4	154.333333	169	294	0	0
Mettl23	150.666667	150	302	0	0
Mrpl53	148.666667	165	281	0	0
Spout1	148.000000	144	300	0	0
Ndufb3	147.333333	120	322	0	0
Fam126b	147.333333	120	322	0	0
Brox	147.333333	260	182	0	0
Aida	147.333333	260	182	0	0
Invs	147.000000	165	276	0	0
Erp44	147.000000	165	276	0	0
Cnpy3	147.000000	178	263	0	0
Syt8	143.666667	0	431	0	0
Tmem125	142.666667	118	164	146	0
Sfi1	142.000000	112	314	0	0
9430015G10Rik	141.666667	0	425	0	0
Psph	141.333333	131	293	0	0
Cdc6	141.333333	0	424	0	0
Cct6a	141.333333	131	293	0	0
Psmc2	141.000000	169	254	0	0
Faf1	141.000000	0	423	0	0
Dnajc2	141.000000	169	254	0	0
Slc46a1	140.333333	0	421	0	0
Polr1b	138.666667	139	277	0	0
Ddx18	138.666667	138	278	0	0
Nudcd3	138.000000	207	207	0	0
Bnip2	137.666667	186	227	0	0
Prcc	137.333333	163	249	0	0
Gatad2a	136.333333	0	409	0	0
Chchd5	136.333333	145	264	0	0
Sema3f	135.333333	130	276	0	0
Prss8	135.000000	0	405	0	0
Slc44a2	132.333333	139	258	0	0
Setd1b	131.333333	0	394	0	0
Gtpbp3	130.333333	122	269	0	0
Ano8	130.333333	122	269	0	0
Uba5	129.333333	208	180	0	0
Acad11	129.333333	208	180	0	0
Gldc	128.666667	0	386	0	0
Cldn4	128.666667	0	386	0	0
Dpp9	128.000000	125	259	0	0
Osgin1	127.000000	150	231	0	0
Zdhhc6	126.000000	0	378	0	0
Vti1a	126.000000	0	378	0	0
Oasl1	125.666667	233	0	144	0
Itgb3bp	125.666667	179	198	0	0
Fam118a	125.666667	253	124	0	0
Efcab7	125.666667	179	198	0	0
Tep1	125.000000	131	244	0	0
Ankrd13c	123.666667	172	199	0	0
Tex38	123.000000	170	199	0	0
Atpaf1	123.000000	170	199	0	0
Tada3	122.666667	183	185	0	0
Arpc4	122.666667	183	185	0	0
Senp1	120.333333	187	174	0	0
Pfkm	120.333333	187	174	0	0
Esrp2	120.000000	0	360	0	0
Psg25	119.666667	0	359	0	0
Nudt5	119.333333	0	358	0	0
Cdc123	119.333333	0	358	0	0
Naxe	117.333333	0	352	0	0
Otud4	116.333333	118	231	0	0
Nbn	115.333333	203	143	0	0
