Target_genes	Foxo1|Average	SRX17501247|Cardiomyocytes	SRX17501248|Cardiomyocytes	SRX17501249|Cardiomyocytes	SRX17501250|Cardiomyocytes	SRX272969|CD4+_T_cells	SRX682273|CD4+_T_cells	SRX682274|CD4+_T_cells	SRX682276|CD4+_T_cells	SRX278097|CD8+_T_cells	SRX9719157|CD8+_T_cells	SRX9719159|CD8+_T_cells	SRX23264960|ES_cells	SRX23264961|ES_cells	SRX23264962|ES_cells	SRX23264963|ES_cells	SRX23264964|ES_cells	SRX23264965|ES_cells	SRX23264966|ES_cells	SRX23264967|ES_cells	SRX1117087|HAFTL	SRX7586623|Heart	SRX7586624|Heart	SRX7586625|Heart	SRX9951857|Liver	SRX9951858|Liver	SRX9951859|Liver	SRX9951860|Liver	SRX9951861|Liver	SRX9951862|Liver	SRX9951863|Liver	SRX9951864|Liver	SRX9951865|Liver	SRX9951866|Liver	SRX9951867|Liver	SRX9951868|Liver	SRX9951869|Liver	SRX9951870|Liver	SRX9951871|Liver	SRX9951872|Liver	SRX9951873|Liver	SRX9951874|Liver	SRX183787|nTreg	SRX183788|nTreg	SRX021879|Pro-B_cells	SRX2136458|Pro-B_cells	SRX1219538|Uterus	STRING
Tcstv3	889.978261	1939	2035	2157	2005	1680	1270	1031	904	682	2323	2347	1626	1730	1969	1677	1965	1762	1760	1787	696	262	335	262	339	202	184	325	244	339	363	377	504	315	0	76	0	127	0	0	0	112	757	673	684	732	382	0
Cldn34d	860.369565	99	825	387	560	703	745	369	292	167	748	717	296	855	937	729	965	1173	1451	1116	605	393	1017	511	1485	1185	1312	1301	1308	1425	1107	1208	1423	1318	1168	893	1063	1092	899	1016	980	875	101	461	525	615	1157	0
Brox	521.304348	151	519	404	435	881	927	543	208	210	1080	732	131	356	504	330	471	966	1016	774	521	371	654	422	795	505	601	760	621	621	553	549	763	630	323	315	470	341	334	258	342	362	197	385	417	524	708	0
Aida	521.304348	151	519	404	435	881	927	543	208	210	1080	732	131	356	504	330	471	966	1016	774	521	371	654	422	795	505	601	760	621	621	553	549	763	630	323	315	470	341	334	258	342	362	197	385	417	524	708	0
Fyco1	487.630435	2627	3680	2955	2638	161	366	0	0	0	311	148	0	0	0	0	0	0	0	0	0	2751	2851	2484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	1341	0
Tmem125	384.565217	615	709	366	643	346	613	360	178	266	507	516	0	0	0	0	108	166	188	179	443	235	291	360	561	375	512	528	403	536	472	543	558	552	370	447	412	344	311	434	349	434	451	273	245	418	1073	0
Crebl2	367.021739	1968	2130	1439	1239	422	999	252	0	659	1040	779	0	0	0	0	0	0	0	0	0	1776	1465	1278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	130	0	0	558	0
Otud1	348.065217	1564	1065	965	422	660	1628	482	0	1162	1794	1515	0	0	0	0	0	0	177	0	0	693	691	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1431	215	346	0	570	0
Txnip	336.565217	1848	1401	1217	658	698	1504	372	0	980	1220	1143	0	0	0	0	0	0	179	0	0	1074	763	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	185	128	0	616	0
Pnrc1	320.413043	894	726	715	501	945	1181	759	0	1024	2273	1748	0	0	0	0	0	0	0	0	0	861	573	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1282	327	153	0	271	0
Kpna1	300.760870	191	329	399	265	331	670	364	0	632	354	615	0	0	0	0	0	0	0	0	447	604	725	485	498	260	358	416	339	370	461	217	461	393	296	278	270	0	232	309	0	287	402	362	571	433	211	0
Max	297.673913	1359	1896	1380	908	392	922	0	0	297	975	703	0	0	134	0	0	0	256	0	0	1451	1228	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	113	0	553	0
Hbp1	291.608696	1069	1696	1686	1105	517	867	125	0	403	1265	821	0	0	0	0	0	0	0	0	0	900	1029	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	217	0	608	0
Map3k6	276.195652	2435	2716	2482	2110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1177	836	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0
Cbx7	274.152174	936	788	856	328	937	1328	288	0	938	1497	1192	0	0	0	0	0	0	0	0	0	540	675	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1140	214	157	0	516	0
Ythdc1	270.586957	914	755	684	427	645	1597	348	0	961	1689	1135	0	0	0	0	0	0	0	0	0	491	417	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355	105	292	0	208	0
Per1	249.347826	594	987	926	694	628	1087	359	0	562	1343	1070	0	0	0	0	0	0	0	0	0	507	859	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730	97	105	0	448	0
Phlpp1	242.347826	1521	1467	1161	710	409	567	0	0	296	895	765	0	0	0	0	0	0	0	0	0	962	1002	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563	0	0	0	155	0
Junb	238.804348	873	797	750	591	742	1285	523	0	776	1411	854	0	0	0	0	0	0	0	0	0	329	363	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	216	136	0	0	0
Ccni	231.500000	1215	1226	1142	824	242	679	194	0	535	413	420	0	0	0	0	0	0	0	0	0	934	703	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	193	0	0	658	0
2010109A12Rik	231.500000	1215	1226	1142	824	242	679	194	0	535	413	420	0	0	0	0	0	0	0	0	0	934	703	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	193	0	0	658	0
Gpr19	226.804348	732	861	517	376	754	1152	131	0	651	1347	916	0	0	0	0	0	0	179	0	0	407	330	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1133	178	248	0	216	0
