Target_genes	Foxo3|Average	SRX15124402|4T1	SRX2845374|C2C12	SRX2845375|C2C12	SRX23264976|ES_cells	SRX23264977|ES_cells	SRX23264978|ES_cells	SRX23264979|ES_cells	SRX23264980|ES_cells	SRX23264981|ES_cells	SRX23264982|ES_cells	SRX23264983|ES_cells	SRX125261|Macrophages	SRX315275|Neural_progenitor_cells	STRING
Tcstv3	2051.615385	0	2032	2612	2412	2708	2466	2619	2443	2441	2446	2498	1994	0	0
Cldn34d	1476.307692	1452	634	1719	2407	1355	1738	1526	2580	1310	2338	1657	165	311	0
Brox	672.384615	1618	234	566	819	478	694	453	1223	520	836	597	377	326	0
Aida	672.384615	1618	234	566	819	478	694	453	1223	520	836	597	377	326	0
Kpna1	343.615385	0	1497	1834	0	0	0	0	0	0	0	171	291	674	0
Cbx7	275.076923	0	0	1180	214	0	189	0	396	0	487	0	0	1110	0
Arrdc3	274.769231	0	0	590	369	0	317	0	485	0	569	0	0	1242	0
Pot1a	242.230769	0	0	1019	122	0	191	0	229	0	226	0	0	1362	0
Il31ra	240.538462	0	823	1520	0	0	0	0	0	0	0	0	364	420	0
Sspn	228.461538	0	425	1432	0	186	204	0	0	0	159	0	229	335	0
Vkorc1	216.000000	0	0	968	122	0	0	0	218	0	334	0	0	1166	0
Prss53	216.000000	0	0	968	122	0	0	0	218	0	334	0	0	1166	0
Asmt	213.923077	0	500	518	187	0	217	0	333	180	204	311	331	0	0
Oasl1	213.461538	0	160	498	198	295	217	199	294	268	204	308	0	134	0
Tbc1d17	210.307692	0	0	698	181	0	0	0	240	0	171	0	124	1320	0
Akt1s1	210.307692	0	0	698	181	0	0	0	240	0	171	0	124	1320	0
Hbp1	202.923077	0	0	1461	0	0	0	0	0	0	147	0	0	1030	0
Gpr19	190.000000	0	0	164	266	0	326	0	370	0	228	0	0	1116	0
Zfp874b	176.076923	0	0	1020	0	0	0	0	0	0	0	0	0	1269	0
Creg2	173.076923	0	0	0	602	0	299	0	807	0	542	0	0	0	0
Frg1	159.230769	0	0	670	143	0	0	0	240	0	181	0	0	836	0
Txnip	145.384615	0	0	624	68	0	0	0	0	0	192	0	0	1006	0
Npc1	141.769231	0	0	967	0	0	0	0	0	0	0	0	0	876	0
Mknk2	134.923077	0	0	517	0	0	0	0	0	0	0	0	0	1237	0
