Target_genes	Foxp3|Average	SRX8769868|CD4+_T_cells	SRX8769869|CD4+_T_cells	SRX8769870|CD4+_T_cells	SRX495631|EL4	SRX1162501|iTreg	SRX1162502|iTreg	SRX495632|iTreg	SRX5689481|nTreg	SRX5689486|nTreg	SRX5689487|nTreg	SRX5689489|nTreg	SRX5689492|nTreg	SRX5689495|nTreg	SRX5689498|nTreg	SRX8123998|nTreg	SRX8123999|nTreg	SRX8124000|nTreg	SRX8124001|nTreg	SRX179486|Tconv	SRX179487|Tconv	SRX14474049|Treg	SRX14474050|Treg	SRX14474052|Treg	SRX14474053|Treg	SRX14590893|Treg	SRX14590894|Treg	SRX14590895|Treg	SRX14590896|Treg	SRX14590897|Treg	SRX14590898|Treg	SRX14743588|Treg	SRX14743589|Treg	SRX14743590|Treg	SRX14743594|Treg	SRX14743595|Treg	SRX14743596|Treg	SRX184860|Treg	SRX184861|Treg	SRX184863|Treg	SRX2341414|Treg	SRX2341415|Treg	SRX2341416|Treg	SRX2341417|Treg	SRX2341418|Treg	SRX2341419|Treg	SRX3829343|Treg	SRX3829344|Treg	SRX4814119|Treg	SRX4814120|Treg	SRX4814134|Treg	SRX4814135|Treg	SRX484252|Treg	SRX484253|Treg	SRX484254|Treg	SRX484255|Treg	SRX484256|Treg	STRING
Tcstv3	1282.196429	1775	1711	1815	852	2431	235	855	1401	1204	1339	1053	567	912	1170	1217	1371	1133	1112	494	156	689	783	684	771	382	302	742	193	456	439	2053	2036	2180	2338	2305	1869	1689	2446	1419	1486	1553	1446	1207	1432	1593	1664	1562	1369	1254	1383	1001	1838	2352	893	1835	1356	0
Lztfl1	930.446429	2150	2228	2120	0	1183	0	432	1017	1273	995	793	0	324	985	930	757	694	708	0	0	1912	2098	1878	1662	0	0	154	126	0	163	0	177	277	480	534	0	620	699	276	2945	2313	2148	3050	2764	1620	1549	1262	1413	430	1626	1541	468	463	0	449	419	0
Cldn34d	899.875000	2863	2954	3079	524	1130	656	1422	1271	1529	1419	858	638	1033	1005	1313	1606	1312	1446	253	0	524	811	571	622	775	903	442	280	476	504	0	0	0	0	0	0	518	1047	1296	777	1396	1317	585	1106	1095	1238	913	1201	787	767	994	420	607	306	770	1034	0
Brox	859.910714	2872	3195	3547	329	1317	556	1910	886	1055	1103	366	312	479	622	836	1148	989	1091	298	0	142	116	0	0	753	1107	480	0	156	149	291	345	408	1550	1298	209	453	800	923	462	1076	610	737	838	874	2860	2805	969	591	766	686	282	406	311	1061	730	0
Aida	859.910714	2872	3195	3547	329	1317	556	1910	886	1055	1103	366	312	479	622	836	1148	989	1091	298	0	142	116	0	0	753	1107	480	0	156	149	291	345	408	1550	1298	209	453	800	923	462	1076	610	737	838	874	2860	2805	969	591	766	686	282	406	311	1061	730	0
Foxp1	720.517857	3031	2880	2890	0	737	0	673	427	614	686	157	0	100	406	455	497	399	321	0	0	363	377	361	367	149	0	113	0	0	119	371	271	529	637	967	223	451	574	271	1934	1211	1385	1974	1700	1198	2472	2976	649	329	1074	1107	461	562	104	403	394	0
Ect2	641.125000	1921	2194	2195	0	258	0	0	501	1381	1033	456	0	247	561	526	635	325	357	0	0	614	639	589	519	0	0	0	0	0	0	0	0	0	211	206	0	528	579	474	2835	1770	1667	2829	2269	1530	740	735	975	312	611	855	272	243	135	450	726	0
Ccni	634.464286	2353	2254	2186	0	202	0	454	636	1022	928	335	0	122	421	532	665	361	352	0	0	429	402	320	291	0	0	141	0	0	117	117	253	268	467	537	152	349	425	522	2139	795	599	2357	1512	867	2580	2117	1029	449	1180	1044	242	237	0	308	462	0
2010109A12Rik	634.464286	2353	2254	2186	0	202	0	454	636	1022	928	335	0	122	421	532	665	361	352	0	0	429	402	320	291	0	0	141	0	0	117	117	253	268	467	537	152	349	425	522	2139	795	599	2357	1512	867	2580	2117	1029	449	1180	1044	242	237	0	308	462	0
Knl1	633.517857	2025	2453	2309	0	0	0	0	661	1610	1185	430	0	154	626	931	765	649	467	0	0	573	644	743	562	0	0	0	0	0	132	0	0	0	74	102	0	195	216	345	2442	1474	1786	2591	2407	1860	417	400	723	337	875	599	348	349	0	342	676	0
Tmem125	618.767857	799	982	1090	98	308	308	482	251	518	355	337	233	367	287	392	479	367	402	182	0	341	495	279	342	494	573	798	1320	1093	1071	909	1071	1097	1649	1547	652	501	827	974	458	618	490	578	475	570	1256	1596	545	257	388	221	627	1040	331	786	145	0
Zbtb5	601.053571	1446	1578	1584	0	421	0	229	834	1046	1023	760	0	227	582	625	609	350	378	0	0	1324	1768	1471	1520	0	0	112	81	0	136	0	0	0	194	209	0	225	323	125	2484	1055	1045	2236	1584	959	818	289	840	218	970	1117	119	121	0	0	624	0
Ccpg1os	587.267857	1456	1491	1751	0	200	0	0	771	1735	1166	511	0	334	930	705	841	407	646	0	0	1049	1222	1243	846	113	91	197	155	0	112	142	0	142	199	346	0	368	259	197	2437	677	767	2433	1246	691	910	1082	465	107	466	545	501	477	0	244	214	0
Ccpg1	587.267857	1456	1491	1751	0	200	0	0	771	1735	1166	511	0	334	930	705	841	407	646	0	0	1049	1222	1243	846	113	91	197	155	0	112	142	0	142	199	346	0	368	259	197	2437	677	767	2433	1246	691	910	1082	465	107	466	545	501	477	0	244	214	0
Kpna1	572.392857	106	149	111	535	810	538	258	355	1033	981	466	372	473	778	727	1005	771	749	245	136	0	0	0	0	225	362	328	425	166	375	0	0	0	0	0	0	1075	1400	608	1223	1196	1340	1134	1341	1248	692	791	946	579	1374	1209	549	720	502	940	708	0
Cic	564.660714	2037	2385	2502	0	235	0	0	456	1246	838	366	0	238	455	688	657	550	472	0	0	846	888	848	716	0	0	0	0	0	0	0	0	0	193	95	0	309	461	547	2615	1182	1850	1369	1062	740	377	215	583	0	897	614	544	614	0	503	428	0
Psmf1	553.035714	1948	2286	2038	0	129	0	0	234	1776	948	224	0	142	519	619	845	512	542	0	0	141	180	171	239	0	0	0	0	0	0	0	0	0	100	110	0	567	732	909	2138	589	1140	2873	2462	2066	178	523	289	0	384	549	323	344	126	585	490	0
Lrrc61	537.767857	1246	1548	1393	0	179	0	0	547	1232	618	377	0	206	579	600	500	384	328	0	0	514	792	811	568	0	0	0	0	0	130	0	0	0	183	242	0	250	316	311	2788	1515	1498	2648	1923	1277	451	548	555	254	759	844	219	262	0	281	439	0
Il31ra	528.607143	343	339	290	114	787	251	0	231	834	781	225	281	367	496	626	928	623	641	89	0	0	0	0	0	521	704	592	648	317	557	0	0	161	495	275	0	660	903	468	1497	1218	1005	1406	1149	996	638	853	563	281	1140	929	818	984	458	789	331	0
Hspbp1	519.892857	1371	1933	1860	0	121	0	0	987	1318	1040	607	0	232	699	628	490	332	278	0	0	1127	1323	1561	1101	0	0	0	0	0	0	0	0	0	112	0	0	245	342	283	2516	759	984	1849	1046	597	331	272	495	0	484	629	233	260	70	282	317	0
Sspn	508.035714	1179	1281	789	186	481	0	217	128	439	227	174	0	127	134	167	518	218	318	105	0	144	0	0	0	300	432	554	643	193	533	224	0	269	678	697	0	660	1074	238	2481	1036	798	1422	951	710	651	1058	614	471	1737	792	423	893	407	540	139	0
