Target_genes	Gabpa|Average	SRX3041631|CD4+_T_cells	SRX2974920|EML_	SRX5850103|ES_cells	SRX5850104|ES_cells	SRX5850105|ES_cells	SRX5850106|ES_cells	SRX5850107|ES_cells	SRX5850108|ES_cells	SRX5850109|ES_cells	SRX5850110|ES_cells	SRX5850111|ES_cells	SRX5850112|ES_cells	SRX5850113|ES_cells	SRX5850114|ES_cells	SRX2242853|Macrophages	SRX2242855|Macrophages	SRX2242856|Macrophages	SRX12708491|White_adipose_tissue	SRX12708492|White_adipose_tissue	STRING
Mrpl44	2836.105263	1723	0	3140	3028	3457	3340	2736	2059	3107	3279	2734	3410	3134	3427	4052	2279	2404	3338	3239	0
Ppip5k2	2708.684211	1465	0	3021	2687	3307	3311	2409	1610	3014	3198	2416	3229	3047	3357	3968	2435	2857	3106	3028	0
Gin1	2708.684211	1465	0	3021	2687	3307	3311	2409	1610	3014	3198	2416	3229	3047	3357	3968	2435	2857	3106	3028	0
Stx16	2545.000000	1147	161	3082	2780	3097	3030	2541	1714	2906	2955	2545	2986	3090	3240	3396	1688	2112	2949	2936	0
Srp19	2526.263158	1986	0	3023	2707	3119	3271	2317	1709	2871	2973	2362	3223	2735	3404	3479	1881	2155	2182	2602	0
Mrpl21	2514.684211	916	0	2788	3078	3036	2938	2495	2517	2841	2947	2598	2835	2872	3147	3381	1246	2010	3138	2996	0
Ighmbp2	2514.684211	916	0	2788	3078	3036	2938	2495	2517	2841	2947	2598	2835	2872	3147	3381	1246	2010	3138	2996	0
Zpbp	2424.473684	1548	0	2922	3526	3248	3660	2652	2923	3224	3752	3027	3483	3076	3444	2416	1048	1077	410	629	0
Spata48	2424.473684	1548	0	2922	3526	3248	3660	2652	2923	3224	3752	3027	3483	3076	3444	2416	1048	1077	410	629	0
Nudcd3	2422.315789	1319	0	2835	2888	2987	3086	2263	1984	2729	2950	2674	2920	2908	3125	3314	1447	1783	2482	2330	0
Kctd5	2390.894737	1169	351	2673	2322	2769	2673	2127	1351	2552	2631	2064	3010	2728	3080	3667	1908	1936	3268	3148	0
Usp30	2335.157895	1254	0	2700	2239	3029	2781	2090	1629	2518	2715	2033	2763	2756	3017	3798	1319	1315	3263	3149	0
Cdc16	2325.052632	1861	0	2676	2939	3123	3202	2189	1538	2508	2853	2241	2840	2530	3127	3149	1273	1537	2229	2361	0
Trp53rkb	2303.210526	1296	0	2552	2143	3000	2754	2172	1357	2512	2611	1911	2853	2594	2950	3497	1611	1952	2994	3002	0
Tnpo3	2291.421053	1348	355	2433	2660	2551	2861	1739	1411	2438	2818	2104	2889	2520	3012	3524	1749	2131	2339	2655	0
Slc39a13	2291.315789	1614	0	2624	2677	2833	2982	2155	1758	2669	2871	2489	3097	2844	3136	3621	1954	2169	871	1171	0
Uspl1	2289.789474	1334	0	2669	2277	2818	2946	1860	1342	2377	3042	2023	3114	2244	3251	3440	1728	1647	2744	2650	0
Alkbh3	2258.789474	1037	0	2257	2117	2846	2909	1911	1122	2442	2482	1859	2838	2422	3080	3650	1553	2168	3115	3109	0
Tmco1	2244.578947	1434	0	2301	2314	2676	2941	1725	1030	2546	2873	1700	3162	2389	3217	3839	1745	2096	2399	2260	0
Wdr25	2210.631579	568	0	2642	2232	2872	2749	2304	1327	2684	2628	2048	2840	2409	3041	3025	1096	1508	2904	3125	0
Wars	2210.631579	568	0	2642	2232	2872	2749	2304	1327	2684	2628	2048	2840	2409	3041	3025	1096	1508	2904	3125	0
Rexo4	2206.315789	791	0	2399	2408	2583	2692	1828	1692	2294	2715	2046	2991	2295	2774	3508	1345	1957	2859	2743	0
Dmap1	2206.052632	1192	0	2274	1817	2753	2395	1696	834	2342	2193	1827	2788	2617	2918	3963	1973	2228	3135	2970	0
Mrpl1	2192.631579	1098	0	2515	2060	2856	2712	2108	1182	2800	2429	2108	2922	2674	2962	2700	1147	1164	3183	3040	0
