Target_genes	Gata1|Average	SRX079887|Embryonic_erythroblasts	SRX079888|Embryonic_erythroblasts	SRX145055|Embryonic_erythroblasts	SRX3889813|Embryonic_erythroblasts	SRX3889814|Embryonic_erythroblasts	SRX145066|Embryonic_megakaryocytes	SRX6797012|Erythroblasts	SRX6797015|Erythroblasts	SRX6797018|Erythroblasts	SRX6797021|Erythroblasts	SRX6797024|Erythroblasts	SRX6797027|Erythroblasts	SRX6797030|Erythroblasts	SRX6797033|Erythroblasts	SRX6797036|Erythroblasts	SRX6797039|Erythroblasts	SRX744012|Erythroblasts	SRX744013|Erythroblasts	SRX744014|Erythroblasts	SRX744015|Erythroblasts	SRX10916763|Erythrocytes	SRX10916762|Erythroid_Cells	SRX18530072|Erythroid_Cells	SRX18530073|Erythroid_Cells	SRX18530074|Erythroid_Cells	SRX8785799|ES_cells	SRX8785800|ES_cells	SRX340954|FDCPmix	SRX340957|FDCPmix	SRX340962|FDCPmix	SRX340963|FDCPmix	SRX340966|FDCPmix	SRX340967|FDCPmix	SRX100316|G1E	SRX145061|G1E	SRX9519540|G1E	SRX9519541|G1E	SRX013185|G1E-ER4+E2	SRX10714839|G1E-ER4+E2	SRX10714840|G1E-ER4+E2	SRX130172|G1E-ER4+E2	SRX130174|G1E-ER4+E2	SRX145052|G1E-ER4+E2	SRX181742|G1E-ER4+E2	SRX181743|G1E-ER4+E2	SRX181744|G1E-ER4+E2	SRX181745|G1E-ER4+E2	SRX181748|G1E-ER4+E2	SRX181749|G1E-ER4+E2	SRX8820360|G1E-ER4+E2	SRX8820361|G1E-ER4+E2	SRX816546|G1ME	SRX816547|G1ME	SRX816548|G1ME	SRX4513890|HPC-7	SRX4513891|HPC-7	SRX140370|MEL	SRX188828|MEL	SRX3889826|MEL	SRX3889827|MEL	SRX015120|MEL86	SRX18530081|mESC_derived_erythroid_cells	SRX18530083|mESC_derived_erythroid_cells	SRX18530084|mESC_derived_erythroid_cells	SRX1035393|mESC_derived_haematopoietic_progenitor	SRX118001|mESC_derived_haematopoietic_progenitor	SRX118002|mESC_derived_haematopoietic_progenitor	SRX118003|mESC_derived_haematopoietic_progenitor	SRX118004|mESC_derived_haematopoietic_progenitor	SRX118005|mESC_derived_haematopoietic_progenitor	SRX1431659|mESC_derived_haematopoietic_progenitor	SRX298036|Ter119_Erythrocytes	STRING
Brox	1023.180556	1664	1584	2046	1714	1749	807	613	506	428	121	275	189	363	916	686	1266	1845	1932	841	782	1685	2090	687	574	767	344	264	377	883	570	566	333	268	748	728	2664	2688	1332	858	485	520	1319	1477	2025	1865	1685	2035	1568	1564	1016	1252	679	914	266	1476	2134	1140	1133	611	559	565	969	1400	1020	251	502	309	1014	272	288	1183	1420	0
Aida	1023.180556	1664	1584	2046	1714	1749	807	613	506	428	121	275	189	363	916	686	1266	1845	1932	841	782	1685	2090	687	574	767	344	264	377	883	570	566	333	268	748	728	2664	2688	1332	858	485	520	1319	1477	2025	1865	1685	2035	1568	1564	1016	1252	679	914	266	1476	2134	1140	1133	611	559	565	969	1400	1020	251	502	309	1014	272	288	1183	1420	0
Cldn34d	1016.986111	1535	1809	1991	1477	2019	866	986	855	485	148	559	129	1827	2327	1373	2568	1453	1518	980	803	1328	1318	713	746	734	1297	1245	264	1058	437	580	369	220	365	841	2601	2647	867	649	432	266	930	1733	1226	1215	1805	1318	1636	1272	776	561	817	881	366	722	1280	854	1070	652	610	344	2070	1516	276	316	329	212	691	168	161	1277	1454	0
Tcstv3	986.708333	956	1956	1788	200	0	1024	1286	1375	1526	1467	1354	1551	1878	1810	1616	2002	0	0	0	151	503	429	358	445	211	0	113	236	1069	386	478	323	310	975	935	601	651	655	0	107	0	525	1946	1172	989	2244	997	2277	1256	1377	1374	2057	2163	712	2110	2188	476	1172	347	312	220	0	1486	1133	743	1607	875	1247	1615	1061	2087	2550	0
Hdgf	789.958333	620	405	880	1822	1996	247	593	596	724	229	197	367	1428	2102	1011	2259	585	824	100	88	588	283	552	137	741	399	739	0	342	0	0	0	0	86	0	2334	2046	993	957	670	0	1008	1561	1961	1323	1429	1622	1182	695	239	2774	1442	949	0	0	0	2294	1896	1259	424	436	1292	2260	1337	116	203	142	347	156	156	434	0	0
Lyl1	708.263889	1231	1066	1685	2356	2624	639	405	557	544	199	135	271	846	1446	725	1757	180	161	0	107	688	701	0	0	0	344	330	0	936	261	178	0	111	0	0	934	736	818	179	0	50	846	1126	1476	1055	1209	676	1072	533	160	1897	1166	941	0	0	0	1419	1974	1660	1103	265	997	2077	3399	105	319	226	0	400	260	782	652	0
Nfe2	673.250000	970	1034	1413	2209	2507	227	421	460	476	446	415	385	937	1526	584	1721	349	496	0	165	513	846	347	102	261	289	732	0	293	0	0	0	0	165	0	1548	1114	751	617	454	149	727	1182	749	703	1107	643	696	275	71	2229	884	707	0	0	0	1260	1871	822	225	154	1046	1544	3907	0	249	0	223	485	294	558	941	0
Znfx1	662.791667	1474	897	1719	1916	2580	0	362	337	573	185	161	320	1264	1889	919	1841	529	446	0	127	594	523	667	100	648	0	0	0	320	0	0	0	0	145	0	1028	476	1223	586	565	0	1239	1407	1450	1211	1345	1246	839	369	180	2356	745	0	0	0	0	2189	1899	1016	151	318	684	1203	1538	0	181	99	455	291	265	397	234	0
Tmcc2	630.958333	1460	1051	1736	1978	2581	0	114	215	304	97	148	132	1198	1630	492	1211	301	638	0	121	492	943	428	155	640	127	196	0	314	0	0	0	0	119	0	1465	923	606	721	657	0	601	1072	945	673	929	717	906	327	275	2287	411	205	0	0	0	2309	2037	1361	269	247	1139	2031	1173	0	292	0	368	349	411	335	567	0
Micall2	615.611111	743	502	1074	1655	2034	153	474	351	511	149	143	278	1243	1828	865	1804	307	253	0	155	383	497	386	0	514	273	317	0	475	117	0	0	123	72	0	1753	1233	909	511	276	0	971	1257	1638	1336	1102	1315	946	538	95	2135	956	466	0	0	0	1984	1610	1222	287	291	328	696	1034	0	215	0	196	235	186	569	355	0
