Target_genes	Gata3|Average	SRX018103|CD4+_T_cells	SRX092582|CD4+_T_cells	SRX092583|CD4+_T_cells	SRX1144904|CD4+_T_cells	SRX1144905|CD4+_T_cells	SRX018101|CD4_CD8_double_negative_cells	SRX091676|CD4_CD8_double_negative_cells	SRX091677|CD4_CD8_double_negative_cells	SRX018102|CD4_CD8_double_positive_cells	SRX077028|CD4_CD8_double_positive_cells	SRX091678|CD4_CD8_double_positive_cells	SRX018104|CD8+_T_cells	SRX077029|CD8+_T_cells	SRX7821124|Hematopoietic_progenitors	SRX7821125|Hematopoietic_progenitors	SRX7821126|Hematopoietic_progenitors	SRX8858058|Hematopoietic_progenitors	SRX8858059|Hematopoietic_progenitors	SRX1115327|ILC2	SRX13185577|ILC2	SRX13185578|ILC2	SRX13185579|ILC2	SRX21547797|ILC2	SRX21547798|ILC2	SRX15046828|Induced_trophoblast_stem_cells	SRX15046829|Induced_trophoblast_stem_cells	SRX1115326|Innate_lymphoid_cells	SRX4677000|Innate_lymphoid_cells	SRX4677001|Innate_lymphoid_cells	SRX4677005|Innate_lymphoid_cells	SRX4677006|Innate_lymphoid_cells	SRX15046860|MEF	SRX15046861|MEF	SRX15046870|MEF	SRX15046871|MEF	SRX018111|Natural_Killer_T-Cells	SRX2499766|Scid.adh.2c2	SRX2499767|Scid.adh.2c2	SRX2499768|Scid.adh.2c2	SRX2499769|Scid.adh.2c2	SRX018108|Th17_Cells	SRX018105|Th1_Cells	DRX012366|Th2_Cells	DRX012367|Th2_Cells	SRX018106|Th2_Cells	SRX077030|Th2_Cells	SRX1115328|Th2_Cells	SRX18113530|Th2_Cells	SRX18113531|Th2_Cells	SRX18275247|Th2_Cells	SRX18275248|Th2_Cells	SRX18275249|Th2_Cells	SRX18275250|Th2_Cells	SRX19650900|Th2_Cells	SRX19650901|Th2_Cells	SRX018110|Treg	SRX2416654|Trophoblast_stem_cells	SRX018109|T_cells	STRING
Tcf3	1129.896552	2111	0	291	2293	2343	499	1438	1697	401	1376	1268	1333	0	2245	2553	2372	0	0	1430	368	341	130	301	579	3385	3443	1203	1470	1742	1814	1503	736	1024	914	647	908	2012	3171	2112	3176	356	792	0	0	501	500	2082	658	567	658	556	681	958	247	201	1733	0	415	0
Rgs2	1037.793103	2204	0	168	2579	2599	377	1710	1793	257	974	1105	1563	0	2255	2066	1977	0	0	1387	714	496	188	279	465	2682	2758	1370	1652	1495	1689	1386	376	532	320	384	1818	1425	2438	1697	2247	294	1003	0	0	615	602	2202	479	459	479	516	500	976	0	0	2119	0	523	0
Lsm4	1016.017241	1774	0	440	2379	2354	364	1542	1653	240	1015	1265	1676	0	1904	1961	1898	0	0	1566	542	201	136	234	481	3472	3512	1011	1169	1302	1564	1307	601	375	371	435	1233	1131	2540	1198	2463	312	875	0	0	1005	997	1959	533	386	532	447	583	918	334	384	1842	0	513	0
Slc25a23	1005.362069	2190	0	131	2059	2364	461	1323	1246	805	1922	1651	1443	0	1588	1977	1702	0	0	1349	492	297	66	192	423	3087	3267	735	965	990	1054	1017	637	572	727	572	1042	2419	3210	2287	3459	240	386	0	0	370	355	1924	474	346	473	327	516	814	169	192	1596	0	408	0
Crb3	1005.362069	2190	0	131	2059	2364	461	1323	1246	805	1922	1651	1443	0	1588	1977	1702	0	0	1349	492	297	66	192	423	3087	3267	735	965	990	1054	1017	637	572	727	572	1042	2419	3210	2287	3459	240	386	0	0	370	355	1924	474	346	473	327	516	814	169	192	1596	0	408	0
Tnfaip1	984.500000	2070	0	0	2334	2467	447	1174	1154	584	1727	1399	937	0	1450	1401	1224	0	0	1066	452	349	113	294	525	3111	3239	690	1348	970	1193	1079	333	203	405	295	1080	2788	3314	2588	3382	208	388	0	0	882	878	1421	601	384	601	278	692	1047	263	203	1731	0	339	0
Ift20	984.500000	2070	0	0	2334	2467	447	1174	1154	584	1727	1399	937	0	1450	1401	1224	0	0	1066	452	349	113	294	525	3111	3239	690	1348	970	1193	1079	333	203	405	295	1080	2788	3314	2588	3382	208	388	0	0	882	878	1421	601	384	601	278	692	1047	263	203	1731	0	339	0
Unkl	892.206897	2047	0	193	2287	2430	416	1349	1234	433	1055	1052	748	0	1377	1284	1136	257	138	746	686	374	124	212	423	3335	3458	679	857	778	997	735	584	444	626	602	1127	1534	2815	1780	3053	159	234	0	0	626	630	1219	456	319	455	243	540	792	373	337	1668	0	292	0
Percc1	892.206897	2047	0	193	2287	2430	416	1349	1234	433	1055	1052	748	0	1377	1284	1136	257	138	746	686	374	124	212	423	3335	3458	679	857	778	997	735	584	444	626	602	1127	1534	2815	1780	3053	159	234	0	0	626	630	1219	456	319	455	243	540	792	373	337	1668	0	292	0
BC003965	892.206897	2047	0	193	2287	2430	416	1349	1234	433	1055	1052	748	0	1377	1284	1136	257	138	746	686	374	124	212	423	3335	3458	679	857	778	997	735	584	444	626	602	1127	1534	2815	1780	3053	159	234	0	0	626	630	1219	456	319	455	243	540	792	373	337	1668	0	292	0
