Target_genes	Gli2|Average	SRX1115335|Cerebellum	SRX3176061|Embryonic_gut	SRX3176062|Embryonic_gut	SRX1115331|Embryonic_head	SRX1115332|Embryonic_limb	SRX4083166|Embryonic_stomach	SRX1115333|Embryonic_trunk	SRX1973367|ES_cells	SRX1973381|ES_cells	SRX24427287|Medulloblastoma	SRX3884257|Medulloblastoma	SRX3884258|Medulloblastoma	SRX3884264|Medulloblastoma	SRX3884265|Medulloblastoma	SRX1618619|MEF	SRX1618620|MEF-derived_neural_cells	SRX1618621|MEF-derived_neural_cells	SRX1618622|MEF-derived_neural_cells	SRX1618623|MEF-derived_neural_cells	STRING
Tcstv3	782.105263	0	0	190	0	0	551	0	2273	2037	0	894	698	773	947	1227	1297	1163	1485	1325	0
Cldn34d	660.105263	0	312	448	0	0	575	0	1918	127	0	938	1393	935	1052	767	790	964	1270	1053	0
Brox	629.421053	0	354	386	0	0	505	0	2084	0	1584	680	900	623	811	646	734	801	1101	750	0
Aida	629.421053	0	354	386	0	0	505	0	2084	0	1584	680	900	623	811	646	734	801	1101	750	0
Tmem125	282.842105	0	0	0	0	0	539	0	250	0	1020	410	557	218	518	350	330	409	476	297	0
Asmt	211.526316	0	0	0	0	0	0	0	618	247	0	185	0	0	0	520	593	617	594	645	0
Abhd6	207.684211	0	0	0	0	0	0	0	958	880	0	0	0	0	0	432	521	330	384	441	0
Oasl1	161.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	515	702	837	627	0
Kpna1	151.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	547	520	729	615	0
Cdh12	151.000000	0	0	0	0	0	0	0	136	0	0	0	0	0	0	254	473	815	683	508	0
Olfr806	147.789474	0	0	0	0	0	0	0	522	564	0	0	0	0	0	385	396	272	277	392	0
Ptch2	125.105263	0	454	529	0	0	836	0	102	0	307	0	0	149	0	0	0	0	0	0	0
Il31ra	115.684211	0	0	0	0	0	0	0	354	216	0	0	0	0	0	215	332	330	438	313	0
Vmn2r102	100.315789	0	0	0	0	0	0	0	313	183	0	0	0	0	0	84	249	288	432	357	0
Hdx	98.789474	0	0	0	0	0	0	0	250	0	0	0	0	0	0	254	299	258	424	392	0
Thrap3	97.157895	0	392	425	0	0	803	0	0	0	226	0	0	0	0	0	0	0	0	0	0
Wwox	95.947368	0	0	0	0	0	0	0	291	341	0	0	0	0	0	271	283	188	196	253	0
Csf2ra	94.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	332	422	438	329	0
Sfi1	85.578947	0	0	0	0	0	0	0	803	581	0	0	154	0	0	0	0	0	88	0	0
Lsp1	78.526316	0	310	426	0	0	756	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankar	77.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	260	319	295	313	0
Olfr707	75.210526	0	0	0	0	0	0	0	1045	384	0	0	0	0	0	0	0	0	0	0	0
Copz1	70.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	190	258	268	313	0
Ltbp1	69.368421	0	432	356	0	0	403	0	127	0	0	0	0	0	0	0	0	0	0	0	0
Gm11213	68.157895	0	0	0	0	0	0	0	914	0	0	0	174	207	0	0	0	0	0	0	0
Lypd11	64.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	267	188	231	253	0
Eif4enif1	61.684211	0	0	0	0	0	0	0	803	281	0	0	0	0	0	0	0	0	88	0	0
Slc12a4	61.315789	0	0	185	0	0	701	0	0	0	279	0	0	0	0	0	0	0	0	0	0
2610301B20Rik	60.894737	0	0	0	0	0	0	0	437	0	0	0	0	0	0	223	0	0	370	127	0
Hes7	60.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	123	524	305	0
Ilf2	56.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	87	616	274	0
Fmc1	55.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	76	583	246	0
Agbl5	55.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	202	531	208	0
Mdm4	55.210526	0	0	0	0	0	0	0	135	0	0	0	0	0	0	192	0	109	394	219	0
Gm4981	54.789474	0	0	0	0	0	0	0	596	0	184	0	0	0	0	0	0	127	134	0	0
Ccr1l1	54.473684	0	0	0	0	0	0	0	713	322	0	0	0	0	0	0	0	0	0	0	0
Mynn	53.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	65	602	180	0
Actrt3	53.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	65	602	180	0
Hdlbp	52.736842	0	188	197	0	0	368	0	86	0	163	0	0	0	0	0	0	0	0	0	0
Trim7	51.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	99	426	285	0
Borcs6	49.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	109	373	245	0
Dynll1	49.000000	0	191	206	0	0	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13547	48.789474	0	0	0	0	0	0	0	927	0	0	0	0	0	0	0	0	0	0	0	0
