Target_genes	Gli3|Average	SRX20599249|Cortex	SRX23462396|Embryonic_brains	SRX23462397|Embryonic_brains	SRX23462398|Embryonic_brains	SRX386266|Embryonic_limb	STRING
Tcstv3	1906.400000	2586	2405	2268	2273	0	0
Cldn34d	1309.200000	1411	1742	1630	1763	0	0
Brox	663.600000	597	832	894	995	0	0
Aida	663.600000	597	832	894	995	0	0
Tmem125	619.600000	1492	702	432	472	0	0
Park7	431.000000	0	1018	338	799	0	0
Septin2	410.600000	0	998	447	608	0	0
Hdlbp	410.600000	0	998	447	608	0	0
Gm11213	379.200000	1896	0	0	0	0	0
Dynll1	368.000000	0	736	373	731	0	0
Rbm25	367.000000	0	879	330	626	0	0
Ccdc30	348.400000	721	552	191	278	0	0
Ttc32	336.200000	0	861	346	474	0	0
Rab34	324.800000	0	829	249	546	0	0
Proca1	324.800000	0	829	249	546	0	0
Kmt2a	323.600000	0	629	389	600	0	0
Nsun6	317.200000	0	811	244	531	0	0
Arl5b	317.200000	0	811	244	531	0	0
Wbp1l	316.200000	226	577	315	463	0	0
Gm4981	311.800000	1076	154	189	140	0	0
Nkap	306.600000	1533	0	0	0	0	0
Thrap3	305.800000	0	647	265	617	0	0
Cntrl	303.400000	1517	0	0	0	0	0
Sfi1	300.400000	1502	0	0	0	0	0
Ptgr2	290.200000	1451	0	0	0	0	0
Ggct	280.600000	0	727	291	385	0	0
Ring1	280.200000	137	516	311	437	0	0
Denr	278.200000	1391	0	0	0	0	0
Anks3	270.400000	338	543	186	285	0	0
4930451G09Rik	270.400000	338	543	186	285	0	0
Psmd11	269.400000	0	769	258	320	0	0
Ptch2	266.800000	0	734	303	297	0	0
Slc25a53	266.600000	0	794	248	291	0	0
Dux	264.800000	1076	115	133	0	0	0
Washc2	261.600000	0	679	239	390	0	0
Gm51573	257.600000	1288	0	0	0	0	0
Spock1	257.400000	1287	0	0	0	0	0
Efcab2	256.800000	0	655	191	438	0	0
Slc39a7	252.800000	0	516	311	437	0	0
Rxrb	252.800000	0	516	311	437	0	0
H2-Ke6	252.800000	0	516	311	437	0	0
Ptch1	251.000000	112	482	256	405	0	0
Gp9	248.200000	1241	0	0	0	0	0
Mto1	244.200000	1221	0	0	0	0	0
Cgas	244.200000	1221	0	0	0	0	0
Ensa	242.000000	314	448	141	307	0	0
Slc35f5	238.800000	0	574	222	398	0	0
Ifnl3	237.200000	1186	0	0	0	0	0
Sprr1a	236.800000	1184	0	0	0	0	0
Arhgap44	234.200000	313	573	0	285	0	0
Arl6	233.400000	0	593	210	364	0	0
Tmem256	231.000000	0	496	303	356	0	0
Nlgn2	231.000000	0	496	303	356	0	0
Rgs20	225.200000	1126	0	0	0	0	0
Pygo2	224.400000	340	367	138	277	0	0
Ercc4	223.400000	1117	0	0	0	0	0
Cd163l1	218.600000	1093	0	0	0	0	0
Zfp629	214.000000	1070	0	0	0	0	0
Mras	206.800000	1034	0	0	0	0	0
Enc1	203.800000	0	515	163	341	0	0
Tomm40l	203.600000	0	428	235	355	0	0
Apoa2	203.600000	0	428	235	355	0	0
Cldn34-ps	203.200000	1016	0	0	0	0	0
Zfyve21	201.200000	0	501	217	288	0	0
Xrcc3	201.200000	0	501	217	288	0	0
Vstm5	200.200000	1001	0	0	0	0	0
Rab5b	196.000000	0	460	323	197	0	0
Stxbp5l	195.400000	0	457	187	333	0	0
BC053393	192.000000	960	0	0	0	0	0
Ppm1m	191.200000	172	457	0	327	0	0
Taar8b	189.800000	949	0	0	0	0	0
Cpt1a	189.000000	945	0	0	0	0	0
Map2k7	184.200000	0	489	135	297	0	0
Pik3r6	184.000000	920	0	0	0	0	0
Brd7	184.000000	920	0	0	0	0	0
Popdc3	182.400000	912	0	0	0	0	0
Eif4a1	180.800000	0	520	183	201	0	0
3110040M04Rik	180.200000	901	0	0	0	0	0
Hba-x	175.600000	878	0	0	0	0	0
Car5b	175.400000	877	0	0	0	0	0
Dnah12	173.400000	867	0	0	0	0	0
Grxcr2	171.200000	856	0	0	0	0	0
Tmprss5	170.000000	850	0	0	0	0	0
Olfr270	169.800000	849	0	0	0	0	0
Cry2	169.400000	0	481	187	179	0	0
Senp8	169.200000	0	446	129	271	0	0
Myo9a	169.200000	0	446	129	271	0	0
Gm11541	168.800000	268	419	0	157	0	0
Cfh	168.800000	844	0	0	0	0	0
A930009A15Rik	168.400000	842	0	0	0	0	0
Ephb3	168.000000	0	559	0	281	0	0
Smim38	167.600000	0	500	106	232	0	0
1600014C10Rik	167.400000	837	0	0	0	0	0
Wipf1	167.000000	835	0	0	0	0	0
Taar2	164.400000	822	0	0	0	0	0
Nifk	163.000000	815	0	0	0	0	0
Peli3	161.200000	806	0	0	0	0	0
Glul	159.200000	0	373	249	174	0	0
Ctss	159.200000	796	0	0	0	0	0
Limk2	158.400000	206	299	189	98	0	0
Twf2	156.800000	0	457	0	327	0	0
Kif1a	156.400000	132	366	0	284	0	0
Tnk2	156.000000	780	0	0	0	0	0
Ncdn	155.600000	778	0	0	0	0	0
AU040320	155.600000	778	0	0	0	0	0
Zfp420	154.800000	774	0	0	0	0	0
Cfap20	153.800000	769	0	0	0	0	0
Fbxo30	153.200000	0	484	0	282	0	0
Sp110	151.200000	756	0	0	0	0	0
Stk32c	150.600000	753	0	0	0	0	0
Ttll4	150.000000	750	0	0	0	0	0
Oas2	149.000000	745	0	0	0	0	0
Cyfip2	149.000000	745	0	0	0	0	0
Fancc	148.600000	0	389	141	213	0	0
Fcgr3	148.400000	742	0	0	0	0	0
Nsd1	148.200000	0	269	180	292	0	0
Cplx2	148.200000	0	303	214	224	0	0
Atxn1l	148.200000	741	0	0	0	0	0
Klhl23	147.600000	738	0	0	0	0	0
Nkiras2	147.200000	0	302	171	263	0	0
Dnajc7	147.200000	0	302	171	263	0	0
Tmx2	146.400000	732	0	0	0	0	0
Med19	146.400000	732	0	0	0	0	0
Erdr1	145.800000	729	0	0	0	0	0
Prpf39	145.200000	726	0	0	0	0	0
Mlxipl	144.800000	724	0	0	0	0	0
Fnbp4	144.800000	0	411	100	213	0	0
Irs2	144.000000	134	332	0	254	0	0
Grid2ip	143.600000	718	0	0	0	0	0
Zfp872	142.800000	714	0	0	0	0	0
Gm11559	141.600000	708	0	0	0	0	0
Zmynd8	140.400000	0	438	0	264	0	0
Lrrc7	140.400000	0	345	141	216	0	0
Olfr1055	139.800000	699	0	0	0	0	0
Tmem239	139.400000	193	303	0	201	0	0
1700020A23Rik	139.400000	193	303	0	201	0	0
Wnt5b	138.600000	693	0	0	0	0	0
Zbed5	138.200000	691	0	0	0	0	0
Cacng2	137.400000	0	451	0	236	0	0
Ptcd1	137.000000	685	0	0	0	0	0
Cpsf4	137.000000	685	0	0	0	0	0
Taar7a	135.800000	679	0	0	0	0	0
Taar6	135.800000	679	0	0	0	0	0
N4bp2l2	133.200000	0	336	161	169	0	0
Usp45	132.200000	0	294	115	252	0	0
Krtap9-3	132.200000	661	0	0	0	0	0
Gm11938	132.200000	661	0	0	0	0	0
Gpd1l	131.800000	162	327	0	170	0	0
Rab39b	131.000000	655	0	0	0	0	0
A930007A09Rik	130.400000	652	0	0	0	0	0
Ext2	128.400000	642	0	0	0	0	0
Hdgf	128.200000	0	299	119	223	0	0
Chrac1	128.000000	640	0	0	0	0	0
Zscan12	127.600000	280	239	0	119	0	0
Ctsb	127.600000	638	0	0	0	0	0
Olfr1423	127.400000	637	0	0	0	0	0
Gpr34	127.400000	637	0	0	0	0	0
Smarca5	126.800000	634	0	0	0	0	0
Glt6d1	126.000000	630	0	0	0	0	0
Entpd2	126.000000	155	315	160	0	0	0
Wdr92	125.000000	625	0	0	0	0	0
Pno1	125.000000	625	0	0	0	0	0
Elp6	124.800000	235	253	0	136	0	0
Smpd3	124.000000	87	378	0	155	0	0
Hpca	123.800000	155	255	0	209	0	0
Cdcp3	123.800000	619	0	0	0	0	0
Tnk1	123.200000	616	0	0	0	0	0
Entpd6	123.000000	267	197	0	151	0	0
Slc5a5	122.800000	0	341	0	273	0	0
Rpl18a	122.800000	0	341	0	273	0	0
Phkg1	121.800000	609	0	0	0	0	0
Lce3c	121.800000	609	0	0	0	0	0
Clec2e	121.800000	609	0	0	0	0	0
Chchd2	121.800000	609	0	0	0	0	0
Gm45618	121.400000	607	0	0	0	0	0
Lce1m	121.200000	606	0	0	0	0	0
Crct1	121.200000	606	0	0	0	0	0
Lce1a1	121.000000	605	0	0	0	0	0
R3hdm2	120.600000	603	0	0	0	0	0
Mat2a	120.000000	0	231	183	186	0	0
Asmt	119.200000	399	197	0	0	0	0
Tm9sf4	119.000000	595	0	0	0	0	0
Lrrc10	118.800000	594	0	0	0	0	0
Ogfr	118.200000	218	220	0	153	0	0
Plscr4	118.000000	590	0	0	0	0	0
Mycn	118.000000	0	238	197	155	0	0
Ncald	117.600000	235	219	0	134	0	0
Sh3bgr	117.400000	587	0	0	0	0	0
Gm7356	117.400000	587	0	0	0	0	0
Mon2	117.200000	462	124	0	0	0	0
Actn1	116.200000	0	282	136	163	0	0
Supt6	114.400000	0	283	131	158	0	0
Sdf2	114.400000	0	283	131	158	0	0
Gm11567	113.800000	569	0	0	0	0	0
Ccdc110	113.600000	568	0	0	0	0	0
Lce3f	113.000000	565	0	0	0	0	0
Gm14595	112.200000	561	0	0	0	0	0
Gm14590	112.200000	561	0	0	0	0	0
Copg1	112.200000	561	0	0	0	0	0
Siah3	112.000000	0	243	164	153	0	0
Nrcam	112.000000	0	260	0	300	0	0
Gm51598	111.600000	558	0	0	0	0	0
Asb2	111.400000	557	0	0	0	0	0
Inpp5f	111.200000	556	0	0	0	0	0
Krtap5-5	110.800000	554	0	0	0	0	0
Mbd5	110.600000	553	0	0	0	0	0
Cetn3	110.600000	0	357	0	196	0	0
Tmem267	110.000000	550	0	0	0	0	0
Krtap9-1	109.800000	549	0	0	0	0	0
Sdf2l1	109.400000	235	220	0	92	0	0
Oxt	109.000000	545	0	0	0	0	0
Wdr6	108.800000	115	267	0	162	0	0
Gli1	108.200000	0	244	162	135	0	0
Myoc	108.000000	540	0	0	0	0	0
Zswim8	107.200000	536	0	0	0	0	0
Crisp2	107.000000	535	0	0	0	0	0
Impa2	106.800000	534	0	0	0	0	0
Marchf2	106.400000	0	349	0	183	0	0
Zfp28	105.600000	528	0	0	0	0	0
Slc10a6	105.600000	528	0	0	0	0	0
Sh3tc1	105.600000	528	0	0	0	0	0
Mrpl11	105.600000	528	0	0	0	0	0
Abhd6	105.600000	528	0	0	0	0	0
Toporsl	105.400000	527	0	0	0	0	0
Galp	105.400000	527	0	0	0	0	0
Septin9	105.000000	525	0	0	0	0	0
Pink1	105.000000	525	0	0	0	0	0
Pcdha8	105.000000	525	0	0	0	0	0
1700016D06Rik	105.000000	525	0	0	0	0	0
Rab33b	104.600000	0	208	158	157	0	0
Ccdc187	103.600000	0	274	117	127	0	0
Gm39115	103.000000	515	0	0	0	0	0
Slc39a12	102.800000	514	0	0	0	0	0
Olfr323	102.800000	514	0	0	0	0	0
Scgb1b3	102.600000	513	0	0	0	0	0
Gm11596	102.600000	513	0	0	0	0	0
Izumo2	102.400000	512	0	0	0	0	0
Nlrc3	102.000000	510	0	0	0	0	0
Dnmbp	102.000000	510	0	0	0	0	0
Tmem64	101.800000	0	352	0	157	0	0
Spata24	101.200000	0	271	0	235	0	0
Gm13057	101.200000	506	0	0	0	0	0
Gm13040	101.200000	506	0	0	0	0	0
Tbc1d24	101.000000	120	257	0	128	0	0
Ntn3	101.000000	120	257	0	128	0	0
Akirin1	101.000000	0	312	0	193	0	0
Cldn18	100.400000	502	0	0	0	0	0
Bin2	100.200000	501	0	0	0	0	0
Lrp8	99.600000	0	234	93	171	0	0
Gm7762	99.600000	498	0	0	0	0	0
Il17re	99.400000	497	0	0	0	0	0
Dlg4	98.800000	0	494	0	0	0	0
Dynlt1b	98.600000	493	0	0	0	0	0
Dhx36	97.800000	0	376	113	0	0	0
Pgpep1	97.200000	486	0	0	0	0	0
Dlg2	97.200000	486	0	0	0	0	0
Gtf2a1	97.000000	0	328	0	157	0	0
Cdk9	97.000000	136	215	0	134	0	0
Angptl6	96.800000	153	201	0	130	0	0
Abcc12	96.800000	484	0	0	0	0	0
Trrap	95.200000	0	232	92	152	0	0
Asz1	95.200000	476	0	0	0	0	0
Uaca	95.000000	475	0	0	0	0	0
C5ar1	95.000000	475	0	0	0	0	0
Tmem94	94.800000	474	0	0	0	0	0
Nemf	94.400000	0	309	0	163	0	0
Krtap4-16	94.400000	472	0	0	0	0	0
Trim24	93.600000	0	260	101	107	0	0
Eif2b2	93.600000	468	0	0	0	0	0
Sprr2a2	93.400000	467	0	0	0	0	0
Sprr2a1	93.400000	467	0	0	0	0	0
Ctcfl	93.000000	465	0	0	0	0	0
Selenot	92.600000	0	311	0	152	0	0
Scml1	92.400000	462	0	0	0	0	0
Olfm1	92.400000	462	0	0	0	0	0
Lce3e	92.400000	462	0	0	0	0	0
Gm10318	92.400000	462	0	0	0	0	0
Fut8	92.400000	462	0	0	0	0	0
Ipo9	92.200000	461	0	0	0	0	0
Slc25a48	92.000000	205	255	0	0	0	0
Gm1979	92.000000	460	0	0	0	0	0
Olfr142	91.800000	459	0	0	0	0	0
Lce1c	91.800000	459	0	0	0	0	0
Csmd1	91.600000	132	157	0	169	0	0
Bcl2l1	91.400000	0	188	131	138	0	0
Wnt3a	91.200000	456	0	0	0	0	0
Gpr35	91.200000	456	0	0	0	0	0
Foxa3	91.200000	456	0	0	0	0	0
Sstr2	91.000000	455	0	0	0	0	0
Cenpu	91.000000	0	251	0	204	0	0
Olfr461	90.800000	454	0	0	0	0	0
Olfr38	90.800000	454	0	0	0	0	0
Alox12	90.800000	454	0	0	0	0	0
Sh3bp5	90.400000	303	149	0	0	0	0
Serpinb1c	90.400000	452	0	0	0	0	0
Olfr362	90.400000	452	0	0	0	0	0
Elapor1	90.200000	451	0	0	0	0	0
2610301B20Rik	90.200000	451	0	0	0	0	0
1700013F07Rik	90.200000	451	0	0	0	0	0
Zfp978	90.000000	450	0	0	0	0	0
Gm45337	90.000000	450	0	0	0	0	0
Olfr1123	89.800000	449	0	0	0	0	0
Gzf1	89.800000	449	0	0	0	0	0
F2rl3	89.800000	449	0	0	0	0	0
Kifap3	89.400000	447	0	0	0	0	0
Tmsb4x	89.200000	446	0	0	0	0	0
Khdc3	89.200000	168	278	0	0	0	0
Gm11562	89.000000	445	0	0	0	0	0
Defb7	89.000000	445	0	0	0	0	0
Ripk2	88.800000	0	282	0	162	0	0
Krt34	88.600000	443	0	0	0	0	0
Wdr88	88.000000	440	0	0	0	0	0
Shroom4	88.000000	440	0	0	0	0	0
Cxxc5	88.000000	163	167	110	0	0	0
Oog1	87.800000	439	0	0	0	0	0
Gm2042	87.800000	439	0	0	0	0	0
Scgb1c1	87.600000	298	140	0	0	0	0
Odf3	87.600000	298	140	0	0	0	0
Nphp1	87.600000	438	0	0	0	0	0
Mtln	87.600000	438	0	0	0	0	0
Gabrb2	87.400000	437	0	0	0	0	0
Pate7	87.000000	435	0	0	0	0	0
Olfr1495	87.000000	435	0	0	0	0	0
Sptbn4	86.800000	434	0	0	0	0	0
Ffar4	86.800000	434	0	0	0	0	0
Rai2	86.400000	432	0	0	0	0	0
Gm4559	86.400000	432	0	0	0	0	0
5430401F13Rik	86.400000	432	0	0	0	0	0
Krt6a	86.200000	431	0	0	0	0	0
Olfr761	85.800000	429	0	0	0	0	0
Fam149b	85.800000	429	0	0	0	0	0
Ecd	85.800000	429	0	0	0	0	0
Zfp174	85.600000	428	0	0	0	0	0
Patz1	85.200000	0	252	0	174	0	0
Gm3250	85.200000	426	0	0	0	0	0
Gm11569	85.200000	426	0	0	0	0	0
Gm11554	85.200000	426	0	0	0	0	0
Zfp771	85.000000	425	0	0	0	0	0
Svs3a	84.800000	424	0	0	0	0	0
Krtap3-2	84.800000	424	0	0	0	0	0
Fam234a	84.800000	0	278	0	146	0	0
Cmah	84.800000	424	0	0	0	0	0
Pabpc1l	84.600000	423	0	0	0	0	0
Nlk	84.200000	421	0	0	0	0	0
Krt27	84.200000	421	0	0	0	0	0
Gm14322	84.000000	420	0	0	0	0	0
Tmco4	83.800000	419	0	0	0	0	0
Spaca5	83.800000	419	0	0	0	0	0
Rnf186	83.800000	419	0	0	0	0	0
Krtap1-3	83.400000	417	0	0	0	0	0
Vmn1r30	83.200000	416	0	0	0	0	0
Olfr1344	83.200000	416	0	0	0	0	0
Rpl3l	83.000000	415	0	0	0	0	0
Pkn1	83.000000	415	0	0	0	0	0
Msrb1	83.000000	415	0	0	0	0	0
Khk	83.000000	138	277	0	0	0	0
Dmrtc1c2	83.000000	415	0	0	0	0	0
Dmrtc1c1	83.000000	415	0	0	0	0	0
Rfc3	82.800000	414	0	0	0	0	0
Alox12e	82.800000	414	0	0	0	0	0
Krtap5-3	82.600000	413	0	0	0	0	0
Olfr54	82.400000	412	0	0	0	0	0
Krtap4-13	82.400000	412	0	0	0	0	0
Gm11127	82.400000	412	0	0	0	0	0
Lgmn	82.200000	411	0	0	0	0	0
Lce3a	82.200000	411	0	0	0	0	0
Krtap5-1	82.000000	410	0	0	0	0	0
Spg20	81.800000	409	0	0	0	0	0
Krtap3-3	81.600000	408	0	0	0	0	0
Klhdc4	81.400000	407	0	0	0	0	0
Gm11568	81.400000	407	0	0	0	0	0
Ccdc172	81.400000	407	0	0	0	0	0
Rbm12b1	81.200000	406	0	0	0	0	0
Bcam	81.200000	186	220	0	0	0	0
Gm3238	81.000000	405	0	0	0	0	0
Kctd3	80.800000	404	0	0	0	0	0
Iqcf6	80.800000	404	0	0	0	0	0
Ier3ip1	80.800000	404	0	0	0	0	0
Bckdhb	80.800000	404	0	0	0	0	0
Spg7	80.600000	403	0	0	0	0	0
Slc24a3	80.600000	403	0	0	0	0	0
Selenoi	80.600000	403	0	0	0	0	0
Zfp324	80.400000	402	0	0	0	0	0
LOC102633783	80.200000	401	0	0	0	0	0
Krtap4-6	80.200000	401	0	0	0	0	0
Gask1a	80.200000	401	0	0	0	0	0
Ccer2	80.200000	401	0	0	0	0	0
Pcdhb13	80.000000	400	0	0	0	0	0
Pcdhb12	80.000000	400	0	0	0	0	0
Ankdd1b	80.000000	400	0	0	0	0	0
Catspere1	79.800000	399	0	0	0	0	0
Ramp3	79.600000	398	0	0	0	0	0
