Target_genes	Glis3|Average	SRX1175992|Pancreatic_alpha_cells	SRX3146272|Thyroid_Gland	STRING
Cldn34d	492.500000	559	426	0
Tcstv3	439.000000	406	472	0
Oasl1	315.000000	630	0	0
Olfr806	221.000000	442	0	0
Brox	207.000000	297	117	0
Aida	207.000000	297	117	0
Gm20594	198.000000	396	0	0
Vmn2r102	195.500000	391	0	0
Asmt	183.000000	0	366	0
Wwox	176.000000	352	0	0
Abhd6	176.000000	352	0	0
Esr1	141.500000	283	0	0
Csf2ra	141.500000	283	0	0
Tmem125	132.000000	158	106	0
Cdh12	132.000000	264	0	0
Erdr1	115.500000	231	0	0
Kpna1	109.000000	218	0	0
Ankar	91.000000	182	0	0
Vmn2r4	84.500000	169	0	0
Neurog3	0.000000	0	0	155
