Target_genes	Hes1|Average	SRX1550525|Macrophages	SRX1550526|Macrophages	STRING
Brox	1866.500000	1899	1834	0
Aida	1866.500000	1899	1834	0
Tcstv3	1593.000000	1513	1673	0
Il6ra	1565.000000	1472	1658	0
Mbd3	1508.000000	1452	1564	0
Cldn34d	1400.000000	1374	1426	0
Angptl6	1372.000000	1422	1322	0
Maf	1326.500000	1349	1304	0
Prep	1316.500000	1645	988	0
Ddhd2	1305.500000	1053	1558	0
Trim36	1293.000000	1540	1046	0
Sh2b3	1280.500000	1251	1310	0
Mapk6	1264.000000	1076	1452	0
Spred2	1263.500000	1152	1375	0
Fam3c	1258.500000	1518	999	0
Rab6a	1249.000000	1150	1348	0
Clptm1l	1227.500000	1087	1368	0
Smad1	1213.500000	1219	1208	0
Slc25a32	1213.500000	1252	1175	0
Dcaf13	1213.500000	1252	1175	0
Azin1	1213.000000	1139	1287	0
Tigd5	1210.500000	1047	1374	0
Eef1d	1210.500000	1047	1374	0
Rnf19b	1204.000000	1384	1024	0
Ppp1r3e	1191.000000	1172	1210	0
Tmem42	1188.500000	1109	1268	0
Slc16a6	1188.500000	1264	1113	0
Arsg	1188.500000	1264	1113	0
Utf1	1178.000000	1149	1207	0
Ascc3	1175.000000	1179	1171	0
Myo1b	1157.000000	1058	1256	0
Fbxl4	1157.000000	1112	1202	0
Stambpl1	1155.000000	1207	1103	0
Cyth1	1147.500000	1572	723	0
Enc1	1145.500000	1101	1190	0
Tmem65	1139.500000	1112	1167	0
Polg	1127.500000	1147	1108	0
Trim37	1127.000000	1099	1155	0
Mcur1	1123.000000	1380	866	0
Slc25a25	1117.500000	1136	1099	0
Naif1	1117.500000	1136	1099	0
H1f0	1103.500000	1056	1151	0
Gcat	1103.500000	1056	1151	0
Fbxl22	1095.000000	1007	1183	0
Trim65	1082.000000	1115	1049	0
Pdia3	1072.500000	998	1147	0
Catsper2	1072.500000	998	1147	0
Rc3h1	1071.500000	1165	978	0
Smarca2	1056.500000	990	1123	0
Trpm7	1054.500000	971	1138	0
Plekho1	1054.000000	1184	924	0
Rpl10a	1045.500000	983	1108	0
Phospho1	1043.000000	980	1106	0
Nampt	1038.500000	1064	1013	0
Runx3	1024.000000	1166	882	0
Mef2a	1023.500000	1044	1003	0
Gne	1013.500000	924	1103	0
Cbfb	1006.000000	1084	928	0
Foxe3	1005.500000	1434	577	0
Map3k2	1001.500000	858	1145	0
Usp34	1000.500000	1042	959	0
Elf2	997.500000	1006	989	0
Ccny	991.500000	1247	736	0
Ier5	990.000000	1064	916	0
Tmem165	989.000000	1054	924	0
Pim1	989.000000	1137	841	0
Itgav	989.000000	991	987	0
Lrrc8b	988.000000	1037	939	0
Atp1b3	983.000000	949	1017	0
Mbnl1	981.500000	930	1033	0
Ciart	979.000000	916	1042	0
Hes7	974.500000	996	953	0
Aloxe3	974.500000	996	953	0
Arpc2	968.500000	969	968	0
Ppp1r9b	966.500000	849	1084	0
Noxo1	966.500000	1007	926	0
Gfer	966.500000	1007	926	0
Klhl21	964.500000	997	932	0
Ywhah	957.000000	1516	398	0
Mios	957.000000	964	950	0
Fam162a	953.500000	1047	860	0
Ccdc58	953.500000	1047	860	0
Crtc1	952.500000	856	1049	0
Ldb1	951.000000	916	986	0
Rbpj	949.000000	1139	759	0
Ivns1abp	946.000000	850	1042	0
Ddi2	945.500000	1208	683	0
Tob1	943.500000	971	916	0
Ankle2	943.500000	951	936	0
Tprkb	938.500000	917	960	0
Nat8f1	938.500000	917	960	0
Trmt2a	928.000000	1000	856	0
Ranbp1	928.000000	1000	856	0
Raly	923.500000	926	921	0
Ern1	922.500000	1439	406	0
Shld2	921.000000	1057	785	0
Glud1	921.000000	1057	785	0
Nfatc1	916.000000	966	866	0
Bcar3	906.500000	984	829	0
Birc2	905.500000	862	949	0
Trim35	901.500000	853	950	0
Map4k5	900.500000	777	1024	0
Atl1	900.500000	777	1024	0
Lrrfip2	898.000000	877	919	0
Sh3glb1	897.000000	934	860	0
Znrf1	895.500000	872	919	0
Piezo1	891.000000	1061	721	0
Fbxo6	891.000000	869	913	0
Colgalt1	890.000000	987	793	0
Pgrmc2	881.000000	810	952	0
Abr	881.000000	993	769	0
Gtf3a	876.500000	814	939	0
Wdhd1	873.000000	759	987	0
Socs4	873.000000	759	987	0
Kdm4c	867.500000	844	891	0
Ccdc177	867.500000	788	947	0
Zfp3	867.000000	856	878	0
Rcbtb1	867.000000	851	883	0
Fnip1	866.000000	1041	691	0
Tasor	865.500000	920	811	0
Dusp2	862.500000	1212	513	0
Astl	862.500000	1212	513	0
4921524J17Rik	862.500000	825	900	0
Kdm2a	860.500000	993	728	0
Rbms1	860.000000	1048	672	0
Pdlim5	859.500000	787	932	0
Dcaf5	859.500000	1158	561	0
Dennd4b	859.000000	838	880	0
Rrn3	855.000000	882	828	0
Ppp3cb	854.500000	920	789	0
Gtf2e2	852.500000	1147	558	0
Cdk17	852.500000	721	984	0
Dbndd2	852.000000	882	822	0
Rnf187	849.500000	897	802	0
Lyrm4	849.500000	779	920	0
Fars2	849.500000	779	920	0
Ncoa7	849.000000	1141	557	0
Cdk13	848.000000	589	1107	0
Clip1	846.500000	1103	590	0
Srsf3	846.000000	918	774	0
Metrnl	840.500000	926	755	0
Ccno	840.000000	740	940	0
Bnip3	838.000000	858	818	0
Nudt3	836.000000	864	808	0
Pdp1	834.000000	1053	615	0
Fgfbp3	829.500000	933	726	0
Plxnd1	829.000000	798	860	0
Gphn	827.500000	727	928	0
