Target_genes	Hey1|Average	SRX9710068|Chondrosarcoma,_Mesenchymal	STRING
Cldn34d	1715.000000	1715	0
Tcstv3	1548.000000	1548	0
Brox	969.000000	969	0
Aida	969.000000	969	0
Bglap2	497.000000	497	0
Ddhd2	396.000000	396	0
Mbd3	383.000000	383	0
Hoxd11	379.000000	379	0
Gse1	358.000000	358	0
Hey1	357.000000	357	0
Trim28	349.000000	349	0
Asmt	339.000000	339	0
Tlk1	334.000000	334	0
Spns2	314.000000	314	0
Lrrc8b	311.000000	311	0
Tmem125	301.000000	301	0
Tspan11	298.000000	298	0
Ywhah	297.000000	297	0
Ndrg1	297.000000	297	0
Tyk2	296.000000	296	0
Fam241a	293.000000	293	0
Cbfb	290.000000	290	0
Pm20d2	272.000000	272	0
Hoxc4	271.000000	271	0
Bmf	266.000000	266	0
Rgmb	258.000000	258	0
Atf7	252.000000	252	0
Dcaf5	250.000000	250	0
Hes1	248.000000	248	0
Mvb12b	242.000000	242	0
Cyp1b1	240.000000	240	0
Fbxl22	239.000000	239	0
Pdzrn4	235.000000	235	0
Fos	229.000000	229	0
Ephb2	218.000000	218	0
Nampt	217.000000	217	0
Rasgrp3	213.000000	213	0
Dll4	213.000000	213	0
Ebf3	211.000000	211	0
Ccnd1	209.000000	209	0
Zfp672	208.000000	208	0
Rprml	207.000000	207	0
Maff	207.000000	207	0
Kcnn4	205.000000	205	0
Sema3c	204.000000	204	0
Orai2	204.000000	204	0
Stk32b	199.000000	199	0
Chst15	199.000000	199	0
Smarcd3	195.000000	195	0
Myo10	194.000000	194	0
Mapk6	194.000000	194	0
Atxn1	190.000000	190	0
Smad1	188.000000	188	0
Mknk1	185.000000	185	0
Ankrd10	185.000000	185	0
Dusp2	182.000000	182	0
Astl	182.000000	182	0
Mc3r	179.000000	179	0
Ptpn13	177.000000	177	0
Ppp4r1	177.000000	177	0
Fcgr3	176.000000	176	0
Tarsl2	175.000000	175	0
Cmpk2	175.000000	175	0
Bhlhe40	172.000000	172	0
Bcl6	171.000000	171	0
Gm4981	170.000000	170	0
Selenot	168.000000	168	0
Gng12	167.000000	167	0
Fzd8	167.000000	167	0
Nedd9	164.000000	164	0
Tada1	162.000000	162	0
Fam169b	162.000000	162	0
Bach1	162.000000	162	0
Mast2	161.000000	161	0
Rd3	158.000000	158	0
Wscd2	156.000000	156	0
Tmem131l	156.000000	156	0
Raph1	156.000000	156	0
Tmem65	154.000000	154	0
Luzp1	153.000000	153	0
Krtap1-5	153.000000	153	0
Krtap1-4	153.000000	153	0
Htra1	152.000000	152	0
Fign	152.000000	152	0
Id1	150.000000	150	0
Hmgb1	150.000000	150	0
Tmem210	148.000000	148	0
Mafa	148.000000	148	0
Lrrc26	148.000000	148	0
Il6ra	148.000000	148	0
Mfap2	147.000000	147	0
Bnip3	146.000000	146	0
Utp14b	145.000000	145	0
Irs1	145.000000	145	0
Acsl3	145.000000	145	0
Tsc22d3	144.000000	144	0
Atp13a2	144.000000	144	0
Tmem123	143.000000	143	0
Smoc2	143.000000	143	0
Nt5c2	143.000000	143	0
Usp12	142.000000	142	0
Rev1	141.000000	141	0
Net1	140.000000	140	0
Jup	140.000000	140	0
Hfe	140.000000	140	0
Slc24a3	139.000000	139	0
Heg1	138.000000	138	0
Tmem150a	137.000000	137	0
Zfp74	136.000000	136	0
Otud1	136.000000	136	0
Kcnq3	135.000000	135	0
Bcar3	135.000000	135	0
Snx14	134.000000	134	0
Rras2	133.000000	133	0
Lekr1	132.000000	132	0
Adipor2	132.000000	132	0
Noct	131.000000	131	0
Mycbp2	131.000000	131	0
Adcy9	129.000000	129	0
Acvr2b	129.000000	129	0
Kif26b	128.000000	128	0
Pknox1	127.000000	127	0
Ifnz	125.000000	125	0
Gm13290	125.000000	125	0
Gm13289	125.000000	125	0
Gm13285	125.000000	125	0
Gm13276	125.000000	125	0
Gm13272	125.000000	125	0
Ninj2	123.000000	123	0
Il18r1	123.000000	123	0
Tent4b	122.000000	122	0
Alyref2	122.000000	122	0
Vasn	121.000000	121	0
Adgrg3	121.000000	121	0
Tle1	120.000000	120	0
Sil1	120.000000	120	0
Nfic	120.000000	120	0
Eid1	120.000000	120	0
Rsad1	116.000000	116	0
Krt8	116.000000	116	0
Pgp	115.000000	115	0
Bricd5	115.000000	115	0
Nfix	114.000000	114	0
Camk2a	114.000000	114	0
Tgfb2	113.000000	113	0
Zfp462	112.000000	112	0
D16Ertd472e	112.000000	112	0
Fam78a	111.000000	111	0
B4galt1	110.000000	110	0
Sav1	109.000000	109	0
Efna3	109.000000	109	0
Hoxa10	108.000000	108	0
Runx1t1	107.000000	107	0
Parp8	107.000000	107	0
Mios	107.000000	107	0
Kdm7a	107.000000	107	0
Hoxd8	107.000000	107	0
Foxo3	107.000000	107	0
Syde2	106.000000	106	0
Nr4a3	106.000000	106	0
Enc1	106.000000	106	0
Agpat3	106.000000	106	0
Rnpepl1	105.000000	105	0
Espn	105.000000	105	0
Dusp28	105.000000	105	0
Prcc	104.000000	104	0
Klf13	104.000000	104	0
Eif4g3	104.000000	104	0
Adamtsl3	103.000000	103	0
4921504E06Rik	102.000000	102	0
Marveld1	100.000000	100	0
1110051M20Rik	99.000000	99	0
Rock2	98.000000	98	0
Lipt2	98.000000	98	0
Col8a2	98.000000	98	0
C1qtnf3	98.000000	98	0
Col7a1	97.000000	97	0
Cd24a	97.000000	97	0
Ptp4a3	96.000000	96	0
Nrep	96.000000	96	0
Ciart	96.000000	96	0
Slc41a2	95.000000	95	0
Rcor2	95.000000	95	0
Pde7a	95.000000	95	0
Tmbim1	94.000000	94	0
Shb	94.000000	94	0
Mdga1	94.000000	94	0
Klhl2	94.000000	94	0
Kcnk2	94.000000	94	0
Arhgap39	94.000000	94	0
Npepps	93.000000	93	0
Arhgap28	92.000000	92	0
Zfp469	91.000000	91	0
Lmo7	91.000000	91	0
Plcl2	90.000000	90	0
Cavin3	90.000000	90	0
Nexn	88.000000	88	0
Krt80	87.000000	87	0
Chad	86.000000	86	0
Ablim1	86.000000	86	0
Xkr4	83.000000	83	0
Arid3b	83.000000	83	0
Ext1	82.000000	82	0
Otop2	81.000000	81	0
Hoxa2	80.000000	80	0
Hoxa1	80.000000	80	0
Pakap	79.000000	79	0
