Target_genes	Hmga2|Average	SRX14833490|ES_cells	SRX9213050|ES_cells	SRX9213052|ES_cells	SRX796317|MEF	SRX796321|MEF	DRX411715|Monoulcear_cells	DRX411716|Monoulcear_cells	DRX411717|Monoulcear_cells	DRX411718|Monoulcear_cells	SRX2140476|Neural_progenitor_cells	DRX174618|Unclassified	DRX174620|Unclassified	STRING
Cldn34d	1438.000000	789	1389	1487	1891	1832	1605	1077	1284	1622	1744	1224	1312	0
Brox	1428.833333	0	1452	1646	663	1047	2320	2569	2165	2381	1864	476	563	0
Aida	1428.833333	0	1452	1646	663	1047	2320	2569	2165	2381	1864	476	563	0
Tcstv3	1078.416667	0	1101	1446	2632	2765	714	993	1355	1125	810	0	0	0
Ralgapa1	1027.000000	0	1004	1212	0	0	3811	1748	1886	2114	549	0	0	0
Nr1h3	988.500000	352	1233	2197	0	0	2645	1634	1696	1475	630	0	0	0
Stard7	827.833333	329	0	329	0	0	2736	2047	1991	1988	514	0	0	0
Shoc1	788.083333	0	2658	3402	0	0	905	642	705	368	777	0	0	0
Pfas	734.833333	160	1386	3568	0	0	1008	770	783	915	228	0	0	0
Fcrl5	720.000000	153	198	451	0	0	2452	1571	1781	1862	172	0	0	0
Ccdc15	691.750000	0	602	957	0	0	2097	1389	1349	1711	196	0	0	0
Plekhg1	681.833333	0	346	456	0	0	655	1750	3053	1762	160	0	0	0
Rbms2	668.500000	278	262	509	0	0	2118	1520	1612	1533	190	0	0	0
Ado	651.333333	0	0	0	0	0	3553	2236	2027	0	0	0	0	0
Gm6557	643.750000	0	708	1715	0	0	2380	789	945	823	365	0	0	0
Mettl14	582.000000	102	201	687	0	0	1719	1305	1683	924	363	0	0	0
Mid1ip1	568.250000	0	1525	3549	0	0	457	455	449	384	0	0	0	0
Tmem125	564.833333	0	301	269	467	811	802	765	1534	904	429	256	240	0
Tppp	559.750000	0	1840	3999	0	0	326	133	196	223	0	0	0	0
Gm6551	555.750000	146	1053	1549	0	0	1969	656	570	377	349	0	0	0
Gypa	542.583333	0	2539	3972	0	0	0	0	0	0	0	0	0	0
Lrp2bp	528.083333	0	2427	3662	0	0	0	0	0	0	248	0	0	0
Xkr5	492.750000	0	1986	3706	0	0	0	0	0	0	221	0	0	0
Naalad2	481.333333	0	1712	3952	0	0	0	0	0	0	112	0	0	0
Unc93b1	467.750000	0	484	653	0	0	2149	781	800	498	248	0	0	0
Fa2h	460.083333	133	1717	3265	0	0	0	0	191	0	215	0	0	0
Erdr1	440.416667	332	433	904	0	0	510	455	706	906	1039	0	0	0
Klk4	434.500000	0	1890	3152	0	0	0	0	0	0	172	0	0	0
H2-K1	416.750000	0	228	487	0	0	1354	915	1077	940	0	0	0	0
Ube2a	416.500000	0	1430	2970	0	0	277	132	0	189	0	0	0	0
H2-Q8	411.583333	0	157	437	0	0	1367	1215	950	635	178	0	0	0
H2-Q6	411.583333	0	157	437	0	0	1367	1215	950	635	178	0	0	0
Ccrl2	408.666667	0	1312	1613	0	0	900	225	323	234	297	0	0	0
Oasl1	406.500000	0	411	428	589	518	217	165	175	295	714	719	647	0
Trappc10	406.416667	0	1147	2137	0	0	712	264	201	238	178	0	0	0
Kpna1	402.333333	156	167	330	0	402	657	474	697	543	413	514	475	0
C5ar2	399.750000	0	1734	2885	0	0	0	0	0	0	178	0	0	0
Olfr283	397.250000	0	198	322	0	0	1146	1069	929	842	261	0	0	0
Acyp2	394.833333	0	0	0	0	0	439	1222	2028	1049	0	0	0	0
Fndc3c1	388.583333	0	351	166	0	0	1555	817	810	964	0	0	0	0
1700093K21Rik	387.750000	199	644	2464	0	0	491	291	289	275	0	0	0	0
Teddm3	385.416667	168	888	2353	0	0	484	127	174	148	283	0	0	0
Mtf2	384.750000	0	335	683	0	0	1251	739	734	565	310	0	0	0
Ubash3a	384.500000	0	353	556	0	0	1551	608	694	439	413	0	0	0
Hdx	376.416667	263	325	517	222	0	654	609	776	651	268	232	0	0
Tmem232	366.000000	0	1456	2804	0	0	0	0	0	0	132	0	0	0
Pla2g7	362.750000	0	1248	2541	0	0	132	0	157	0	275	0	0	0
Mad2l1bp	356.666667	0	1119	2414	0	0	206	202	183	156	0	0	0	0
Gtpbp2	356.666667	0	1119	2414	0	0	206	202	183	156	0	0	0	0
Rps6ka6	345.166667	0	1199	1655	0	0	0	332	445	395	116	0	0	0
Zfp78	344.500000	371	0	544	0	0	724	922	894	495	184	0	0	0
H4bc24	342.333333	0	169	362	0	0	954	747	846	704	326	0	0	0
H2bc23	342.333333	0	169	362	0	0	954	747	846	704	326	0	0	0
H2ac24	342.333333	0	169	362	0	0	954	747	846	704	326	0	0	0
H2ac23	342.333333	0	169	362	0	0	954	747	846	704	326	0	0	0
Pik3cd	339.083333	0	593	2428	0	0	306	218	220	304	0	0	0	0
Ccl4	336.833333	0	0	246	0	0	1020	930	805	1041	0	0	0	0
Pkp4	333.583333	0	393	861	0	0	1320	408	479	259	283	0	0	0
Ccdc148	333.583333	0	393	861	0	0	1320	408	479	259	283	0	0	0
Fam166b	332.166667	581	335	754	0	0	658	530	588	265	275	0	0	0
H4c17	330.416667	0	169	362	0	0	954	618	846	704	312	0	0	0
Olfr444	326.666667	0	212	317	0	0	1301	558	620	738	174	0	0	0
Fmod	324.250000	323	703	2865	0	0	0	0	0	0	0	0	0	0
Gstm6	321.000000	0	378	731	0	0	988	398	530	612	215	0	0	0
Usp47	320.500000	0	406	481	0	0	1258	424	527	572	178	0	0	0
Prl7c1	318.666667	0	347	429	0	0	1355	385	499	526	283	0	0	0
Wbp2nl	313.250000	0	1457	2153	0	0	0	0	0	0	149	0	0	0
Gm10639	310.250000	0	0	0	0	0	351	855	1648	869	0	0	0	0
Il31ra	309.666667	0	0	164	0	333	570	542	744	578	0	470	315	0
Gm20939	308.916667	395	241	684	0	0	643	484	574	526	160	0	0	0
H4c18	306.916667	0	0	334	0	0	800	747	809	667	326	0	0	0
Zmat1	303.166667	0	178	0	0	0	959	711	740	907	143	0	0	0
Pcca	302.333333	0	396	288	0	0	1071	449	649	575	200	0	0	0
Zfp61	301.916667	0	811	2638	0	0	174	0	0	0	0	0	0	0
Gabrr3	299.583333	0	0	215	0	0	1181	668	878	653	0	0	0	0
Dnmt3l	294.750000	193	972	1867	0	0	195	129	181	0	0	0	0	0
