Target_genes	Hoxa13|Average	SRX4618294|Embryonic_limb	SRX4618296|Embryonic_limb	SRX4618301|Embryonic_limb	SRX1757411|Forelimb	STRING
Brox	2142.750000	1652	2891	1577	2451	0
Aida	2142.750000	1652	2891	1577	2451	0
Cldn34d	1964.000000	1963	2023	1963	1907	0
Tcstv3	1897.750000	1865	1631	2279	1816	0
Hoxc6	1469.000000	144	2568	798	2366	0
Hoxc5	1469.000000	144	2568	798	2366	0
Zfp64	1301.750000	213	3019	503	1472	0
Asprv1	1095.000000	0	860	426	3094	0
Hoxa7	930.500000	0	2354	370	998	0
Hoxa3	930.500000	0	2354	370	998	0
Trim2	895.500000	0	1473	426	1683	0
Hoxa11	822.500000	0	1434	258	1598	0
Hoxa10	822.500000	0	1434	258	1598	0
Papss1	813.750000	0	1825	291	1139	0
Dytn	797.000000	0	1757	103	1328	0
Gpr84	786.250000	0	769	617	1759	0
Zdhhc7	767.500000	117	1434	197	1322	0
Hoxb8	738.250000	149	1299	213	1292	0
Hoxb7	738.250000	149	1299	213	1292	0
Hoxa4	723.500000	0	1671	0	1223	0
Tbx15	713.000000	0	780	180	1892	0
Ckap2l	696.750000	0	1974	643	170	0
Ap4s1	682.750000	161	2036	534	0	0
Hoxd9	675.250000	0	1515	247	939	0
Prr5l	671.750000	0	533	138	2016	0
H4c11	666.250000	0	1878	180	607	0
Pcid2	660.000000	183	1999	458	0	0
Cul4a	660.000000	183	1999	458	0	0
Lrrc18	657.750000	0	941	0	1690	0
Bnip2	633.250000	173	1977	383	0	0
Vps36	626.750000	0	1889	331	287	0
Met	626.000000	0	1077	291	1136	0
Ankrd10	607.500000	0	781	215	1434	0
Phox2b	607.000000	0	1695	138	595	0
Hnrnpd	606.250000	0	1825	271	329	0
Aldh1a2	605.250000	0	1526	262	633	413
Mme	586.000000	0	1287	248	809	0
Hand1	586.000000	0	539	179	1626	0
Tmem125	577.500000	200	908	852	350	0
Hoxc4	577.250000	0	1428	0	881	0
Hoxa9	577.250000	0	932	223	1154	0
