Target_genes	Hoxa5|Average	SRX25508380|Spinal_Cord	STRING
Tcstv3	1827.000000	1827	0
Cldn34d	1298.000000	1298	0
Tmem125	1051.000000	1051	0
Brox	972.000000	972	0
Aida	972.000000	972	0
Gm11567	952.000000	952	0
Rimbp3	897.000000	897	0
Kpna1	831.000000	831	0
Gm11568	810.000000	810	0
Krtap9-1	742.000000	742	0
Gm11559	708.000000	708	0
Asmt	665.000000	665	0
Cd163l1	639.000000	639	0
Tchh	622.000000	622	0
Zfp420	601.000000	601	0
Vmn1r2	585.000000	585	0
Nkap	554.000000	554	0
Gm11569	547.000000	547	0
Gm11554	547.000000	547	0
Gm10318	511.000000	511	0
Krtap1-3	510.000000	510	0
Gm11213	501.000000	501	0
Sspn	488.000000	488	0
Tspear	485.000000	485	0
Gm3250	485.000000	485	0
Gm19402	485.000000	485	0
Il31ra	436.000000	436	0
Setd1a	422.000000	422	0
Krtap16-1	414.000000	414	0
Krtap4-9	406.000000	406	0
Krtap4-8	406.000000	406	0
Brpf1	389.000000	389	0
Gm11563	388.000000	388	0
Krtap4-13	368.000000	368	0
Ing3	362.000000	362	0
Krtap4-6	347.000000	347	0
Gm9639	340.000000	340	0
Gm19668	340.000000	340	0
Gm3238	324.000000	324	0
Gm11596	322.000000	322	0
Gm11595	311.000000	311	0
Calm3	305.000000	305	0
Slc37a1	276.000000	276	0
Krtap4-2	271.000000	271	0
Gm11564	264.000000	264	0
Gm3233	260.000000	260	0
H2bu2	258.000000	258	0
Fcgr3	257.000000	257	0
Abhd6	254.000000	254	0
Gm3285	251.000000	251	0
Krtap9-5	249.000000	249	0
Sfi1	247.000000	247	0
1600014C10Rik	247.000000	247	0
Coq7	245.000000	245	0
H4f16	239.000000	239	0
H2aj	239.000000	239	0
Fbxl5	239.000000	239	0
Gm2237	237.000000	237	0
Baz1b	228.000000	228	0
Krtap4-7	224.000000	224	0
Gm9508	224.000000	224	0
Smarca5	222.000000	222	0
Tbc1d8	221.000000	221	0
Osgin1	218.000000	218	0
Krtap10-4	213.000000	213	0
Ccng1	213.000000	213	0
Gm9507	212.000000	212	0
Gm2696	212.000000	212	0
Gm4559	211.000000	211	0
Zfp397	206.000000	206	0
Krtap5-1	206.000000	206	0
Pdp1	203.000000	203	0
Adnp	203.000000	203	0
Col16a1	201.000000	201	0
Bcl7a	201.000000	201	0
Tia1	198.000000	198	0
Ccar1	197.000000	197	0
Ttc3	196.000000	196	0
Pigp	196.000000	196	0
Ube2cbp	193.000000	193	0
Rfc4	193.000000	193	0
Dop1a	193.000000	193	0
Ccdc171	191.000000	191	0
Wdr12	190.000000	190	0
Krt8	190.000000	190	0
Carf	190.000000	190	0
Shq1	189.000000	189	0
Gm4981	188.000000	188	0
Dux	188.000000	188	0
Gm4307	187.000000	187	0
Gm4305	187.000000	187	0
Gm4303	187.000000	187	0
Narf	185.000000	185	0
Sox11	184.000000	184	0
Paip2	184.000000	184	0
H3f3b	184.000000	184	0
Trmo	183.000000	183	0
Rap2a	181.000000	181	0
Eef1a1	181.000000	181	0
Eif4a1	180.000000	180	0
2300003K06Rik	180.000000	180	0
Trim8	179.000000	179	0
Sox2	179.000000	179	0
Snrnp70	179.000000	179	0
8030462N17Rik	179.000000	179	0
Zfp963	178.000000	178	0
Tcerg1	177.000000	177	0
Pcbp1	174.000000	174	0
Sptbn2	173.000000	173	0
Pggt1b	173.000000	173	0
Dcaf11	173.000000	173	0
Dipk2a	172.000000	172	0
Krtap10-10	171.000000	171	0
Morf4l1	170.000000	170	0
Fbxl20	170.000000	170	0
Cutc	170.000000	170	0
Cox15	170.000000	170	0
Lrig2	169.000000	169	0
Krtap9-3	169.000000	169	0
H4c18	169.000000	169	0
H4bc24	169.000000	169	0
H2bc23	169.000000	169	0
H2ac24	169.000000	169	0
H2ac23	169.000000	169	0
Gm11938	169.000000	169	0
Hnrnpm	167.000000	167	0
Rtn4	165.000000	165	0
H3c7	163.000000	163	0
H2bc9	163.000000	163	0
Rbm33	162.000000	162	0
Gtf2i	162.000000	162	0
Nf1	161.000000	161	0
Hoxb2	161.000000	161	0
Gpr142	161.000000	161	0
Gm3448	161.000000	161	0
Gm3417	161.000000	161	0
Calm1	161.000000	161	0
Btbd17	161.000000	161	0
9030025P20Rik	161.000000	161	0
Ss18l2	160.000000	160	0
Osbpl9	160.000000	160	0
Lck	160.000000	160	0
Fam167b	160.000000	160	0
Calm2	160.000000	160	0
Slc10a7	159.000000	159	0
Rbmxl1	159.000000	159	0
Tcte3	158.000000	158	0
Mpp7	158.000000	158	0
Gm3435	158.000000	158	0
Ebag9	158.000000	158	0
H4c3	156.000000	156	0
H1f6	156.000000	156	0
Sh3bp5	155.000000	155	0
Sfswap	154.000000	154	0
Abhd18	154.000000	154	0
Mphosph9	153.000000	153	0
2810006K23Rik	153.000000	153	0
Hlcs	152.000000	152	0
Insig2	151.000000	151	0
Rbm39	150.000000	150	0
Jpt1	150.000000	150	0
Pkm	149.000000	149	0
Kansl2	149.000000	149	0
Txndc16	148.000000	148	0
Gpr137c	148.000000	148	0
Gm51573	148.000000	148	0
Snx11	147.000000	147	0
Phyhipl	147.000000	147	0
Ikbip	147.000000	147	0
Cyb561d1	147.000000	147	0
Calr	147.000000	147	0
Bicd1	147.000000	147	0
Apaf1	147.000000	147	0
Ankrd40	145.000000	145	0
Serac1	144.000000	144	0
Gtf2h5	144.000000	144	0
Elp1	144.000000	144	0
Ankrd52	144.000000	144	0
Abitram	144.000000	144	0
Tuba1a	143.000000	143	0
Rhobtb3	143.000000	143	0
Mapk8ip3	143.000000	143	0
Ifrd1	143.000000	143	0
Fbxl14	143.000000	143	0
Rpl23	142.000000	142	0
Prr36	142.000000	142	0
Pnpla7	142.000000	142	0
Mrpl41	142.000000	142	0
Naca	141.000000	141	0
Kcnj12	141.000000	141	0
Gm9736	141.000000	141	0
Fubp1	141.000000	141	0
Dnajb4	141.000000	141	0
Cltc	141.000000	141	0
Tnrc6c	140.000000	140	0
Gm10710	140.000000	140	0
Dchs2	140.000000	140	0
Tmem94	139.000000	139	0
Krt85	139.000000	139	0
Krt83	139.000000	139	0
Kmt5b	139.000000	139	0
Zfp346	138.000000	138	0
Uimc1	138.000000	138	0
Zfp821	137.000000	137	0
Vgll3	137.000000	137	0
Rrm2b	137.000000	137	0
Rmi1	137.000000	137	0
Plpp1	137.000000	137	0
Ist1	137.000000	137	0
Hnrnpk	137.000000	137	0
Hjurp	137.000000	137	0
Apba1	137.000000	137	0
A730008H23Rik	137.000000	137	0
Kansl1	136.000000	136	0
Megf9	135.000000	135	0
BC005537	135.000000	135	0
Armh4	135.000000	135	0
Zfp157	134.000000	134	0
Sap30	134.000000	134	0
H4c11	134.000000	134	0
Trim35	133.000000	133	0
Trap1	133.000000	133	0
Scrt1	133.000000	133	0
Ivns1abp	133.000000	133	0
Ddx50	133.000000	133	0
Ctss	133.000000	133	0
Mrps36	131.000000	131	0
Hmgb2	131.000000	131	0
Epc1	131.000000	131	0
Tuba1c	130.000000	130	0
Ppia	130.000000	130	0
Hoxb4	130.000000	130	0
Cds2	130.000000	130	0
Anapc5	130.000000	130	0
Slirp	129.000000	129	0
Nrp	129.000000	129	0
Nr2f1	129.000000	129	0
Nfx1	129.000000	129	0
H4c8	129.000000	129	0
H3c8	129.000000	129	0
H2ac10	129.000000	129	0
Cat	129.000000	129	0
