Target_genes	Hoxa9|Average	SRX7135172|Acute_myeloid_leukemia	SRX7416185|Embryoid_Bodies	SRX7416186|Embryoid_Bodies	SRX110439|Myeloblastic_cell_lines	SRX110442|Myeloblastic_cell_lines	SRX11174682|Unclassified	SRX11174683|Unclassified	SRX11174684|Unclassified	SRX11174686|Unclassified	SRX11174687|Unclassified	STRING
Cldn34d	1438.500000	1687	505	1255	268	787	2296	2028	2051	1945	1563	0
Gpr84	1397.900000	318	2602	2278	0	825	2641	1679	220	2595	821	0
Tmem268	955.700000	608	2611	3006	0	101	2213	167	0	851	0	0
Brox	918.800000	818	244	703	228	787	1148	1461	1140	1335	1324	0
Aida	918.800000	818	244	703	228	787	1148	1461	1140	1335	1324	0
Tcstv3	905.600000	0	841	1554	0	90	1450	1084	1449	1342	1246	0
Lemd2	840.600000	116	1775	1391	0	358	1999	976	539	1080	172	0
Prdm13	675.600000	0	3528	3228	0	0	0	0	0	0	0	0
Osbpl9	675.100000	0	441	2160	0	207	1770	0	0	2173	0	0
Pcnx3	646.100000	0	888	2762	0	329	1492	0	0	990	0	0
Map3k11	646.100000	0	888	2762	0	329	1492	0	0	990	0	0
Map4k5	635.100000	0	3320	3031	0	0	0	0	0	0	0	0
Atl1	635.100000	0	3320	3031	0	0	0	0	0	0	0	0
Slc37a3	626.700000	0	2847	2772	0	0	428	0	0	220	0	0
Tmem125	614.200000	1020	0	153	0	170	1056	624	951	1268	900	0
F11r	606.900000	0	3171	2898	0	0	0	0	0	0	0	0
Tmem156	601.700000	0	1344	1951	0	0	1910	109	0	703	0	0
Mbnl1	598.300000	0	1029	1775	0	127	1470	581	388	613	0	0
Hoxa4	572.000000	0	2978	2742	0	0	0	0	0	0	0	0
Pdlim5	567.700000	0	3000	1764	0	0	704	0	0	209	0	0
Tmem229b	558.200000	0	0	0	0	0	3075	212	0	2295	0	0
Otp	557.000000	0	2978	2592	0	0	0	0	0	0	0	0
Khdc4	545.400000	94	408	2285	0	160	1219	0	0	1288	0	0
Tmem97	542.000000	145	437	2539	0	186	995	0	0	1118	0	0
Oosp2	523.100000	212	0	0	0	0	2628	757	549	1085	0	0
Scube2	521.400000	0	2921	2293	0	0	0	0	0	0	0	0
Slc31a2	519.200000	0	2682	2315	0	0	195	0	0	0	0	0
Notch1	518.800000	0	2685	2503	0	0	0	0	0	0	0	0
Sdhaf1	517.300000	194	168	1573	0	0	1773	0	0	1465	0	0
Gm973	515.400000	0	2985	2169	0	0	0	0	0	0	0	0
C1ql3	512.900000	0	2710	2419	0	0	0	0	0	0	0	0
Klf11	512.800000	0	0	0	0	0	3077	0	0	2051	0	0
Dnajc10	504.400000	0	119	255	0	178	2204	997	183	973	135	0
Kpna1	493.500000	213	0	304	0	213	1082	853	1008	846	416	0
Pitpnc1	484.500000	0	2282	2352	0	0	211	0	0	0	0	0
Arfgef1	480.500000	0	2273	2532	0	0	0	0	0	0	0	0
Zfp503	480.400000	0	2499	2182	0	0	123	0	0	0	0	0
Ms4a3	478.400000	0	0	0	0	0	2567	182	543	1492	0	0
Hoxc6	476.200000	0	2141	2621	0	0	0	0	0	0	0	0
Hoxc5	476.200000	0	2141	2621	0	0	0	0	0	0	0	0
St3gal2	473.500000	0	2759	1838	0	0	138	0	0	0	0	0
Tnfsf13b	471.300000	0	1145	1310	0	0	1545	288	0	425	0	0
Hoxb5	466.300000	0	2346	2165	0	152	0	0	0	0	0	0
Atp1b4	463.300000	0	2411	2222	0	0	0	0	0	0	0	0
Ing3	460.100000	1082	1354	646	0	0	822	0	0	697	0	0
Dph5	458.400000	0	1990	2431	0	0	163	0	0	0	0	0
Cep85l	456.800000	0	719	262	0	0	2445	0	0	1142	0	0
Oacyl	453.100000	0	1422	1044	0	0	1351	417	0	297	0	0
Mef2c	451.700000	154	671	808	0	0	1429	743	338	374	0	0
Wls	451.600000	136	308	0	0	0	2785	0	0	1287	0	0
Nkx6-1	450.400000	0	2519	1985	0	0	0	0	0	0	0	0
Synpo	449.000000	0	2349	2141	0	0	0	0	0	0	0	0
Tmem251	445.900000	0	207	185	0	0	2658	345	0	1064	0	0
Moap1	445.900000	0	207	185	0	0	2658	345	0	1064	0	0
Ackr4	439.800000	0	2829	1569	0	0	0	0	0	0	0	0
Ngdn	437.400000	0	2447	1484	0	0	310	0	0	133	0	0
Gpc6	435.700000	0	2203	2154	0	0	0	0	0	0	0	0
Ttc1	435.500000	0	426	1032	0	107	1637	0	0	1153	0	0
Hoxd3	434.700000	0	2206	2141	0	0	0	0	0	0	0	0
Cemip2	432.800000	0	2085	2037	0	0	206	0	0	0	0	0
Ccno	432.400000	0	868	596	0	0	1969	0	356	535	0	0
Slc5a12	429.000000	0	2849	1441	0	0	0	0	0	0	0	0
Rbm25	425.500000	0	1247	1983	0	0	661	0	0	364	0	0
Lpgat1	425.000000	0	2207	2043	0	0	0	0	0	0	0	0
Cdc14a	424.900000	0	0	0	0	88	2680	0	0	1481	0	0
Hoxb4	422.000000	0	2149	1989	0	0	0	0	0	82	0	0
Hoxb3	422.000000	0	2149	1989	0	0	0	0	0	82	0	0
Kansl1l	420.600000	0	655	701	0	148	1544	502	125	531	0	0
Tob1	418.500000	0	2125	2060	0	0	0	0	0	0	0	0
Tle3	417.000000	161	1646	1198	0	0	847	0	0	318	0	0
Hoxc4	415.900000	0	2157	2002	0	0	0	0	0	0	0	0
Gtf2ird2	413.900000	0	1856	941	0	0	800	195	0	347	0	0
Cox7a2l	411.600000	0	2314	1802	0	0	0	0	0	0	0	0
Mllt3	407.900000	0	1886	2193	0	0	0	0	0	0	0	0
Elf5	405.800000	0	1624	2434	0	0	0	0	0	0	0	0
Lrp12	405.700000	0	2364	1693	0	0	0	0	0	0	0	0
Sptssa	404.800000	0	1468	2580	0	0	0	0	0	0	0	0
Rab30	404.400000	0	1499	2545	0	0	0	0	0	0	0	0
Naip1	403.400000	0	0	0	0	176	2174	611	386	687	0	0
Zadh2	400.400000	85	1895	1862	0	0	162	0	0	0	0	0
Tshz1	400.400000	85	1895	1862	0	0	162	0	0	0	0	0
Vta1	398.700000	0	1581	1737	0	0	496	0	0	173	0	0
Foxn3	398.300000	204	2042	1254	0	0	483	0	0	0	0	0
Gnat3	396.600000	0	2358	1608	0	0	0	0	0	0	0	0
Pknox2	393.300000	0	1195	622	0	0	1560	0	0	556	0	0
Tcerg1	391.200000	0	738	1445	0	0	854	0	0	875	0	0
Actr3	391.000000	0	684	539	0	0	1929	0	0	758	0	0
Mmrn1	390.000000	0	2022	1878	0	0	0	0	0	0	0	0
Zfp330	388.700000	185	2255	1302	0	0	145	0	0	0	0	0
Gm4737	382.800000	0	1832	1996	0	0	0	0	0	0	0	0
Gcnt2	381.700000	0	2024	1495	0	0	298	0	0	0	0	0
Tal2	381.500000	194	205	702	0	0	1949	0	0	765	0	0
Epha5	378.800000	0	2331	1457	0	0	0	0	0	0	0	0
Olfr1301	377.900000	0	0	0	0	0	2282	510	169	818	0	0
Zfp473	375.700000	0	1844	1229	0	0	373	0	0	311	0	0
Vrk3	375.700000	0	1844	1229	0	0	373	0	0	311	0	0
Il31ra	375.000000	292	170	213	0	0	900	717	706	752	0	0
Hoxd4	374.300000	0	2408	1335	0	0	0	0	0	0	0	0
Xdh	371.500000	105	0	0	0	0	2458	207	203	742	0	0
St8sia2	370.900000	0	1730	1979	0	0	0	0	0	0	0	0
Aldh1a2	370.500000	0	2370	1335	0	0	0	0	0	0	0	0
Gbp11	370.300000	0	0	0	0	0	2175	538	0	990	0	0
Irx1	370.000000	0	2371	1329	0	0	0	0	0	0	0	0
