Target_genes	Hoxc10|Average	SRX7416182|Embryoid_Bodies	SRX7416183|Embryoid_Bodies	SRX7416184|Embryoid_Bodies	SRX7416196|Embryoid_Bodies	SRX7416197|Embryoid_Bodies	SRX7416198|Embryoid_Bodies	SRX7416199|Embryoid_Bodies	SRX9099736|Embryoid_Bodies	SRX9099737|Embryoid_Bodies	SRX9099740|Embryoid_Bodies	SRX9099741|Embryoid_Bodies	SRX3229107|Hindlimb	SRX3229108|Hindlimb	STRING
Cldn34d	1844.692308	149	983	998	1381	1657	1707	1898	2418	2787	2700	2625	2299	2379	0
Tcstv3	1816.923077	808	2385	247	912	980	2244	2281	2504	2506	2416	2455	1965	1917	0
Hoxc6	1542.230769	0	594	2363	1750	1422	1475	1347	2461	2583	2792	2647	225	390	0
Hoxc5	1542.230769	0	594	2363	1750	1422	1475	1347	2461	2583	2792	2647	225	390	0
Gpr84	1363.615385	0	1405	2428	1921	1516	1894	1930	1293	1456	1424	1175	709	576	0
Hoxc4	1122.692308	0	814	1897	1288	972	1165	1104	1794	1894	1807	1860	0	0	0
Hoxa5	1115.846154	0	346	2063	1283	804	983	828	1689	2348	1851	2311	0	0	0
Hdx	1109.384615	0	0	3407	2021	2087	2203	1618	772	937	697	680	0	0	0
Mmrn1	1099.538462	0	336	2676	444	439	699	563	1955	2170	2547	2465	0	0	0
Aldh1a2	952.153846	0	0	1832	479	547	615	467	1701	2136	2468	2133	0	0	0
Hoxa3	933.000000	0	0	553	201	163	448	0	2405	2745	2810	2661	143	0	0
Hoxa7	891.000000	0	0	553	0	0	127	139	2405	2745	2810	2661	143	0	0
Hoxa4	852.846154	0	354	2463	1021	782	1169	877	875	1343	835	1368	0	0	0
H4c11	832.230769	0	0	352	0	0	0	108	2276	2677	2737	2669	0	0	0
Brox	824.846154	170	781	262	544	827	827	957	486	757	616	540	1844	2112	0
Aida	824.846154	170	781	262	544	827	827	957	486	757	616	540	1844	2112	0
Hoxb5	793.000000	0	212	1951	1151	961	1365	789	725	1122	847	1186	0	0	0
Cdca8	778.846154	0	528	2153	594	253	808	816	1036	1574	1024	1339	0	0	0
9930104L06Rik	778.846154	0	528	2153	594	253	808	816	1036	1574	1024	1339	0	0	0
Spag17	760.384615	0	0	364	0	0	0	0	2052	2416	2524	2529	0	0	0
Hoxb3	755.615385	0	574	1828	914	936	1223	1038	709	958	504	1011	128	0	0
Hoxb4	745.769231	0	574	1828	914	936	1223	1038	709	958	504	1011	0	0	0
F11r	724.769231	0	290	3028	585	165	915	614	762	1340	699	1024	0	0	0
C1ql3	707.076923	0	276	3056	1182	787	1096	1043	420	430	520	382	0	0	0
Phox2b	691.692308	0	0	1365	273	171	204	200	1444	1740	1816	1779	0	0	0
Zdhhc7	681.615385	0	0	543	0	0	0	0	1867	2212	1969	2270	0	0	0
Dld	663.692308	0	0	0	0	0	115	0	1681	2202	2503	2127	0	0	0
C2cd4b	646.153846	0	0	0	0	0	0	0	1563	2041	2745	2051	0	0	0
St6galnac1	628.615385	0	0	677	0	0	0	0	1158	2037	2344	1956	0	0	0
Gm973	609.769231	0	192	2231	340	233	495	671	789	1316	701	959	0	0	0
Sdk2	582.692308	0	0	349	0	0	0	0	1455	1885	1893	1993	0	0	0
Zfp64	573.307692	0	0	157	0	0	133	0	1419	1787	1986	1971	0	0	0
Tmeff1	571.692308	0	0	478	0	0	80	0	1456	1725	1850	1843	0	0	0
St3gal2	567.846154	0	0	2787	1110	630	882	548	223	625	240	337	0	0	0
Olfr95	565.076923	0	0	0	0	0	0	0	1625	1830	2127	1764	0	0	0
Hoxb8	551.769231	0	0	1425	537	320	519	229	782	1123	1045	1193	0	0	0
Hoxb7	551.769231	0	0	1425	537	320	519	229	782	1123	1045	1193	0	0	0
Hoxa2	550.846154	0	121	1788	1004	660	927	807	366	422	328	431	137	170	0
Hoxa1	550.846154	0	121	1788	1004	660	927	807	366	422	328	431	137	170	0
Serpinb9h	548.769231	0	0	0	0	0	0	0	1410	1726	2182	1816	0	0	0
Otp	540.923077	0	128	1024	317	0	256	190	985	1258	1393	1481	0	0	0
Epha5	537.230769	0	284	1986	749	616	1086	897	376	382	253	355	0	0	0
Fam71d	533.923077	0	0	0	0	0	0	0	1209	1807	2278	1647	0	0	0
Syncrip	533.307692	0	0	151	0	0	0	0	1297	1733	1996	1756	0	0	0
Hoxb2	526.153846	0	0	164	0	0	0	0	1176	1864	2069	1567	0	0	0
Pou3f3	525.230769	0	0	1080	376	251	248	346	891	1403	868	1365	0	0	0
Usp27x	521.538462	0	0	0	0	0	0	0	1274	1785	1902	1819	0	0	0
Olfr670	516.384615	0	0	0	0	0	0	0	1022	2009	2084	1598	0	0	0
Phf14	514.153846	0	0	0	0	0	110	0	1478	1609	1993	1494	0	0	0
1810037I17Rik	512.153846	0	0	468	0	0	0	0	1340	1533	1577	1740	0	0	0
Akr1c13	508.538462	0	0	120	0	0	0	0	1255	1540	2135	1561	0	0	0
Ankrd66	507.461538	0	0	0	0	0	0	0	1575	1724	1585	1713	0	0	0
Ralgapa1	507.153846	0	0	0	0	0	0	0	1148	1560	2158	1727	0	0	0
Olfr1219	506.846154	0	0	0	0	0	0	0	1103	1866	2054	1566	0	0	0
2210010C04Rik	504.923077	0	0	0	0	0	0	0	1017	1657	2178	1712	0	0	0
Trerf1	500.769231	0	0	795	100	0	0	0	1063	1592	1290	1670	0	0	0
Pabpc1l2a	493.153846	0	0	0	0	0	0	0	1287	1777	1780	1567	0	0	0
Blvra	487.692308	0	0	0	0	0	0	0	988	1615	1980	1757	0	0	0
Hoxa6	485.153846	0	346	2063	1283	804	983	828	0	0	0	0	0	0	0
Nkx6-1	484.153846	0	193	2548	993	678	749	666	101	213	0	153	0	0	0
Olfr1251	480.692308	0	0	0	0	0	0	0	1128	1666	1859	1596	0	0	0
Abcd3	478.384615	0	0	0	0	0	0	0	1233	1591	1713	1682	0	0	0
Mbnl1	474.230769	0	265	1130	485	288	732	524	528	585	705	672	130	121	0
Slc37a3	472.230769	0	138	2543	646	257	622	585	386	432	320	210	0	0	0
Nr4a2	470.538462	0	0	647	0	0	136	0	828	1572	1566	1368	0	0	0
Olfr1259	470.461538	0	0	0	0	0	0	0	1145	1439	2149	1383	0	0	0
Map6	469.769231	0	137	1696	612	257	623	492	428	776	509	577	0	0	0
Hoxd4	469.000000	0	0	584	494	314	461	0	673	1215	877	1479	0	0	0
Olfr1188	466.461538	0	0	0	0	0	0	0	1326	1506	1787	1445	0	0	0
C1ql1	465.923077	0	0	551	0	0	0	0	1009	1492	1713	1292	0	0	0
Cyp17a1	465.769231	0	0	0	0	0	0	0	1067	1707	1794	1487	0	0	0
Trim2	462.153846	0	0	1123	174	139	317	177	601	937	1321	1219	0	0	0
Epha3	460.384615	0	0	0	0	0	0	0	1018	1498	1973	1496	0	0	0
Lin28b	459.000000	0	0	776	0	0	158	125	866	1425	1153	1464	0	0	0
Olfm3	457.000000	0	0	202	0	0	0	0	966	1597	1733	1443	0	0	0
Fcer1a	455.230769	0	0	0	0	0	0	0	1012	1594	1841	1471	0	0	0
Olfr584	449.000000	0	0	0	0	0	0	0	943	1618	1820	1456	0	0	0
Zadh2	446.538462	0	246	1423	730	533	811	527	201	351	193	267	260	263	0
Tshz1	446.538462	0	246	1423	730	533	811	527	201	351	193	267	260	263	0
Zcchc2	445.000000	0	0	0	0	0	0	0	1197	1579	1463	1546	0	0	0
Vps36	444.692308	0	0	434	0	0	0	0	1198	1539	1191	1419	0	0	0
Slc5a12	444.000000	0	109	2576	295	187	450	284	578	500	527	266	0	0	0
