Target_genes	Hoxc6|Average	SRX7416176|Embryoid_Bodies	SRX7416177|Embryoid_Bodies	SRX7416192|Embryoid_Bodies	SRX7416193|Embryoid_Bodies	SRX7416201|Embryoid_Bodies	SRX7416202|Embryoid_Bodies	SRX6755620|ES_cells	STRING
Xlr3b	2414.428571	1621	1136	3122	3101	4167	3754	0	0
Gpr84	2404.571429	2333	2396	2923	2831	3263	3086	0	0
Tle3	2108.428571	2043	1649	2701	2788	2797	2781	0	0
Ackr4	1961.285714	3103	2891	3511	3666	163	395	0	0
Hdx	1797.142857	2384	1975	3076	3351	934	860	0	0
Prdm13	1788.571429	2473	1682	3138	3422	396	1409	0	0
P4ha3	1779.571429	1678	1360	2426	2107	2565	2321	0	0
Gm4791	1708.714286	1178	874	2281	1804	2673	3151	0	0
Ppp2r2d	1699.285714	1304	1068	3002	2924	1554	2043	0	0
Mapk1ip1	1699.285714	1304	1068	3002	2924	1554	2043	0	0
Wt1	1654.857143	2671	2397	3291	3102	123	0	0	0
Map4k5	1651.714286	2736	2407	3152	3267	0	0	0	0
Atl1	1651.714286	2736	2407	3152	3267	0	0	0	0
Slc9a9	1632.857143	1437	982	1825	1364	2843	2979	0	0
Pitpnc1	1537.714286	2664	2172	2919	3009	0	0	0	0
Aven	1517.857143	1299	1131	2198	1738	2313	1946	0	0
Hoxa4	1511.285714	2107	1730	2248	2367	485	1642	0	0
Hoxc6	1489.000000	2505	1854	2969	3095	0	0	0	0
Hoxc5	1489.000000	2505	1854	2969	3095	0	0	0	0
Baz2b	1426.142857	1758	1381	1989	1687	1696	1472	0	0
Galr3	1398.857143	1371	1080	2466	1690	1927	1258	0	0
Phox2b	1388.142857	2397	1901	2760	2659	0	0	0	0
Dcun1d1	1301.285714	1591	1454	2928	2634	0	502	0	0
Zfp503	1280.714286	1327	799	1995	1990	915	1939	0	0
Hif1a	1244.714286	2069	1603	2692	2349	0	0	0	0
Dcbld2	1199.000000	1484	1286	2915	2708	0	0	0	0
Gja1	1197.142857	456	185	548	687	3215	3289	0	0
Nkx6-1	1185.285714	1530	1332	2798	2637	0	0	0	0
Rnf220	1177.714286	893	391	1346	1158	2017	2439	0	0
Ptger2	1166.571429	1323	1234	2635	2788	0	186	0	0
Cdh7	1166.571429	2017	1381	2432	2336	0	0	0	0
Fzd8	1164.571429	811	446	1539	1181	1676	2499	0	0
Drd2	1162.428571	2181	1552	2299	2105	0	0	0	0
Fmo2	1159.285714	1763	1609	2724	2019	0	0	0	0
Mxra7	1154.142857	217	352	1202	1024	2000	3284	0	0
Lrrc18	1149.857143	0	0	0	0	4178	3871	0	0
Ascl1	1149.571429	613	534	1461	1270	1769	2400	0	0
Degs1	1142.000000	558	604	1614	1094	1812	2312	0	0
Scn1a	1128.285714	381	106	730	618	3298	2765	0	0
Sox2	1123.857143	1264	788	2569	2230	456	560	0	0
Tcim	1119.714286	1567	1258	2299	1982	466	266	0	0
Mmrn1	1118.285714	2157	1486	2183	2002	0	0	0	0
Pakap	1117.285714	1356	964	2700	2556	245	0	0	0
D1Pas1	1110.285714	1764	1504	2433	2071	0	0	0	0
C1ql3	1108.428571	1423	1290	2694	2352	0	0	0	0
Tnfsf13b	1105.571429	840	647	2260	2052	960	980	0	0
Tpbg	1101.142857	1398	1098	2189	2319	385	319	0	0
Spag9	1093.857143	745	576	1433	1415	1540	1948	0	0
Synpo	1092.571429	911	894	2367	2305	383	788	0	0
Txlng	1083.857143	152	0	580	818	2981	3056	0	0
Skil	1079.714286	1505	1327	2583	2052	91	0	0	0
Ptn	1070.428571	1854	1435	2223	1981	0	0	0	0
Fam181a	1062.285714	1138	1129	2598	2571	0	0	0	0
Htr3b	1030.571429	1244	1257	2180	2190	0	343	0	0
Map2k6	1027.000000	422	371	1305	935	1785	2371	0	0
Nkx2-2	1021.000000	887	604	2469	2621	217	349	0	0
Rpl3	1015.857143	1025	719	2739	2512	0	116	0	0
Irgm2	1015.285714	0	0	0	0	3695	3412	0	0
Scfd2	995.142857	1608	953	2460	1945	0	0	0	0
Ank2	994.857143	974	546	1535	1178	1439	1292	0	0
