Target_genes	Hoxc8|Average	SRX7416178|Embryoid_Bodies	SRX7416179|Embryoid_Bodies	STRING
Wt1	3311.500000	3741	2882	0
Gpr84	3190.500000	3177	3204	0
Hoxc6	3188.000000	3465	2911	0
Hoxc5	3188.000000	3465	2911	0
Map4k5	3136.000000	3517	2755	0
Atl1	3136.000000	3517	2755	0
Mmrn1	2968.000000	3353	2583	0
Prdm13	2960.000000	3487	2433	0
Ackr4	2930.000000	3267	2593	0
Pitpnc1	2897.500000	3306	2489	0
Hdx	2882.500000	3266	2499	0
Tcim	2702.000000	3067	2337	0
Hoxa4	2627.500000	2898	2357	0
Cdh7	2579.000000	2892	2266	0
Slc5a12	2543.000000	2974	2112	0
Pdlim5	2495.000000	2564	2426	0
D1Pas1	2383.000000	2752	2014	0
Slc9a9	2310.500000	2794	1827	0
F11r	2280.000000	2656	1904	0
Mllt3	2253.000000	2431	2075	0
Ptn	2245.500000	2661	1830	0
Sox2	2187.000000	2850	1524	0
Nkx6-1	2186.500000	2829	1544	0
Tle3	2132.500000	2605	1660	0
Hif1a	2114.000000	2595	1633	0
P4ha3	2100.500000	2821	1380	0
Tpbg	2091.000000	2933	1249	0
Smad1	2041.500000	2720	1363	0
Dcbld2	2037.500000	2535	1540	0
Mapre1	2010.500000	2568	1453	0
Olfr513	2004.500000	2324	1685	0
C1ql3	1979.000000	2631	1327	0
Slc37a3	1969.000000	2608	1330	0
Phox2b	1968.000000	2399	1537	0
Spink1	1919.000000	2575	1263	0
Trib2	1907.000000	2705	1109	0
Synpo	1896.000000	2340	1452	0
Pakap	1892.500000	2693	1092	0
Ppp2r2d	1890.500000	2146	1635	0
Mapk1ip1	1890.500000	2146	1635	0
Hoxc4	1843.500000	2090	1597	0
Ezh2	1824.000000	2455	1193	0
Fmo2	1821.500000	1921	1722	0
Gm973	1801.500000	2152	1451	0
Htr3b	1796.500000	2300	1293	0
Crybg3	1792.500000	2265	1320	0
Skil	1750.500000	1944	1557	0
Pgk1	1749.000000	3292	206	0
Fau	1724.500000	2277	1172	0
Baz2b	1714.000000	1826	1602	0
Cemip2	1704.000000	2219	1189	0
Atg4c	1703.000000	2321	1085	0
Fam181a	1688.000000	1829	1547	0
Phc2	1653.500000	1983	1324	0
Drd2	1652.500000	1752	1553	0
Thrb	1652.000000	2151	1153	0
Mylk	1613.500000	2016	1211	0
Tmem268	1598.500000	1834	1363	0
Mapt	1588.500000	1876	1301	0
Ascl1	1569.000000	2517	621	0
Mkrn3	1566.500000	2034	1099	0
Gnat3	1564.500000	1710	1419	0
Ptger2	1563.000000	2149	977	0
Elavl4	1557.500000	1762	1353	0
Tph2	1556.000000	2253	859	0
Dcun1d1	1545.500000	1740	1351	0
Cldn34d	1494.500000	1322	1667	0
Serpinb8	1489.500000	1691	1288	0
Sepsecs	1484.000000	2379	589	0
Rprml	1467.000000	1944	990	0
Galr3	1448.500000	1828	1069	0
Ppp1r15b	1436.000000	2375	497	0
Tbpl1	1434.500000	1879	990	0
Pbx1	1431.000000	1833	1029	0
Tbc1d9	1429.000000	1832	1026	0
Nin	1422.000000	1569	1275	0
Spp2	1419.000000	1743	1095	0
Lrrn3	1366.000000	1497	1235	0
Dach1	1349.500000	1692	1007	0
Atad2b	1347.500000	1528	1167	0
Gpc6	1342.500000	1801	884	0
Rab30	1330.000000	1709	951	0
Erbin	1321.500000	1879	764	0
Hoxb6	1308.500000	1545	1072	0
Hoxb5	1308.500000	1545	1072	0
Narf	1301.000000	1864	738	0
Wdr18	1300.500000	1686	915	0
Hapln1	1299.500000	1739	860	0
Zfp503	1294.500000	1600	989	0
Dnah7a	1289.000000	1474	1104	0
B3galt1	1288.000000	1695	881	0
Hoxb4	1286.500000	1443	1130	0
Hoxb3	1286.500000	1443	1130	0
St8sia2	1277.500000	1720	835	0
Map6	1276.500000	1873	680	0
Ccn1	1276.500000	1581	972	0
Notch1	1269.500000	1709	830	0
Muc6	1263.500000	1079	1448	0
Scube2	1257.000000	1492	1022	0
Stxbp5	1256.500000	1659	854	0
Bend4	1243.500000	1965	522	0
Ormdl3	1242.000000	1360	1124	0
Dusp6	1240.500000	1462	1019	0
Myh2	1227.000000	1774	680	0
Schip1	1225.000000	1637	813	0
St8sia4	1213.500000	1517	910	0
Hsdl2	1203.000000	1632	774	0
Ksr1	1199.500000	1549	850	0
Golgb1	1191.500000	1630	753	0
Onecut1	1191.000000	1486	896	0
Sp9	1183.000000	1703	663	0
Epn2	1180.000000	1657	703	0
Gm14137	1177.000000	1448	906	0
Gchfr	1177.000000	1448	906	0
Zc3h12c	1173.500000	1325	1022	0
Dph5	1173.000000	1436	910	0
Bhlhe22	1171.500000	1239	1104	0
Asic5	1171.500000	1566	777	0
Exoc6b	1170.500000	1577	764	0
Arfip1	1165.500000	1862	469	0
Rasal2	1142.000000	1280	1004	0
Col4a2	1141.500000	1370	913	0
Col4a1	1141.500000	1370	913	0
Mbp	1139.000000	1475	803	0
Nkx2-9	1137.000000	1049	1225	0
Tmem178b	1136.000000	1186	1086	0
Ccno	1127.000000	1304	950	0
Hoxa6	1126.500000	1621	632	0
Hoxa5	1126.500000	1621	632	0
Pla2g2d	1125.000000	1333	917	0
Rbm20	1124.000000	1365	883	0
Crp	1115.500000	1678	553	0
Dact2	1103.000000	1436	770	0
Gm4791	1101.000000	1447	755	0
Rnf220	1099.500000	1361	838	0
Vwde	1097.000000	1244	950	0
Gja5	1089.500000	1092	1087	0
Fam174a	1087.500000	1197	978	0
Hibadh	1087.000000	1612	562	0
Aven	1087.000000	1301	873	0
Hsp90b1	1081.000000	1409	753	0
Gm15517	1079.500000	1339	820	0
Krt222	1076.500000	1440	713	0
Arrdc4	1076.000000	1278	874	0
Cul3	1073.500000	1523	624	0
Angpt1	1071.000000	1298	844	0
Kcne1l	1061.000000	1319	803	0
Tcstv3	1058.000000	193	1923	0
Zfhx4	1055.000000	1462	648	0
Dennd11	1054.000000	1222	886	0
Lama5	1050.000000	1435	665	0
Prkag2	1045.500000	1187	904	0
Hoxd4	1033.500000	1576	491	0
Runx1t1	1027.500000	1290	765	0
Oacyl	1026.000000	1308	744	0
Frem1	1025.500000	1448	603	0
Cbfa2t3	1023.000000	1475	571	0
LTO1	1017.500000	1387	648	0
Shisa3	1017.000000	1357	677	0
Dbx1	1016.500000	1198	835	0
Arid1b	1015.500000	1455	576	0
Degs1	1013.000000	1206	820	0
Glrp1	1009.500000	1354	665	0
Map4	999.000000	1319	679	0
Ank2	996.500000	1216	777	0
Fgd4	990.500000	1163	818	0
Fbln1	989.500000	1291	688	0
Marchf10	976.000000	1188	764	0
Sstr2	975.000000	1076	874	0
Tmem156	970.500000	1389	552	0
Kpna2	968.000000	1112	824	0
Epha8	963.000000	1405	521	0
Fcrl5	962.500000	1445	480	0
Slc39a6	958.000000	1351	565	0
Elp2	958.000000	1351	565	0
Tle1	955.500000	1198	713	0
Rpl3	954.000000	1092	816	0
Nedd9	950.500000	1067	834	0
Fzd8	935.500000	1277	594	0
Tnfsf8	932.500000	1314	551	0
Samsn1	928.000000	965	891	0
Hhat	923.500000	1277	570	0
Elf5	922.500000	1000	845	0
Ubn2	920.000000	1499	341	0
Mrps33	908.000000	1105	711	0
Fam20c	905.000000	1076	734	0
1810010H24Rik	903.500000	1123	684	0
Pou3f3	901.000000	1258	544	0
Rag1	899.500000	1163	636	0
Col6a6	898.000000	1172	624	0
Dlc1	895.500000	1134	657	0
Acot7	895.500000	1309	482	0
Map2k6	893.500000	1279	508	0
Ntn1	892.500000	1122	663	0
Cacna1c	892.000000	1012	772	0
Elmod1	889.500000	1290	489	0
Plppr1	889.000000	888	890	0
Stk32a	882.500000	1157	608	0
Bahcc1	882.000000	1178	586	0
4430402I18Rik	879.000000	1243	515	0
Ssh2	878.500000	1139	618	0
Cpvl	875.000000	1231	519	0
Abcc4	872.000000	1039	705	0
Tmem87b	869.000000	1059	679	0
Evpl	865.500000	1254	477	0
Dab1	862.500000	1246	479	0
Gja10	861.500000	979	744	0
Dmxl2	858.000000	1233	483	0
Snca	856.500000	1198	515	0
Itpk1	856.000000	1207	505	0
Entpd5	853.500000	1106	601	0
Bbof1	853.500000	1106	601	0
Foxp1	852.000000	1129	575	0
Esrrg	850.500000	1203	498	0
Zdhhc13	847.000000	1151	543	0
Xrcc4	841.500000	1299	384	0
Tmem167	841.500000	1299	384	0
Rragd	839.000000	1278	400	0
Hoxa2	839.000000	1049	629	0
Hoxa1	839.000000	1049	629	0
Nkx1-2	834.500000	1161	508	0
Ndnf	834.000000	1146	522	0
Uchl4	831.000000	1075	587	0
Hhip	829.500000	966	693	0
Nfil3	828.000000	1292	364	0
Sncb	827.000000	1174	480	0
Zkscan1	822.000000	1135	509	0
Fam110b	821.500000	1318	325	0
Spink7	820.000000	1001	639	0
H3c8	817.500000	908	727	0
H2bc9	817.500000	908	727	0
H2ac10	817.500000	908	727	0
Srbd1	814.000000	1051	577	0
Usp35	812.000000	1185	439	0
Kctd21	812.000000	1185	439	0
Alyref2	811.500000	902	721	0
Akap6	811.000000	1008	614	0
Spag9	810.000000	931	689	0
Plxnb2	807.500000	834	781	0
Arfgef1	804.000000	1087	521	0
Cma1	799.000000	951	647	0
Actg1	791.500000	1008	575	0
6820408C15Rik	787.500000	1126	449	0
Pigk	786.000000	1106	466	0
Poglut3	782.000000	880	684	0
Cacng4	772.000000	1160	384	0
Racgap1	771.500000	1007	536	0
Maco1	771.000000	1208	334	0
Flrt1	768.500000	1184	353	0
Csrnp3	768.000000	780	756	0
Asb4	766.500000	1061	472	0
Zmynd11	765.500000	832	699	0
Nkx2-2	765.500000	993	538	0
Brox	763.500000	669	858	0
Aida	763.500000	669	858	0
Sgpp1	761.500000	939	584	0
Mfsd10	761.500000	1123	400	0
Tnfsf13b	760.000000	1143	377	0
Prdm12	759.500000	840	679	0
Rere	758.000000	999	517	0
St7	755.000000	1129	381	0
Trim2	753.500000	1077	430	0
Gm10509	753.000000	1017	489	0
Ddx19b	751.000000	1082	420	0
Zfp2	749.500000	1206	293	0
Cox7a2l	749.500000	947	552	0
Dbx2	747.500000	1010	485	0
St3gal2	744.000000	1070	418	0
Kpna1	738.500000	754	723	0
Arpp21	738.000000	1166	310	0
Ythdf3	737.500000	1093	382	0
Arhgap15	737.500000	1025	450	0
Foxa2	727.000000	1454	0	0
Kcng4	725.500000	1069	382	0
Ppp1ccb	724.000000	809	639	0
Scgb2a2	722.000000	1054	390	0
Dct	721.500000	835	608	0
Gnb5	718.000000	896	540	0
Slc14a2	717.500000	736	699	0
Slc38a2	710.000000	865	555	0
Lmx1b	709.500000	1419	0	0
Grpel2	709.000000	928	490	0
Ubl4b	705.000000	941	469	0
Vmn2r23	704.500000	816	593	0
Esrrb	700.000000	828	572	0
Uncx	698.500000	737	660	0
Snx15	695.000000	952	438	0
Sac3d1	695.000000	952	438	0
Nt5c2	694.000000	814	574	0
Nell2	691.000000	858	524	0
Actr3b	687.500000	1053	322	0
Xlr3b	685.500000	650	721	0
Vta1	683.500000	939	428	0
Mprip	683.500000	959	408	0
Nup210	683.000000	939	427	0
Lars2	683.000000	994	372	0
Palld	680.000000	739	621	0
Pxk	678.500000	807	550	0
Ptpn6	678.000000	1114	242	0
Th	677.000000	988	366	0
Slc48a1	674.500000	904	445	0
G2e3	674.500000	1069	280	0
D130040H23Rik	673.500000	1046	301	0
Gsx2	671.500000	722	621	0
Thnsl1	670.500000	929	412	0
Enkur	670.500000	929	412	0
Med13l	667.500000	974	361	0
Gem	667.000000	1013	321	0
Sox14	665.000000	1063	267	0
Nsun4	663.500000	943	384	0
Setd5	662.500000	596	729	0
Rfx6	661.000000	771	551	0
