Target_genes	Ikzf2|Average	SRX8167498|HPC-7	SRX1241149|Treg	SRX1241152|Treg	STRING
Tcstv3	1778.333333	2087	1896	1352	0
Cldn34d	921.666667	795	979	991	0
Gpatch8	879.666667	2281	238	120	0
Brox	775.666667	888	767	672	0
Aida	775.666667	888	767	672	0
Ubap1	735.666667	2207	0	0	0
Vcl	693.666667	2081	0	0	0
Cmc1	678.666667	1906	130	0	0
Gpr19	675.000000	1773	183	69	0
1810037I17Rik	640.333333	1610	210	101	0
Idh1	637.333333	1912	0	0	0
Kifap3	623.666667	1577	294	0	0
Slc35g3	622.666667	1335	386	147	0
Polr2a	622.666667	1335	386	147	0
Itgb1	617.333333	1852	0	0	0
Mbd6	614.666667	1673	171	0	0
Ddit3	614.666667	1673	171	0	0
Mcrs1	608.666667	1332	349	145	0
Kpna1	586.333333	686	425	648	0
Pigc	577.333333	1732	0	0	0
4930558K02Rik	577.333333	1732	0	0	0
Zfp36	571.000000	1713	0	0	0
Il31ra	566.333333	969	378	352	0
Lyl1	515.666667	1547	0	0	0
Large1	511.666667	1535	0	0	0
Hmga1b	511.666667	1535	0	0	0
Hmga1	511.666667	1535	0	0	0
Clcn4	511.666667	1535	0	0	0
Cep85	509.333333	502	642	384	0
Zfp566	508.000000	1524	0	0	0
Zfp260	508.000000	1524	0	0	0
Snap47	494.333333	752	566	165	0
Jmjd4	494.333333	752	566	165	0
Atad2	493.333333	1480	0	0	0
Fndc7	481.000000	1443	0	0	0
S100a10	466.000000	1398	0	0	0
Pa2g4	466.000000	1398	0	0	0
Hjurp	458.666667	843	368	165	0
A730008H23Rik	458.666667	843	368	165	0
Tor1aip2	457.333333	1372	0	0	0
Tor1aip1	457.333333	1372	0	0	0
Nfat5	457.000000	959	245	167	0
Abi2	456.333333	1369	0	0	0
Mrpl52	456.000000	1368	0	0	0
Mmp14	456.000000	1368	0	0	0
Rpl37	455.666667	1367	0	0	0
Polr3d	455.666667	1367	0	0	0
Ext2	449.000000	844	322	181	0
Myd88	448.000000	795	356	193	0
Acaa1a	448.000000	795	356	193	0
Hnrnpa0	445.666667	1252	0	85	0
Tsn	444.333333	1333	0	0	0
Crcp	442.000000	1326	0	0	0
Asl	442.000000	1326	0	0	0
Wwc2	441.666667	1325	0	0	0
Stx12	436.666667	713	433	164	0
Acp2	435.000000	1305	0	0	0
Adgre4	434.000000	1302	0	0	0
Nup155	432.000000	1296	0	0	0
Tomm7	429.000000	1143	144	0	0
Abhd18	424.000000	1272	0	0	0
Cdkn2a	422.333333	1267	0	0	0
Zc3h11a	422.000000	1266	0	0	0
Zbed6	422.000000	1266	0	0	0
Sde2	419.333333	1258	0	0	0
Mfsd8	417.666667	1253	0	0	0
Pomt1	414.333333	312	550	381	0
Alkbh5	414.333333	498	501	244	0
Sgta	411.666667	616	305	314	0
Wbp4	411.333333	1234	0	0	0
Elf1	411.333333	1234	0	0	0
Rps6ka1	406.000000	1218	0	0	0
Ddx59	404.666667	1039	175	0	0
Tbrg1	404.000000	1212	0	0	0
Tmx3	402.000000	898	208	100	0
Trmt11	401.333333	1003	201	0	0
Tmx1	401.000000	609	402	192	0
Sprtn	400.666667	176	649	377	0
Exoc8	400.666667	176	649	377	0
Itgb3	400.333333	1201	0	0	0
Cttnbp2nl	398.666667	1196	0	0	0
Prkag2	398.333333	1195	0	0	0
Smg9	398.000000	565	341	288	0
Nup93	398.000000	1194	0	0	0
Smim15	397.666667	1193	0	0	0
Ipp	397.333333	867	235	90	0
Rassf1	397.000000	998	131	62	0
Pnrc2	395.000000	1185	0	0	0
Tram1	393.666667	685	337	159	0
Zfp106	389.333333	606	466	96	0
Snap23	389.333333	606	466	96	0
Trappc9	387.666667	592	339	232	0
Olfr806	387.666667	381	349	433	0
Erc1	386.666667	1160	0	0	0
Agap1	385.666667	1157	0	0	0
Zfp948	385.333333	1156	0	0	0
Pkn3	385.333333	1156	0	0	0
Msra	384.666667	390	527	237	0
Rab14	383.333333	550	429	171	0
Banp	383.000000	624	305	220	0
Imp4	382.333333	1147	0	0	0
Ccdc115	382.333333	1147	0	0	0
Fkbp1a	380.333333	868	208	65	0
Rimbp3	376.333333	1129	0	0	0
Tmco3	376.000000	340	514	274	0
Ppp2r1a	376.000000	1128	0	0	0
Dcun1d2	376.000000	340	514	274	0
Coro1b	372.666667	1118	0	0	0
Snrnp70	370.666667	709	250	153	0
Tmem139	370.000000	644	340	126	0
Casp2	370.000000	644	340	126	0
Ptpn12	369.666667	1109	0	0	0
Rnf38	366.000000	184	591	323	0
Pola2	365.333333	379	418	299	0
Zfp91	364.000000	912	117	63	0
Lpxn	364.000000	912	117	63	0
Asmt	363.000000	258	321	510	0
Ints3	362.000000	559	317	210	0
Pdcl	358.000000	1074	0	0	0
Hnrnpl	357.666667	623	240	210	0
Zfp318	356.666667	286	437	347	0
Sugp2	356.333333	0	618	451	0
Gm38396	356.333333	1069	0	0	0
Armc6	356.333333	0	618	451	0
Ube2t	356.000000	1068	0	0	0
Clta	356.000000	1068	0	0	0
Psmd14	355.666667	911	156	0	0
L3hypdh	355.666667	1067	0	0	0
Jkamp	355.666667	1067	0	0	0
Mettl22	354.000000	480	388	194	0
Pkmyt1	353.666667	651	212	198	0
Mfsd6	353.666667	1061	0	0	0
Gm2237	353.666667	1061	0	0	0
Rbpj	353.000000	979	80	0	0
Cyp4f16	352.666667	1058	0	0	0
Oasl1	352.000000	436	283	337	0
Kctd1	352.000000	1056	0	0	0
Chmp5	351.333333	627	338	89	0
Bag1	351.333333	627	338	89	0
Ehmt1	349.666667	147	549	353	0
Pdk2	348.333333	1045	0	0	0
Ahnak	347.666667	1043	0	0	0
Wdr37	347.000000	1041	0	0	0
Mmut	347.000000	1041	0	0	0
Cenpq	347.000000	1041	0	0	0
Gm3636	346.333333	1039	0	0	0
Rnf14	343.666667	806	115	110	0
Car2	343.333333	1030	0	0	0
Bcdin3d	343.333333	812	118	100	0
Vamp4	342.666667	1028	0	0	0
Mprip	342.666667	1028	0	0	0
Celf2	342.666667	1028	0	0	0
Iars2	342.333333	327	386	314	0
Bpnt1	342.333333	327	386	314	0
Fads2	342.000000	1026	0	0	0
Plekha7	339.333333	1018	0	0	0
Vps37b	338.666667	1016	0	0	0
Tmem170b	338.666667	433	426	157	0
Stx16	338.666667	1016	0	0	0
Fam110a	337.666667	1013	0	0	0
Pop7	337.333333	665	246	101	0
Actn4	336.333333	272	537	200	0
Cd48	335.666667	1007	0	0	0
Zfp97	335.000000	1005	0	0	0
Efcab2	333.333333	1000	0	0	0
Vars2	333.000000	433	314	252	0
Abhd6	331.333333	293	326	375	0
Zfp945	329.666667	989	0	0	0
C77080	329.000000	987	0	0	0
Ipmk	328.333333	521	301	163	0
Cisd1	328.333333	521	301	163	0
Pcyt1a	326.000000	978	0	0	0
5730455P16Rik	326.000000	978	0	0	0
Oxnad1	325.000000	113	463	399	0
Dph3	325.000000	113	463	399	0
Prrt2	324.666667	322	354	298	0
Ssbp4	324.333333	973	0	0	0
Plpbp	324.000000	972	0	0	0
Nf1	323.666667	810	161	0	0
Hif3a	323.666667	971	0	0	0
Cish	323.000000	800	169	0	0
Baz2b	323.000000	969	0	0	0
H2-DMa	322.666667	499	293	176	0
Brd2	322.666667	499	293	176	0
Xpo5	322.000000	320	376	270	0
Polh	322.000000	320	376	270	0
Fbxo28	320.666667	962	0	0	0
Pigg	319.666667	959	0	0	0
Dcaf12	319.000000	707	250	0	0
Tcf25	318.666667	647	184	125	0
Specc1l	318.666667	342	466	148	0
Rab6a	318.333333	955	0	0	0
Mknk2	317.666667	630	181	142	0
Kazald1	317.666667	953	0	0	0
Zfp523	316.666667	950	0	0	0
Cdc34	316.666667	282	429	239	0
Mettl8	316.333333	0	529	420	0
Ifitm3	316.333333	949	0	0	0
Fam222b	316.333333	332	455	162	0
Dcaf17	316.333333	0	529	420	0
Alyref2	316.333333	949	0	0	0
Mbtps1	316.000000	424	360	164	0
Zmiz1	315.666667	947	0	0	0
Fap	315.000000	945	0	0	0
Plscr1	314.666667	944	0	0	0
Ddx3x	314.333333	943	0	0	0
Pik3ca	312.333333	937	0	0	0
Mrpl30	312.333333	616	206	115	0
Mitd1	312.333333	616	206	115	0
Lrrfip2	311.333333	934	0	0	0
Fcho2	310.333333	793	138	0	0
Tti1	309.666667	730	199	0	0
Rprd1b	309.666667	730	199	0	0
Mib1	309.000000	810	117	0	0
Zbtb32	308.666667	926	0	0	0
Ubr4	308.666667	0	678	248	0
Kmt2b	308.666667	926	0	0	0
Gcnt2	307.666667	923	0	0	0
Zfp623	306.666667	735	185	0	0
Bhlhe40	306.000000	918	0	0	0
Capza1	305.666667	917	0	0	0
Fut8	304.666667	801	113	0	0
Nup50	304.333333	379	387	147	0
Ccm2	304.000000	912	0	0	0
Zfp760	303.666667	911	0	0	0
Sh3gl1	301.666667	750	155	0	0
Hdgf	301.666667	905	0	0	0
Chaf1a	301.666667	750	155	0	0
Vps13a	301.000000	245	390	268	0
Mtif2	301.000000	903	0	0	0
Exoc2	300.333333	901	0	0	0
Zfp229	299.333333	898	0	0	0
Ccdc88a	299.333333	898	0	0	0
Znhit1	299.000000	618	179	100	0
Plod3	299.000000	618	179	100	0
Zfp282	298.333333	895	0	0	0
Tmem125	298.333333	263	279	353	0
Zfp57	298.000000	894	0	0	0
Cdc7	298.000000	177	471	246	0
Pts	297.666667	607	286	0	0
Nadk	297.666667	321	411	161	0
Blm	297.666667	893	0	0	0
Adipor1	297.666667	893	0	0	0
