Target_genes	Irf2|Average	SRX122514|Dendritic_Cells	SRX122515|Dendritic_Cells	SRX122516|Dendritic_Cells	SRX122517|Dendritic_Cells	SRX122518|Dendritic_Cells	SRX122519|Dendritic_Cells	SRX122520|Dendritic_Cells	SRX122521|Dendritic_Cells	SRX122522|Dendritic_Cells	SRX122523|Dendritic_Cells	SRX6830819|Intestinal_stem_cells	SRX8335642|Intestinal_stem_cells	SRX2953593|MEF	SRX2953594|MEF	SRX2953595|MEF	SRX2953596|MEF	SRX3730243|Trophoblast_stem_cells	SRX3730244|Trophoblast_stem_cells	SRX3730278|Trophoblast_stem_cells	STRING
Dynll1	851.526316	0	0	0	0	0	0	0	0	0	0	0	0	2650	3154	2397	2593	1902	1378	2105	0
S1pr4	734.842105	0	0	257	0	0	0	0	0	0	0	0	0	2435	2663	2256	1996	1949	1671	735	0
Ncln	734.842105	0	0	257	0	0	0	0	0	0	0	0	0	2435	2663	2256	1996	1949	1671	735	0
Rbck1	709.210526	0	0	386	0	0	0	0	0	0	0	321	106	1666	2243	2027	1871	2483	1526	846	0
Xpo6	546.000000	0	0	0	0	0	0	0	0	0	0	186	0	1851	2614	2105	2125	795	507	191	0
Ifi35	486.210526	0	0	229	0	0	0	0	0	0	0	0	0	1263	1436	1326	1066	1972	1357	589	0
Bst2	445.315789	0	0	0	0	0	0	0	0	0	0	0	0	1538	1630	1396	1349	1351	696	501	0
Tnp2	410.263158	0	195	0	0	0	0	0	0	0	0	114	0	1029	1347	1037	988	1519	1266	300	0
Socs1	410.263158	0	195	0	0	0	0	0	0	0	0	114	0	1029	1347	1037	988	1519	1266	300	0
Parp12	390.789474	0	0	291	0	0	0	0	0	0	0	423	210	675	751	875	741	1977	996	486	0
Ctso	390.105263	0	0	219	0	0	0	0	0	0	0	0	0	547	757	1052	991	1873	1194	779	0
Nmi	383.578947	0	0	194	0	0	0	0	0	0	0	216	0	662	1048	976	940	1594	1043	615	0
Nub1	381.526316	0	0	0	0	0	0	0	0	0	0	169	0	1200	1755	1307	1373	598	649	198	0
Parp4	367.789474	0	0	0	0	0	0	0	0	0	0	0	0	1064	1104	1114	904	1345	796	661	0
Cenpj	367.789474	0	0	0	0	0	0	0	0	0	0	0	0	1064	1104	1114	904	1345	796	661	0
Ogfr	356.210526	0	0	0	0	0	0	0	0	0	0	80	0	754	917	888	792	1765	830	742	0
Taf7	354.473684	0	0	0	0	0	0	0	0	0	0	0	0	1034	1206	690	883	1332	916	674	0
Erap1	349.789474	0	0	0	0	0	0	0	0	0	0	290	0	410	975	825	922	1638	1125	461	0
Rnf31	341.736842	0	0	0	0	0	0	0	0	0	0	0	0	1337	1467	1360	1273	517	385	154	0
Psme2	341.736842	0	0	0	0	0	0	0	0	0	0	0	0	1337	1467	1360	1273	517	385	154	0
Trim26	331.578947	0	0	0	0	0	0	0	0	0	0	89	0	777	1134	892	954	1280	827	347	0
Cd274	324.684211	0	0	0	0	0	0	0	0	0	0	163	0	819	1093	1233	1105	952	631	173	401
Irgm2	323.157895	0	0	0	0	0	0	0	0	0	0	0	0	930	917	753	751	1592	973	224	0
H2-T9	318.894737	0	0	0	0	0	0	0	0	0	0	0	0	1021	1182	1307	853	953	743	0	0
H2-T22	318.894737	0	0	0	0	0	0	0	0	0	0	0	0	1021	1182	1307	853	953	743	0	0
Gm6034	318.894737	0	0	0	0	0	0	0	0	0	0	0	0	1021	1182	1307	853	953	743	0	0
Zbtb3	314.263158	0	0	0	0	0	0	0	0	0	0	123	0	1448	1505	1198	1145	306	246	0	0
Polr2g	314.263158	0	0	0	0	0	0	0	0	0	0	123	0	1448	1505	1198	1145	306	246	0	0
Tap2	314.000000	0	0	0	0	0	0	0	0	0	0	115	0	335	385	829	636	2117	1152	397	0
Parp10	310.105263	0	0	0	0	0	0	0	0	0	0	0	0	889	906	768	913	1222	833	361	0
Grina	310.105263	0	0	0	0	0	0	0	0	0	0	0	0	889	906	768	913	1222	833	361	0
Trim56	295.473684	0	0	0	0	0	0	0	0	0	0	0	0	1122	1431	981	900	722	458	0	0
Ggps1	293.894737	0	0	0	0	0	0	0	0	0	0	0	0	1743	1643	1164	1034	0	0	0	0
Arid4b	293.894737	0	0	0	0	0	0	0	0	0	0	0	0	1743	1643	1164	1034	0	0	0	0
Stat2	287.578947	0	0	0	0	0	0	0	0	0	0	0	0	1034	1313	1410	1028	679	0	0	0
Apof	287.578947	0	0	0	0	0	0	0	0	0	0	0	0	1034	1313	1410	1028	679	0	0	0
Cldn34d	282.052632	0	0	176	306	0	0	0	0	0	0	1376	720	216	290	134	118	816	471	736	0
Isg15	280.526316	0	0	0	0	0	0	0	0	0	0	0	0	1224	1450	1347	1140	169	0	0	0
Agrn	280.526316	0	0	0	0	0	0	0	0	0	0	0	0	1224	1450	1347	1140	169	0	0	0
Uba7	280.421053	0	0	0	0	0	0	0	0	0	0	0	0	1273	1297	1006	811	630	311	0	0
Npas4	274.473684	0	0	0	0	0	0	0	0	0	0	0	0	313	595	473	253	1424	799	1358	0
Irgm1	270.368421	0	0	0	0	0	0	0	0	0	0	0	0	624	925	858	873	1067	631	159	0
Xaf1	268.578947	0	0	0	0	0	0	0	0	0	0	0	0	1114	936	789	689	1054	521	0	0
Zbtb22	267.473684	0	0	0	0	0	0	0	0	0	0	135	0	613	666	854	698	1046	891	179	0
Tapbp	267.473684	0	0	0	0	0	0	0	0	0	0	135	0	613	666	854	698	1046	891	179	0
Rab5c	260.894737	0	0	0	0	0	0	0	0	0	0	0	0	670	764	657	670	1151	844	201	0
Igtp	260.578947	0	0	0	0	0	0	0	0	0	0	0	0	933	1025	892	712	876	335	178	0
Flt3l	258.157895	0	0	0	0	0	0	0	0	0	0	0	0	402	540	711	695	1459	926	172	0
Rapgef6	255.105263	0	0	0	0	0	0	0	0	0	0	0	0	705	1002	1396	1114	390	0	240	0
Cmtr1	244.684211	0	0	0	0	0	0	0	0	0	0	177	0	575	457	578	474	1300	700	388	0
Stx4a	233.842105	0	0	0	0	0	0	0	0	0	0	0	0	1143	1300	676	590	425	309	0	0
Trim30c	233.210526	0	0	696	0	0	152	0	0	0	0	396	0	530	425	295	657	598	682	0	0
Xrn1	228.684211	0	0	0	0	0	0	0	0	0	0	0	0	528	609	797	790	671	413	537	0
Gbp7	224.105263	0	0	0	0	0	0	0	0	0	0	0	0	500	834	714	513	1000	552	145	0
Apol7a	218.578947	0	0	0	0	0	0	0	0	0	0	0	0	1432	1151	1004	566	0	0	0	0
Lrif1	217.421053	0	0	0	0	0	0	0	0	0	0	0	0	432	950	792	560	739	658	0	0
Trim12c	216.736842	0	0	0	0	0	0	0	0	0	0	0	0	736	908	955	789	372	256	102	0
Smim17	215.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	371	254	172	1189	757	1358	0
Oas1c	213.842105	0	0	0	0	0	0	0	0	0	0	0	0	415	640	632	519	953	707	197	0
Oas1b	213.842105	0	0	0	0	0	0	0	0	0	0	0	0	415	640	632	519	953	707	197	0
Otud4	207.000000	0	0	0	0	0	0	0	0	0	0	0	0	943	1015	921	836	119	0	99	0
Cacng2	206.947368	0	0	0	0	0	0	0	0	0	0	0	0	150	196	265	233	1086	715	1287	0
Tasor2	205.842105	0	0	0	0	0	0	0	0	0	0	124	0	348	709	679	519	766	510	256	0
Stat1	203.894737	0	0	0	0	0	0	0	0	0	0	0	0	322	592	637	476	801	574	472	0
Mx2	198.947368	0	0	0	0	0	0	0	0	0	0	0	0	486	668	917	503	619	434	153	0
Ppm1k	197.736842	0	0	0	0	0	0	0	0	0	0	0	0	307	477	639	742	805	570	217	0
Usp18	193.842105	0	0	0	0	0	0	0	0	0	0	0	0	324	633	701	571	942	372	140	0
Trim34a	191.526316	0	0	0	0	0	0	0	0	0	0	0	0	439	528	578	772	677	396	249	0
Gbp2	190.947368	0	0	0	0	0	0	0	0	0	0	0	0	604	952	906	734	272	160	0	0
Kpna1	190.631579	0	0	0	0	0	0	0	0	0	0	933	1606	0	0	0	0	306	366	411	0
Oasl2	182.736842	0	0	0	0	0	0	0	0	0	0	0	0	477	508	617	484	973	413	0	0
