Target_genes	Irf3|Average	SRX3380959|Dendritic_Cells	SRX3380960|Dendritic_Cells	SRX3380961|Dendritic_Cells	SRX145327|Macrophages	SRX145328|Macrophages	SRX20734189|Macrophages	SRX20734190|Macrophages	SRX20734191|Macrophages	SRX20734192|Macrophages	SRX20734193|Macrophages	SRX20734194|Macrophages	SRX20734195|Macrophages	SRX20734196|Macrophages	SRX20734201|Macrophages	SRX20734202|Macrophages	SRX20734203|Macrophages	SRX20734205|Macrophages	SRX2991446|Macrophages	SRX2991447|Macrophages	SRX2991448|Macrophages	SRX2991449|Macrophages	STRING
Brox	780.428571	746	521	819	1298	1272	673	653	680	806	1011	797	730	682	706	816	773	785	578	679	725	639	0
Aida	780.428571	746	521	819	1298	1272	673	653	680	806	1011	797	730	682	706	816	773	785	578	679	725	639	0
Cldn34d	764.809524	734	581	752	1471	1557	750	586	738	639	737	612	648	953	250	585	611	488	784	705	927	953	0
Oasl1	512.285714	495	2358	391	143	178	143	0	193	749	1579	154	413	151	0	0	615	1406	432	331	559	468	0
Tcstv3	486.380952	290	400	347	2264	2183	0	0	0	0	0	0	0	0	0	0	0	0	1112	1188	1197	1233	0
Mfsd6	412.428571	2047	1921	1500	1234	1563	0	0	0	0	293	0	103	0	0	0	0	0	0	0	0	0	0
Gbp7	386.904762	2013	2106	1636	305	439	0	0	0	273	723	0	193	0	0	0	138	299	0	0	0	0	0
Cxcl10	378.380952	487	1931	377	625	761	0	0	0	535	1516	355	759	0	0	0	174	426	0	0	0	0	439
Ndst1	373.380952	2595	2310	2091	276	247	0	0	0	0	216	0	0	0	0	0	0	106	0	0	0	0	0
Trim30c	358.333333	1113	982	1049	216	265	0	0	0	725	852	0	0	0	0	0	1021	1302	0	0	0	0	0
Slc38a1	351.857143	0	0	0	216	192	0	0	0	1163	2318	544	1023	0	0	0	627	1306	0	0	0	0	0
Ifih1	349.523810	134	2218	0	397	530	0	0	0	573	1815	570	662	0	0	0	0	441	0	0	0	0	0
Ifnab	341.333333	2481	2434	2253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trex1	332.333333	0	2121	0	457	449	0	0	0	395	1712	393	948	0	0	0	153	351	0	0	0	0	0
Shisa5	332.333333	0	2121	0	457	449	0	0	0	395	1712	393	948	0	0	0	153	351	0	0	0	0	0
Adcy7	323.047619	624	2056	0	121	195	0	0	0	565	1794	263	248	0	0	0	273	645	0	0	0	0	0
Lta	321.142857	0	1514	0	485	541	0	0	0	787	1854	272	456	0	0	0	157	678	0	0	0	0	0
Ccl4	314.380952	126	722	0	581	723	0	0	0	690	1572	441	596	0	0	0	326	825	0	0	0	0	0
Apc	314.238095	2402	2116	1890	99	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccl5	294.380952	88	1541	0	405	456	0	0	0	600	1234	121	180	0	0	0	573	984	0	0	0	0	0
Dmwd	288.238095	1158	1010	1008	1243	1634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Card19	280.619048	0	986	0	679	931	0	0	0	710	883	0	0	0	0	0	733	971	0	0	0	0	0
Slc3a2	269.857143	569	2234	339	248	368	0	0	0	362	929	0	0	0	0	0	130	488	0	0	0	0	0
Bbc3	265.904762	193	2057	0	210	265	0	0	0	385	1329	286	429	0	0	0	0	430	0	0	0	0	0
Ifit1bl2	262.714286	0	1236	0	255	261	0	0	0	659	1880	85	275	0	0	0	227	639	0	0	0	0	0
Ifit1	262.714286	0	1236	0	255	261	0	0	0	659	1880	85	275	0	0	0	227	639	0	0	0	0	0
Tnfsf13b	261.333333	920	1474	499	122	249	0	0	0	251	1096	216	342	0	0	0	0	319	0	0	0	0	0
Nedd4	261.238095	1478	1460	1646	352	465	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0
Parp14	255.761905	0	1960	0	195	312	0	0	0	250	1457	276	621	0	0	0	0	300	0	0	0	0	0
Isg15	253.714286	0	1518	0	516	648	0	0	0	309	1299	328	401	0	0	0	124	185	0	0	0	0	0
Agrn	253.714286	0	1518	0	516	648	0	0	0	309	1299	328	401	0	0	0	124	185	0	0	0	0	0
Ppp1r10	252.000000	1491	1525	1865	173	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox17	250.476190	0	2107	0	153	193	0	0	0	562	1083	0	0	0	0	0	349	813	0	0	0	0	0
Efhd2	248.238095	137	1222	185	151	277	0	0	0	509	1091	262	477	0	0	0	296	606	0	0	0	0	0
Eri3	248.190476	1627	2153	1432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnd3	245.809524	800	2018	237	170	368	0	0	0	206	898	106	166	0	0	0	0	193	0	0	0	0	0
Rsad2	245.095238	0	455	0	352	417	0	0	0	636	1466	301	368	0	0	0	361	791	0	0	0	0	0
Ankrd45	244.666667	1835	2522	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anxa7	239.380952	0	1209	0	106	210	0	0	0	484	1478	329	433	0	0	0	325	453	0	0	0	0	0
Tmem125	235.904762	219	216	213	1209	1344	0	0	0	0	0	0	0	0	0	0	0	0	413	461	483	396	0
Tmem229b	235.285714	711	1621	530	169	364	0	0	0	148	884	0	189	0	0	0	0	325	0	0	0	0	0
Ptpn12	234.476190	1615	1788	1150	150	86	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0
Maats1	234.000000	0	2107	0	0	0	0	0	0	562	1083	0	0	0	0	0	349	813	0	0	0	0	0
Adgre5	230.380952	1638	1668	1146	210	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asmt	229.904762	257	184	196	857	877	0	0	0	0	0	0	0	0	0	0	0	0	517	496	680	764	0
Ccdc86	225.333333	1204	1811	1286	217	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enpp4	222.952381	620	586	399	374	370	0	0	0	289	1337	173	246	0	0	0	0	288	0	0	0	0	0
Hcls1	220.952381	263	1475	195	199	277	0	0	0	289	955	261	260	0	0	0	189	277	0	0	0	0	0
Kpna1	220.809524	290	273	219	891	837	0	0	0	0	0	0	0	0	0	0	0	0	303	499	635	690	0
Nek6	218.428571	1639	1531	1417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rilpl2	217.000000	0	2173	0	267	325	0	0	0	454	743	0	0	0	0	0	187	408	0	0	0	0	0
Tmem266	216.952381	222	1963	0	252	398	0	0	0	252	791	143	314	0	0	0	0	221	0	0	0	0	0
Cnpy3	216.428571	770	1851	1220	331	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fos	215.952381	1487	1122	741	456	572	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0
Sp110	215.809524	1072	2322	747	177	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wrap53	213.666667	0	1884	0	0	0	0	0	0	316	1353	0	133	0	0	0	276	525	0	0	0	0	0
Trp53	213.666667	0	1884	0	0	0	0	0	0	316	1353	0	133	0	0	0	276	525	0	0	0	0	0
Cfp	210.809524	1077	1235	582	550	756	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0
Cdyl	210.095238	0	1826	0	200	200	0	0	0	355	553	0	0	0	0	0	534	744	0	0	0	0	0
Cd300lf	208.428571	1147	1006	947	570	597	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0
Pigv	208.238095	0	1285	0	124	299	0	0	0	371	1040	134	244	0	0	0	217	659	0	0	0	0	0
Mx2	206.380952	0	1264	0	186	189	0	0	0	556	894	98	179	0	0	0	348	620	0	0	0	0	0
Dnaic2	203.380952	0	895	0	116	0	0	0	0	549	1276	312	300	0	0	0	288	535	0	0	0	0	0
Ddx60	203.190476	0	1303	0	226	407	0	0	0	211	1047	184	356	0	0	0	193	340	0	0	0	0	0
Sorbs2	202.523810	1115	2400	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smpdl3a	202.238095	285	1786	0	185	88	0	0	0	303	725	139	142	0	0	0	224	370	0	0	0	0	0
Ifnb1	201.904762	0	2036	0	0	154	0	0	0	243	851	251	353	0	0	0	0	352	0	0	0	0	0
H2az1	201.761905	1206	1661	943	119	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb14	201.761905	1206	1661	943	119	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfpl	196.761905	1400	1269	1463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrnp35	195.809524	0	2173	0	0	147	0	0	0	454	743	0	0	0	0	0	187	408	0	0	0	0	0
Mgat4a	195.142857	990	2266	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fnip2	193.285714	101	1197	150	159	234	0	0	0	505	1023	109	246	0	0	0	0	335	0	0	0	0	0
Ccrl2	192.285714	0	1247	0	250	253	0	0	0	292	1100	162	417	0	0	0	155	162	0	0	0	0	0
Rmi2	191.952381	751	1311	596	564	592	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa2	190.904762	395	1380	258	0	215	0	0	0	197	961	98	188	0	0	0	0	317	0	0	0	0	0
Ik	190.904762	395	1380	258	0	215	0	0	0	197	961	98	188	0	0	0	0	317	0	0	0	0	0
Sppl2a	189.952381	0	1001	0	286	458	0	0	0	222	1122	202	304	0	0	0	126	268	0	0	0	0	0
Il6ra	189.190476	1551	1308	559	187	219	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0
Hdac10	189.095238	1021	1221	1062	282	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp1b	188.571429	1156	1288	563	401	400	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0
Smg7	188.142857	0	1930	0	349	267	0	0	0	231	429	120	0	0	0	0	238	387	0	0	0	0	0
Ppp1r15a	187.761905	0	1441	0	186	183	0	0	0	279	1078	283	376	0	0	0	0	117	0	0	0	0	0
Plekha4	187.761905	0	1441	0	186	183	0	0	0	279	1078	283	376	0	0	0	0	117	0	0	0	0	0
Pltp	187.714286	1031	1546	1177	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0
