Target_genes	Irf5|Average	SRX10652558|CD4+_T_cells	SRX3380962|Dendritic_Cells	SRX3380963|Dendritic_Cells	SRX3380964|Dendritic_Cells	STRING
Cdca7	2242.750000	0	2783	2957	3231	0
Prepl	2096.750000	0	2643	2687	3057	0
Camkmt	2096.750000	0	2643	2687	3057	0
Taf6	2076.500000	0	2793	2800	2713	0
Cnpy4	2076.500000	0	2793	2800	2713	0
Rnf187	2031.750000	0	2545	2600	2982	0
Ostc	1946.250000	0	2598	2860	2327	0
Wasf1	1945.750000	0	2692	2886	2205	0
Cdc40	1945.750000	0	2692	2886	2205	0
Phf5a	1935.000000	0	2708	2783	2249	0
Aco2	1935.000000	0	2708	2783	2249	0
Riok2	1909.750000	0	2407	2526	2706	0
Rpl32	1807.750000	0	2363	2775	2093	0
Brox	1612.250000	151	1987	1953	2358	0
Aida	1612.250000	151	1987	1953	2358	0
Tcstv3	1521.500000	548	1842	1784	1912	0
Itpkc	1483.500000	0	2148	2159	1627	0
Coq8b	1483.500000	0	2148	2159	1627	0
Cldn34d	1417.000000	143	1938	1955	1632	0
Ifnlr1	1386.750000	0	2388	2542	617	0
Tulp2	1293.000000	0	1767	2197	1208	0
Nucb1	1293.000000	0	1767	2197	1208	0
Arid5b	1277.250000	0	1774	1862	1473	0
Phf11b	1241.000000	158	2471	2174	161	0
Klf2	1236.750000	0	2229	2279	439	0
Cnpy3	1213.250000	0	2133	2041	679	0
Sorbs2	1203.000000	0	2288	2173	351	0
Cib3	1193.500000	0	2449	2325	0	0
Mamstr	1191.000000	0	2267	2320	177	0
Fam89a	1181.000000	0	2250	2285	189	0
Pltp	1172.250000	0	2081	2263	345	0
Map10	1162.250000	0	2272	2226	151	0
Fbxw11	1160.750000	0	2520	2019	104	0
Gm45521	1104.750000	0	2016	2261	142	0
Ankrd45	1092.250000	0	2102	1907	360	0
Card6	1084.750000	0	2035	1850	454	0
Tnf	1063.250000	0	1925	1829	499	0
Lta	1063.250000	0	1925	1829	499	0
Vipas39	1061.000000	0	2154	1893	197	0
Ahsa1	1061.000000	0	2154	1893	197	0
Sec24b	1058.500000	0	2138	1941	155	0
Znrd1as	1055.500000	0	1999	1960	263	0
Cep55	1055.000000	0	1444	1548	1228	0
Tmem229b	1036.250000	0	1681	1823	641	0
Mefv	1024.250000	0	2205	1892	0	0
Bmp2k	1020.500000	0	1974	1806	302	0
Dst	1018.250000	0	1956	1876	241	0
Bend6	1018.250000	0	1956	1876	241	0
Mab21l3	1014.500000	0	2037	2021	0	0
Tbc1d9	1011.500000	0	1867	1856	323	0
Skil	1009.500000	0	1980	1916	142	0
Gbp7	1003.500000	0	1619	1675	720	0
Furin	1000.250000	0	2157	1725	119	0
Colgalt1	998.750000	0	1787	1807	401	0
Phf11a	996.750000	0	1998	1874	115	0
Klrb1b	996.500000	0	1857	1834	295	0
Pgs1	996.000000	0	1838	1826	320	0
Gpr68	993.750000	0	1945	1571	459	0
Alpk2	992.500000	0	2189	1680	101	0
Zfp868	982.750000	0	973	1051	1907	0
Slc22a28	979.750000	0	1514	1683	722	0
Dtnb	977.750000	0	1157	1300	1454	0
Gypc	976.500000	0	1980	1926	0	0
Pld4	975.750000	0	1840	1649	414	0
Ifitm5	975.750000	0	1838	1873	192	0
