Target_genes	Irf7|Average	SRX742695|Myeloid_Cells	SRX742696|Myeloid_Cells	SRX742697|Myeloid_Cells	SRX742698|Myeloid_Cells	STRING
Tcstv3	381.000000	169	330	596	429	0
H2-Aa	347.000000	214	0	209	965	0
Brox	337.250000	138	336	444	431	0
Aida	337.250000	138	336	444	431	0
Cldn34d	269.750000	0	169	422	488	0
Tnf	229.250000	0	429	343	145	0
Ltb	229.250000	0	429	343	145	0
Cxcl3	229.250000	0	202	502	213	0
Cxcl2	227.750000	0	228	512	171	0
Ccl3	201.750000	0	332	293	182	0
Ccl4	189.250000	0	205	400	152	0
Rab11b	182.000000	0	259	232	237	0
Tmsb4x	179.500000	0	0	122	596	0
Hexim2	172.750000	0	156	379	156	0
Kpna1	168.500000	0	230	219	225	0
Fth1	167.250000	0	201	347	121	0
Epc1	156.250000	0	176	250	199	0
Nfyc	141.500000	0	161	217	188	0
Bcl10	132.750000	0	121	299	111	0
Cxcl15	125.500000	0	0	502	0	0
Rplp1	124.750000	0	0	0	499	0
Arpc2	122.250000	0	170	195	124	0
Flcn	121.500000	0	165	189	132	0
Asmt	121.250000	0	159	179	147	0
Zfp869	118.750000	0	0	306	169	0
Kif5a	117.750000	0	145	167	159	0
Dctn2	117.750000	0	145	167	159	0
Snapc5	116.750000	0	0	0	467	0
Rpl4	116.750000	0	0	0	467	0
Hipk3	116.000000	0	144	187	133	0
Ftl1	114.500000	0	0	141	317	0
Zfp991	112.500000	0	110	205	135	0
Tst	112.500000	0	144	127	179	0
Mpst	112.500000	0	144	127	179	0
Ddx6	112.500000	0	0	309	141	0
Efcab2	110.750000	0	115	189	139	0
Smim40	108.500000	0	98	187	149	0
Daxx	108.500000	0	98	187	149	0
Gosr1	108.250000	0	0	230	203	0
Arpc3	107.750000	0	255	176	0	0
Rbm5	105.250000	0	0	179	242	0
Morf4l1	104.000000	0	115	159	142	0
Csde1	103.000000	0	186	226	0	0
Rufy1	102.750000	0	152	142	117	0
Actb	101.000000	0	0	75	329	0
Tmem125	100.500000	0	136	87	179	0
Kdm5c	100.500000	0	165	151	86	0
Ddx17	99.750000	0	142	257	0	0
Pgghg	98.250000	0	95	195	103	0
Hnrnpf	97.500000	0	126	156	108	0
Rgl1	95.250000	0	130	138	113	0
Arpc5	95.250000	0	130	138	113	0
Zfp984	94.000000	0	121	171	84	0
Stx4a	93.250000	0	89	173	111	0
Nagk	93.000000	0	230	142	0	0
Rbm39	92.000000	0	125	153	90	0
Ube2l3	91.250000	0	148	130	87	0
Relb	90.500000	0	172	190	0	0
Ccnl2	90.250000	0	101	128	132	0
Atg10	90.000000	0	0	149	211	0
Zc3h4	89.750000	0	139	220	0	0
Chmp3	89.750000	0	0	207	152	0
Dusp11	88.750000	0	102	105	148	0
Rpl37rt	87.750000	0	0	0	351	0
Fam53c	87.500000	0	117	154	79	0
Pfdn4	86.000000	0	0	182	162	0
Itpripl2	85.750000	0	0	229	114	0
Maff	85.250000	0	148	193	0	0
Wdr34	84.500000	0	0	193	145	0
Fau	83.250000	0	0	0	333	0
Eif4a1	83.250000	0	102	231	0	0
Gpatch2l	82.500000	0	85	141	104	0
Gmfb	81.000000	0	132	95	97	0
S100a5	80.000000	0	0	0	320	0
S100a4	80.000000	0	0	0	320	0
Ckap2l	79.500000	0	133	96	89	0
Bzw1	78.750000	0	142	173	0	0
Cdiptos	78.000000	0	0	164	148	0
Cdipt	78.000000	0	0	164	148	0
Rab32	77.750000	0	118	104	89	0
Psme1	77.250000	0	113	0	196	0
Fitm1	77.250000	0	113	0	196	0
Zfp207	77.000000	0	0	172	136	0
Amn1	77.000000	0	0	118	190	0
Nras	76.000000	0	108	196	0	0
Stx12	75.500000	0	170	0	132	0
Tpm4	75.250000	0	0	198	103	0
Dcaf12	75.250000	0	145	156	0	0
Clk1	74.000000	0	132	164	0	0
Zc3h7a	73.250000	0	137	156	0	0
Pnisr	73.250000	0	0	114	179	0
Tada3	73.000000	0	0	177	115	0
Arpc4	73.000000	0	0	177	115	0
Tasor	72.750000	0	176	0	115	0
Nfu1	71.000000	0	149	135	0	0
Ptprj	70.000000	0	0	148	132	0
Zfp62	69.750000	0	121	158	0	0
Zc3h10	69.750000	0	0	0	279	0
Ufc1	69.750000	0	0	166	113	0
Sf3a2	69.750000	0	0	127	152	0
Rpl41	69.750000	0	0	0	279	0
Rnh1	69.750000	0	0	0	279	0
Plekhj1	69.750000	0	0	127	152	0
Zswim7	69.500000	0	127	151	0	0
Ttc19	69.500000	0	127	151	0	0
Ndufb1	69.250000	0	176	101	0	0
Cpsf2	69.250000	0	176	101	0	0
