Target_genes	Irf8|Average	SRX1091122|B_cells	SRX1091123|B_cells	SRX1091124|B_cells	SRX8994281|B_cells	SRX8994282|B_cells	SRX8994283|B_cells	SRX8994284|B_cells	SRX172328|CD4+_T_cells	SRX172329|CD4+_T_cells	DRX026000|Common_dendritic_cell_progenitor	DRX049475|Common_dendritic_cell_progenitor	DRX025997|Common_monocyte_progenitors	SRX14466997|Dendritic_Cells	SRX3380965|Dendritic_Cells	SRX3380966|Dendritic_Cells	SRX3380967|Dendritic_Cells	SRX3380968|Dendritic_Cells	SRX3380969|Dendritic_Cells	SRX3380970|Dendritic_Cells	SRX391769|Dendritic_Cells	SRX391770|Dendritic_Cells	SRX391771|Dendritic_Cells	SRX742830|Dendritic_Cells	SRX8241994|Dendritic_Cells	SRX8241995|Dendritic_Cells	SRX956767|Dendritic_Cells	DRX025996|Granulocytic-monocytic_progenitors	SRX5056008|Hematopoietic_progenitors	SRX5056009|Hematopoietic_progenitors	DRX025998|Macrophage-dendritic_cell_progenitor	DRX083360|Macrophage-dendritic_cell_progenitor	DRX083361|Macrophage-dendritic_cell_progenitor	DRX111908|Macrophages	SRX1072349|Macrophages	SRX1583880|Macrophages	SRX1583881|Macrophages	SRX1583882|Macrophages	SRX498816|Macrophages	SRX498817|Macrophages	SRX498818|Macrophages	SRX498819|Macrophages	SRX498820|Macrophages	SRX498821|Macrophages	SRX8241996|Monocytes	SRX8241997|Monocytes	SRX14466989|Plasmacytoid_dendritic_cells	SRX742831|Plasmacytoid_dendritic_cells	SRX956775|Plasmacytoid_dendritic_cells	SRX5507840|Spleen_and_lymph_nodes	SRX5507841|Spleen_and_lymph_nodes	SRX2359705|Thymic_epithelial_cells	SRX2359706|Thymic_epithelial_cells	SRX155383|Tot2	DRX025999|Unclassified	DRX049470|Unclassified	DRX049471|Unclassified	STRING
Cldn34d	1125.767857	454	549	709	1794	1760	1711	1586	442	493	608	576	1217	1190	2078	1861	1686	1871	1831	2173	1446	557	1036	904	1118	1007	635	644	777	910	1110	806	677	1168	1534	2337	2317	3183	1428	1546	990	1277	1216	1226	1081	1182	833	701	418	1065	550	176	337	717	623	293	629	0
Ndst1	1075.357143	186	323	0	246	199	231	166	0	0	0	510	582	2136	1742	1402	1599	1377	2135	2096	2573	0	2796	1020	961	812	1044	0	0	263	922	1172	1029	590	297	3435	3386	2490	3480	3383	2770	2665	2393	2202	1377	1234	392	1041	404	213	487	0	0	389	0	70	0	0
Otor	1072.767857	0	0	0	0	0	0	0	0	0	0	272	853	2539	1878	1667	1845	1974	2244	1867	2936	0	2764	960	782	881	1486	0	0	135	1081	1317	789	773	313	3733	3636	2990	3240	3078	2976	2777	2399	1898	968	1034	249	973	0	0	0	0	0	768	0	0	0	0
Prcp	1054.160714	0	277	0	328	281	211	248	0	0	0	290	533	2005	2025	1820	1690	1793	2247	2316	2696	0	2619	1205	662	847	1114	0	0	166	790	1181	790	528	129	3279	3108	2547	3260	3152	2841	2539	2420	2175	910	978	389	1032	669	194	467	0	0	282	0	0	0	0
Ddias	1054.160714	0	277	0	328	281	211	248	0	0	0	290	533	2005	2025	1820	1690	1793	2247	2316	2696	0	2619	1205	662	847	1114	0	0	166	790	1181	790	528	129	3279	3108	2547	3260	3152	2841	2539	2420	2175	910	978	389	1032	669	194	467	0	0	282	0	0	0	0
Il6ra	1044.142857	0	0	0	169	128	0	138	0	0	0	389	485	3653	2512	2476	2438	2515	2572	2637	2698	0	2546	1660	873	862	1028	0	0	0	859	982	724	765	496	2333	2147	2039	3000	2917	2333	1109	1427	867	732	1000	1017	1694	684	339	666	0	0	563	0	0	0	0
Trim30c	1037.464286	188	513	851	1568	1414	1393	1296	0	0	0	384	757	924	2291	1884	2074	2274	2082	1566	2378	0	2890	248	864	805	378	0	0	675	1269	1478	1309	0	947	2043	2815	2279	946	2825	2863	384	1915	1956	1305	1481	661	412	509	270	565	0	0	169	0	0	0	0
Tcstv3	990.267857	1209	1379	524	1450	1337	1289	1308	109	179	298	622	836	1278	1285	1170	1290	1204	1494	1689	1499	751	1351	1910	111	0	911	303	0	0	690	735	754	2043	183	1647	1485	1897	1427	1580	1180	1879	1976	1814	195	170	1508	1060	1059	2007	1762	0	206	420	353	261	378	0
Ripk2	935.660714	223	214	0	463	583	520	533	0	0	0	304	620	825	1357	1140	1244	1367	1598	1448	2571	0	2769	438	635	800	974	0	0	0	669	1051	744	465	156	3209	3154	2422	3372	3099	2742	2450	2559	2145	1018	1050	180	597	211	0	165	0	0	313	0	0	0	0
Brox	927.357143	763	701	477	1019	1023	1071	1212	317	631	429	410	825	1015	1291	1201	1218	1245	1133	1675	851	441	816	892	1331	993	678	360	206	299	817	421	425	837	1019	3068	2842	2926	936	839	401	795	612	580	1137	1503	883	571	455	2154	2546	109	183	516	348	160	326	0
Aida	927.357143	763	701	477	1019	1023	1071	1212	317	631	429	410	825	1015	1291	1201	1218	1245	1133	1675	851	441	816	892	1331	993	678	360	206	299	817	421	425	837	1019	3068	2842	2926	936	839	401	795	612	580	1137	1503	883	571	455	2154	2546	109	183	516	348	160	326	0
Hcar2	858.553571	0	0	0	0	0	0	0	0	0	0	154	433	1589	1863	1896	2072	1894	2163	2115	1871	0	1749	1146	481	346	644	0	0	0	469	777	409	720	165	2863	2672	2210	3098	2863	2411	1875	2163	1788	699	706	369	1021	191	0	0	0	0	194	0	0	0	0
H2-Ea	849.910714	0	269	0	267	121	114	174	0	0	0	299	462	1686	1254	983	1239	1177	1619	1239	2445	0	2373	492	708	918	845	0	0	95	767	953	587	463	195	2607	2809	1970	3375	3149	2639	2207	2070	1686	952	1030	225	689	331	0	112	0	0	0	0	0	0	0
Donson	836.678571	0	151	0	328	309	332	328	0	0	0	189	403	906	1725	1555	1320	1604	1908	1754	2843	0	2893	351	820	838	980	0	0	0	520	763	599	125	245	2808	2637	1823	3249	3296	2511	1780	1291	848	641	706	221	442	228	0	117	0	0	467	0	0	0	0
Mybph	835.142857	0	0	0	412	422	284	409	0	0	0	132	345	1808	2263	1878	1982	2003	2553	2156	2156	0	1751	667	724	785	686	0	0	432	453	805	585	864	338	2100	2024	1315	2641	2804	1914	1274	1479	1017	436	489	420	889	255	158	403	0	0	257	0	0	0	0
Alg9	819.678571	0	159	0	193	196	0	115	0	0	0	276	525	908	1261	1182	1404	1192	1671	1236	2465	0	2349	378	753	970	867	0	0	0	774	1023	544	165	194	2752	2672	1709	3461	3267	2277	2346	2053	1249	1123	924	197	365	347	0	0	0	0	360	0	0	0	0
