Target_genes	Klf1|Average	SRX2530433|Embryonic_liver	STRING
Brox	3145.000000	3145	0
Aida	3145.000000	3145	0
Akirin2	2461.000000	2461	0
Cldn34d	2358.000000	2358	0
Zfp526	2351.000000	2351	0
Dedd2	2351.000000	2351	0
Pgam1	2123.000000	2123	0
Sspn	1791.000000	1791	0
Car2	1752.000000	1752	0
Higd1a	1732.000000	1732	0
Naa25	1636.000000	1636	0
Arhgef12	1612.000000	1612	0
Khsrp	1492.000000	1492	0
Tbca	1387.000000	1387	0
Dnase2a	1375.000000	1375	0
Syf2	1156.000000	1156	0
Pak6	1024.000000	1024	0
Uspl1	986.000000	986	0
Hectd4	986.000000	986	0
Ascc1	943.000000	943	0
Anapc16	943.000000	943	0
Trmt112	933.000000	933	0
Prdx5	933.000000	933	0
Vcpip1	875.000000	875	0
Tkfc	866.000000	866	0
Ddb1	866.000000	866	0
Tcstv3	762.000000	762	0
Pola2	727.000000	727	0
Hbq1a	721.000000	721	0
Hba-a2	721.000000	721	0
Hba-a1	721.000000	721	0
H2-DMa	703.000000	703	0
Brd2	703.000000	703	0
Ppp1r10	694.000000	694	0
Mrps18b	694.000000	694	0
Il31ra	692.000000	692	0
Stpg3	685.000000	685	0
Nelfb	685.000000	685	0
Tmem125	661.000000	661	0
Gpr146	653.000000	653	0
Abhd2	635.000000	635	0
Ttll12	608.000000	608	0
Hbq1b	597.000000	597	0
Ech1	547.000000	547	0
Asmt	530.000000	530	0
Abhd6	527.000000	527	0
Nudt1	493.000000	493	0
Suco	488.000000	488	0
Apeh	476.000000	476	0
Sde2	474.000000	474	0
Ube2c	469.000000	469	0
H4c2	468.000000	468	0
H4c1	468.000000	468	0
H3c1	468.000000	468	0
H1f1	468.000000	468	0
Cabin1	461.000000	461	0
Churc1	455.000000	455	0
Glcci1	452.000000	452	0
Tubb2a	443.000000	443	0
Tmem183a	433.000000	433	0
Lrif1	432.000000	432	0
Prkci	429.000000	429	0
Hexim1	427.000000	427	0
Stard7	416.000000	416	0
Tmem50a	412.000000	412	0
E2f2	406.000000	406	0
