Target_genes	Klf15|Average	SRX10012505|Liver	SRX10012506|Liver	STRING
Pim3	2832.500000	2657	3008	0
Cldn34d	2722.000000	2527	2917	0
Mocs1	2480.500000	2212	2749	0
Trnt1	2474.000000	2238	2710	0
Mat1a	2435.000000	2185	2685	0
Brox	2423.000000	2351	2495	0
Aida	2423.000000	2351	2495	0
Acot1	2377.000000	1969	2785	0
Ten1	2262.500000	2060	2465	0
Acox1	2262.500000	2060	2465	0
Lin52	2254.500000	1965	2544	0
Aldh6a1	2254.500000	1965	2544	0
Agxt	2207.500000	1818	2597	0
Echs1	2192.000000	1966	2418	0
Asf1b	2068.500000	1913	2224	0
Cbs	2038.000000	1704	2372	0
Hspe1	1974.500000	1758	2191	0
Hspd1	1974.500000	1758	2191	0
Mmut	1965.000000	1698	2232	0
Cenpq	1965.000000	1698	2232	0
Eef1g	1949.000000	1678	2220	0
Hibadh	1937.500000	1726	2149	0
Sptssa	1881.500000	1727	2036	0
Cth	1842.500000	1397	2288	0
Naxd	1839.500000	1389	2290	0
Aldh4a1	1812.500000	1622	2003	0
Rbm8a	1792.500000	1473	2112	0
Kyat3	1791.000000	1480	2102	0
Tango2	1780.000000	1475	2085	0
Abat	1765.000000	1676	1854	0
Gstz1	1763.000000	1488	2038	0
Suv39h1	1759.500000	1456	2063	0
Rab10	1750.500000	1517	1984	0
Aldh2	1745.500000	1536	1955	0
Sephs2	1735.500000	1470	2001	0
Slc16a5	1707.500000	1387	2028	0
Gchfr	1694.500000	1504	1885	0
Hint3	1693.500000	1364	2023	0
4931414P19Rik	1678.500000	1428	1929	0
H2bc21	1659.000000	1269	2049	0
H2ac21	1659.000000	1269	2049	0
H2ac20	1659.000000	1269	2049	0
Gnmt	1639.500000	1345	1934	0
Sys1	1630.000000	1382	1878	0
Ndrg2	1626.000000	1451	1801	0
Bckdhb	1625.500000	1397	1854	0
Zfp775	1620.000000	1370	1870	0
Slc25a29	1601.000000	1411	1791	0
Pcca	1588.000000	1358	1818	0
Fah	1577.000000	1195	1959	0
Pank1	1576.500000	1296	1857	0
Ttc38	1570.500000	1239	1902	0
Sfxn2	1564.500000	1384	1745	0
Arl3	1564.500000	1384	1745	0
Lzts3	1548.000000	1066	2030	0
Sesn3	1545.500000	1224	1867	0
Ppara	1545.000000	1484	1606	0
Arhgef19	1529.000000	1240	1818	0
Bcat2	1524.500000	1298	1751	0
Lipg	1512.000000	1412	1612	0
Acot7	1500.000000	1300	1700	0
Ccdc85c	1496.500000	1334	1659	0
Gpt	1489.500000	1224	1755	0
Gstm1	1472.500000	1269	1676	0
Slc25a42	1470.500000	1254	1687	0
Os9	1456.000000	1320	1592	0
Zfyve21	1452.500000	1241	1664	0
Xrcc3	1452.500000	1241	1664	0
Cphx3	1432.500000	1120	1745	0
Cphx2	1432.500000	1120	1745	0
Cphx1	1432.500000	1120	1745	0
Polg	1427.500000	1289	1566	0
Acy1	1427.000000	1257	1597	0
Sphk2	1422.500000	1317	1528	0
Rpl18	1422.500000	1317	1528	0
Car5a	1416.000000	1330	1502	0
Sp4	1404.000000	1142	1666	0
Dcxr	1404.000000	1242	1566	0
Cbr2	1404.000000	1242	1566	0
Nradd	1400.000000	1256	1544	0
Tat	1399.000000	1279	1519	0
Azgp1	1398.500000	1050	1747	0
Ppa1	1393.000000	1112	1674	0
Cdk13	1393.000000	1041	1745	0
Tmem256	1390.000000	1120	1660	0
Nlgn2	1390.000000	1120	1660	0
Clpx	1382.500000	1069	1696	0
Tef	1350.000000	1155	1545	0
Etfa	1350.000000	1147	1553	0
Clcc1	1346.000000	1033	1659	0
Ppfia1	1336.500000	1037	1636	0
Lsm14b	1331.000000	1022	1640	0
Rbm4b	1327.000000	987	1667	0
Serpina1d	1323.000000	1137	1509	0
Slc25a38	1316.500000	1022	1611	0
Gatd3a	1312.500000	1265	1360	0
Isoc2a	1308.500000	1111	1506	0
Rnf7	1301.000000	932	1670	0
Pxmp2	1294.500000	962	1627	0
Pole	1294.500000	962	1627	0
Ccno	1292.000000	1096	1488	0
Gstk1	1289.500000	1032	1547	0
Apol9b	1281.000000	1015	1547	0
Pitpnm1	1280.500000	1141	1420	0
Cdk2ap2	1280.500000	1141	1420	0
Ppp4r4	1277.500000	953	1602	0
Slc35e1	1250.500000	1066	1435	0
Zfp275	1235.500000	909	1562	0
Dhtkd1	1229.000000	985	1473	0
Apol9a	1222.500000	928	1517	0
Slc25a48	1217.500000	921	1514	0
Slc38a4	1216.000000	816	1616	0
Exosc5	1215.500000	916	1515	0
Bckdha	1215.500000	916	1515	0
Aspscr1	1214.500000	1016	1413	0
Oat	1212.000000	865	1559	0
Gpcpd1	1198.000000	919	1477	0
Selenos	1194.000000	813	1575	0
Rrs1	1162.500000	1069	1256	0
Adhfe1	1162.500000	1069	1256	0
Txndc16	1161.000000	951	1371	0
Gpr137c	1161.000000	951	1371	0
Aph1c	1155.000000	837	1473	0
Mon2	1151.000000	923	1379	0
Pdzd8	1150.500000	981	1320	0
Tcf19	1144.000000	800	1488	0
Cchcr1	1144.000000	800	1488	0
Tent5b	1139.000000	976	1302	0
Fmc1	1137.000000	828	1446	0
Szt2	1136.000000	926	1346	0
Med8	1136.000000	926	1346	0
Tmem104	1100.500000	942	1259	0
Nat9	1100.500000	942	1259	0
Btg2	1100.500000	882	1319	0
Mvk	1096.500000	838	1355	0
