Target_genes	Klf3|Average	SRX248398|MEF	STRING
S100a14	2422.000000	2422	0
Tmem210	2373.000000	2373	0
Lrrc26	2373.000000	2373	0
Usp31	2313.000000	2313	0
Tcstv3	2248.000000	2248	0
Ech1	2194.000000	2194	0
Tob2	2133.000000	2133	0
Kmt2a	2116.000000	2116	0
Rangap1	2096.000000	2096	0
Usp12	2029.000000	2029	0
Prph	1976.000000	1976	0
Trmt1l	1957.000000	1957	0
Swt1	1957.000000	1957	0
Lrrc1	1917.000000	1917	0
Osbpl2	1881.000000	1881	0
Ncoa3	1806.000000	1806	0
Ttc13	1768.000000	1768	0
Arv1	1768.000000	1768	0
Zfp654	1733.000000	1733	0
Cggbp1	1733.000000	1733	0
Btbd8	1727.000000	1727	0
Txnrd2	1719.000000	1719	0
Comt	1719.000000	1719	0
Ahctf1	1687.000000	1687	0
Ass1	1682.000000	1682	0
Rin1	1658.000000	1658	0
Ppp2r5b	1648.000000	1648	0
Rwdd1	1638.000000	1638	0
Hsp90ab1	1636.000000	1636	0
Apba1	1623.000000	1623	0
Rsrc2	1613.000000	1613	0
Kntc1	1613.000000	1613	0
Ccnl1	1611.000000	1611	0
Rc3h1	1591.000000	1591	0
Ccsap	1588.000000	1588	0
Lamb2	1586.000000	1586	0
Zfp438	1580.000000	1580	0
Gale	1573.000000	1573	0
Thpo	1568.000000	1568	0
Ppp1r10	1553.000000	1553	0
Mrps18b	1553.000000	1553	0
Pdp1	1552.000000	1552	0
Erlin2	1536.000000	1536	0
Add1	1528.000000	1528	0
Bmper	1516.000000	1516	0
Syncrip	1514.000000	1514	0
Serinc1	1514.000000	1514	0
4931428F04Rik	1501.000000	1501	0
Gatad2a	1500.000000	1500	0
Prox2	1496.000000	1496	0
Lmnb1	1493.000000	1493	0
Slc35e4	1491.000000	1491	0
Mrpl19	1487.000000	1487	0
Washc5	1470.000000	1470	0
Nsmce2	1470.000000	1470	0
Nde1	1462.000000	1462	0
Myo1c	1462.000000	1462	0
Marf1	1462.000000	1462	0
Immt	1445.000000	1445	0
Atl2	1445.000000	1445	0
Nptxr	1441.000000	1441	0
Pramel12	1433.000000	1433	0
Mfn2	1433.000000	1433	0
Urod	1428.000000	1428	0
Hectd3	1428.000000	1428	0
Uhrf1	1420.000000	1420	0
Arrdc5	1420.000000	1420	0
Lnpep	1414.000000	1414	0
Sowahc	1399.000000	1399	0
Septin10	1399.000000	1399	0
Anapc11	1372.000000	1372	0
Alyref	1372.000000	1372	0
Shoc2	1364.000000	1364	0
Bbip1	1364.000000	1364	0
Ifrd2	1357.000000	1357	0
Hspe1	1355.000000	1355	0
Hspd1	1355.000000	1355	0
Slc29a3	1342.000000	1342	0
Aktip	1342.000000	1342	0
Heatr5a	1340.000000	1340	0
Pafah2	1336.000000	1336	0
Rrp8	1332.000000	1332	0
Ilk	1332.000000	1332	0
Tcf3	1325.000000	1325	0
Sde2	1323.000000	1323	0
Smpd4	1312.000000	1312	0
Anxa5	1312.000000	1312	0
1810062G17Rik	1312.000000	1312	0
Fbxw8	1310.000000	1310	0
Fer	1307.000000	1307	0
Bud13	1307.000000	1307	0
Slc25a23	1297.000000	1297	0
Crb3	1297.000000	1297	0
Csnk2a1	1289.000000	1289	0
Zfp28	1286.000000	1286	0
Uck2	1282.000000	1282	0
Ldlrap1	1278.000000	1278	0
Nectin3	1270.000000	1270	0
Cfl1	1268.000000	1268	0
Fdxacb1	1267.000000	1267	0
1110032A03Rik	1267.000000	1267	0
Dync1i2	1264.000000	1264	0
Zfp821	1259.000000	1259	0
Ist1	1259.000000	1259	0
Tpt1	1254.000000	1254	0
Crbn	1254.000000	1254	0
Mbd2	1251.000000	1251	0
Vapa	1250.000000	1250	0
Cldn34d	1246.000000	1246	0
Dst	1244.000000	1244	0
Serinc3	1243.000000	1243	0
1810058I24Rik	1243.000000	1243	0
S100a3	1235.000000	1235	0
S100a2	1235.000000	1235	0
Serpinb6a	1228.000000	1228	0
Ripk1	1228.000000	1228	0
Atg9b	1226.000000	1226	0
Abcb8	1226.000000	1226	0
Sart3	1225.000000	1225	0
Psap	1225.000000	1225	0
Iscu	1225.000000	1225	0
Crocc	1220.000000	1220	0
Adss	1218.000000	1218	0
Ppat	1217.000000	1217	0
Paics	1217.000000	1217	0
Dok4	1216.000000	1216	0
Med26	1208.000000	1208	0
Rbm38	1203.000000	1203	0
Emp1	1194.000000	1194	0
BC005537	1192.000000	1192	0
Hexim2	1189.000000	1189	0
Fbxl18	1189.000000	1189	0
Slc12a7	1187.000000	1187	0
Nras	1186.000000	1186	0
Riok1	1182.000000	1182	0
Cage1	1182.000000	1182	0
Tiam2	1175.000000	1175	0
Neil3	1173.000000	1173	0
Lgals2	1173.000000	1173	0
Abtb1	1170.000000	1170	0
Nme1	1168.000000	1168	0
Slc44a2	1156.000000	1156	0
Ubxn1	1153.000000	1153	0
Eps15	1152.000000	1152	0
Ppp1r18	1144.000000	1144	0
Nrm	1144.000000	1144	0
Myo10	1141.000000	1141	0
Aacs	1141.000000	1141	0
Tmem123	1140.000000	1140	0
Tra2b	1139.000000	1139	0
Sft2d1	1137.000000	1137	0
Hey2	1137.000000	1137	0
Nip7	1135.000000	1135	0
Cog8	1135.000000	1135	0
Ccdc61	1134.000000	1134	0
Zfp142	1132.000000	1132	0
Bcs1l	1132.000000	1132	0
Dscc1	1130.000000	1130	0
S100a6	1129.000000	1129	0
S100a5	1129.000000	1129	0
Plec	1129.000000	1129	0
Sh3glb1	1128.000000	1128	0
Klf11	1125.000000	1125	0
Sh3gl1	1123.000000	1123	0
Chaf1a	1123.000000	1123	0
Ddx42	1121.000000	1121	0
Ccdc47	1121.000000	1121	0
Txndc17	1119.000000	1119	0
4933427D14Rik	1119.000000	1119	0
Myh9	1118.000000	1118	0
Inppl1	1118.000000	1118	0
Gpd1l	1115.000000	1115	0
Zfp688	1111.000000	1111	0
Fam8a1	1111.000000	1111	0
Birc5	1110.000000	1110	0
Ube2o	1109.000000	1109	0
Lrrfip1	1107.000000	1107	0
Pim1	1104.000000	1104	0
Wrn	1102.000000	1102	0
Purg	1102.000000	1102	0
Fam71f1	1096.000000	1096	0
Itsn1	1092.000000	1092	0
Cryzl1	1092.000000	1092	0
Coq10b	1092.000000	1092	0
Osbpl9	1085.000000	1085	0
Micu2	1079.000000	1079	0
H4c18	1078.000000	1078	0
H4bc24	1078.000000	1078	0
H2bc23	1078.000000	1078	0
H2ac24	1078.000000	1078	0
H2ac23	1078.000000	1078	0
Csrp2	1077.000000	1077	0
Ccnf	1076.000000	1076	0
Ablim1	1075.000000	1075	0
Zbtb7a	1072.000000	1072	0
Slain2	1071.000000	1071	0
Ube2d1	1067.000000	1067	0
