Target_genes	Klf5|Average	SRX520198|3T3-L1	SRX10299739|embryonic_skin	SRX10157942|Esophageal_organoids	SRX10157943|Esophageal_organoids	SRX10157944|Esophageal_organoids	SRX10157945|Esophageal_organoids	SRX10157946|Esophageal_organoids	SRX10157947|Esophageal_organoids	SRX10157948|Esophageal_organoids	SRX10157949|Esophageal_organoids	SRX10157960|Esophageal_organoids	SRX10157961|Esophageal_organoids	SRX334975|ES_cells	SRX3585307|ES_cells	SRX468970|ES_cells	SRX6437851|Pancreatic_adenocarcinoma	SRX6437852|Pancreatic_adenocarcinoma	SRX8026860|Pancreatic_adenocarcinoma	SRX8026861|Pancreatic_adenocarcinoma	SRX8026862|Pancreatic_adenocarcinoma	SRX8026863|Pancreatic_adenocarcinoma	SRX1149716|Pancreatic_cancer_cell_lines	SRX3585311|Trophoblast_stem_cells	SRX18304307|Unclassified	STRING
Ctnna1	1646.500000	855	219	2187	691	329	618	1309	1343	3075	3133	0	0	2376	163	1345	3043	2939	3023	3099	3144	3202	2114	0	1309	0
Slc41a3	1362.333333	554	0	1168	203	0	171	435	386	2735	1546	0	0	777	0	789	2631	2504	3883	3953	3714	4095	2582	0	570	0
Kmt2a	1259.791667	304	122	539	97	0	87	117	102	1857	1466	0	0	1869	0	1630	2778	2747	3351	3271	3387	3148	2305	0	1058	0
Cldn34d	988.458333	428	681	1527	903	859	451	1202	1118	1255	1184	1937	1794	783	1010	922	847	1046	548	391	419	369	1993	932	1124	0
S100a14	902.250000	1031	0	645	0	0	0	106	171	1448	921	0	0	1353	0	1493	1532	1333	2320	2476	2012	2567	2035	0	211	0
Tubb2a	902.208333	140	152	589	134	0	0	0	0	1224	629	0	0	1588	0	1332	1943	1763	2382	2392	2407	2616	2051	0	311	0
Tob2	857.666667	849	0	237	0	0	0	151	0	1374	704	0	0	1317	0	1310	1161	892	2570	2572	2728	2579	1727	0	413	0
Ect2	856.041667	182	0	684	0	0	0	184	196	1247	1003	0	0	1366	0	1212	1334	920	2504	2812	2483	2468	1412	0	538	0
Mgat3	835.708333	0	0	392	0	0	146	0	92	1029	276	0	0	580	0	147	2180	1845	2534	2994	2468	3009	1460	0	905	0
Tcstv3	826.916667	352	820	0	196	160	0	0	229	181	162	331	297	2404	1264	2289	943	920	1179	1204	1053	1224	2100	1002	1536	0
Kat6a	784.000000	555	142	992	281	107	278	405	395	2160	1822	0	0	2282	0	2172	524	505	690	1012	723	915	2443	0	413	0
Rangap1	744.166667	941	0	323	0	0	0	0	0	948	549	0	0	973	0	705	1159	789	2135	2296	2392	2691	1548	0	411	0
Avpi1	719.916667	264	110	606	134	0	0	221	170	1517	739	0	0	648	0	379	804	585	2796	2124	1893	2506	924	0	858	0
Gm3448	701.041667	909	0	0	0	0	0	0	0	559	245	0	0	1888	0	1734	695	707	2016	2262	2135	2372	703	0	600	0
Gm3417	701.041667	909	0	0	0	0	0	0	0	559	245	0	0	1888	0	1734	695	707	2016	2262	2135	2372	703	0	600	0
Zfp568	691.416667	117	0	0	0	0	0	0	0	380	0	0	0	742	0	623	2079	1844	2753	2649	2227	2454	572	0	154	0
Tcte3	687.500000	828	0	0	0	0	0	0	0	559	245	0	0	1882	0	1621	695	673	2016	2262	2135	2372	612	0	600	0
Txnrd2	674.541667	443	0	298	0	0	0	0	138	920	379	0	0	1367	0	1027	1606	1367	1607	1664	1614	1842	1604	0	313	0
Comt	674.541667	443	0	298	0	0	0	0	138	920	379	0	0	1367	0	1027	1606	1367	1607	1664	1614	1842	1604	0	313	0
Usp31	673.291667	397	0	185	0	0	0	0	0	838	361	0	0	1165	0	1100	1423	1046	1508	1829	1656	2155	1969	0	527	0
Gm3435	669.166667	807	0	0	0	0	0	0	0	559	245	0	0	1882	0	1621	695	673	2016	2262	1869	2300	531	0	600	0
9030025P20Rik	646.958333	909	0	0	0	0	0	0	0	442	161	0	0	1888	0	1734	543	707	1713	2179	1672	2325	703	0	551	0
Crip1	643.833333	197	0	762	0	0	0	130	0	902	456	0	0	1258	0	1208	1470	1168	1148	1764	1151	1700	1959	0	179	0
Clpsl2	643.208333	108	0	0	0	0	0	0	0	842	392	0	0	2399	0	2270	681	1057	855	2064	1429	1786	1554	0	0	0
Ermard	636.458333	828	0	0	0	0	0	0	0	546	215	0	0	1796	0	1523	606	499	1703	1975	2135	2372	612	0	465	0
Btbd8	627.333333	370	0	228	0	0	0	0	0	925	516	0	0	1015	0	673	993	890	1757	1968	2069	2289	1035	0	328	0
Tmem210	619.750000	411	0	446	0	0	0	0	0	1169	676	0	0	1039	0	739	1223	940	1591	1734	1560	1688	1658	0	0	0
Lrrc26	619.750000	411	0	446	0	0	0	0	0	1169	676	0	0	1039	0	739	1223	940	1591	1734	1560	1688	1658	0	0	0
4930432M17Rik	613.041667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1515	1566	1926	2783	2349	3096	1303	0	175	0
Kpna1	610.916667	490	546	1529	301	1810	1381	1187	1103	1133	765	609	347	725	469	653	0	0	0	0	0	0	1251	217	146	0
Myo1c	609.541667	0	0	458	94	0	0	284	211	1358	895	0	0	136	0	93	1079	625	1920	1274	1859	1758	1259	0	1326	0
Fam71f1	592.250000	410	0	377	129	0	116	268	145	1064	658	0	0	0	0	0	1133	1307	1394	1770	1316	2018	1530	0	579	0
C77080	584.458333	0	81	767	0	0	0	261	201	1676	823	0	0	350	0	438	794	670	1408	1494	1585	1709	1177	0	593	0
Mfn2	569.375000	836	0	0	0	0	0	0	0	584	324	0	0	1468	0	1373	1068	993	1101	1568	1042	1581	1072	0	655	0
Ap2m1	564.041667	966	0	202	0	0	0	0	0	371	127	229	171	1220	0	1072	739	266	1965	1798	1706	2217	312	0	176	0
Schip1	538.333333	0	0	368	0	0	0	296	0	1409	848	0	0	1306	0	622	1063	552	1334	1114	1252	1411	994	0	351	0
Plaur	527.833333	162	0	280	0	0	0	117	0	831	578	0	0	354	0	140	1102	1064	1484	1600	1547	1853	1205	0	351	0
Msln	522.791667	585	0	269	0	0	0	0	0	1050	466	0	0	261	0	70	1086	1309	1206	1395	1231	1820	1203	0	596	0
S100a3	520.541667	246	83	200	0	0	0	91	0	702	420	135	0	121	0	0	1135	1412	1381	1909	1316	1824	1266	0	252	0
S100a2	508.458333	182	83	200	0	0	0	0	0	702	420	0	0	121	0	0	1135	1412	1381	1909	1316	1824	1266	0	252	0
Brox	499.333333	230	519	310	112	418	156	296	318	343	345	645	543	1068	665	529	790	577	360	299	370	276	1884	347	584	0
Aida	499.333333	230	519	310	112	418	156	296	318	343	345	645	543	1068	665	529	790	577	360	299	370	276	1884	347	584	0
Nras	497.625000	397	108	133	0	0	0	0	0	592	330	0	0	1405	0	1226	588	621	950	1115	1071	1428	1052	0	927	0
3110082I17Rik	497.291667	1595	0	0	0	0	0	0	0	429	212	0	0	1558	0	1338	300	262	1328	1466	1261	1449	530	0	207	0
Prph	490.083333	127	86	402	0	0	0	0	0	894	548	0	0	1170	0	1103	996	829	761	999	927	1069	1780	0	71	0
Unkl	483.750000	1712	0	0	0	0	0	0	0	0	0	0	0	1619	0	1381	695	497	1011	1283	969	1468	734	0	241	0
Percc1	483.750000	1712	0	0	0	0	0	0	0	0	0	0	0	1619	0	1381	695	497	1011	1283	969	1468	734	0	241	0
BC003965	483.750000	1712	0	0	0	0	0	0	0	0	0	0	0	1619	0	1381	695	497	1011	1283	969	1468	734	0	241	0
Smim15	479.958333	0	0	533	0	0	0	262	159	1207	674	0	0	113	0	81	763	710	995	1588	1092	1780	1362	0	200	0
Lgals6	478.208333	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1050	814	1734	2007	1756	2104	1142	0	133	0
Lgals4	478.208333	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1050	814	1734	2007	1756	2104	1142	0	133	0
Nup133	470.541667	2154	0	0	0	0	0	0	0	264	172	0	0	2029	0	1770	219	234	1240	1018	758	1026	212	0	197	0
Prune1	469.000000	0	0	349	0	0	0	0	0	1246	515	0	0	240	0	0	242	300	1940	1824	2010	1993	597	0	0	0
Mindy1	469.000000	0	0	349	0	0	0	0	0	1246	515	0	0	240	0	0	242	300	1940	1824	2010	1993	597	0	0	0
Dst	466.458333	366	0	160	0	0	0	0	0	682	323	0	0	1032	0	852	649	677	1215	1383	1221	1352	1176	0	107	0
Rassf7	451.291667	0	0	346	0	0	0	211	129	1138	689	0	0	0	0	0	683	243	1552	1744	1424	1707	545	0	420	0
Lmntd2	451.291667	0	0	346	0	0	0	211	129	1138	689	0	0	0	0	0	683	243	1552	1744	1424	1707	545	0	420	0
Cltc	451.166667	233	0	184	0	0	0	0	0	697	393	0	0	452	0	352	569	524	1525	1494	1646	1848	676	0	235	0
Slc35e1	444.166667	1116	104	0	0	0	0	0	0	294	137	0	0	1711	0	1516	349	388	967	856	977	1190	689	0	366	0
Ttc13	443.708333	223	76	0	0	0	0	0	0	469	175	0	0	976	0	699	705	657	1046	1180	1008	1497	1370	0	568	0
Arv1	443.708333	223	76	0	0	0	0	0	0	469	175	0	0	976	0	699	705	657	1046	1180	1008	1497	1370	0	568	0
Pdpk1	439.833333	256	0	429	0	0	166	127	123	892	634	0	0	514	0	370	438	843	992	1101	1169	1556	841	0	105	0
Fam107b	435.333333	0	0	260	0	0	0	138	120	1084	621	0	0	205	0	85	913	890	1104	1214	782	1420	1076	0	536	0
Stard10	432.375000	181	0	0	0	0	0	0	0	0	0	0	0	0	0	125	1221	759	1640	1826	1732	2152	564	0	177	0
Rps20	430.208333	0	0	0	0	0	0	0	0	681	281	0	0	655	0	461	884	778	945	1067	1369	1732	1225	0	247	0
Ccnl1	427.500000	0	0	188	0	0	0	0	0	559	391	0	0	737	0	676	780	574	1244	1141	1307	1379	941	0	343	0
Mllt6	427.333333	0	0	269	0	0	0	205	109	1056	538	0	0	1072	0	752	678	364	921	1163	1003	1567	418	0	141	0
Ildr2	426.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	700	1440	1922	2030	2325	1312	0	0	0
Kif16b	424.500000	0	0	197	0	0	0	159	0	925	419	0	0	346	0	302	255	193	1492	1599	1670	1866	572	0	193	0
Il31ra	421.416667	304	543	1107	0	1390	906	628	933	866	606	411	290	441	340	283	0	0	0	0	0	0	1066	0	0	0
Vgll4	421.333333	0	88	533	0	0	0	165	136	1420	879	0	0	443	0	354	546	428	1156	557	1277	1082	804	0	244	0
Cobl	420.958333	146	0	205	0	0	0	0	0	562	470	0	0	389	0	113	765	578	1506	1512	1170	1534	939	0	214	0
Rwdd1	419.125000	151	0	0	0	0	0	0	0	431	229	0	0	617	0	411	777	808	1269	1711	1070	1364	913	0	308	0
Cyp1b1	418.625000	0	0	0	0	0	0	0	0	73	0	0	0	140	0	0	1309	407	1703	1905	1997	1943	459	0	111	0
Erlin2	417.041667	1669	0	122	0	0	0	0	0	254	178	0	0	578	0	823	448	348	1200	1105	900	1427	674	0	283	0
Lrrc1	417.000000	0	0	0	0	0	0	0	0	247	221	0	0	690	0	502	654	752	1111	1485	1318	1658	1222	0	148	0
Xpnpep3	413.666667	1158	0	0	0	0	0	0	0	344	98	0	0	1465	0	1269	438	414	888	1227	666	907	819	0	235	0
St13	413.666667	1158	0	0	0	0	0	0	0	344	98	0	0	1465	0	1269	438	414	888	1227	666	907	819	0	235	0
Sde2	411.125000	885	97	0	0	0	0	0	0	387	260	0	0	1225	0	1031	454	429	897	990	868	1200	602	0	542	0
Nup153	407.166667	2212	0	0	0	0	0	0	0	137	127	0	0	2210	0	2186	0	0	556	785	656	757	146	0	0	0
Gm45521	406.791667	0	0	159	0	0	0	98	0	864	534	0	0	291	0	368	823	448	1258	1306	1014	1608	490	0	502	0
Rin1	402.083333	314	0	92	0	0	0	0	0	627	448	0	0	117	0	0	726	719	863	1440	1242	1733	673	0	656	0
Tmem262	401.458333	1784	0	0	0	0	0	0	0	216	136	0	0	1598	0	1215	330	387	659	787	630	817	705	0	371	0
Sh3rf2	400.791667	0	0	250	0	0	0	0	0	449	260	0	0	187	0	0	850	376	1672	1491	1437	1829	818	0	0	0
Hspe1	400.750000	0	0	0	0	0	0	0	0	771	371	0	0	679	0	441	521	518	1161	1069	1311	1277	1185	0	314	0
Hspd1	400.750000	0	0	0	0	0	0	0	0	771	371	0	0	679	0	441	521	518	1161	1069	1311	1277	1185	0	314	0
Mrln	396.125000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1205	737	1825	1693	1397	1856	794	0	0	0
Tubgcp6	393.791667	1930	0	0	0	0	0	0	0	198	0	0	0	2003	0	1766	197	202	664	708	685	527	402	0	169	0
Ndrg1	391.458333	321	0	118	0	0	0	0	0	255	188	0	0	866	0	575	487	524	1269	1023	1084	1324	737	0	624	0
Crbn	389.458333	336	0	139	0	0	0	0	0	307	249	0	0	702	0	494	803	736	1037	887	986	1232	1167	0	272	0
Wfdc2	387.125000	0	0	342	0	0	165	0	122	788	443	0	0	268	0	242	568	459	1062	1303	1101	1389	570	0	469	0
Zfp341	386.125000	0	0	350	0	0	0	163	199	1312	1034	0	0	1090	0	943	292	200	475	301	448	396	1922	0	142	0
Esyt2	386.125000	1211	85	0	0	0	0	0	0	327	274	0	0	1276	0	1157	360	345	686	862	704	1049	477	0	454	0
Wdsub1	383.375000	0	0	0	0	0	0	0	0	173	0	0	0	1378	0	1184	714	566	1092	838	999	1076	1033	0	148	0
Unc5b	383.000000	0	0	199	0	0	0	0	0	227	134	0	0	133	0	137	652	783	1140	1519	1450	1904	767	0	147	0
Gnb2	382.666667	166	0	0	0	0	0	0	0	250	133	0	0	493	0	325	674	564	1223	1243	1394	1626	869	0	224	0
Psmb2	382.625000	2086	0	0	0	0	0	0	0	0	0	0	0	2634	0	2499	0	0	496	514	422	532	0	0	0	0
Fdxacb1	380.916667	875	0	0	0	0	0	0	0	529	315	0	0	1080	0	990	462	470	659	889	890	950	860	0	173	0
1110032A03Rik	380.916667	875	0	0	0	0	0	0	0	529	315	0	0	1080	0	990	462	470	659	889	890	950	860	0	173	0
Washc5	380.291667	401	0	0	0	0	0	0	0	493	122	0	0	1491	0	1237	257	336	1062	990	862	928	692	0	256	0
Nsmce2	380.291667	401	0	0	0	0	0	0	0	493	122	0	0	1491	0	1237	257	336	1062	990	862	928	692	0	256	0
Iqank1	380.125000	0	0	309	0	0	0	128	159	1220	945	0	0	921	0	633	249	310	303	595	641	817	1526	0	367	0
