Target_genes	Klf6|Average	SRX467209|Carcinoma,_Hepatocellular	SRX1632693|Oligodendrocytes	SRX1632694|Oligodendrocytes	SRX1632697|Oligodendrocytes	SRX1632698|Oligodendrocytes	STRING
Tcstv3	1280.400000	1821	1193	1087	1090	1211	0
Cldn34d	821.600000	1074	542	932	665	895	0
Kpna1	748.000000	1908	406	463	349	614	0
Brox	604.600000	770	488	685	436	644	0
Aida	604.600000	770	488	685	436	644	0
Oasl1	517.800000	593	498	580	279	639	0
Il31ra	488.800000	1337	263	199	359	286	0
Abhd6	407.400000	261	581	309	457	429	0
Cdh12	390.600000	299	353	596	228	477	0
Zfp263	365.600000	0	503	370	481	474	0
Olfr806	313.400000	273	507	0	342	445	0
Vmn2r102	309.000000	0	347	459	312	427	0
Ankar	290.600000	286	224	365	253	325	0
Ssty2	286.400000	1104	165	0	163	0	0
Gm21242	286.400000	1104	165	0	163	0	0
Asmt	280.000000	448	214	324	0	414	0
Limch1	271.000000	1355	0	0	0	0	0
Akirin2	253.600000	1268	0	0	0	0	0
Tro	238.400000	1192	0	0	0	0	0
Npy5r	229.600000	1148	0	0	0	0	0
Sspn	226.400000	844	111	0	85	92	0
Cd44	224.600000	1123	0	0	0	0	0
Wwox	198.600000	0	299	222	279	193	0
Crebzf	190.000000	0	238	208	297	207	0
Serpinf1	177.800000	889	0	0	0	0	0
Cbr3	175.600000	0	247	0	424	207	0
Sorbs1	171.000000	855	0	0	0	0	0
Dpysl3	159.000000	795	0	0	0	0	0
Tmem125	154.400000	165	127	153	115	212	0
Ankrd66	153.000000	765	0	0	0	0	0
Fbxw7	152.400000	762	0	0	0	0	0
Dnaaf6	150.200000	0	165	294	0	292	0
Exosc2	146.000000	730	0	0	0	0	0
Klf6	145.200000	726	0	0	0	0	0
Tas2r134	140.200000	338	197	0	0	166	0
Tnfrsf18	133.800000	669	0	0	0	0	0
Prss47	133.800000	669	0	0	0	0	0
H4f16	133.800000	669	0	0	0	0	0
H2aj	133.800000	669	0	0	0	0	0
Olfr1154	132.800000	0	153	257	0	254	0
Xrcc1	126.200000	0	149	237	245	0	0
Pinlyp	126.200000	0	149	237	245	0	0
Rlbp1	124.600000	623	0	0	0	0	0
Fanci	124.600000	623	0	0	0	0	0
Dlg4	124.600000	623	0	0	0	0	0
Fam24b	115.600000	578	0	0	0	0	0
Ifi44l	106.600000	533	0	0	0	0	0
Acnat2	104.600000	0	164	195	0	164	0
Zbtb46	103.800000	519	0	0	0	0	0
C3	103.800000	519	0	0	0	0	0
Znhit1	98.600000	0	282	0	211	0	0
